displayField,canonicalCode,sourceFiles,productionUsageCount,currentKoreanLabel,currentEnglishLabel,coverageStatus,rawUiExposureLocations
BADMINTON_PHYSICAL_QUALITY,RECOVERY_STEP,app/src/main/assets/metadata/canonical_v1,0,회복 Step,Recovery step,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,ROTATION,app/src/main/assets/metadata/canonical_v1,0,회전,Rotation,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_CONTROL,app/src/main/assets/metadata/canonical_v1,1,회전 제어,Rotational control,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_POWER,app/src/main/assets/metadata/canonical_v1,1,회전 파워,Rotational power,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_STRENGTH,app/src/main/assets/metadata/canonical_v1,1,회전 근력,Rotational strength,RETAIN,
BADMINTON_PHYSICAL_QUALITY,ROTATOR_CUFF_CONTROL,app/src/main/assets/metadata/canonical_v1,1,회전근개 제어,Rotator cuff control,RETAIN,
BADMINTON_PHYSICAL_QUALITY,SCAPULAR_CONTROL,app/src/main/assets/metadata/canonical_v1,1,견갑 제어,Scapular control,RETAIN,
BADMINTON_PHYSICAL_QUALITY,SCAPULAR_STABILITY,app/src/main/assets/metadata/canonical_v1,0,견갑 안정성,Scapular stability,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,SHOULDER_CARE,app/src/main/assets/metadata/canonical_v1,0,어깨 관리,Shoulder care,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,SHOULDER_DURABILITY,app/src/main/assets/metadata/canonical_v1,1,어깨 지구성,Shoulder durability,RETAIN,
BADMINTON_PHYSICAL_QUALITY,SINGLE_LEG_STABILITY,app/src/main/assets/metadata/canonical_v1,1,한발 안정성,Single leg stability,RETAIN,
BADMINTON_PHYSICAL_QUALITY,SPLIT_STEP,app/src/main/assets/metadata/canonical_v1,0,스플릿 스텝,Split step,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,SQUAT_PATTERN,app/src/main/assets/metadata/canonical_v1,0,스쿼트 패턴,Squat pattern,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,UNILATERAL_LOWER,app/src/main/assets/metadata/canonical_v1,0,편측 하체,Unilateral lower,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,UNILATERAL_UPPER,app/src/main/assets/metadata/canonical_v1,0,편측 상체,Unilateral upper,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,UPPER_BODY_EXPLOSIVE_POWER,app/src/main/assets/metadata/canonical_v1,1,상체 폭발력,Upper body explosive power,RETAIN,
BADMINTON_PHYSICAL_QUALITY,UPPER_PULL,app/src/main/assets/metadata/canonical_v1,0,상체 당기기,Upper pull,RETAINED_SEARCH_ONLY,
BADMINTON_PHYSICAL_QUALITY,UPPER_PUSH,app/src/main/assets/metadata/canonical_v1,0,상체 밀기,Upper push,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,ANTI_ROTATION_STABILITY,app/src/main/assets/metadata/canonical_v1,1,항 회전 안정성,Anti rotation stability,RETAIN,
BADMINTON_SKILL_TARGET,CHANGE_OF_DIRECTION,app/src/main/assets/metadata/canonical_v1,1,방향 전환,Change of direction,RETAIN,
BADMINTON_SKILL_TARGET,CONDITIONING,app/src/main/assets/metadata/canonical_v1,0,컨디셔닝,Conditioning,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,DECELERATION_CONTROL,app/src/main/assets/metadata/canonical_v1,1,감속 제어,Deceleration control,RETAIN,
BADMINTON_SKILL_TARGET,DEFENSIVE_COVERAGE,app/src/main/assets/metadata/canonical_v1,1,수비 범위,Defensive coverage,RETAIN,
BADMINTON_SKILL_TARGET,DRIVE,app/src/main/assets/metadata/canonical_v1,1,Drive,Drive,REVISE,
BADMINTON_SKILL_TARGET,FIRST_STEP,app/src/main/assets/metadata/canonical_v1,1,첫 스텝,First step,RETAIN,
BADMINTON_SKILL_TARGET,FIRST_STEP_REACTION,app/src/main/assets/metadata/canonical_v1,0,첫 Step 반응,First step reaction,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,FOOTWORK_SPEED,app/src/main/assets/metadata/canonical_v1,0,풋워크 속도,Footwork speed,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,FRONT_COURT_LUNGE,app/src/main/assets/metadata/canonical_v1,1,전위 코트 런지,Front court lunge,RETAIN,
BADMINTON_SKILL_TARGET,GRIP_ENDURANCE,app/src/main/assets/metadata/canonical_v1,0,그립 지구력,Grip endurance,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,JUMP_LANDING_CONTROL,app/src/main/assets/metadata/canonical_v1,0,점프 착지 제어,Jump landing control,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,LATERAL_LUNGE,app/src/main/assets/metadata/canonical_v1,1,측면 런지,Lateral lunge,RETAIN,
BADMINTON_SKILL_TARGET,LATERAL_MOVEMENT,app/src/main/assets/metadata/canonical_v1,1,측면 동작,Lateral movement,RETAIN,
BADMINTON_SKILL_TARGET,LUNGE_REACH,app/src/main/assets/metadata/canonical_v1,0,런지 리치,Lunge reach,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,MULTI_SHUTTLE_ENDURANCE,app/src/main/assets/metadata/canonical_v1,1,멀티 셔틀 지구력,Multi shuttle endurance,RETAIN,
BADMINTON_SKILL_TARGET,NET_PLAY,app/src/main/assets/metadata/canonical_v1,1,네트 플레이,Net play,RETAIN,
BADMINTON_SKILL_TARGET,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,OVERHEAD_CLEAR,app/src/main/assets/metadata/canonical_v1,1,오버헤드 클리어,Overhead clear,RETAIN,
BADMINTON_SKILL_TARGET,OVERHEAD_POWER,app/src/main/assets/metadata/canonical_v1,1,머리 위 파워,Overhead power,RETAIN,
BADMINTON_SKILL_TARGET,RALLY_TOLERANCE,app/src/main/assets/metadata/canonical_v1,1,랠리 지속 능력,Rally tolerance,RETAIN,
BADMINTON_SKILL_TARGET,REAR_COURT_RECOVERY,app/src/main/assets/metadata/canonical_v1,0,후면 코트 회복,Rear court recovery,RETAINED_SEARCH_ONLY,
BADMINTON_SKILL_TARGET,ROTATION_SEQUENCING,app/src/main/assets/metadata/canonical_v1,1,회전 연결,Rotation sequencing,RETAIN,
BADMINTON_SKILL_TARGET,SHOULDER_DURABILITY,app/src/main/assets/metadata/canonical_v1,1,어깨 지구성,Shoulder durability,RETAIN,
BADMINTON_SKILL_TARGET,SMASH,app/src/main/assets/metadata/canonical_v1,1,스매시,Smash,RETAIN,
BADMINTON_SKILL_TARGET,SPLIT_STEP,app/src/main/assets/metadata/canonical_v1,1,스플릿 스텝,Split step,RETAIN,
BADMINTON_TRANSFER_LEVEL,DIRECT,app/src/main/assets/metadata/canonical_v1,1,직접 전이,Direct,RETAIN,
BADMINTON_TRANSFER_LEVEL,GENERAL,app/src/main/assets/metadata/canonical_v1,1,일반,General,RETAIN,
BADMINTON_TRANSFER_LEVEL,NONE,app/src/main/assets/metadata/canonical_v1,0,직접 전이 없음,No direct transfer,RETAINED_SEARCH_ONLY,
BADMINTON_TRANSFER_LEVEL,SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,보조 전이,Supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,ACCELERATION,app/src/main/assets/metadata/canonical_v1,2,가속,Acceleration,RETAIN,
BADMINTON_TRANSFER_TYPE,ANKLE_CALF_SSC_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,3,발목 종아리 SSC 보조,Ankle calf SSC supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,ANTI_ROTATION_STABILITY,app/src/main/assets/metadata/canonical_v1,41,항 회전 안정성,Anti rotation stability,RETAIN,
BADMINTON_TRANSFER_TYPE,ANTI_ROTATION_STABILITY_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,항 회전 안정성 보조,Anti rotation stability supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,CHANGE_OF_DIRECTION_DIRECT,app/src/main/assets/metadata/canonical_v1,1,방향 전환 직접 전이,Change of direction direct,RETAIN,
BADMINTON_TRANSFER_TYPE,CONDITIONING,app/src/main/assets/metadata/canonical_v1,20,컨디셔닝,Conditioning,RETAIN,
BADMINTON_TRANSFER_TYPE,CORE_STABILITY_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,4,코어 안정성 보조,Core stability supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,DECELERATION,app/src/main/assets/metadata/canonical_v1,19,감속,Deceleration,RETAIN,
BADMINTON_TRANSFER_TYPE,FOOTWORK,app/src/main/assets/metadata/canonical_v1,20,풋워크,Footwork,RETAIN,
BADMINTON_TRANSFER_TYPE,FOOTWORK_DIRECT,app/src/main/assets/metadata/canonical_v1,1,풋워크 직접 전이,Footwork direct,RETAIN,
BADMINTON_TRANSFER_TYPE,GENERAL_CONDITIONING_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,일반 컨디셔닝 보조,General conditioning supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,GENERAL_POWER_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,일반 파워 보조,General power supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,GENERAL_STRENGTH_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,16,일반 근력 보조,General strength supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,GRIP_FOREARM,app/src/main/assets/metadata/canonical_v1,52,그립 전완,Grip forearm,RETAIN,
BADMINTON_TRANSFER_TYPE,GRIP_WRIST_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,2,그립 손목 보조,Grip wrist supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,JUMP_LANDING,app/src/main/assets/metadata/canonical_v1,15,점프 착지,Jump landing,RETAIN,
BADMINTON_TRANSFER_TYPE,LOWER_BODY_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,4,하체 신체 보조,Lower body supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,LUNGE_REACH,app/src/main/assets/metadata/canonical_v1,0,런지 리치,Lunge reach,RETAINED_SEARCH_ONLY,
BADMINTON_TRANSFER_TYPE,LUNGE_REACH_DIRECT,app/src/main/assets/metadata/canonical_v1,1,런지·리치 직접 전이,Lunge reach direct,RETAIN,
BADMINTON_TRANSFER_TYPE,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
BADMINTON_TRANSFER_TYPE,OVERHEAD_HITTING_DIRECT,app/src/main/assets/metadata/canonical_v1,1,오버헤드 타구 직접 전이,Overhead hitting direct,RETAIN,
BADMINTON_TRANSFER_TYPE,OVERHEAD_POWER,app/src/main/assets/metadata/canonical_v1,1,머리 위 파워,Overhead power,RETAIN,
BADMINTON_TRANSFER_TYPE,OVERHEAD_POWER_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,머리 위 파워 보조,Overhead power supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,RALLY_CONDITIONING_DIRECT,app/src/main/assets/metadata/canonical_v1,1,랠리 컨디셔닝 직접 전이,Rally conditioning direct,RETAIN,
BADMINTON_TRANSFER_TYPE,REACTION,app/src/main/assets/metadata/canonical_v1,17,반응,Reaction,RETAIN,
BADMINTON_TRANSFER_TYPE,REACTION_DECISION_DIRECT,app/src/main/assets/metadata/canonical_v1,1,반응·판단 직접 전이,Reaction decision direct,RETAIN,
BADMINTON_TRANSFER_TYPE,ROTATION_POWER,app/src/main/assets/metadata/canonical_v1,17,회전 파워,Rotation power,RETAIN,
BADMINTON_TRANSFER_TYPE,ROTATION_POWER_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,회전 파워 보조,Rotation power supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,SHOULDER_CARE,app/src/main/assets/metadata/canonical_v1,62,어깨 관리,Shoulder care,RETAIN,
BADMINTON_TRANSFER_TYPE,SHOULDER_CARE_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,어깨 관리 보조,Shoulder care supportive,RETAIN,
BADMINTON_TRANSFER_TYPE,SHOULDER_SCAPULAR_SUPPORTIVE,app/src/main/assets/metadata/canonical_v1,1,어깨 견갑 보조,Shoulder scapular supportive,RETAIN,
BODY_REGION,LOWER,app/src/main/assets/metadata/canonical_v1,56,,,ADD,RuntimeMetadataExerciseEditorDialog.kt
BODY_REGION,TRUNK,app/src/main/assets/metadata/canonical_v1,36,,,ADD,RuntimeMetadataExerciseEditorDialog.kt
BODY_REGION,UPPER,app/src/main/assets/metadata/canonical_v1,120,,,ADD,RuntimeMetadataExerciseEditorDialog.kt
BODY_REGION,WHOLE_BODY,app/src/main/assets/metadata/canonical_v1,45,,,ADD,RuntimeMetadataExerciseEditorDialog.kt
COGNITIVE_STRESS,COACHING_FEEDBACK_PROCESSING_LOAD,app/src/main/assets/metadata/canonical_v1,1,코칭 피드백 처리 부하,Coaching feedback processing load,RETAIN,
COGNITIVE_STRESS,DECISION_MAKING_LOAD,app/src/main/assets/metadata/canonical_v1,1,판단 부하,Decision making load,RETAIN,
COGNITIVE_STRESS,MOTOR_LEARNING_LOAD,app/src/main/assets/metadata/canonical_v1,1,운동 학습 부하,Motor learning load,RETAIN,
COGNITIVE_STRESS,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
COGNITIVE_STRESS,PACING_LOAD,app/src/main/assets/metadata/canonical_v1,1,페이스 조절 부하,Pacing load,RETAIN,
COGNITIVE_STRESS,POSITIONAL_AWARENESS,app/src/main/assets/metadata/canonical_v1,1,위치 인식,Positional awareness,RETAIN,
COGNITIVE_STRESS,REACTION_DECISION_LOAD,app/src/main/assets/metadata/canonical_v1,1,반응 판단 부하,Reaction decision load,RETAIN,
COGNITIVE_STRESS,REACTION_LOAD,app/src/main/assets/metadata/canonical_v1,1,반응 부하,Reaction load,RETAIN,
COGNITIVE_STRESS,SEQUENCE_CONTROL,app/src/main/assets/metadata/canonical_v1,1,순서 제어,Sequence control,RETAIN,
COGNITIVE_STRESS,TACTICAL_CONCENTRATION_LOAD,app/src/main/assets/metadata/canonical_v1,1,전술 집중 부하,Tactical concentration load,RETAIN,
COGNITIVE_STRESS,TECHNICAL_CONCENTRATION_LOAD,app/src/main/assets/metadata/canonical_v1,1,기술 집중 부하,Technical concentration load,RETAIN,
COGNITIVE_STRESS,VISUAL_TRACKING_LOAD,app/src/main/assets/metadata/canonical_v1,1,시각 추적 부하,Visual tracking load,RETAIN,
COMPOUND_TYPE,COMPOUND,app/src/main/assets/metadata/canonical_v1,120,,,ADD,
COMPOUND_TYPE,DRILL,app/src/main/assets/metadata/canonical_v1,27,,,ADD,
COMPOUND_TYPE,HYBRID,app/src/main/assets/metadata/canonical_v1,67,,,ADD,
COMPOUND_TYPE,ISOLATION,app/src/main/assets/metadata/canonical_v1,43,,,ADD,
DIRECT_TRANSFER,ACCELERATION,app/src/main/assets/metadata/canonical_v1,1,가속,Acceleration,RETAIN,
DIRECT_TRANSFER,ANTI_ROTATION_STABILITY,app/src/main/assets/metadata/canonical_v1,1,항 회전 안정성,Anti rotation stability,RETAIN,
DIRECT_TRANSFER,BADMINTON_FOOTWORK,app/src/main/assets/metadata/canonical_v1,8,,,ADD,
DIRECT_TRANSFER,CHANGE_OF_DIRECTION,app/src/main/assets/metadata/canonical_v1,9,,,ADD,
DIRECT_TRANSFER,CONDITIONING,app/src/main/assets/metadata/canonical_v1,1,컨디셔닝,Conditioning,RETAIN,
DIRECT_TRANSFER,COURT_CONDITIONING,app/src/main/assets/metadata/canonical_v1,7,,,ADD,
DIRECT_TRANSFER,DECELERATION,app/src/main/assets/metadata/canonical_v1,4,감속,Deceleration,RETAIN,
DIRECT_TRANSFER,FOOTWORK,app/src/main/assets/metadata/canonical_v1,1,풋워크,Footwork,RETAIN,
DIRECT_TRANSFER,GRIP_FOREARM,app/src/main/assets/metadata/canonical_v1,1,그립 전완,Grip forearm,RETAIN,
DIRECT_TRANSFER,JUMP_LANDING,app/src/main/assets/metadata/canonical_v1,1,점프 착지,Jump landing,RETAIN,
DIRECT_TRANSFER,LANDING_CONTROL,app/src/main/assets/metadata/canonical_v1,2,,,ADD,
DIRECT_TRANSFER,LATERAL_MOVEMENT,app/src/main/assets/metadata/canonical_v1,2,,,ADD,
DIRECT_TRANSFER,LUNGE_REACH,app/src/main/assets/metadata/canonical_v1,1,런지 리치,Lunge reach,RETAIN,
DIRECT_TRANSFER,NONE,app/src/main/assets/metadata/canonical_v1,0,없음,None,RETAINED_SEARCH_ONLY,
DIRECT_TRANSFER,OVERHEAD_POWER,app/src/main/assets/metadata/canonical_v1,1,머리 위 파워,Overhead power,RETAIN,
DIRECT_TRANSFER,REACTION,app/src/main/assets/metadata/canonical_v1,1,반응,Reaction,RETAIN,
DIRECT_TRANSFER,ROTATION_POWER,app/src/main/assets/metadata/canonical_v1,1,회전 파워,Rotation power,RETAIN,
DIRECT_TRANSFER,SHOULDER_CARE,app/src/main/assets/metadata/canonical_v1,1,어깨 관리,Shoulder care,RETAIN,
EQUIPMENT,AGILITY_LADDER,app/src/main/assets/metadata/canonical_v1/equipment_relations.csv,1,,,ADD,CommonUi.kt|RuntimeMetadataExerciseEditorDialog.kt
EQUIPMENT,AUDIO_CUE_DEVICE,app/src/main/assets/metadata/canonical_v1/equipment_relations.csv,1,,,ADD,CommonUi.kt|RuntimeMetadataExerciseEditorDialog.kt
EQUIPMENT,BADMINTON_RACKET,app/src/main/assets/metadata/canonical_v1/equipment_relations.csv,3,,,ADD,CommonUi.kt|RuntimeMetadataExerciseEditorDialog.kt
EQUIPMENT,BAND,app/src/main/assets/metadata/canonical_v1/equipment_relations.csv,19,,,ADD,CommonUi.kt|RuntimeMetadataExerciseEditorDialog.kt
