resourceKey,korean,english,scope,sourcePath,sourceLineOrSymbol,classification,status,placeholderSignature,pluralRequired,notes
analysis_guide_tissue_body,관절·건·인대 등의 부하가 평소 기록과 비교해 어느 위치에 있는지 상대적인 추세로 확인합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_tissue_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_tissue_title,연결조직 분석,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_tissue_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
analysis_guide_title,분석 결과 읽는 법,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,analysis_guide_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_badminton_body,경기·레슨·풋워크·기술훈련의 운동량과 훈련 목적을 구분합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_badminton_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_badminton_title,배드민턴 훈련을 분석합니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_badminton_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_fatigue_body,"무거운 힘, 전신, 특정 근육, 빠른 동작, 반응성 동작의 피로를 따로 봅니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_fatigue_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_fatigue_title,피로를 다섯 가지로 구분합니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_fatigue_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_muscles_body,현재 어떤 근육의 피로가 상대적으로 많이 남아 있는지 확인합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_muscles_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_muscles_title,피로한 근육을 보여줍니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_muscles_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_program_body,"가능한 요일과 시간, 필수 운동과 제외 운동을 바탕으로 계획을 구성합니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_program_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_program_title,운동 프로그램 초안을 만듭니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_program_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_strength_body,중량운동과 풀업·푸시업·플랭크를 각 운동 특성에 맞게 계산합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_strength_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_strength_title,근력운동량을 계산합니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_strength_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_tissue_body,관절·건·인대 등에 남아 있을 운동 부하의 상대적 추세를 보여줍니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_tissue_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_feature_tissue_title,연결조직의 부하를 따로 봅니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_feature_tissue_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_features_title,이 앱이 분석하는 것,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_features_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_hero_title,운동 기록을 분석과 계획으로,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_hero_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_intro,"WhatYouGottaDo는 근력운동과 배드민턴 기록을 바탕으로, 현재 피로와 훈련의 균형을 분석하고 다음 운동 계획을 돕습니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_intro,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_limitation_primary,앱의 점수는 부상확률이나 조직 손상량이 아닙니다. 내 기록 안에서 피로와 부하가 어떻게 변하는지 확인하기 위한 상대적 지표입니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_limitation_primary,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_limitation_secondary,통증이나 불안정감 같은 실제 증상을 앱 점수보다 우선하세요.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_limitation_secondary,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_limitation_title,점수는 진단이 아닙니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_limitation_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_explanation_title,앱 설명,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_explanation_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
app_name,WhatYouGottaTrain,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,app_name,PRODUCTION_UI,APPROVED_LOCALE_INVARIANT,,NO,
calculation_principles_families_title,공개하는 주요 프로토콜,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_families_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_intro,이 앱은 운동 기록을 비교 가능한 형태로 바꾸기 위해 여러 계산 프로토콜을 사용합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_intro,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_medical_body,"피로 점수와 연결조직 점수는 진단, 부상확률, 조직 손상량, 정확한 회복 완료 시각을 뜻하지 않습니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_medical_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_medical_title,의학적 정확성을 주장하지 않습니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_medical_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_open_description,계산 원리와 한계 설명 열기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_open_description,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_open_label,계산 원리와 한계 보기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_open_label,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_research_body,"일부 계산은 연구에서 직접 확인된 내용을 사용하고, 일부는 관련 연구와 운동 특성을 바탕으로 실용적으로 정한 제품 정책과 휴리스틱을 사용합니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_research_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_research_title,연구와 제품 정책을 함께 사용합니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_research_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_title,계산 원리와 한계,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_transparency_body,"현재 적용 중인 계산식, 근거 수준, 구현 상태와 알려진 한계를 공개 프로토콜 문서에서 확인할 수 있습니다.",,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_transparency_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
calculation_principles_transparency_title,계산 방법과 한계를 공개합니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,calculation_principles_transparency_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
close,닫기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,close,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
home_app_explanation_description,이 앱이 분석하는 내용 설명 열기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,home_app_explanation_description,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
home_app_explanation_label,이 앱이 분석하는 것 보기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,home_app_explanation_label,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
metadata_apply,적용,Apply,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_apply,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_boolean_false,아니요,No,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_boolean_false,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_boolean_true,예,Yes,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_boolean_true,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_cancel,취소,Cancel,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_cancel,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_clear_all,모두 해제,Clear all,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_clear_all,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_collapse,접기,Collapse,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_collapse,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_duration_seconds,%1$s초,%1$s sec,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_duration_seconds,PRODUCTION_UI,APPROVED_ENGLISH,%1$s,NO,Existing reviewed English reused
metadata_expand,펼치기,Expand,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_expand,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_more_count,그 외 %1$d개,%1$d more,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_more_count,PRODUCTION_UI,APPROVED_ENGLISH,%1$d,NO,Existing reviewed English reused
metadata_not_selected,선택 안 함,Not selected,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_not_selected,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_search,검색,Search,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_search,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
metadata_unknown_value,등록되지 않은 값,Unregistered value,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,metadata_unknown_value,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
navigation_back,뒤로 가기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,navigation_back,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
product_name,WhatYouGottaDo,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,product_name,PRODUCTION_UI,APPROVED_LOCALE_INVARIANT,,NO,
profile_habitual_training_intensity,평소 운동 강도,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,profile_habitual_training_intensity,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
profile_habitual_training_intensity_hard,강한 편,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,profile_habitual_training_intensity_hard,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
profile_habitual_training_intensity_light,가벼운 편,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,profile_habitual_training_intensity_light,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
profile_habitual_training_intensity_normal,보통,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,profile_habitual_training_intensity_normal,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
program_notice_adjacent_lower_fatigue_reduced,연속 하체 피로가 몰리지 않도록 일부 운동을 재배치했습니다.,Some exercises were rearranged to avoid consecutive lower-body fatigue.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_adjacent_lower_fatigue_reduced,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_automatic_quality_adjustment,운동 구성의 품질을 자동으로 보정했습니다.,The exercise composition was adjusted automatically.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_automatic_quality_adjustment,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_excluded_exercises_applied,other=지정한 제외 운동 %1$d개를 프로그램에서 제외했습니다.,one=%1$d selected exercise was excluded from the program.|other=%1$d selected exercises were excluded from the program.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_excluded_exercises_applied,PRODUCTION_UI,APPROVED_ENGLISH,%1$d,YES,Existing reviewed English reused
program_notice_foundation_balance_restored,근력운동과 배드민턴 전이훈련의 균형을 보정했습니다.,The balance between strength work and badminton transfer training was adjusted.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_foundation_balance_restored,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_info_description,구성 정보,Program information,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_info_description,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_main_exercise_priority_restored,근력 메인 운동이 보조 운동에 밀리지 않도록 구성을 보정했습니다.,The plan was adjusted so support work does not displace the main strength exercise.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_main_exercise_priority_restored,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_preferred_exercises_included,선호 운동 %1$d개 중 %2$d개를 프로그램에 포함했습니다.,%2$d of %1$d preferred exercises were included in the program.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_preferred_exercises_included,PRODUCTION_UI,APPROVED_ENGLISH,%1$d|%2$d,NO,Existing reviewed English reused
program_notice_repeated_core_pattern_replaced,반복되는 코어 패턴을 다른 안정성 운동으로 조정했습니다.,A repeated core pattern was replaced with another stability exercise.,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_repeated_core_pattern_replaced,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_rule_table_structure_created,"메인 운동, 근력 보조, 배드민턴 전이 보조를 목적에 맞게 배치했습니다.","Main exercises, strength support, and badminton transfer work were arranged for the goal.",ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_rule_table_structure_created,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_success_description,자동 조정 완료,Automatic adjustment completed,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_success_description,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_notice_warning_description,확인 필요,Needs attention,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_notice_warning_description,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
program_result_heading,프로그램 구성 결과,Program result,ANDROID_RESOURCE,app/src/main/res/values/program_metadata_strings.xml,program_result_heading,PRODUCTION_UI,APPROVED_ENGLISH,,NO,Existing reviewed English reused
protocol_family_badminton,배드민턴 훈련 분류와 운동량,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_badminton,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
protocol_family_connective_tissue,연결조직 부하와 회복 추정,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_connective_tissue,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
protocol_family_fatigue_axes,다섯 가지 피로 축 계산,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_fatigue_axes,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
protocol_family_overall_fatigue,전체 피로 상태 계산,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_overall_fatigue,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
protocol_family_program_builder,자동 프로그램 생성 규칙,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_program_builder,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
protocol_family_strength,근력운동 분류와 운동량,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,protocol_family_strength,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
public_protocol_action,공개 프로토콜 문서 보기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,public_protocol_action,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
public_protocol_action_description,브라우저에서 공개 프로토콜 문서 열기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,public_protocol_action_description,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
public_protocol_browser_unavailable,브라우저를 열 수 없습니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,public_protocol_browser_unavailable,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_back,뒤로,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_back,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_cancel,취소,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_cancel,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_close,닫기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_close,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_confirm,복원 시작,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_confirm,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_custom_definition_warning,같은 사용자 운동 %1$d개의 이름과 설정이 백업 정의로 교체됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_custom_definition_warning,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_exercise_apply,백업의 활성 운동 목록 적용,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_exercise_apply,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_exercise_list_impact,백업에 포함된 운동 %1$d개 · 교체될 메타데이터 편집 %2$d개,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_exercise_list_impact,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d|%2$d,NO,
restore_exercise_list_title,활성 운동 목록을 어떻게 처리할까요?,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_exercise_list_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_exercise_preserve,현재 활성 운동 목록 유지,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_exercise_preserve,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_failed_title,복원할 수 없습니다,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_failed_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_final_exercises_deactivated,현재 활성 운동 %1$d개가 비활성화됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_final_exercises_deactivated,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_final_out_of_scope_source_preserved,교체 범위 밖의 같은 source 기록 차이 %1$d개는 현재 상태로 보존됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_final_out_of_scope_source_preserved,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_final_references_retained,기록 또는 프로그램이 참조하는 운동 %1$d개는 조회를 위해 보존됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_final_references_retained,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_final_title,복원 내용을 최종 확인하세요,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_final_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_final_workout_overlap,겹치는 운동일 %1$d일에 선택한 기록 방식을 적용합니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_final_workout_overlap,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_malformed_backup,백업 파일의 구조나 필수 정보가 올바르지 않아 복원할 수 없습니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_malformed_backup,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_metadata_reset_warning,현재 메타데이터 편집 %1$d개가 백업 상태로 초기화됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_metadata_reset_warning,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_progress_body,백업 내용을 확인하고 있습니다. 잠시만 기다려 주세요.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_progress_body,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_progress_title,복원 준비 중,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_progress_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_same_source_divergence_note,같은 source의 내용 차이 %1$d개는 선택한 운동 기록 방식에 따라 처리됩니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_same_source_divergence_note,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d,NO,
restore_stale_preflight,복원 확인 후 현재 데이터가 변경되었습니다. 백업을 다시 선택해 검토해 주세요.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_stale_preflight,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_workout_append,현재 기록을 유지하고 백업 기록 추가,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_workout_append,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_workout_overlap_impact,겹치는 날짜 %1$d일 · 현재 기록 %2$d개 · 백업 기록 %3$d개,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_workout_overlap_impact,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$d|%2$d|%3$d,NO,
restore_workout_overlap_title,겹치는 운동일을 어떻게 처리할까요?,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_workout_overlap_title,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
restore_workout_replace,겹치는 날짜의 운동 기록 교체,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,restore_workout_replace,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
tissue_analysis_action,연결조직 분석 보기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_action,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
tissue_analysis_calculating,연결조직 상태를 계산하고 있습니다.,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_calculating,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
tissue_analysis_collapse,접기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_collapse,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
tissue_analysis_contributing_exercises,기여 운동: %1$s,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_contributing_exercises,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$s,NO,
tissue_analysis_current_status,현재 연결조직 상태: %1$s,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_current_status,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,%1$s,NO,
tissue_analysis_expand_children,하위 조직 보기,,ANDROID_RESOURCE,app/src/main/res/values/strings.xml,tissue_analysis_expand_children,PRODUCTION_UI,MISSING_APPROVED_ENGLISH,,NO,
