stableKey,korean,english,source,status
ex_91d8430b,30초 반복 스매시 테스트,30-Second Repeated Smash Test,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_bc84eb7f,6방향 랜덤 콕줍기,6-Direction Random Shuttle Pickup,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_33841b88,6코너 풋워크,6-Corner Footwork,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_c7977dfd,6코너 풋워크 최대반복 테스트,6-Corner Footwork Max-Rep Test,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a12de111,A스킵,A-Skip,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a12de4d2,B스킵,B-Skip,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ez_bar_lying_triceps_extension,EZ바 라잉 트라이셉스 익스텐션,EZ-Bar Lying Triceps Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ez_bar_reverse_curl,EZ바 리버스 컬,EZ-Bar Reverse Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ez_bar_spider_curl,EZ바 스파이더 컬,EZ-Bar Spider Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_8633d8db,EZ바 컬,EZ-Bar Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ez_bar_preacher_curl,EZ바 프리처 컬,EZ-Bar Preacher Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_644e0f9d,V업,V-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_8e4bf08e,Yates Row,Yates Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_216351a1,가벼운 콕줍기,Light Shuttle Pickup,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_74c2d13b,계단 오르기,Stair Climbing,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_389920ab,글루트 브릿지,Glute Bridge,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_e4f911bb,네거티브 풀업,Negative Pull-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_1cf51b6b,노르딕 햄스트링 컬,Nordic Hamstring Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_1a4858d7,농구,Basketball,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_debf6a8b,다이아몬드 푸시업,Diamond Push-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,Dumbbell Goblet Squat,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,Dumbbell Lying Triceps Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_93538692,덤벨 래터럴 레이즈,Dumbbell Lateral Raise,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,Dumbbell Reverse Wrist Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_72f11dc5,덤벨 리스트 익스텐션,Dumbbell Wrist Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_95028bfe,덤벨 리스트 컬,Dumbbell Wrist Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,Dumbbell Rear Delt Fly,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_3a7d3eda,덤벨 벤치프레스,Dumbbell Bench Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_79f3bdbe,덤벨 숄더프레스,Dumbbell Shoulder Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
standing_dumbbell_calf_raise,덤벨 스탠딩 카프 레이즈,Standing Dumbbell Calf Raise,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_704cbf1a,덤벨 스텝업,Dumbbell Step-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_spider_curl,덤벨 스파이더 컬,Dumbbell Spider Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,Dumbbell Overhead Triceps Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_woodchop,덤벨 우드찹,Dumbbell Woodchop,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,Dumbbell Single-Leg Romanian Deadlift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,Dumbbell Chest-Supported Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_281347da,덤벨 컬,Dumbbell Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_da56a4fe,덤벨 킥백,Dumbbell Kickback,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_farmer_carry,덤벨 파머스 캐리,Dumbbell Farmer's Carry,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_708e64ce,덤벨 풀오버,Dumbbell Pullover,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_f6703b06,덤벨 프로네이션/수피네이션,Dumbbell Pronation / Supination,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_preacher_curl,덤벨 프리처 컬,Dumbbell Preacher Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
barbell_deadlift,데드리프트,Barbell Deadlift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d5bdffe1,데드버그,Dead Bug,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d6726746,드롭 점프,Drop Jump,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_bb4b4276,등받이 없는 덤벨 시티드 숄더프레스,Unsupported Seated Dumbbell Shoulder Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_fb67af37,디클라인 푸시업,Decline Push-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_6463edad,딥스,Dips,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a3ddd8ac,라인 홉,Line Hop,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_b4b198de,래터럴 런지,Lateral Lunge,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
lateral_bound_continuous,래터럴 바운드,Lateral Bound,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_34e7d21,래터럴 바운드 투 스틱,Lateral Bound to Stick,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_69a56484,래터럴 스텝다운,Lateral Step-Down,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_64422511,랜덤 방향전환 드릴,Random Change-of-Direction Drill,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_c5f4c242,랜덤 비프 풋워크,Random Beep Footwork,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_1c7f2342,랜덤 풋워크,Random Footwork,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
landmine_anti_rotation,랜드마인 안티로테이션,Landmine Anti-Rotation,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
landmine_rotation,랜드마인 좌우 회전,Landmine Side-to-Side Rotation,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_dc9e5953,랫풀다운,Lat Pulldown,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_681d9ed2,러닝,Running,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_aca9d312,러닝 풋살,Running Futsal,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_64644b5e,런지,Lunge,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_b78a8f95,레그 익스텐션,Leg Extension,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_2822ec2e,레그 컬,Leg Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_ab468462,레그 프레스,Leg Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d7c90536,로잉머신,Rowing Machine,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_c1a81cb2,로프 해머 컬,Rope Hammer Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,Dumbbell Romanian Deadlift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
barbell_romanian_deadlift,루마니안 바벨 데드리프트,Barbell Romanian Deadlift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_70f19bf,리닝 래터럴 레이즈,Leaning Lateral Raise,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_8a3800f1,리버스 노르딕 컬,Reverse Nordic Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_c8bcf3ce,리버스 런지,Reverse Lunge,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_7deabeba,리어델트 케이블 플라이,Rear Delt Cable Fly,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_4773b6ea,린단 참고 트랙 스프린트,Lin Dan-Inspired Track Sprint,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_5004ca76,린단 참고 페이스 체인지 풋워크,Lin Dan-Inspired Pace-Change Footwork,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_282a9d87,링 로우,Ring Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_a9b52886,마운틴 클라이머,Mountain Climber,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_cb3c4dc2,맨몸 스쿼트,Bodyweight Squat,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
standing_bodyweight_calf_raise,맨몸 스탠딩 카프 레이즈,Bodyweight Standing Calf Raise,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_4aa3725a,머신 숄더프레스,Machine Shoulder Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_1dbee10e,머신 체스트프레스,Machine Chest Press,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_752b45ae,멀티셔틀 풋워크,Multi-Shuttle Footwork,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_f459ad2a,메도우즈 로우,Meadows Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
medicine_ball_three_step_acceleration_throw,메디신볼 3스텝 가속 던지기,Medicine Ball 3-Step Acceleration Throw,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
medicine_ball_three_step_deceleration_throw,메디신볼 3스텝 감속 던지기,Medicine Ball 3-Step Deceleration Throw,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
med_ball_rotational_scoop_toss,메디신볼 로테이셔널 스쿱 토스,Medicine Ball Rotational Scoop Toss,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
med_ball_overhead_slam,메디신볼 위에서 아래로 슬램,Medicine Ball Overhead Slam,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
med_ball_chest_pass,메디신볼 체스트 패스,Medicine Ball Chest Pass,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
med_ball_rotational_slam,메디신볼 회전 아래로 슬램,Medicine Ball Rotational Slam,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
medicine_ball_rotational_throw,메디신볼 회전 옆으로 던지기,Medicine Ball Rotational Side Throw,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_16b298db,미니밴드 사이드워크,Mini-Band Lateral Walk,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_de46b7f6,바벨 로우,Barbell Row,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,Barbell Reverse Wrist Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
barbell_reverse_curl,바벨 리버스 컬,Barbell Reverse Curl,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
vipr_rotational_press_out,바이퍼 로테이셔널 프레스아웃,ViPR Rotational Press-Out,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
vipr_step_and_rotate,바이퍼 스텝 앤 로테이트,ViPR Step and Rotate,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
vipr_chop,바이퍼 회전 아래로,ViPR Rotational Chop,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
vipr_rotational_lift,바이퍼 회전 위로,ViPR Rotational Lift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_6232f4bc,박스 스텝업,Box Step-Up,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_d9e141e4,박스 점프,Box Jump,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_149730de,발목/고관절 가동성,Ankle / Hip Mobility,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_ae9ecdbc,배드민턴,Badminton,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_badminton_lesson,배드민턴 레슨,Badminton Lesson,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
band_lift,밴드 리프트,Band Lift,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
ex_e8ff8cfa,밴드 외회전,Band External Rotation,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
band_woodchop,밴드 우드찹,Band Woodchop,docs/metadata_authority/WhatYouGottaDo_KO_EN_Localization_Authority_v2_FULL_APPROVED_2026-08-09.xlsx,LOCALIZED_BY_STABLE_KEY
