schema_version,row_type,program_key,program_name,duration_days,week_number,day_of_week,order_index,exercise_name,category,detail1,detail2,mode,description,family_id,family_name,family_role,family_e1rm_multiplier,default_rest_seconds,rest_seconds,prescription,set_count,reps,weight_kg,seconds,stable_key,source,movement_pattern,movement_category,primary_muscles,secondary_muscles,equipment_tags,force_type,body_region,laterality,joint_emphasis,scapular_demand,hip_demand,plane,is_unilateral,metadata_updated_at
3,exercise,,,,,,,덤벨 리스트 컬,근력운동,손목굴곡근/전완근,그립,"덤벨, 무게*횟수",전완을 고정하고 손목만 접어 올린다. 손목과 그립 지구력을 보강하되 통증이 있으면 중량을 낮춘다.,,,,1,45,,,,,,,ex_95028bfe,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,손목굴곡근/전완근,그립,덤벨,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 벤치프레스,근력운동,대흉근,삼두근/전면삼각근,"덤벨, 무게*횟수",양손 덤벨을 가슴 옆까지 낮춘 뒤 위로 민다. 로니 콜먼식 고중량 덤벨 프레스 계열의 기본형이다.,bench_press,벤치프레스,덤벨 벤치프레스 보정,1.22,90,,,,,,,ex_3a7d3eda,BUILT_IN,PUSH_HORIZONTAL|CHEST_STRENGTH,STRENGTH,대흉근,삼두근/전면삼각근,덤벨|벤치,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_CONTROL_LIGHT,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,덤벨 숄더프레스,근력운동,전면삼각근/측면삼각근,삼두근/코어,"덤벨, 무게*횟수",덤벨을 어깨 높이에서 머리 위로 밀어 올린다. 바벨보다 어깨 각도를 조절하기 쉬운 기본 어깨 프레스다.,vertical_press,수직 프레스,덤벨/머신 프레스 보정,1.08,90,,,,,,,ex_79f3bdbe,BUILT_IN,PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION,STRENGTH,전면삼각근/측면삼각근,삼두근/코어,덤벨,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_UPWARD_ROTATION|ROTATOR_CUFF_SUPPORT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 스텝업,근력운동,둔근/대퇴사두근,햄스트링/종아리/코어,"박스/덤벨, 무게*횟수",박스 위로 한 발씩 올라서며 완전히 펴고 내려온다. 코트 전진 동작과 한발 추진력을 보강한다.,,,,1,75,,,,,,,ex_704cbf1a,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,둔근/대퇴사두근,햄스트링/종아리/코어,덤벨|박스/스텝박스,LOWER_BODY,LOWER,ALTERNATING,HIP|KNEE,,PELVIC_STABILITY,SAGITTAL,1,1781278881407
3,exercise,,,,,,,덤벨 컬,근력운동,이두근,전완근,"덤벨, 무게*횟수","덤벨 컬: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 이두근이고, 전완근이 흔들리지 않게 보조한다.",,,,1,60,,,,,,,ex_281347da,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,이두근,전완근,덤벨,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 킥백,근력운동,삼두근,후면삼각근/코어,"덤벨, 무게*횟수",상체를 숙이고 팔꿈치를 몸 옆에 고정한 뒤 팔을 뒤로 편다. 가볍게 끝 범위 수축을 확인한다.,,,,1,60,,,,,,,ex_da56a4fe,BUILT_IN,ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY,ACCESSORY,삼두근,후면삼각근/코어,덤벨,ISOLATION,UPPER,BILATERAL,ELBOW|SHOULDER,SHOULDER_STABILITY_LIGHT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 풀오버,근력운동,광배근/대흉근,전거근/코어,"덤벨, 무게*횟수",벤치에 누워 덤벨을 머리 뒤로 내렸다가 가슴 위로 끌어온다. 고전 보디빌딩의 흉곽/등 보조 운동이다.,,,,1,75,,,,,,,ex_708e64ce,BUILT_IN,SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL|CHEST_LAT_ACCESSORY,ACCESSORY,광배근/대흉근,전거근/코어,덤벨,PULL,UPPER,BILATERAL,SHOULDER,SCAPULAR_DEPRESSION,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,덤벨 프로네이션/수피네이션,근력운동,회내근/회외근/전완근,그립,"덤벨 한쪽 잡기, 횟수",덤벨 끝을 잡고 손바닥을 안팎으로 천천히 회전한다. 라켓 회전 제어와 전완 내구성 보강용이다.,,,,1,45,,,,,,,ex_f6703b06,BUILT_IN,WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT|FOREARM_ROTATION,ACCESSORY,회내근/회외근/전완근,그립,덤벨,ISOLATION,UPPER,BILATERAL,WRIST,,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,데드리프트,근력운동,햄스트링/둔근/척추기립근,광배근/코어,"바벨, 무게*횟수","데드리프트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 햄스트링/둔근/척추기립근이고, 광배근/코어이 흔들리지 않게 보조한다.",deadlift,데드리프트,데드리프트 계열,1,150,,,,,,,barbell_deadlift,BUILT_IN,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH,STRENGTH,햄스트링/둔근/척추기립근,광배근/코어,바벨,HINGE,LOWER,BILATERAL,HIP|SPINE,,HIP_EXTENSION,SAGITTAL,0,1781278881407
3,exercise,,,,,,,등받이 없는 덤벨 시티드 숄더프레스,근력운동,전면삼각근/측면삼각근,삼두근/코어/견갑안정근,"덤벨, 무게*횟수","등받이 없는 덤벨 시티드 숄더프레스: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 전면삼각근/측면삼각근이고, 삼두근/코어/견갑안정근이 흔들리지 않게 보조한다.",vertical_press,수직 프레스,덤벨/머신 프레스 보정,1.08,90,,,,,,,ex_bb4b4276,BUILT_IN,PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION,STRENGTH,전면삼각근/측면삼각근,삼두근/코어/견갑안정근,덤벨,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_UPWARD_ROTATION|ROTATOR_CUFF_SUPPORT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,디클라인 푸시업,근력운동,상부대흉근/전면삼각근,삼두근/코어,"맨몸, 횟수",발을 높은 곳에 올리고 푸시업을 한다. 몸통을 곧게 유지하며 어깨가 으쓱하지 않게 밀어낸다.,,,,1,60,,,,,,,ex_fb67af37,BUILT_IN,PUSH_HORIZONTAL|CHEST_STRENGTH,STRENGTH,상부대흉근/전면삼각근,삼두근/코어,콘/마커|맨몸,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_CONTROL_LIGHT,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,딥스,근력운동,대흉근/삼두근,전면삼각근/코어,"평행봉, 횟수 또는 중량",몸을 약간 앞으로 기울여 내려갔다가 밀어 올린다. 고전 보디빌딩 루틴에서 가슴과 삼두 보강에 자주 쓰인다.,,,,1,90,,,,,,,ex_6463edad,BUILT_IN,PUSH_VERTICAL_SUPPORT|CHEST_TRICEPS_STRENGTH,STRENGTH,대흉근/삼두근,전면삼각근/코어,평행봉,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_CONTROL_LIGHT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,라잉 트라이셉스 익스텐션,근력운동,삼두근 장두,전완근/어깨안정근,"EZ바 또는 덤벨, 무게*횟수",누운 상태에서 팔꿈치를 굽혀 이마 뒤쪽으로 내렸다가 편다. 팔꿈치가 벌어지지 않게 통제한다.,,,,1,75,,,,,,,ex_d20b7487,BUILT_IN,ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY,ACCESSORY,삼두근 장두,전완근/어깨안정근,EZ바|덤벨,ISOLATION,UPPER,BILATERAL,ELBOW|SHOULDER,SHOULDER_STABILITY_LIGHT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,래터럴 런지,근력운동,내전근/둔근/대퇴사두근,햄스트링/코어,"덤벨 또는 맨몸, 무게*횟수",옆으로 크게 디뎌 한쪽 다리를 접고 반대쪽은 길게 편다. 사이드 스텝과 측면 감속 능력 보강에 좋다.,,,,1,75,,,,,,,ex_b4b198de,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER|FRONTAL_PLANE_LOWER|ADDUCTOR_GLUTE_SUPPORT,STRENGTH,내전근/둔근/대퇴사두근,햄스트링/코어,덤벨|맨몸,LOWER_BODY,LOWER,ALTERNATING,HIP|KNEE,,PELVIC_STABILITY,FRONTAL,1,1781278881407
3,exercise,,,,,,,랫풀다운,근력운동,광배근,이두근/하부승모근,"케이블 머신, 무게*횟수","랫풀다운: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 광배근이고, 이두근/하부승모근이 흔들리지 않게 보조한다.",,,,1,90,,,,,,,ex_dc9e5953,BUILT_IN,PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL,STRENGTH,광배근,이두근/하부승모근,케이블|머신,PULL,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_DEPRESSION|SCAPULAR_RETRACTION,,FRONTAL,0,1781278881407
3,exercise,,,,,,,런지,근력운동,대퇴사두근/둔근,햄스트링/코어,"덤벨 또는 맨몸, 무게*횟수","런지: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대퇴사두근/둔근이고, 햄스트링/코어이 흔들리지 않게 보조한다.",,,,1,90,,,,,,,ex_64644b5e,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER,STRENGTH,대퇴사두근/둔근,햄스트링/코어,덤벨|맨몸,LOWER_BODY,LOWER,ALTERNATING,HIP|KNEE,,PELVIC_STABILITY,SAGITTAL,1,1781278881407
3,exercise,,,,,,,레그 익스텐션,근력운동,대퇴사두근,무릎안정근,"머신, 무게*횟수",무릎을 펴 대퇴사두근을 수축한다. 스쿼트 후 대퇴사두근 볼륨을 더할 때 가볍게 통제한다.,,,,1,60,,,,,,,ex_b78a8f95,BUILT_IN,KNEE_EXTENSION|QUAD_ISOLATION,ACCESSORY,대퇴사두근,무릎안정근,레그익스텐션 머신,ISOLATION,LOWER,BILATERAL,KNEE,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,레그 컬,근력운동,햄스트링,종아리/무릎안정근,"머신, 무게*횟수",머신에서 무릎을 굽혀 햄스트링을 수축한다. 하체 후면 볼륨과 무릎 안정성 보완에 좋다.,,,,1,60,,,,,,,ex_2822ec2e,BUILT_IN,KNEE_FLEXION|HAMSTRING_STRENGTH,ACCESSORY,햄스트링,종아리/무릎안정근,레그컬 머신,ISOLATION,LOWER,BILATERAL,KNEE,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,레그 프레스,근력운동,대퇴사두근/둔근,햄스트링,"머신, 무게*횟수","레그 프레스: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대퇴사두근/둔근이고, 햄스트링이 흔들리지 않게 보조한다.",,,,1,120,,,,,,,ex_ab468462,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH,STRENGTH,대퇴사두근/둔근,햄스트링,레그프레스 머신,LOWER_BODY,LOWER,BILATERAL,HIP|KNEE,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,로프 해머 컬,근력운동,상완요골근/상완근,이두근/전완근,"케이블 로프, 무게*횟수",로프를 잡고 엄지가 위를 향한 채 컬한다. 케이블 장력으로 팔꿈치 굴곡을 일정하게 기록한다.,,,,1,60,,,,,,,ex_c1a81cb2,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS,ACCESSORY,상완요골근/상완근,이두근/전완근,케이블,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,루마니안 데드리프트,근력운동,햄스트링/둔근,척추기립근/코어,"바벨 또는 덤벨, 무게*횟수","루마니안 데드리프트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 햄스트링/둔근이고, 척추기립근/코어이 흔들리지 않게 보조한다.",deadlift,데드리프트,루마니안 데드리프트 보정,1.18,120,,,,,,,ex_d2bb7946,BUILT_IN,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH,STRENGTH,햄스트링/둔근,척추기립근/코어,바벨|덤벨,HINGE,LOWER,BILATERAL,HIP|SPINE,,HIP_EXTENSION,SAGITTAL,0,1781278881407
3,exercise,,,,,,,리닝 래터럴 레이즈,근력운동,측면삼각근,상부승모근/회전근개,"덤벨, 무게*횟수",기둥이나 랙을 잡고 몸을 기울인 상태에서 팔을 옆으로 든다. 측면삼각근의 긴 범위를 천천히 쓴다.,,,,1,60,,,,,,,ex_70f19bf,BUILT_IN,SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY|UNILATERAL_UPPER,ACCESSORY,측면삼각근,상부승모근/회전근개,덤벨,ISOLATION,UPPER,UNILATERAL,SHOULDER,SCAPULAR_CONTROL_LIGHT,,FRONTAL,1,1781278881407
3,exercise,,,,,,,리버스 노르딕 컬,근력운동,대퇴사두근/고관절굴곡근,코어,"맨몸, 횟수",무릎을 대고 몸을 뒤로 천천히 젖혔다 돌아온다. 앞쪽 허벅지와 고관절 앞쪽을 통제된 범위에서 강화한다.,,,,1,75,,,,,,,ex_8a3800f1,BUILT_IN,KNEE_FLEXION|HAMSTRING_STRENGTH|ECCENTRIC_HAMSTRING|DECELERATION_SUPPORT,SUPPORT,대퇴사두근/고관절굴곡근,코어,맨몸,ECCENTRIC,LOWER,BILATERAL,KNEE,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,리버스 런지,근력운동,둔근/대퇴사두근,햄스트링/코어,"덤벨 또는 맨몸, 무게*횟수",뒤로 한 발 빼며 내려갔다가 앞발로 밀어 돌아온다. 무릎 부담을 줄이면서 한발 감속과 둔근 사용을 연습한다.,,,,1,90,,,,,,,ex_c8bcf3ce,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER,STRENGTH,둔근/대퇴사두근,햄스트링/코어,덤벨|맨몸,LOWER_BODY,LOWER,ALTERNATING,HIP|KNEE,,PELVIC_STABILITY,SAGITTAL,1,1781278881407
3,exercise,,,,,,,리버스 리스트 컬,근력운동,손목신전근/전완근,그립,"덤벨 또는 바벨, 무게*횟수",손등이 위를 향한 상태에서 손목을 들어 올린다. 손목 굴곡 운동과 균형을 맞춰 전완을 보강한다.,,,,1,45,,,,,,,ex_8e18b02a,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,손목신전근/전완근,그립,바벨|덤벨,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,리버스 컬,근력운동,상완요골근/전완근,이두근,"바벨 또는 EZ바, 무게*횟수",손등이 위를 향하게 잡고 컬을 수행한다. 라켓 스포츠에 필요한 전완 버티는 힘을 보강한다.,,,,1,60,,,,,,,ex_dd2f732e,BUILT_IN,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS,ACCESSORY,상완요골근/전완근,이두근,EZ바|바벨,ISOLATION,UPPER,BILATERAL,ELBOW|WRIST,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,리어델트 케이블 플라이,근력운동,후면삼각근,능형근/회전근개,"케이블, 무게*횟수",양쪽 케이블을 잡고 팔을 뒤로 벌린다. 허리 반동 없이 어깨 뒤쪽으로 움직임을 마무리한다.,,,,1,60,,,,,,,ex_7deabeba,BUILT_IN,SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION,ACCESSORY,후면삼각근,능형근/회전근개,케이블,PULL,UPPER,BILATERAL,SHOULDER,SCAPULAR_RETRACTION|ROTATOR_CUFF_SUPPORT,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,리어델트 플라이,근력운동,후면삼각근,능형근/회전근개,"덤벨 또는 케이블, 무게*횟수",팔을 벌려 후면삼각근을 수축한다. 어깨 뒤쪽 볼륨과 견갑 안정성을 보완한다.,,,,1,60,,,,,,,ex_7176cbee,BUILT_IN,SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION,ACCESSORY,후면삼각근,능형근/회전근개,덤벨|케이블,PULL,UPPER,BILATERAL,SHOULDER,SCAPULAR_RETRACTION|ROTATOR_CUFF_SUPPORT,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,리어풋 엘리베이티드 스플릿 스쿼트,근력운동,대퇴사두근/둔근,햄스트링/내전근/코어,"벤치/덤벨, 무게*횟수",뒷발을 벤치에 올리고 앞다리 중심으로 내려간다. 불가리안 스플릿 스쿼트와 같은 패턴의 보디빌딩 하체 운동이다.,squat,스쿼트,스쿼트 계열,1,90,,,,,,,ex_bb728af2,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,대퇴사두근/둔근,햄스트링/내전근/코어,덤벨|벤치,LOWER_BODY,LOWER,ALTERNATING,HIP|KNEE,,PELVIC_STABILITY,SAGITTAL,1,1781278881407
3,exercise,,,,,,,링 로우,근력운동,광배근/능형근,후면삼각근/이두근/코어,"링 또는 스트랩, 횟수",링을 잡고 몸을 당긴다. 손목과 어깨 각도를 자연스럽게 조절할 수 있어 견갑 안정성 확인에 좋다.,row,로우,로우 계열,1,75,,,,,,,ex_282a9d87,BUILT_IN,PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT,STRENGTH,광배근/능형근,후면삼각근/이두근/코어,TRX/링,PULL,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_RETRACTION,,TRANSVERSE,0,1781278881407
3,exercise,,,,,,,마운틴 클라이머,근력운동,코어/고관절굴곡근,어깨안정근/심폐,"맨몸, 시간 또는 횟수",푸시업 자세에서 무릎을 번갈아 당긴다. 몸통 높이를 유지하며 빠른 고관절 반복과 코어 버티기를 기록한다.,,,,1,45,,,,,,,ex_a9b52886,BUILT_IN,FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT,CONDITIONING,코어/고관절굴곡근,어깨안정근/심폐,맨몸,MIXED,WHOLE_BODY,ALTERNATING,SPINE|HIP|SHOULDER,SCAPULAR_CONTROL_LIGHT,,SAGITTAL,1,1781278881407
3,exercise,,,,,,,맨몸 스쿼트,근력운동,대퇴사두근/둔근,햄스트링/코어,"맨몸, 횟수",발바닥 전체로 바닥을 누르며 앉았다 일어난다. 워밍업이나 회복일에 스쿼트 패턴을 확인한다.,squat,스쿼트,스쿼트 계열,1,45,,,,,,,ex_cb3c4dc2,BUILT_IN,KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN,STRENGTH,대퇴사두근/둔근,햄스트링/코어,맨몸,LOWER_BODY,LOWER,BILATERAL,HIP|KNEE,,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,머신 숄더프레스,근력운동,전면삼각근/측면삼각근,삼두근/견갑안정근,"머신, 무게*횟수",등받이에 기대어 어깨 위로 밀어 올린다. 몸통 안정성이 부족한 초보자가 어깨 프레스 힘을 쌓기 좋다.,vertical_press,수직 프레스,덤벨/머신 프레스 보정,1.08,90,,,,,,,ex_4aa3725a,BUILT_IN,PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION,STRENGTH,전면삼각근/측면삼각근,삼두근/견갑안정근,머신,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_UPWARD_ROTATION|ROTATOR_CUFF_SUPPORT,,SAGITTAL,0,1781278881407
3,exercise,,,,,,,머신 체스트프레스,근력운동,대흉근,삼두근/전면삼각근/견갑고정,"머신, 무게*횟수",등과 견갑을 패드에 안정적으로 고정하고 손잡이를 앞으로 민다. 초보자가 가슴 프레스 패턴을 안전하게 익히기 좋다.,,,,1,90,,,,,,,ex_1dbee10e,BUILT_IN,PUSH_HORIZONTAL|CHEST_STRENGTH,STRENGTH,대흉근,삼두근/전면삼각근/견갑고정,머신,PUSH,UPPER,BILATERAL,SHOULDER|ELBOW,SCAPULAR_CONTROL_LIGHT,,TRANSVERSE,0,1781278881407
