"loadUnitStableKey","jointComplexStableKey","displayNameKo","bodyRegion","codContextEligible","eligibilityReason","exclusionReason","policyVersion","reviewStatus"
"lu_27b4a0df1d","jc_ae763d5994","근위 햄스트링건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_a7dd63adb6","jc_ae763d5994","대둔근건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_348ac6b7a6","jc_ae763d5994","중둔근·소둔근건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_36ba10a736","jc_ae763d5994","내전근건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9462525798","jc_ae763d5994","대퇴직근 근위건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_cd23e2d8c0","jc_ae763d5994","장요근건 복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_90281b5483","jc_ae763d5994","대퇴근막장근·장경인대 근위복합체","HIP","true","Reviewed hip unit materially exposed by braking or multiplanar stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_bf3f500760","jc_ad7382e4b2","경골대퇴관절(TFJ)","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9a06d0adb2","jc_4201fb72f3","슬개대퇴관절(PFJ)","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_acc0225b21","jc_ad7382e4b2","무릎 반월상연골 복합체","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_f4005dd228","jc_4201fb72f3","대퇴사두근건","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_d7b54824bb","jc_4201fb72f3","슬개건","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9b1d33a6fa","jc_ad7382e4b2","원위 내측 햄스트링·박근건 복합체","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_6079674d30","jc_ad7382e4b2","원위 대퇴이두근건","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_3d242daa59","jc_ad7382e4b2","전방십자인대(ACL)","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_7d200f36f3","jc_ad7382e4b2","후방십자인대(PCL)","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_ff22c06225","jc_ad7382e4b2","내측측부인대(MCL)","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_97b28d1cec","jc_ad7382e4b2","외측측부인대·후외측 복합체","KNEE","true","Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_6de10a05a1","jc_6326ea19a8","거퇴관절","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_5d174b60fa","jc_6326ea19a8","거골하관절","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_92bcd7c98b","jc_f6f64cf984","중족·전족부 관절 복합체","FOOT","true","Reviewed foot unit materially exposed by redirection and repeated ground contact.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_2d44aafe1e","jc_6326ea19a8","아킬레스건","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_26cb1f9f2c","jc_6326ea19a8","후경골근건","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_df728dc186","jc_6326ea19a8","비골근건 복합체","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_192bb30a2e","jc_6326ea19a8","전경골근건","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_82e419cfd9","jc_f6f64cf984","족저근막 복합체","FOOT","true","Reviewed foot unit materially exposed by redirection and repeated ground contact.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_f86f763ed7","jc_f6f64cf984","발가락 굴곡건 복합체","FOOT","true","Reviewed foot unit materially exposed by redirection and repeated ground contact.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_e7d26ea928","jc_6326ea19a8","전거비인대(ATFL)","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9508964ced","jc_6326ea19a8","종비인대(CFL)","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_709fa6f6bd","jc_6326ea19a8","발목 삼각인대 복합체","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_90b102bfdb","jc_6326ea19a8","원위 경비인대 결합 복합체","ANKLE","true","Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_f959f8aafb","jc_f6f64cf984","리스프랑 인대 복합체","FOOT","true","Reviewed foot unit materially exposed by redirection and repeated ground contact.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_cb820016df","jc_f6f64cf984","중족지 족저판 복합체","FOOT","true","Reviewed foot unit materially exposed by redirection and repeated ground contact.","","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_d5838e52ca","jc_9caf42a031","견관절와상완관절","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_211533cb7a","jc_ffd0b0e192","견봉쇄골관절","SHOULDER_GIRDLE","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_3298f78330","jc_ffd0b0e192","흉쇄관절","SHOULDER_GIRDLE","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_0a858e59a0","jc_ffd0b0e192","견갑흉곽 기능관절","SHOULDER_GIRDLE","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_3e640e59e9","jc_9caf42a031","후상방 회전근개건 복합체","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9244162017","jc_9caf42a031","견갑하근건","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_641c50bab9","jc_9caf42a031","상완이두근 장두건","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_889f90c55d","jc_9caf42a031","대흉근건 복합체","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_4a4649760b","jc_9caf42a031","광배근·대원근건 복합체","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_c8bfbfac3b","jc_9caf42a031","삼각근건 복합체","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9db157ba90","jc_9caf42a031","견관절와상완 관절낭·인대 복합체","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_8df6cfe570","jc_ffd0b0e192","견봉쇄골·오구쇄골 인대 복합체","SHOULDER_GIRDLE","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_9cf6b4fc69","jc_9caf42a031","관절와순","SHOULDER","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_a706efdddb","jc_eadfb381fa","팔꿈치 굴신 관절 복합체","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_c738cc0a37","jc_7ac0533b9d","근위·원위 요척관절 복합체","FOREARM","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_1b115c8b4f","jc_eadfb381fa","원위 상완이두근건","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_63101fe8b2","jc_eadfb381fa","원위 상완삼두근건","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_52a0b0ba44","jc_eadfb381fa","공통 굴곡·회내건 복합체","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_b929d8ffe5","jc_eadfb381fa","공통 신전·회외건 복합체","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_a45742ef7a","jc_eadfb381fa","팔꿈치 내측측부인대 복합체","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_148c6ed411","jc_eadfb381fa","팔꿈치 외측측부인대 복합체","ELBOW","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_e11d5f58a5","jc_7ac0533b9d","요골 환상인대","FOREARM","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_dec56c15d8","jc_6e7ae18e56","요수근·중수근 관절 복합체","WRIST","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_fb7a2d91e6","jc_6e7ae18e56","삼각섬유연골복합체(TFCC)","WRIST","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_bdb58738eb","jc_6e7ae18e56","주상월상·월상삼각 인대 복합체","WRIST","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_8af4d2c3e7","jc_6e7ae18e56","손목 굴곡건 복합체","WRIST","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_0fff8b2ee4","jc_6e7ae18e56","손목 신전건 복합체","WRIST","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_c11995f705","jc_0876f954f2","손가락 굴곡건·활차 복합체","HAND","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_63aa4c5406","jc_0876f954f2","엄지 건 복합체","HAND","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"lu_6573d7bf8a","jc_0876f954f2","손·그립 관절·인대 복합체","HAND","false","","Upper-body load units are outside the approved lower-limb context scope.","RCV-COD-CONTEXT-1.0","USER_APPROVED_LIMITED_CONTEXT_POLICY"
