"canonicalMovementFamily","biomechanicalMovementFamily","applicabilityComplexIds","mappingStatus","mappingBasis","version"
"LATERAL_BOUND_LANDING_DECELERATION_VARIANTS","LATERAL_HOP","KNEE_EXTENSOR_CONTACT_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|SYNDESMOTIC_ROTATIONAL_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","SQUAT","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"LOADED_CARRY_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"LUNGE_SPLIT_SQUAT_VARIANTS","LUNGE","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"MOBILITY_WARMUP_RECOVERY_EXERCISES","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"NORDIC_HAMSTRING_ECCENTRIC","KNEE_FLEXION","POSTERIOR_KNEE_HAMSTRING_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"OTHER_SPORT_SESSION_RECORDS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"OVERHEAD_PRESS_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"OVERHEAD_TRICEPS_LONG_HEAD","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"PLYOMETRIC_JUMP_VARIANTS","VERTICAL_JUMP","KNEE_EXTENSOR_CONTACT_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|CORONAL_ROTATIONAL_KNEE_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"POSTERIOR_CHAIN_LOW_LOAD_CONTROL","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"POWER_CORE_SHOULDER","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"PULLOVER_LAT_CHEST_ACCESSORY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"PUSH_UP_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"QUAD_ECCENTRIC_KNEE_DOMINANT","KNEE_EXTENSION","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ROTATIONAL_KINETIC_CHAIN","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"ROW_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"RUNNING_MECHANICS_SUPPORT","RUNNING","KNEE_EXTENSOR_CONTACT_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|LATERAL_ANKLE_STABILITY_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SCAPULAR_CONTROL_RECOVERY_PREHAB_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SCAPULAR_RETRACTION_EXTERNAL_ROTATION_CONTROL_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SCAPULAR_SHOULDER_SUPPORT","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SERRATUS_SCAPULAR_PROTRACTION_CONTROL_VARIANTS","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SPRINT_ACCELERATION_CONDITIONING","RUNNING","KNEE_EXTENSOR_CONTACT_COMPLEX|POSTERIOR_KNEE_HAMSTRING_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"SQUAT_VARIANTS","SQUAT","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"STEP_UP_VARIANTS","STEP_UP","KNEE_EXTENSOR_CONTACT_COMPLEX|KNEE_MENISCAL_CARTILAGE_COMPLEX|CRUCIATE_LIGAMENT_COMPLEX|ANKLE_PROPULSION_IMPACT_COMPLEX|MEDIAL_ANKLE_ARCH_COMPLEX","AUDITED_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"TRUNK_ANTI_ROTATION_STABILITY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
"TURKISH_GETUP_TOTAL_BODY_STABILITY","NOT_APPLICABLE","","AUDITED_NOT_APPLICABLE","EXACT_CANONICAL_MOVEMENT_FAMILY","1.0.0"
