"oldDimensionId","newDimensionId","oldMechanicalLoadMode","newMechanicalLoadMode","correctionDecision","movedContext","movedTissueResponse","correctionReason","preparedBy","preparedByType","preparedAt"
"PFJ_COMPRESSION_LOADING_RATE","PFJ_COMPRESSION_LOADING_RATE","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_SESSION_IMPULSE","PFJ_COMPRESSION_SESSION_IMPULSE","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_COMPRESSION_PEAK","TFJ_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_COMPRESSION_IMPULSE_EVENT","TFJ_COMPRESSION_IMPULSE_EVENT","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_AP_SHEAR_PEAK","TFJ_AP_SHEAR_PEAK","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_AP_SHEAR_IMPULSE_EVENT","TFJ_AP_SHEAR_IMPULSE_EVENT","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_ROTATIONAL_PEAK","TFJ_ROTATIONAL_PEAK","ROTATIONAL_STRESS","ROTATIONAL_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_ANTERIOR_TRANSLATION_PEAK","ACL_ANTERIOR_TRANSLATION_PEAK","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_INTERNAL_ROTATION_PEAK","ACL_INTERNAL_ROTATION_PEAK","INTERNAL_ROTATION_STRESS","INTERNAL_ROTATION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_VALGUS_PEAK","ACL_VALGUS_PEAK","VALGUS_STRESS","VALGUS_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_IMPACT_PEAK","ACL_TENSION_PEAK","IMPACT_STABILIZATION","TENSION","RECLASSIFIED","IMPACT_ATTENUATION","","Context or tissue response was separated from physical mechanical loading.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","REMOVED_UNSUPPORTED_INTERPRETATION","IMPACT_ATTENUATION","","External loading context has no validated internal tissue mapping.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_ANTERIOR_CYCLIC","ACL_ANTERIOR_CYCLIC","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PCL_POSTERIOR_TRANSLATION_PEAK","PCL_POSTERIOR_TRANSLATION_PEAK","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MCL_VALGUS_PEAK","MCL_VALGUS_PEAK","VALGUS_STRESS","VALGUS_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"LCL_VARUS_PEAK","LCL_VARUS_PEAK","VARUS_STRESS","VARUS_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TALOCRURAL_COMPRESSION_PEAK","TALOCRURAL_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TALOCRURAL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","REMOVED_UNSUPPORTED_INTERPRETATION","IMPACT_ATTENUATION","","External loading context has no validated internal tissue mapping.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"SUBTALAR_ROTATIONAL_PEAK","SUBTALAR_ROTATIONAL_PEAK","ROTATIONAL_STRESS","ROTATIONAL_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ANKLE_LATERAL_INVERSION_PEAK","ANKLE_LATERAL_INVERSION_PEAK","INVERSION_STRESS","INVERSION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ANKLE_LATERAL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","REMOVED_UNSUPPORTED_INTERPRETATION","IMPACT_ATTENUATION","","External loading context has no validated internal tissue mapping.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ANKLE_LATERAL_INVERSION_CYCLIC","ANKLE_LATERAL_INVERSION_CYCLIC","INVERSION_STRESS","INVERSION_STRESS","UNCHANGED_VALID","","","Physical dimension identity remains valid.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
