"번호","sourceSegment","exerciseStableKey","운동명","bodyRegion","category","forceType","movementPattern","movementCategory","laterality","plane","equipmentTags","primaryMuscles","secondaryMuscles","scapularDemand","hipDemand","legacyJointEmphasis","jointEmphasisAuthority","운동군","운동군_ko","연구구분","대표연구운동","scoreStatus","scoreRowCount","mappedLoadUnitStableKeys","mappedJointComplexStableKeys","mappedComponentTissueStableKeys","mappedLoadUnitCount","P_load_profile","DoseBasis","DoseUnit","DoseRule","metadataUpdatedAt","description"
"73","LOWER_90","ex_a091b9fe","원레그 레그 프레스","LOWER","근력운동","LOWER_BODY","KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","UNILATERAL","SAGITTAL","레그프레스 머신","대퇴사두근/둔근","햄스트링/골반안정근","","PELVIC_STABILITY","HIP|KNEE","DEPRECATED_AFTER_NEW_MAP","KNEE_DOMINANT","","신규 연구","N","EXISTING_SCORE_MIGRATED","11","lu_2d44aafe1e|lu_3d242daa59|lu_7d200f36f3|lu_9a06d0adb2|lu_a18a644473|lu_a9651bd8d7|lu_bf3f500760|lu_d7b54824bb|lu_d967354bce|lu_f4005dd228|lu_ff559f42cd","jc_209871f411|jc_4201fb72f3|jc_6326ea19a8|jc_ad7382e4b2|jc_ae763d5994","tissue_01df1d3a7f|tissue_06987e1084|tissue_21a56b379e|tissue_23a874341a|tissue_50091b2878|tissue_7545ba6787|tissue_816066da61|tissue_8ce649f960|tissue_8dc13da436|tissue_91887f185f|tissue_f41bde5976","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","레그 프레스를 한쪽 다리씩 수행한다. 좌우 힘 차이를 확인하고 한발로 밀어내는 능력을 키우기 좋다."
"74","LOWER_90","ex_f1d31d3d","원레그 핵 스쿼트","LOWER","근력운동","LOWER_BODY","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","UNILATERAL","SAGITTAL","핵스쿼트 머신","대퇴사두근/둔근","햄스트링/골반안정근","","PELVIC_STABILITY","HIP|KNEE","DEPRECATED_AFTER_NEW_MAP","KNEE_DOMINANT","","신규 연구","N","EXISTING_SCORE_MIGRATED","11","lu_2d44aafe1e|lu_3d242daa59|lu_7d200f36f3|lu_9a06d0adb2|lu_a18a644473|lu_a9651bd8d7|lu_bf3f500760|lu_d7b54824bb|lu_d967354bce|lu_f4005dd228|lu_ff559f42cd","jc_209871f411|jc_4201fb72f3|jc_6326ea19a8|jc_ad7382e4b2|jc_ae763d5994","tissue_01df1d3a7f|tissue_06987e1084|tissue_21a56b379e|tissue_23a874341a|tissue_50091b2878|tissue_7545ba6787|tissue_816066da61|tissue_8ce649f960|tissue_8dc13da436|tissue_91887f185f|tissue_f41bde5976","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","핵 스쿼트 머신에서 한쪽 다리 중심으로 밀어 올린다. 한발 힘과 좌우 대퇴사두근 차이를 기록하기 좋다."
"75","LOWER_90","ex_e0b1e364","원암 덤벨 RDL","LOWER","근력운동","HINGE","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","UNILATERAL","SAGITTAL","덤벨","햄스트링/둔근","코어/광배근/골반안정근","","HIP_EXTENSION|PELVIC_STABILITY","HIP|SPINE","DEPRECATED_AFTER_NEW_MAP","HIP_HINGE","","신규 연구","N","RESEARCH_CORRECTED_V0.2","7","lu_27b4a0df1d|lu_348ac6b7a6|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_1eaf4d14d8|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_c9d3826a11|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","7","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","한 손에 덤벨을 들고 힙힌지를 수행한다. 몸통 회전과 골반 흔들림을 막으며 후면사슬을 훈련한다."
"76","UPPER_95","ex_30a0e9aa","원암 덤벨 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","UNILATERAL","TRANSVERSE","덤벨","광배근/능형근","후면삼각근/이두근/코어","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_UNILATERAL","편측 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","22","lu_0a858e59a0|lu_0e8a3f133f|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","22","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 손과 무릎을 벤치에 대고 덤벨을 옆구리로 당긴다. 좌우 등 힘 차이와 견갑 제어를 보기 좋다."
"77","UPPER_95","ex_389e0556","원암 덤벨 벤치프레스","UPPER","근력운동","PUSH","PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","STRENGTH","UNILATERAL","TRANSVERSE","덤벨|벤치","대흉근","전면삼각근/삼두근/코어","SCAPULAR_CONTROL_LIGHT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","BENCH_UNILATERAL","편측 수평 프레스","운동군 전이","N","SCORED_RESEARCH_DRAFT","19","lu_0a858e59a0|lu_0e8a3f133f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_45688de60a|lu_63101fe8b2|lu_6573d7bf8a|lu_889f90c55d|lu_8df6cfe570|lu_9244162017|lu_a706efdddb|lu_bdb58738eb|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_d967354bce|lu_dec56c15d8|lu_ff559f42cd","jc_0876f954f2|jc_209871f411|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_06987e1084|tissue_1e675db416|tissue_21a56b379e|tissue_36333205dc|tissue_514b348f95|tissue_599a0d89b2|tissue_5a54f92c2b|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","19","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한쪽 팔로 덤벨을 밀어 올리며 몸통이 돌아가지 않게 버틴다. 가슴 프레스와 좌우 안정성을 함께 기록하기 좋다."
"78","UPPER_95","ex_7814843a","원암 덤벨 숄더프레스","UPPER","근력운동","PUSH","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION|SHOULDER_STABILITY_SUPPORT|TRUNK_STABILITY_SUPPORT|UNILATERAL_UPPER","STRENGTH","UNILATERAL","SAGITTAL","덤벨","전면삼각근/측면삼각근","삼두근/코어","SCAPULAR_UPWARD_ROTATION|ROTATOR_CUFF_SUPPORT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","OHP_UNILATERAL","편측·하프닐링 수직 프레스","운동군 전이","N","RESEARCH_CORRECTED_V0.2","23","lu_0a858e59a0|lu_0e8a3f133f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_63101fe8b2|lu_6573d7bf8a|lu_6e950505da|lu_8df6cfe570|lu_9244162017|lu_9cf6b4fc69|lu_9db157ba90|lu_a706efdddb|lu_bdb58738eb|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_d967354bce|lu_dec56c15d8|lu_f037b5f8ea|lu_ff559f42cd","jc_0876f954f2|jc_209871f411|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_06987e1084|tissue_1e675db416|tissue_21a56b379e|tissue_34a9253eea|tissue_36333205dc|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8d017eed91|tissue_8e5c3b2414|tissue_95b1b0da1b|tissue_976c1a9c26|tissue_9ab4c9cc90|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","23","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 머리 위로 덤벨을 밀어 올린다. 갈비뼈가 들리지 않게 몸통을 고정하고 좌우 차이를 본다."
"79","UPPER_95","ex_fdbdf454","원암 덤벨 오버헤드 트라이셉스 익스텐션","UPPER","근력운동","ISOLATION","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","ACCESSORY","UNILATERAL","SAGITTAL","덤벨","삼두근 장두","전완근/코어","SHOULDER_STABILITY_LIGHT","","ELBOW|SHOULDER","DEPRECATED_AFTER_NEW_MAP","TRICEPS_OVERHEAD","오버헤드 팔꿈치 신전","운동군 전이","N","SCORED_RESEARCH_DRAFT","5","lu_63101fe8b2|lu_6573d7bf8a|lu_a706efdddb|lu_c11995f705|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_eadfb381fa","tissue_1e675db416|tissue_5a830323a8|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","5","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔로 덤벨을 머리 뒤에서 위로 편다. 어깨 위치를 안정시키고 팔꿈치가 흔들리지 않게 한다."
"80","UPPER_95","ex_85b2ac56","원암 덤벨 컬","UPPER","근력운동","ISOLATION","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|UNILATERAL_UPPER","ACCESSORY","UNILATERAL","SAGITTAL","덤벨","이두근","전완근/코어","","","ELBOW|WRIST","DEPRECATED_AFTER_NEW_MAP","CURL_SUPINATED","회외·중립 이두 컬","운동군 전이","N","SCORED_RESEARCH_DRAFT","11","lu_0fff8b2ee4|lu_1b115c8b4f|lu_52a0b0ba44|lu_6573d7bf8a|lu_8af4d2c3e7|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_dec56c15d8|lu_e11d5f58a5","jc_0876f954f2|jc_6e7ae18e56|jc_7ac0533b9d|jc_eadfb381fa","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_5a830323a8|tissue_6ab8c8af59|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 덤벨 컬을 수행한다. 좌우 이두 힘 차이를 확인하기 좋고 반동을 줄여 정확히 기록하기 쉽다."
"81","UPPER_95","ex_32eb8457","원암 랫풀다운","UPPER","근력운동","PULL","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|UNILATERAL_UPPER","STRENGTH","UNILATERAL","FRONTAL","케이블","광배근","이두근/하부승모근/코어","SCAPULAR_DEPRESSION|SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","LAT_PULLDOWN","랫풀다운","운동군 전이","N","SCORED_RESEARCH_DRAFT","21","lu_0a858e59a0|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_9cf6b4fc69|lu_9db157ba90|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8d017eed91|tissue_8e5c3b2414|tissue_95b1b0da1b|tissue_976c1a9c26|tissue_9ab4c9cc90|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","21","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 위에서 아래로 당겨 팔꿈치를 옆구리 쪽으로 보낸다. 광배근 좌우 차이를 확인하기 쉽다."
"82","UPPER_95","ex_e3487166","원암 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","UNILATERAL","TRANSVERSE","덤벨|케이블","광배근/능형근","후면삼각근/이두근/코어","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_SUPPORTED_OR_CABLE","지지·케이블 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","22","lu_0a858e59a0|lu_0e8a3f133f|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","22","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 당기는 로우 계열의 일반 항목이다. 그날 장비에 따라 덤벨, 케이블, 머신으로 수행하고 좌우 차이를 본다."
"83","UPPER_95","ex_a60496be","원암 리어델트 케이블 플라이","UPPER","근력운동","PULL","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ACCESSORY","UNILATERAL","TRANSVERSE","케이블","후면삼각근","능형근/회전근개","SCAPULAR_RETRACTION|ROTATOR_CUFF_SUPPORT","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","REAR_DELT","후면삼각근·견갑 후인","운동군 전이","N","SCORED_RESEARCH_DRAFT","13","lu_0a858e59a0|lu_0fff8b2ee4|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_6573d7bf8a|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_2e1ef7f7e0|tissue_36333205dc|tissue_4360531007|tissue_514b348f95|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","13","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 케이블을 뒤로 벌린다. 견갑을 과하게 모으기보다 후면삼각근으로 팔을 여는 감각을 본다."
"84","UPPER_95","ex_33d2da8e","원암 머신 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","UNILATERAL","TRANSVERSE","머신","광배근/능형근","후면삼각근/이두근","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_SUPPORTED_OR_CABLE","지지·케이블 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","22","lu_0a858e59a0|lu_0e8a3f133f|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","22","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","머신 핸들을 한쪽씩 당긴다. 궤도가 안정돼 있어 고중량에서도 좌우 등 사용량을 따로 보기 쉽다."
"85","UPPER_95","ex_c365e5e2","원암 스트레이트암 풀다운","UPPER","근력운동","PULL","SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL","ACCESSORY","UNILATERAL","SAGITTAL","케이블","광배근","전거근/코어","SCAPULAR_DEPRESSION","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","STRAIGHT_ARM_PULLDOWN","스트레이트암 풀다운","운동군 전이","N","SCORED_RESEARCH_DRAFT","11","lu_0a858e59a0|lu_0fff8b2ee4|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_4a4649760b|lu_6573d7bf8a|lu_8af4d2c3e7|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_ffd0b0e192","tissue_1e675db416|tissue_2e1ef7f7e0|tissue_36333205dc|tissue_4360531007|tissue_514b348f95|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_86a1e65e56|tissue_976c1a9c26|tissue_a19cc622c3|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","한 팔씩 팔을 편 상태로 아래로 당긴다. 몸통 회전을 막으며 광배근 수축 방향을 따로 확인한다."
"86","UPPER_95","ex_d9084b5e","원암 인버티드 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER|CORE_STABILITY_SUPPORT","STRENGTH","UNILATERAL","TRANSVERSE","TRX/링","광배근/능형근","후면삼각근/이두근/코어","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_BODYWEIGHT","맨몸 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","24","lu_0a858e59a0|lu_0e8a3f133f|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_d967354bce|lu_dec56c15d8|lu_f037b5f8ea|lu_ff559f42cd","jc_0876f954f2|jc_209871f411|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_06987e1084|tissue_1e675db416|tissue_21a56b379e|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","24","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","0.60 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","몸을 비스듬히 세운 상태에서 한 팔 중심으로 당긴다. 견갑 안정성과 좌우 당기는 힘을 스포츠 전이형으로 보강한다."
