"sourceConditionId","sourceId","protocolLabel","testedExercise","candidateStableKeys","exerciseCorrespondence","eventContext","movementPhase","direction","laterality","additionalExternalLoadKg","additionalExternalLoadFractionBw","totalSystemMassKg","totalSystemMassFractionBw","relativeLoadPercent1Rm","externalLoadPlacement","romCondition","jointAngleCondition","velocityCondition","surfaceCondition","landingCondition","reboundOrStick","singleOrRepeated","expectedOrUnexpected","fatigueCondition","population","healthStatus","trainingStatus","sexComposition","sampleSize","measurementMethod","modelFamily","notes"
"C3COND_40705768_PFJ_90RM","SRC_PMID_40705768","C3COND_40705768_PFJ_90RM","Competition-depth barbell back squat at 90 percent 1RM","barbell_back_squat","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","90","Barbell","Competition depth","","Self-selected competition squat","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Elite powerlifters","Healthy","Elite powerlifters","Mixed","29","Three-dimensional motion capture, force plates, and musculoskeletal modeling","MODELED_JOINT_CONTACT_FORCE","Do not merge with bodyweight-task models or create a cross-model rubric."
"C3COND_40705768_TFJ_90RM","SRC_PMID_40705768","C3COND_40705768_TFJ_90RM","Competition-depth barbell back squat at 90 percent 1RM","barbell_back_squat","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","90","Barbell","Competition depth","","Self-selected competition squat","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Elite powerlifters","Healthy","Elite powerlifters","Mixed","29","Three-dimensional motion capture, force plates, and musculoskeletal modeling","MODELED_JOINT_CONTACT_FORCE","Do not merge with bodyweight-task models or create a cross-model rubric."
"C3COND_8947402_CLOSED_CHAIN","SRC_PMID_8947402","C3COND_8947402_CLOSED_CHAIN","Power squat, front squat, and lunge","barbell_back_squat|ex_c5043892|ex_64644b5e","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Not reported","","","","","","","Not reported","UNKNOWN_ROM","Not reported","Not reported","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Not reported","","","","","","Motion analysis, force platform, inverse dynamics, and EMG","INTERSEGMENTAL_JOINT_FORCE_RESULTANT","Intersegmental resultant is not internal compartment contact force; older small sample and fixed external load."
"C3COND_R1C_01_ACH_SEATED_PEAK","PREFLIGHT_32658037","C3COND_R1C_01_ACH_SEATED_PEAK","Seated heel-raise rows","ex_5c8751d2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Bilateral and unilateral rows","15","","","","","Thigh","Study seated protocol","","Study-defined","Laboratory force plate","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy young adults","Healthy","Not reported","Mixed","8","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","MODELED_TENDON_FORCE","Range spans two group means; exact external-load application differs or is unresolved across rows; no arbitrary load scaling"
"C3COND_R1C_02_ACH_SINGLE_CALF_PEAK","PREFLIGHT_32658037","C3COND_R1C_02_ACH_SINGLE_CALF_PEAK","Standing single-leg heel raise","ex_5ca7133f","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Unilateral","","","","","","","Study full heel-raise ROM","FULL_ROM","Study cadence","Laboratory force plate","Not applicable","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy young adults","Healthy","Not reported","Mixed","8","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","MODELED_TENDON_FORCE","Healthy sample of eight; no weighted standing-calf modifier"
"C3COND_R1C_03_ACH_REPEATED_HOP_PEAK","PREFLIGHT_32658037","C3COND_R1C_03_ACH_REPEATED_HOP_PEAK","Repeated single-leg forward and lateral hopping","ex_314df428","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","HOP_LANDING","FULL_EVENT","NOT_REPORTED","Unilateral","","","","","","","Task-defined","","Repeated hopping","Laboratory force plate","Repeated landing without app-specific stick protocol","STICK","SINGLE","NOT_REPORTED","Non-fatigued","Healthy young adults","Healthy","Not reported","Mixed","8","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","MODELED_TENDON_FORCE","Not an exact hop-and-stick, maximal hop, or bilateral jump protocol"
"C3COND_R1C_04_ACH_SINGLE_CALF_RATE","PREFLIGHT_32658037","C3COND_R1C_04_ACH_SINGLE_CALF_RATE","Standing single-leg heel raise","ex_5ca7133f","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","STRENGTH_REPETITION","FULL_EVENT","NOT_REPORTED","Unilateral","","","","","","","Study full heel-raise ROM","FULL_ROM","Study cadence","Laboratory force plate","Not applicable","NOT_REPORTED","SINGLE","NOT_REPORTED","Non-fatigued","Healthy young adults","Healthy","Not reported","Mixed","8","Same modeled Achilles force-time curve as the linked peak-force row","MODELED_TENDON_FORCE_LOADING_RATE","Rate and peak have different units and cannot replace or be aggregated with one another"
"C3COND_R1C_05_PAT_BW_SQUAT_PEAK","SRC_PMID_37847102","C3COND_R1C_05_PAT_BW_SQUAT_PEAK","Double-leg full-depth squat","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","Full depth","FULL_ROM","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and musculoskeletal patellar tendon model","MODELED_TENDON_FORCE","Bodyweight result cannot populate weighted back/front-squat profiles; force cannot substitute for strain"
"C3COND_R1C_06_PAT_BULGARIAN_PEAK","SRC_PMID_37847102","C3COND_R1C_06_PAT_BULGARIAN_PEAK","Study-defined Bulgarian squat","ex_e2efd0fe","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Unilateral lead limb task","","","","","","","Study-defined","","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and musculoskeletal patellar tendon model","MODELED_TENDON_FORCE","Canonical Bulgarian, RFESS, and split-squat identities are distinct; protocol modifiers and loaded response remain unresolved"
"C3COND_R1C_07A_PFJ_60_SQUAT_PEAK","SRC_PMID_37272685","C3COND_R1C_07A_PFJ_60_SQUAT_PEAK","Double-leg squat to 60 degrees","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","60 degrees knee flexion","SPECIFIED_JOINT_ANGLE","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and PFJ model","MODELED_JOINT_CONTACT_FORCE","App stable key does not encode 60-degree ROM; research record only"
"C3COND_R1C_07B_PFJ_60_SQUAT_IMPULSE","SRC_PMID_37272685","C3COND_R1C_07B_PFJ_60_SQUAT_IMPULSE","Double-leg squat to 60 degrees","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","60 degrees knee flexion","SPECIFIED_JOINT_ANGLE","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","JOINT_CONTACT_FORCE_TIME_INTEGRAL","Cannot substitute for peak or loading rate; app ROM mismatch"
"C3COND_R1C_07C_PFJ_60_SQUAT_RATE","SRC_PMID_37272685","C3COND_R1C_07C_PFJ_60_SQUAT_RATE","Double-leg squat to 60 degrees","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","60 degrees knee flexion","SPECIFIED_JOINT_ANGLE","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","Cannot substitute for peak or impulse; app ROM mismatch"
"C3COND_R1C_08A_PFJ_FULL_SQUAT_PEAK","SRC_PMID_37272685","C3COND_R1C_08A_PFJ_FULL_SQUAT_PEAK","Double-leg full-depth squat","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","Full depth","FULL_ROM","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and PFJ model","MODELED_JOINT_CONTACT_FORCE","Bodyweight full-depth result cannot populate weighted squat profiles"
"C3COND_R1C_08B_PFJ_FULL_SQUAT_IMPULSE","SRC_PMID_37272685","C3COND_R1C_08B_PFJ_FULL_SQUAT_IMPULSE","Double-leg full-depth squat","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","Full depth","FULL_ROM","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","JOINT_CONTACT_FORCE_TIME_INTEGRAL","Bodyweight duration-sensitive result; no weighted transfer"
"C3COND_R1C_08C_PFJ_FULL_SQUAT_RATE","SRC_PMID_37272685","C3COND_R1C_08C_PFJ_FULL_SQUAT_RATE","Double-leg full-depth squat","ex_cb3c4dc2","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Bilateral","","","","","","","Full depth","FULL_ROM","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","Bodyweight rate; no weighted transfer or generic band"
"C3COND_R1C_09A_PFJ_BULGARIAN_PEAK","SRC_PMID_37272685","C3COND_R1C_09A_PFJ_BULGARIAN_PEAK","Study-defined Bulgarian squat","ex_e2efd0fe","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Unilateral lead limb task","","","","","","","Study-defined","","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and PFJ model","MODELED_JOINT_CONTACT_FORCE","Not transferable to generic split squat, RFESS, or loaded variants"
"C3COND_R1C_09B_PFJ_BULGARIAN_IMPULSE","SRC_PMID_37272685","C3COND_R1C_09B_PFJ_BULGARIAN_IMPULSE","Study-defined Bulgarian squat","ex_e2efd0fe","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Unilateral lead limb task","","","","","","","Study-defined","","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","JOINT_CONTACT_FORCE_TIME_INTEGRAL","Long duration explains higher impulse than some fast tasks; no loaded transfer"
"C3COND_R1C_09C_PFJ_BULGARIAN_RATE","SRC_PMID_37272685","C3COND_R1C_09C_PFJ_BULGARIAN_RATE","Study-defined Bulgarian squat","ex_e2efd0fe","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","SQUAT","FULL_EVENT","NOT_REPORTED","Unilateral lead limb task","","","","","","","Study-defined","","Study-defined","Laboratory force plates","Not applicable","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","Same PFJ force-time model as linked peak row","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","No loaded response model and no variant transfer"
"C3COND_R1C_10A_PFJ_LUNGE_PEAK","SRC_PMID_37272685","C3COND_R1C_10A_PFJ_LUNGE_PEAK","Study-defined non-jumping lunge","ex_64644b5e","SOURCE_PROTOCOL_TO_CANONICAL_STABLE_KEY_CANDIDATE","LUNGE","FULL_EVENT","NOT_REPORTED","Alternating unilateral stance","","","","","","","Study-defined","","Study-defined","Laboratory force plates","Non-jumping","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Non-fatigued","Healthy adults","Healthy","Not reported","Mixed","20","3D motion analysis, force plates, and PFJ model","MODELED_JOINT_CONTACT_FORCE","Lunge direction and stride are not encoded; no jump-lunge or loaded-lunge transfer"
