"profileId","complexId","axis","operationalScore","provenanceTier","confidence","rubricId","coefficientSetId"
"MTC_CONSERVATIVE_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","CORONAL_ROTATIONAL_KNEE_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","CORONAL_ROTATIONAL_KNEE_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_LATERAL_ANKLE_STABILITY_COMPLEX_M","LATERAL_ANKLE_STABILITY_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_LATERAL_ANKLE_STABILITY_COMPLEX_T","LATERAL_ANKLE_STABILITY_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_LATERAL_ANKLE_STABILITY_COMPLEX_C","LATERAL_ANKLE_STABILITY_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_SYNDESMOTIC_ROTATIONAL_COMPLEX_M","SYNDESMOTIC_ROTATIONAL_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_SYNDESMOTIC_ROTATIONAL_COMPLEX_T","SYNDESMOTIC_ROTATIONAL_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_SYNDESMOTIC_ROTATIONAL_COMPLEX_C","SYNDESMOTIC_ROTATIONAL_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_MEDIAL_ANKLE_ARCH_COMPLEX_M","MEDIAL_ANKLE_ARCH_COMPLEX","M","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_M_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_MEDIAL_ANKLE_ARCH_COMPLEX_T","MEDIAL_ANKLE_ARCH_COMPLEX","T","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_T_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
"MTC_CONSERVATIVE_MEDIAL_ANKLE_ARCH_COMPLEX_C","MEDIAL_ANKLE_ARCH_COMPLEX","C","2.5","CONSERVATIVE_FALLBACK","VERY_LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_C_CONSERVATIVE_FALLBACK","TISSUE_MTC_C4A_0_1_1"
