"decisionId","evidenceKey","axis","derivationType","primarySourceConditionId","includedObservationIds","supportingObservationIds","excludedObservationIds","selectedScore","arithmeticMean","weightedMean","median","weightedStandardDeviation","minimum","maximum","effectiveSourceCount","independentCohortCount","dependencyGroupCount","heterogeneityStatus","averageDisclosure","rationale","aggregationPolicyVersion","runtimeEligible"
"C4B1_DEC_37847102_DL_SQUAT_60_M","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_60|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_DL_SQUAT_60","C4B1_OBS_37847102_DL_SQUAT_60_PEAK","","","2.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_DL_SQUAT_60_T","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_60|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_DL_SQUAT_60","C4B1_OBS_37847102_DL_SQUAT_60_IMPULSE","C4B1_OBS_37847102_DL_SQUAT_60_RATE","","2.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_DL_SQUAT_60_C","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_60|PATELLAR_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_37847102_DL_SQUAT_60","","C4B1_OBS_37847102_DL_SQUAT_60_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37847102_DL_SQUAT_FULL_M","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_FULL|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_DL_SQUAT_FULL","C4B1_OBS_37847102_DL_SQUAT_FULL_PEAK","","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_DL_SQUAT_FULL_T","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_FULL|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_DL_SQUAT_FULL","C4B1_OBS_37847102_DL_SQUAT_FULL_IMPULSE","C4B1_OBS_37847102_DL_SQUAT_FULL_RATE","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_DL_SQUAT_FULL_C","ex_cb3c4dc2|C4B1_COND_37847102_DL_SQUAT_FULL|PATELLAR_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_37847102_DL_SQUAT_FULL","","C4B1_OBS_37847102_DL_SQUAT_FULL_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37847102_RUN_CUT_M","C4B1_COND_37847102_RUN_CUT|C4B1_COND_37847102_RUN_CUT|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_RUN_CUT","C4B1_OBS_37847102_RUN_CUT_PEAK","","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_RUN_CUT_T","C4B1_COND_37847102_RUN_CUT|C4B1_COND_37847102_RUN_CUT|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_RUN_CUT","C4B1_OBS_37847102_RUN_CUT_RATE","C4B1_OBS_37847102_RUN_CUT_IMPULSE","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_SL_DECLINE_SQUAT_M","C4B1_COND_37847102_SL_DECLINE_SQUAT|C4B1_COND_37847102_SL_DECLINE_SQUAT|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_SL_DECLINE_SQUAT","C4B1_OBS_37847102_SL_DECLINE_SQUAT_PEAK","","","3.8571","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_SL_DECLINE_SQUAT_T","C4B1_COND_37847102_SL_DECLINE_SQUAT|C4B1_COND_37847102_SL_DECLINE_SQUAT|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_SL_DECLINE_SQUAT","C4B1_OBS_37847102_SL_DECLINE_SQUAT_IMPULSE","C4B1_OBS_37847102_SL_DECLINE_SQUAT_RATE","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_SPANISH_SQUAT_3S_M","C4B1_COND_37847102_SPANISH_SQUAT_3S|C4B1_COND_37847102_SPANISH_SQUAT_3S|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_SPANISH_SQUAT_3S","C4B1_OBS_37847102_SPANISH_SQUAT_3S_PEAK","","","2.6250","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_SPANISH_SQUAT_3S_T","C4B1_COND_37847102_SPANISH_SQUAT_3S|C4B1_COND_37847102_SPANISH_SQUAT_3S|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_SPANISH_SQUAT_3S","C4B1_OBS_37847102_SPANISH_SQUAT_3S_IMPULSE","C4B1_OBS_37847102_SPANISH_SQUAT_3S_RATE","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_LUNGE_M","ex_64644b5e|C4B1_COND_37847102_LUNGE|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_LUNGE","C4B1_OBS_37847102_LUNGE_PEAK","","","2.9375","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_LUNGE_T","ex_64644b5e|C4B1_COND_37847102_LUNGE|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_LUNGE","C4B1_OBS_37847102_LUNGE_IMPULSE","C4B1_OBS_37847102_LUNGE_RATE","","3.2195","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_LUNGE_C","ex_64644b5e|C4B1_COND_37847102_LUNGE|PATELLAR_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_37847102_LUNGE","","C4B1_OBS_37847102_LUNGE_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37847102_DL_FORWARD_JUMP_FAST_M","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST|C4B1_COND_37847102_DL_FORWARD_JUMP_FAST|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST","C4B1_OBS_37847102_DL_FORWARD_JUMP_FAST_PEAK","","","3.1905","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_DL_FORWARD_JUMP_FAST_T","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST|C4B1_COND_37847102_DL_FORWARD_JUMP_FAST|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_DL_FORWARD_JUMP_FAST","C4B1_OBS_37847102_DL_FORWARD_JUMP_FAST_RATE","C4B1_OBS_37847102_DL_FORWARD_JUMP_FAST_IMPULSE","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_BULGARIAN_SQUAT_M","ex_e2efd0fe|C4B1_COND_37847102_BULGARIAN_SQUAT|PATELLAR_TENDON|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37847102_BULGARIAN_SQUAT","C4B1_OBS_37847102_BULGARIAN_SQUAT_PEAK","","","2.7500","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_BULGARIAN_SQUAT_T","ex_e2efd0fe|C4B1_COND_37847102_BULGARIAN_SQUAT|PATELLAR_TENDON|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37847102_BULGARIAN_SQUAT","C4B1_OBS_37847102_BULGARIAN_SQUAT_IMPULSE","C4B1_OBS_37847102_BULGARIAN_SQUAT_RATE","","3.0488","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37847102_BULGARIAN_SQUAT_C","ex_e2efd0fe|C4B1_COND_37847102_BULGARIAN_SQUAT|PATELLAR_TENDON|C","C","ORDERING_RULE_ONLY","C4B1_COND_37847102_BULGARIAN_SQUAT","","C4B1_OBS_37847102_BULGARIAN_SQUAT_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37272685_WALK_M","C4B1_COND_37272685_WALK|C4B1_COND_37272685_WALK|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_WALK","C4B1_OBS_37272685_WALK_PEAK","","","1.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_WALK_T","C4B1_COND_37272685_WALK|C4B1_COND_37272685_WALK|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_WALK","C4B1_OBS_37272685_WALK_RATE","C4B1_OBS_37272685_WALK_IMPULSE","","1.3855","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_60_M","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_60|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_DL_SQUAT_60","C4B1_OBS_37272685_DL_SQUAT_60_PEAK","","","2.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_60_T","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_60|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_DL_SQUAT_60","C4B1_OBS_37272685_DL_SQUAT_60_IMPULSE","C4B1_OBS_37272685_DL_SQUAT_60_RATE","","2.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_60_C","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_60|KNEE_PATELLOFEMORAL|C","C","ORDERING_RULE_ONLY","C4B1_COND_37272685_DL_SQUAT_60","","C4B1_OBS_37272685_DL_SQUAT_60_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_FULL_M","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_FULL|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_DL_SQUAT_FULL","C4B1_OBS_37272685_DL_SQUAT_FULL_PEAK","","","2.6897","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_FULL_T","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_FULL|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_DL_SQUAT_FULL","C4B1_OBS_37272685_DL_SQUAT_FULL_IMPULSE","C4B1_OBS_37272685_DL_SQUAT_FULL_RATE","","2.7600","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_SQUAT_FULL_C","ex_cb3c4dc2|C4B1_COND_37272685_DL_SQUAT_FULL|KNEE_PATELLOFEMORAL|C","C","ORDERING_RULE_ONLY","C4B1_COND_37272685_DL_SQUAT_FULL","","C4B1_OBS_37272685_DL_SQUAT_FULL_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37272685_RUNNING_M","ex_681d9ed2|C4B1_COND_37272685_RUNNING|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_RUNNING","C4B1_OBS_37272685_RUNNING_PEAK","","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_RUNNING_T","ex_681d9ed2|C4B1_COND_37272685_RUNNING|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_RUNNING","C4B1_OBS_37272685_RUNNING_RATE","C4B1_OBS_37272685_RUNNING_IMPULSE","","3.5293","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_SL_DECLINE_SQUAT_M","C4B1_COND_37272685_SL_DECLINE_SQUAT|C4B1_COND_37272685_SL_DECLINE_SQUAT|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_SL_DECLINE_SQUAT","C4B1_OBS_37272685_SL_DECLINE_SQUAT_PEAK","","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_SL_DECLINE_SQUAT_T","C4B1_COND_37272685_SL_DECLINE_SQUAT|C4B1_COND_37272685_SL_DECLINE_SQUAT|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_SL_DECLINE_SQUAT","C4B1_OBS_37272685_SL_DECLINE_SQUAT_IMPULSE","C4B1_OBS_37272685_SL_DECLINE_SQUAT_RATE","","3.6163","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_BULGARIAN_SQUAT_M","ex_e2efd0fe|C4B1_COND_37272685_BULGARIAN_SQUAT|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_BULGARIAN_SQUAT","C4B1_OBS_37272685_BULGARIAN_SQUAT_PEAK","","","2.7586","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_BULGARIAN_SQUAT_T","ex_e2efd0fe|C4B1_COND_37272685_BULGARIAN_SQUAT|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_BULGARIAN_SQUAT","C4B1_OBS_37272685_BULGARIAN_SQUAT_IMPULSE","C4B1_OBS_37272685_BULGARIAN_SQUAT_RATE","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_BULGARIAN_SQUAT_C","ex_e2efd0fe|C4B1_COND_37272685_BULGARIAN_SQUAT|KNEE_PATELLOFEMORAL|C","C","ORDERING_RULE_ONLY","C4B1_COND_37272685_BULGARIAN_SQUAT","","C4B1_OBS_37272685_BULGARIAN_SQUAT_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37272685_SPANISH_SQUAT_3S_M","C4B1_COND_37272685_SPANISH_SQUAT_3S|C4B1_COND_37272685_SPANISH_SQUAT_3S|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_SPANISH_SQUAT_3S","C4B1_OBS_37272685_SPANISH_SQUAT_3S_PEAK","","","2.6897","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_SPANISH_SQUAT_3S_T","C4B1_COND_37272685_SPANISH_SQUAT_3S|C4B1_COND_37272685_SPANISH_SQUAT_3S|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_SPANISH_SQUAT_3S","C4B1_OBS_37272685_SPANISH_SQUAT_3S_IMPULSE","C4B1_OBS_37272685_SPANISH_SQUAT_3S_RATE","","4.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_LUNGE_M","ex_64644b5e|C4B1_COND_37272685_LUNGE|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_LUNGE","C4B1_OBS_37272685_LUNGE_PEAK","","","2.8966","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_LUNGE_T","ex_64644b5e|C4B1_COND_37272685_LUNGE|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_LUNGE","C4B1_OBS_37272685_LUNGE_IMPULSE","C4B1_OBS_37272685_LUNGE_RATE","","3.0930","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_LUNGE_C","ex_64644b5e|C4B1_COND_37272685_LUNGE|KNEE_PATELLOFEMORAL|C","C","ORDERING_RULE_ONLY","C4B1_COND_37272685_LUNGE","","C4B1_OBS_37272685_LUNGE_CONTEXT","","","","","","","","","1","1","1","PASSED","NOT_AVERAGED","Structured protocol context is preserved without fabricating a scalar C score.","1.0.0","false"
"C4B1_DEC_37272685_DL_LATERAL_JUMP_FAST_M","C4B1_COND_37272685_DL_LATERAL_JUMP_FAST|C4B1_COND_37272685_DL_LATERAL_JUMP_FAST|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_DL_LATERAL_JUMP_FAST","C4B1_OBS_37272685_DL_LATERAL_JUMP_FAST_PEAK","","","2.5862","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_DL_LATERAL_JUMP_FAST_T","C4B1_COND_37272685_DL_LATERAL_JUMP_FAST|C4B1_COND_37272685_DL_LATERAL_JUMP_FAST|KNEE_PATELLOFEMORAL|T","T","WITHIN_CONDITION_PRIMARY_METRIC","C4B1_COND_37272685_DL_LATERAL_JUMP_FAST","C4B1_OBS_37272685_DL_LATERAL_JUMP_FAST_RATE","C4B1_OBS_37272685_DL_LATERAL_JUMP_FAST_IMPULSE","","3.0000","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
"C4B1_DEC_37272685_RUN_CUT_M","C4B1_COND_37272685_RUN_CUT|C4B1_COND_37272685_RUN_CUT|KNEE_PATELLOFEMORAL|M","M","EXACT_SINGLE_CONDITION","C4B1_COND_37272685_RUN_CUT","C4B1_OBS_37272685_RUN_CUT_PEAK","","","3.6071","","","","","","","1","1","1","PASSED","NOT_AVERAGED","The highest-priority metric represents the condition; other same-condition metrics remain supporting evidence and receive no independent weight.","1.0.0","false"
