"seedId","title","authorsOrLeadAuthor","year","journal","pmid","pmcid","doi","kciArticleId","language","targetComplexIds","targetTissueIds","candidateAxes","reportedMetrics","exerciseConditions","evidenceRelationCandidate","sourcePriority","accessStatus","verificationStatus","publicationIntegrityStatus","intendedUse","knownLimitations","notes"
"TISSUE_MTC_SEED_011","Patellofemoral and tibiofemoral joint loading during a single-leg forward hop following ACL reconstruction","Sritharan P|Schache AG|Culvenor AG|Perraton LG|Bryant AL|Morris HG|Whitehead TS|Crossley KM","2022","Journal of orthopaedic research : official publication of the Orthopaedic Research Society","33871078","","10.1002/jor.25053","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|KNEE_ACL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Limitation: postsurgical population","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_012","Patellofemoral joint force and stress between a short- and long-step forward lunge","Escamilla RF|Zheng N|Macleod TD|Edwards WB|Hreljac A|Fleisig GS|Wilk KE|Moorman CT 3rd|Imamura R|Andrews JR","2008","The Journal of orthopaedic and sports physical therapy","18978453","","10.2519/jospt.2008.2694","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_013","Patellofemoral compressive force and stress during the forward and side lunges with and without a stride","Escamilla RF|Zheng N|MacLeod TD|Edwards WB|Hreljac A|Fleisig GS|Wilk KE|Moorman CT 3rd|Imamura R","2008","Clinical biomechanics (Bristol, Avon)","18632195","","10.1016/j.clinbiomech.2008.05.002","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_014","Patellofemoral joint stress during weight-bearing and non-weight-bearing quadriceps exercises","Powers CM|Ho KY|Chen YJ|Souza RB|Farrokhi S","2014","The Journal of orthopaedic and sports physical therapy","24673446","","10.2519/jospt.2014.4936","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_015","Knee biomechanics of the dynamic squat exercise","Escamilla RF","2001","Medicine and science in sports and exercise","11194098","","10.1097/00005768-200101000-00020","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_ACL|KNEE_PCL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","VALIDATED_INTERNAL_MODEL","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_016","Knee joint kinetics in relation to commonly prescribed squat loads and depths","Cotter JA|Chaudhari AM|Jamison ST|Devor ST","2013","Journal of strength and conditioning research","23085977","PMC4064719","10.1519/JSC.0b013e3182773319","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Do not convert net joint moment directly to tissue force","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_017","Patellar tendon stress between two variations of the forward step lunge","Zellmer M|Kernozek TW|Gheidi N|Hove J|Torry M","2019","Journal of sport and health science","31193251","PMC6523035","10.1016/j.jshs.2016.12.005","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_018","External weight mass and carrying position influence peak patellar tendon force and patellofemoral joint contact force independently during forward lunge","Hagen M|Van Rossom S|Catelli DS|Verschueren S|Vanrenterghem J","2023","Clinical biomechanics (Bristol, Avon)","37856939","","10.1016/j.clinbiomech.2023.106127","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON|KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","VALIDATED_INTERNAL_MODEL","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_019","Peak Patellar Tendon Force Progressions During Heavy Load Single-Leg Squats on Level Ground and Decline Board","","2024","","","","","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","IDENTIFIER_NOT_REPORTED","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify exact title, DOI, journal, and publication status","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_020","Characterizing patellar tendon loading during the landing phases of a stop-jump task","Edwards S|Steele JR|Cook JL|Purdam CR|McGhee DE|Munro BJ","2012","Scandinavian journal of medicine & science in sports","20500557","","10.1111/j.1600-0838.2010.01119.x","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_021","Effects of Altering Trunk Position during Landings on Patellar Tendon Force and Pain","Scattone Silva R|Purdam CR|Fearon AM|Spratford WA|Kenneally-Dabrowski C|Preston P|Serrão FV|Gaida JE","2017","Medicine and science in sports and exercise","28704344","","10.1249/MSS.0000000000001369","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_022","Patellar Tendon Force Differs Depending on Jump-Landing Tasks and Estimation Methods","","","","","","10.3390/app12010488","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","PATELLAR_TENDON","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","IDENTIFIER_NOT_REPORTED","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify exact title and metadata","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_023","Patellofemoral Joint Loading During Forward and Side Lunge With Step-Height Variations","","","","","","","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","DISCOVERY","IDENTIFIER_NOT_REPORTED","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify exact identifier","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_024","Patellofemoral Joint Loading During Wall Squat and Ball Squat","","","","","","","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","INDEXED_ABSTRACT_CANDIDATE","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify PMID and DOI","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_025","Trunk and Shank Position Influences Patellofemoral Joint Stress in the Lead and Trail Limbs During Forward Lunge","","","","","","","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","INDEXED_ABSTRACT_CANDIDATE","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify PMID and DOI","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_026","Effect of hand support during squats on tibiofemoral and patellofemoral joint forces","Takeshita Y|Kiyama R|Kawada M|Nakai Y|Miyazaki T|Araki S|Nakashima S|Fukuda M|Shimose D|Suzuki R|Nishikawa T","2025","Journal of biomechanics","40532613","","10.1016/j.jbiomech.2025.112814","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_027","Estimation and Comparison of Knee Joint Contact Forces During Heel Contact and Heel Rise Deep Squatting","Kothurkar R|Lekurwale R|Gad M|Rathod CM","2023","Indian journal of orthopaedics","36777124","PMC9880086","10.1007/s43465-022-00798-y","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","VALIDATED_INTERNAL_MODEL","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_028","Patellofemoral Joint Stress During Front and Back Squats at Different Depths","","2025","","","","10.3390/app15168784","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_PATELLOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","IDENTIFIER_NOT_REPORTED","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify methods and publication integrity","Prompt section 19.2; research lead only; no claim or approval."
"TISSUE_MTC_SEED_029","Comparison of intersegmental tibiofemoral joint forces and muscle activity during various closed kinetic chain exercises","Stuart MJ|Meglan DA|Lutz GE|Growney ES|An KN","1996","The American journal of sports medicine","8947402","","10.1177/036354659602400615","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_TIBIOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","METRIC_EXTRACTED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify PMID","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_030","Quantified in vitro tibiofemoral contact during bodyweight back squats","Hale R|Green J|Hausselle J|Saxby D|Gonzalez RV","2018","Journal of biomechanics","30197151","","10.1016/j.jbiomech.2018.07.002","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","KNEE_TIBIOFEMORAL","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CADAVERIC_MECHANISM","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Cadaveric or simulation limitations","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_031","A biomechanical comparison of back and front squats in healthy trained individuals","Gullett JC|Tillman MD|Gutierrez GM|Chow JW","2009","Journal of strength and conditioning research","19002072","","10.1519/JSC.0b013e31818546bb","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_032","A biomechanical analysis of straight and hexagonal barbell deadlifts using submaximal loads","Swinton PA|Stewart A|Agouris I|Keogh JW|Lloyd R","2011","Journal of strength and conditioning research","21659894","","10.1519/JSC.0b013e3181e73f87","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_033","Hip and Knee Kinetics During a Back Squat and Deadlift","Choe KH|Coburn JW|Costa PB|Pamukoff DN","2021","Journal of strength and conditioning research","30335723","","10.1519/JSC.0000000000002908","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Net joint kinetics, not direct tissue force","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_034","Biomechanical Differences Between the Bulgarian Split-Squat and Back Squat","Mackey ER|Riemann BL","2021","International journal of exercise science","34055144","PMC8136570","10.70252/CIYT8956","","en","KNEE_EXTENSOR_CONTACT_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","CONTEXT_ONLY","HIGH","PUBMED_AND_PMC_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_035","Biomechanical effects of typical lower limb movements of Chen-style Tai Chi on knee joint","Liu H|Gong H|Chen P|Zhang L|Cen H|Fan Y","2023","Medical & biological engineering & computing","37624535","","10.1007/s11517-023-02906-y","","en","KNEE_MENISCAL_CARTILAGE_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","FINITE_ELEMENT_MECHANISM","HIGH","PUBMED_INDEXED","BIBLIOGRAPHICALLY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","LOWER_LIMB_MTC_RESEARCH_TRIAGE","Independent source and protocol verification required before extraction.","NCBI ESummary bibliographic verification 2026-07-15; research lead only; no claim or approval."
"TISSUE_MTC_SEED_036","Predicted Loading on the Menisci During Gait","","","","","","","","en","KNEE_MENISCAL_CARTILAGE_COMPLEX","","M|T|C","RESEARCH_LEAD_NOT_YET_EXTRACTED","NOT_YET_EXTRACTED","VALIDATED_INTERNAL_MODEL","HIGH","OPEN_ACCESS_CANDIDATE","UNVERIFIED_SEED","NOT_CHECKED","LOWER_LIMB_MTC_RESEARCH_TRIAGE","- Verify exact title and PMID","Prompt section 19.3; research lead only; no claim or approval."
