"loadUnitStableKey","loadUnitCode","tissueStableKey","tissueCode","membershipRole","defaultWeight","notes"
"lu_6079674d30","lu_distal_biceps_femoris_tendon","tissue_3d6a091a08","tissue_biceps_femoris_dist_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3d242daa59","lu_acl","tissue_8dc13da436","tissue_acl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_7d200f36f3","lu_pcl","tissue_01df1d3a7f","tissue_pcl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_ff22c06225","lu_mcl","tissue_e1557ece2b","tissue_mcl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_97b28d1cec","lu_lcl_plc","tissue_5b8a6e68ab","tissue_lcl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_97b28d1cec","lu_lcl_plc","tissue_8ac2bfa398","tissue_posterolateral_corner","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_6de10a05a1","lu_talocrural_joint","tissue_83bda2c0f8","tissue_talocrural_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_5d174b60fa","lu_subtalar_joint","tissue_1230e20433","tissue_subtalar_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_92bcd7c98b","lu_mid_forefoot_joint","tissue_3832a53585","tissue_midfoot_joint_complex","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_92bcd7c98b","lu_mid_forefoot_joint","tissue_5c8099689c","tissue_metatarsophalangeal_joint_complex","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_2d44aafe1e","lu_achilles_tendon","tissue_8ce649f960","tissue_achilles_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_26cb1f9f2c","lu_posterior_tibial_tendon","tissue_bd1b52b76b","tissue_posterior_tibial_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_df728dc186","lu_peroneal_tendon","tissue_3ae3c4c3c6","tissue_peroneal_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_192bb30a2e","lu_anterior_tibial_tendon","tissue_26b1feaeea","tissue_anterior_tibial_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_82e419cfd9","lu_plantar_fascia","tissue_3bfd473f31","tissue_plantar_fascia","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_f86f763ed7","lu_toe_flexor_tendon","tissue_ed62f76d96","tissue_flexor_hallucis_longus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_f86f763ed7","lu_toe_flexor_tendon","tissue_b6c1134d7b","tissue_flexor_digitorum_longus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_e7d26ea928","lu_atfl","tissue_951896d245","tissue_atfl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9508964ced","lu_cfl","tissue_97f0c7e0d4","tissue_cfl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_709fa6f6bd","lu_deltoid_ligament","tissue_fab091774b","tissue_deltoid_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_90b102bfdb","lu_ankle_syndesmosis","tissue_84c48815a9","tissue_anterior_inferior_tibiofibular_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_90b102bfdb","lu_ankle_syndesmosis","tissue_aa89d38a8f","tissue_interosseous_tibiofibular_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_f959f8aafb","lu_lisfranc_ligament","tissue_00f1f4e70d","tissue_lisfranc_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_cb820016df","lu_mtp_plantar_plate","tissue_f2e64c86e5","tissue_mtp_plantar_plate","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_d5838e52ca","lu_glenohumeral_joint","tissue_b30624a2b0","tissue_glenohumeral_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_211533cb7a","lu_acromioclavicular_joint","tissue_36333205dc","tissue_acromioclavicular_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3298f78330","lu_sternoclavicular_joint","tissue_70a3bb1152","tissue_sternoclavicular_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_0a858e59a0","lu_scapulothoracic_articulation","tissue_602356a435","tissue_scapulothoracic_articulation","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3e640e59e9","lu_rotator_cuff_posterosuperior","tissue_976c1a9c26","tissue_supraspinatus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3e640e59e9","lu_rotator_cuff_posterosuperior","tissue_514b348f95","tissue_infraspinatus_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_3e640e59e9","lu_rotator_cuff_posterosuperior","tissue_ed3eafe58e","tissue_teres_minor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9244162017","lu_subscapularis_tendon","tissue_ae1c99e3b2","tissue_subscapularis_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_641c50bab9","lu_long_head_biceps_tendon","tissue_5e2ccec798","tissue_long_head_biceps_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_889f90c55d","lu_pectoralis_major_tendon","tissue_5a54f92c2b","tissue_pectoralis_major_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_4a4649760b","lu_latissimus_teres_major_tendon","tissue_ee46bd1740","tissue_latissimus_dorsi_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_4a4649760b","lu_latissimus_teres_major_tendon","tissue_86a1e65e56","tissue_teres_major_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c8bfbfac3b","lu_deltoid_tendon","tissue_aabc5cfcea","tissue_deltoid_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9db157ba90","lu_glenohumeral_capsuloligament","tissue_8d017eed91","tissue_glenohumeral_ligament_complex","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9db157ba90","lu_glenohumeral_capsuloligament","tissue_9ab4c9cc90","tissue_coracohumeral_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_8df6cfe570","lu_ac_cc_ligament","tissue_e9120f4563","tissue_acromioclavicular_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_8df6cfe570","lu_ac_cc_ligament","tissue_7b4b07fabb","tissue_coracoclavicular_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_9cf6b4fc69","lu_glenoid_labrum","tissue_95b1b0da1b","tissue_glenoid_labrum","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a706efdddb","lu_elbow_joint","tissue_e30af10e4a","tissue_humeroulnar_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a706efdddb","lu_elbow_joint","tissue_8e5c3b2414","tissue_humeroradial_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c738cc0a37","lu_radioulnar_joint","tissue_4608205e92","tissue_proximal_radioulnar_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c738cc0a37","lu_radioulnar_joint","tissue_af7cdbd941","tissue_distal_radioulnar_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_1b115c8b4f","lu_distal_biceps_tendon","tissue_228c25da18","tissue_distal_biceps_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_63101fe8b2","lu_distal_triceps_tendon","tissue_7c9fa6743b","tissue_distal_triceps_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_52a0b0ba44","lu_common_flexor_pronator_tendon","tissue_6ab8c8af59","tissue_common_flexor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_52a0b0ba44","lu_common_flexor_pronator_tendon","tissue_a5051659e6","tissue_pronator_teres_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_b929d8ffe5","lu_common_extensor_supinator_tendon","tissue_45c03145ee","tissue_common_extensor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_b929d8ffe5","lu_common_extensor_supinator_tendon","tissue_bda5f6c880","tissue_supinator_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_a45742ef7a","lu_elbow_ucl","tissue_b3e48d57e3","tissue_elbow_ucl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_148c6ed411","lu_elbow_lcl","tissue_ec44a896fe","tissue_elbow_lcl","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_e11d5f58a5","lu_annular_ligament","tissue_21f8300cc1","tissue_annular_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_dec56c15d8","lu_wrist_joint","tissue_a19cc622c3","tissue_radiocarpal_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_dec56c15d8","lu_wrist_joint","tissue_5a830323a8","tissue_midcarpal_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_fb7a2d91e6","lu_tfcc","tissue_5b2967ff08","tissue_tfcc","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_bdb58738eb","lu_intercarpal_ligament","tissue_e8f0be87e6","tissue_scapholunate_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_bdb58738eb","lu_intercarpal_ligament","tissue_aadec158d8","tissue_lunotriquetral_ligament","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_8af4d2c3e7","lu_wrist_flexor_tendon","tissue_c98e4f0e0c","tissue_flexor_carpi_radialis_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_8af4d2c3e7","lu_wrist_flexor_tendon","tissue_4360531007","tissue_flexor_carpi_ulnaris_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_0fff8b2ee4","lu_wrist_extensor_tendon","tissue_c1221f5e4e","tissue_extensor_carpi_radialis_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_0fff8b2ee4","lu_wrist_extensor_tendon","tissue_2e1ef7f7e0","tissue_extensor_carpi_ulnaris_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c11995f705","lu_finger_flexor_pulley","tissue_c60f2bd1f5","tissue_finger_flexor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_c11995f705","lu_finger_flexor_pulley","tissue_1e675db416","tissue_finger_flexor_pulley","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_63aa4c5406","lu_thumb_tendon","tissue_79992391d4","tissue_thumb_abductor_extensor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_63aa4c5406","lu_thumb_tendon","tissue_b17725775d","tissue_thumb_flexor_tendon","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_6573d7bf8a","lu_hand_grip_joint_ligament","tissue_fcc58a85e8","tissue_finger_joint_complex","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_6573d7bf8a","lu_hand_grip_joint_ligament","tissue_ba1d866e61","tissue_thumb_cmc_joint","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
"lu_6573d7bf8a","lu_hand_grip_joint_ligament","tissue_e1c9db452e","tissue_hand_collateral_ligament_complex","COMPONENT","","분석 시 기본적으로 상위 load unit에 집계하며, 직접 근거가 있을 때만 component 해상도로 분리."
