"correctionDispositionId","affectedArtifactType","affectedArtifactId","replacementArtifactId","oldMechanicalLoadMode","newMechanicalLoadMode","oldTemporalMetric","newTemporalMetric","oldMeasurementMetric","newMeasurementMetric","oldNormalizationBasis","newNormalizationBasis","oldEventContext","newEventContext","oldMovementPhase","newMovementPhase","oldExternalLoadRepresentation","newExternalLoadRepresentation","oldEvidenceRelation","newEvidenceRelation","oldRubricKind","newRubricKind","correctionDecision","correctionReason","sourceIds","requiresAdditionalResearch","preparedBy","preparedByType","preparedAt","correctionNotes"
"C31CORR_17","MECHANICAL_MODE","END_RANGE_STRESS","","END_RANGE_STRESS","","","","","","","","","","","","","","","","","","CONTEXT_SEPARATED","Moved to position context.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_18","VALID_DIMENSION","ACH_TENSION_PEAK","ACH_TENSION_PEAK","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_19","VALID_DIMENSION","ACH_TENSION_IMPULSE_EVENT","ACH_TENSION_IMPULSE_EVENT","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_20","VALID_DIMENSION","ACH_TENSION_LOADING_RATE","ACH_TENSION_LOADING_RATE","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_21","VALID_DIMENSION","ACH_TENSION_CYCLIC","ACH_TENSION_CYCLIC","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_22","VALID_DIMENSION","ACH_ENERGY_PEAK","ACH_TENSION_ENERGY_RESPONSE_PEAK","ENERGY_STORAGE_RELEASE","TENSION","","","","","","","","","","","","","","","","","RECLASSIFIED","Context or tissue response was separated from physical mechanical loading.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_23","VALID_DIMENSION","ACH_ENERGY_CYCLIC","ACH_TENSION_ENERGY_RESPONSE_CYCLIC","ENERGY_STORAGE_RELEASE","TENSION","","","","","","","","","","","","","","","","","RECLASSIFIED","Context or tissue response was separated from physical mechanical loading.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_24","VALID_DIMENSION","PAT_TENSION_PEAK","PAT_TENSION_PEAK","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_25","VALID_DIMENSION","PAT_TENSION_IMPULSE_EVENT","PAT_TENSION_IMPULSE_EVENT","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_26","VALID_DIMENSION","PAT_TENSION_LOADING_RATE","PAT_TENSION_LOADING_RATE","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_27","VALID_DIMENSION","PAT_TENSION_CYCLIC","PAT_TENSION_CYCLIC","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_28","VALID_DIMENSION","PAT_ECCENTRIC_PEAK","PAT_ECCENTRIC_PEAK","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_29","VALID_DIMENSION","PAT_ECCENTRIC_IMPULSE","PAT_ECCENTRIC_IMPULSE","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_30","VALID_DIMENSION","QUAD_TENSION_PEAK","QUAD_TENSION_PEAK","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_31","VALID_DIMENSION","QUAD_TENSION_IMPULSE_EVENT","QUAD_TENSION_IMPULSE_EVENT","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_32","VALID_DIMENSION","QUAD_TENSION_LOADING_RATE","QUAD_TENSION_LOADING_RATE","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_33","VALID_DIMENSION","QUAD_TENSION_CYCLIC","QUAD_TENSION_CYCLIC","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_34","VALID_DIMENSION","QUAD_ECCENTRIC_PEAK","QUAD_ECCENTRIC_PEAK","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_35","VALID_DIMENSION","QUAD_ECCENTRIC_IMPULSE","QUAD_ECCENTRIC_IMPULSE","TENSION","TENSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_36","VALID_DIMENSION","PFJ_COMPRESSION_PEAK","PFJ_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_37","VALID_DIMENSION","PFJ_COMPRESSION_IMPULSE_EVENT","PFJ_COMPRESSION_IMPULSE_EVENT","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_38","VALID_DIMENSION","PFJ_COMPRESSION_LOADING_RATE","PFJ_COMPRESSION_LOADING_RATE","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_39","VALID_DIMENSION","PFJ_COMPRESSION_SESSION_IMPULSE","PFJ_COMPRESSION_SESSION_IMPULSE","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_40","VALID_DIMENSION","TFJ_COMPRESSION_PEAK","TFJ_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_41","VALID_DIMENSION","TFJ_COMPRESSION_IMPULSE_EVENT","TFJ_COMPRESSION_IMPULSE_EVENT","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_42","VALID_DIMENSION","TFJ_AP_SHEAR_PEAK","TFJ_AP_SHEAR_PEAK","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_43","VALID_DIMENSION","TFJ_AP_SHEAR_IMPULSE_EVENT","TFJ_AP_SHEAR_IMPULSE_EVENT","ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_44","VALID_DIMENSION","TFJ_ROTATIONAL_PEAK","TFJ_ROTATIONAL_PEAK","ROTATIONAL_STRESS","ROTATIONAL_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_45","VALID_DIMENSION","ACL_ANTERIOR_TRANSLATION_PEAK","ACL_ANTERIOR_TRANSLATION_PEAK","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_46","VALID_DIMENSION","ACL_INTERNAL_ROTATION_PEAK","ACL_INTERNAL_ROTATION_PEAK","INTERNAL_ROTATION_STRESS","INTERNAL_ROTATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_47","VALID_DIMENSION","ACL_VALGUS_PEAK","ACL_VALGUS_PEAK","VALGUS_STRESS","VALGUS_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_48","VALID_DIMENSION","ACL_IMPACT_PEAK","ACL_TENSION_PEAK","IMPACT_STABILIZATION","TENSION","","","","","","","","","","","","","","","","","RECLASSIFIED","Context or tissue response was separated from physical mechanical loading.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_49","VALID_DIMENSION","ACL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","","","","","","","","","","","","","","","","","REMOVED_UNSUPPORTED_INTERPRETATION","External loading context has no validated internal tissue mapping.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_50","VALID_DIMENSION","ACL_ANTERIOR_CYCLIC","ACL_ANTERIOR_CYCLIC","ANTERIOR_TRANSLATION_STRESS","ANTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_51","VALID_DIMENSION","PCL_POSTERIOR_TRANSLATION_PEAK","PCL_POSTERIOR_TRANSLATION_PEAK","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_52","VALID_DIMENSION","MCL_VALGUS_PEAK","MCL_VALGUS_PEAK","VALGUS_STRESS","VALGUS_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_53","VALID_DIMENSION","LCL_VARUS_PEAK","LCL_VARUS_PEAK","VARUS_STRESS","VARUS_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_54","VALID_DIMENSION","TALOCRURAL_COMPRESSION_PEAK","TALOCRURAL_COMPRESSION_PEAK","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_55","VALID_DIMENSION","TALOCRURAL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","","","","","","","","","","","","","","","","","REMOVED_UNSUPPORTED_INTERPRETATION","External loading context has no validated internal tissue mapping.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_56","VALID_DIMENSION","SUBTALAR_ROTATIONAL_PEAK","SUBTALAR_ROTATIONAL_PEAK","ROTATIONAL_STRESS","ROTATIONAL_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_57","VALID_DIMENSION","ANKLE_LATERAL_INVERSION_PEAK","ANKLE_LATERAL_INVERSION_PEAK","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_58","VALID_DIMENSION","ANKLE_LATERAL_IMPACT_LOADING_RATE","","IMPACT_STABILIZATION","","","","","","","","","","","","","","","","","","REMOVED_UNSUPPORTED_INTERPRETATION","External loading context has no validated internal tissue mapping.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_59","VALID_DIMENSION","ANKLE_LATERAL_INVERSION_CYCLIC","ANKLE_LATERAL_INVERSION_CYCLIC","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","","","","UNCHANGED_VALID","Physical dimension identity remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_60","METRIC_EXTRACTION","C3METRIC_10656979_PCL_FORCE","C3METRIC_10656979_PCL_FORCE","POSTERIOR_TRANSLATION_STRESS","POSTERIOR_TRANSLATION_STRESS","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_61","METRIC_EXTRACTION","C3METRIC_11949662_PFJ_PEAK","C3METRIC_11949662_PFJ_PEAK","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_62","METRIC_EXTRACTION","C3METRIC_18632195_PFJ_PEAK","C3METRIC_18632195_PFJ_PEAK","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_63","METRIC_EXTRACTION","C3METRIC_21092960_ACL_STRAIN","C31METRIC_21092960_ACL_TENSION_STRAIN","IMPACT_STABILIZATION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","RECLASSIFIED","Scientific identity or structured load condition corrected.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_64","METRIC_EXTRACTION","C3METRIC_25059338_CFL_10N","C3METRIC_25059338_CFL_10N","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_65","METRIC_EXTRACTION","C3METRIC_25059338_CFL_15N","C3METRIC_25059338_CFL_15N","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_66","METRIC_EXTRACTION","C3METRIC_25059338_CFL_5N","C3METRIC_25059338_CFL_5N","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_67","METRIC_EXTRACTION","C3METRIC_28145739_ACH_FORCE","C3METRIC_28145739_ACH_FORCE","TENSION","TENSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_68","METRIC_EXTRACTION","C3METRIC_30923576_ANKLE_PROXY","C3METRIC_30923576_ANKLE_PROXY","INVERSION_STRESS","INVERSION_STRESS","","","","","","","","","","","","","","UNVALIDATED_PROXY","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_69","METRIC_EXTRACTION","C3METRIC_31193251_PAT_IMPULSE","C3METRIC_31193251_PAT_IMPULSE","TENSION","TENSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_70","METRIC_EXTRACTION","C3METRIC_31193251_PAT_PEAK","C3METRIC_31193251_PAT_PEAK","TENSION","TENSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_71","METRIC_EXTRACTION","C3METRIC_31193251_PAT_RATE","C3METRIC_31193251_PAT_RATE","TENSION","TENSION","","","","","","","","","","","","","","VALIDATED_INTERNAL_MODEL","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_72","METRIC_EXTRACTION","C3METRIC_31593498_ACL_STRAIN","C31METRIC_31593498_ACL_TENSION_STRAIN","IMPACT_STABILIZATION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","RECLASSIFIED","Scientific identity or structured load condition corrected.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_73","METRIC_EXTRACTION","C3METRIC_32658037_ACH_COMPOSITE","C3METRIC_32658037_ACH_COMPOSITE","TENSION","TENSION","","","","","","","","","","","","","","CONTEXT_ONLY","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_74","METRIC_EXTRACTION","C3METRIC_35142563_ACH_HEEL12BW","C31METRIC_35142563_ACH_HEEL_ADDED20BW","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","LOAD_CONDITION_CORRECTED","Scientific identity or structured load condition corrected.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_75","METRIC_EXTRACTION","C3METRIC_35142563_ACH_HEELBW","C3METRIC_35142563_ACH_HEELBW","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_76","METRIC_EXTRACTION","C3METRIC_35142563_ACH_HOPLAND","C3METRIC_35142563_ACH_HOPLAND","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_77","METRIC_EXTRACTION","C3METRIC_35142563_ACH_RUN3","C3METRIC_35142563_ACH_RUN3","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_78","METRIC_EXTRACTION","C3METRIC_35142563_ACH_RUN5","C3METRIC_35142563_ACH_RUN5","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_79","METRIC_EXTRACTION","C3METRIC_35142563_ACH_WALK","C3METRIC_35142563_ACH_WALK","TENSION","TENSION","","","","","","","","","","","","","","DIRECT_INTERNAL_MEASUREMENT","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
"C31CORR_80","METRIC_EXTRACTION","C3METRIC_37272685_PFJ_COMPOSITE","C3METRIC_37272685_PFJ_COMPOSITE","COMPRESSION","COMPRESSION","","","","","","","","","","","","","","CONTEXT_ONLY","","","UNCHANGED_VALID","Source metric remains valid.","","false","Codex","AI_AGENT","2026-07-15T00:00:02Z","Historical C3 row remains immutable."
