"modifierRuleId","exerciseStableKey","loadUnitStableKey","contextType","factor","policyVersion","rationale","evidenceStatus","reviewStatus"
"cod_ex_bc84eb7f_lu_acc0225b21","ex_bc84eb7f","lu_acc0225b21","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_f4005dd228","ex_bc84eb7f","lu_f4005dd228","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_d7b54824bb","ex_bc84eb7f","lu_d7b54824bb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_9b1d33a6fa","ex_bc84eb7f","lu_9b1d33a6fa","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_6079674d30","ex_bc84eb7f","lu_6079674d30","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_3d242daa59","ex_bc84eb7f","lu_3d242daa59","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_7d200f36f3","ex_bc84eb7f","lu_7d200f36f3","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_ff22c06225","ex_bc84eb7f","lu_ff22c06225","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_97b28d1cec","ex_bc84eb7f","lu_97b28d1cec","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_6de10a05a1","ex_bc84eb7f","lu_6de10a05a1","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_5d174b60fa","ex_bc84eb7f","lu_5d174b60fa","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_92bcd7c98b","ex_bc84eb7f","lu_92bcd7c98b","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_2d44aafe1e","ex_bc84eb7f","lu_2d44aafe1e","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_26cb1f9f2c","ex_bc84eb7f","lu_26cb1f9f2c","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_df728dc186","ex_bc84eb7f","lu_df728dc186","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_192bb30a2e","ex_bc84eb7f","lu_192bb30a2e","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_82e419cfd9","ex_bc84eb7f","lu_82e419cfd9","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_f86f763ed7","ex_bc84eb7f","lu_f86f763ed7","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_e7d26ea928","ex_bc84eb7f","lu_e7d26ea928","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_9508964ced","ex_bc84eb7f","lu_9508964ced","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_709fa6f6bd","ex_bc84eb7f","lu_709fa6f6bd","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_90b102bfdb","ex_bc84eb7f","lu_90b102bfdb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_f959f8aafb","ex_bc84eb7f","lu_f959f8aafb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_bc84eb7f_lu_cb820016df","ex_bc84eb7f","lu_cb820016df","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_a9651bd8d7","ex_64422511","lu_a9651bd8d7","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_50d1389a95","ex_64422511","lu_50d1389a95","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_27b4a0df1d","ex_64422511","lu_27b4a0df1d","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_a7dd63adb6","ex_64422511","lu_a7dd63adb6","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_348ac6b7a6","ex_64422511","lu_348ac6b7a6","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_36ba10a736","ex_64422511","lu_36ba10a736","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_9462525798","ex_64422511","lu_9462525798","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_cd23e2d8c0","ex_64422511","lu_cd23e2d8c0","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_90281b5483","ex_64422511","lu_90281b5483","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed hip unit materially exposed by braking or multiplanar stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_bf3f500760","ex_64422511","lu_bf3f500760","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_9a06d0adb2","ex_64422511","lu_9a06d0adb2","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_acc0225b21","ex_64422511","lu_acc0225b21","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_f4005dd228","ex_64422511","lu_f4005dd228","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_d7b54824bb","ex_64422511","lu_d7b54824bb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_9b1d33a6fa","ex_64422511","lu_9b1d33a6fa","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_6079674d30","ex_64422511","lu_6079674d30","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_3d242daa59","ex_64422511","lu_3d242daa59","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_7d200f36f3","ex_64422511","lu_7d200f36f3","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_ff22c06225","ex_64422511","lu_ff22c06225","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_97b28d1cec","ex_64422511","lu_97b28d1cec","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed knee unit materially exposed by braking, compression, shear, or direction-change stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_6de10a05a1","ex_64422511","lu_6de10a05a1","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_5d174b60fa","ex_64422511","lu_5d174b60fa","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_92bcd7c98b","ex_64422511","lu_92bcd7c98b","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_2d44aafe1e","ex_64422511","lu_2d44aafe1e","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_26cb1f9f2c","ex_64422511","lu_26cb1f9f2c","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_df728dc186","ex_64422511","lu_df728dc186","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_192bb30a2e","ex_64422511","lu_192bb30a2e","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_82e419cfd9","ex_64422511","lu_82e419cfd9","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_f86f763ed7","ex_64422511","lu_f86f763ed7","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_e7d26ea928","ex_64422511","lu_e7d26ea928","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_9508964ced","ex_64422511","lu_9508964ced","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_709fa6f6bd","ex_64422511","lu_709fa6f6bd","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_90b102bfdb","ex_64422511","lu_90b102bfdb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed ankle unit materially exposed by braking, redirection, or repeated ground-contact stabilization.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
"cod_ex_64422511_lu_f959f8aafb","ex_64422511","lu_f959f8aafb","CHANGE_OF_DIRECTION_DECELERATION","1.09","RCV-COD-CONTEXT-1.0","Repeated rapid braking and redirection with high direction-change density. Reviewed foot unit materially exposed by redirection and repeated ground contact.","USER_APPROVED_BOUNDED_PRODUCT_POLICY","USER_APPROVED_LIMITED_CONTEXT_POLICY"
