"tissueStableKey","canonicalCode","canonicalNameKo","canonicalNameEn","tissueClass","bodyRegion","jointComplexStableKey","jointComplexCode","jointComplexNameKo","loadUnitStableKey","loadUnitCode","loadUnitNameKo","analysisResolution","splitPolicy","primaryLoadModes","recoveryClass","membershipRole","legacyAliases","existingLowerScoreRows","mappedExerciseCount","evidenceCodes","status","metadataVersion"
"tissue_50091b2878","tissue_hip_joint","고관절","Hip joint","JOINT","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_a9651bd8d7","lu_hip_joint","고관절","SINGLE","SINGLE","CONTACT_PRESSURE|COMPRESSION|SHEAR|TORSION","JOINT_CONTACT","COMPONENT","관절:고관절","45","96","S17|S06","ACTIVE","CTM-0.1"
"tissue_ad800125ab","tissue_iliofemoral_ligament","장골대퇴인대","Iliofemoral ligament","LIGAMENT","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_50d1389a95","lu_hip_capsuloligament","고관절 관절낭·인대 복합체","GROUP","GROUP","TENSION|TORSION|END_RANGE","LIGAMENT_STRAIN","COMPONENT","인대:장골대퇴인대·외측 관절낭 | 인대:치골대퇴인대·전내측 관절낭","2","35","META01","ACTIVE","CTM-0.1"
"tissue_d9a6eaf6d0","tissue_pubofemoral_ligament","치골대퇴인대","Pubofemoral ligament","LIGAMENT","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_50d1389a95","lu_hip_capsuloligament","고관절 관절낭·인대 복합체","GROUP","GROUP","TENSION|TORSION|END_RANGE","LIGAMENT_STRAIN","COMPONENT","인대:장골대퇴인대·외측 관절낭 | 인대:치골대퇴인대·전내측 관절낭","2","35","META01","ACTIVE","CTM-0.1"
"tissue_1d2e8944ba","tissue_ischiofemoral_ligament","좌골대퇴인대","Ischiofemoral ligament","LIGAMENT","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_50d1389a95","lu_hip_capsuloligament","고관절 관절낭·인대 복합체","GROUP","GROUP","TENSION|TORSION|END_RANGE","LIGAMENT_STRAIN","COMPONENT","인대:장골대퇴인대·외측 관절낭 | 인대:치골대퇴인대·전내측 관절낭","2","35","META01","ACTIVE","CTM-0.1"
"tissue_e4bd028575","tissue_biceps_femoris_long_head_prox_tendon","대퇴이두근 장두 근위건","Biceps femoris long-head proximal tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_27b4a0df1d","lu_proximal_hamstring_tendon","근위 햄스트링건 복합체","GROUP","GROUP","TENSION|STRETCH|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:근위 햄스트링건 복합체","25","57","S12|S13","ACTIVE","CTM-0.1"
"tissue_bacab6a4b8","tissue_semitendinosus_prox_tendon","반건양근 근위건","Semitendinosus proximal tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_27b4a0df1d","lu_proximal_hamstring_tendon","근위 햄스트링건 복합체","GROUP","GROUP","TENSION|STRETCH|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:근위 햄스트링건 복합체","25","57","S12|S13","ACTIVE","CTM-0.1"
"tissue_ea550bfa51","tissue_semimembranosus_prox_tendon","반막양근 근위건","Semimembranosus proximal tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_27b4a0df1d","lu_proximal_hamstring_tendon","근위 햄스트링건 복합체","GROUP","GROUP","TENSION|STRETCH|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:근위 햄스트링건 복합체","25","57","S12|S13","ACTIVE","CTM-0.1"
"tissue_7f007308a0","tissue_gluteus_maximus_tendon","대둔근건","Gluteus maximus tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_a7dd63adb6","lu_gluteus_maximus_tendon","대둔근건 복합체","GROUP","GROUP","TENSION|FORCE_TRANSFER","TENDON_LOAD","COMPONENT","건:대둔근건 복합체","27","85","S09|S10","ACTIVE","CTM-0.1"
"tissue_c9d3826a11","tissue_gluteus_medius_tendon","중둔근건","Gluteus medius tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_348ac6b7a6","lu_gluteus_med_min_tendon","중둔근·소둔근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|COMPRESSION","TENDON_LOAD","COMPONENT","건:소둔근건 | 건:중둔근·소둔근건 복합체 | 건:중둔근건","26","61","S15|S16","ACTIVE","CTM-0.1"
"tissue_1eaf4d14d8","tissue_gluteus_minimus_tendon","소둔근건","Gluteus minimus tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_348ac6b7a6","lu_gluteus_med_min_tendon","중둔근·소둔근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|COMPRESSION","TENDON_LOAD","COMPONENT","건:소둔근건 | 건:중둔근·소둔근건 복합체 | 건:중둔근건","26","61","S15|S16","ACTIVE","CTM-0.1"
"tissue_192d105b4a","tissue_adductor_longus_tendon","장내전근건","Adductor longus tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_36ba10a736","lu_adductor_tendon","내전근건 복합체","GROUP","GROUP","TENSION|STRETCH|TORSION","TENDON_LOAD","COMPONENT","건:내전근건 복합체 | 건:대내전근건 복합체 | 건:박근건 | 건:장내전근 근위건","10","30","S14","ACTIVE","CTM-0.1"
"tissue_eaf49ec189","tissue_adductor_magnus_tendon","대내전근건","Adductor magnus tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_36ba10a736","lu_adductor_tendon","내전근건 복합체","GROUP","GROUP","TENSION|STRETCH|TORSION","TENDON_LOAD","COMPONENT","건:내전근건 복합체 | 건:대내전근건 복합체 | 건:박근건 | 건:장내전근 근위건","10","30","S14","ACTIVE","CTM-0.1"
"tissue_05c4dec746","tissue_gracilis_tendon","박근건","Gracilis tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_36ba10a736","lu_adductor_tendon","내전근건 복합체","GROUP","GROUP","TENSION|STRETCH|TORSION","TENDON_LOAD","COMPONENT","건:내전근건 복합체 | 건:대내전근건 복합체 | 건:박근건 | 건:장내전근 근위건","10","30","S14","ACTIVE","CTM-0.1"
"tissue_58cb5518ad","tissue_rectus_femoris_prox_tendon","대퇴직근 근위건","Proximal rectus femoris tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_9462525798","lu_rectus_femoris_prox_tendon","대퇴직근 근위건 복합체","SINGLE","SINGLE","TENSION|STRETCH|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:대퇴직근 근위건 복합체","1","39","S24","ACTIVE","CTM-0.1"
"tissue_09652eadcf","tissue_iliopsoas_tendon","장요근건","Iliopsoas tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_cd23e2d8c0","lu_iliopsoas_tendon","장요근건 복합체","GROUP","GROUP","TENSION|REPETITIVE_GLIDING|STRETCH","TENDON_LOAD","COMPONENT","","0","38","META01","ACTIVE","CTM-0.1"
"tissue_2b018aef69","tissue_tensor_fasciae_latae_tendon","대퇴근막장근건","Tensor fasciae latae tendon","TENDON","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_90281b5483","lu_tfl_itb_proximal","대퇴근막장근·장경인대 근위복합체","GROUP","GROUP","TENSION|COMPRESSION|FORCE_TRANSFER","FASCIA_LOAD","COMPONENT","건:대퇴근막장근·장경인대 근위복합체","2","34","S15|S16","ACTIVE","CTM-0.1"
"tissue_e354177418","tissue_iliotibial_band","장경인대","Iliotibial band","FASCIA","HIP","jc_ae763d5994","jc_hip","고관절 복합체","lu_90281b5483","lu_tfl_itb_proximal","대퇴근막장근·장경인대 근위복합체","GROUP","GROUP","TENSION|COMPRESSION|FORCE_TRANSFER","FASCIA_LOAD","COMPONENT","건:대퇴근막장근·장경인대 근위복합체","2","34","S15|S16","ACTIVE","CTM-0.1"
"tissue_23a874341a","tissue_tibiofemoral_joint","경골대퇴관절","Tibiofemoral joint","JOINT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_bf3f500760","lu_tibiofemoral_joint","경골대퇴관절(TFJ)","SINGLE","SINGLE","CONTACT_PRESSURE|COMPRESSION|SHEAR|TORSION","JOINT_CONTACT","COMPONENT","관절:경골대퇴관절(TFJ)","51","84","J02|J08|S18","ACTIVE","CTM-0.1"
"tissue_91887f185f","tissue_patellofemoral_joint","슬개대퇴관절","Patellofemoral joint","JOINT","KNEE","jc_4201fb72f3","jc_knee_patellofemoral","슬개대퇴 복합체","lu_9a06d0adb2","lu_patellofemoral_joint","슬개대퇴관절(PFJ)","SINGLE","SINGLE","CONTACT_PRESSURE|COMPRESSION","JOINT_CONTACT","COMPONENT","관절:슬개대퇴관절(PFJ)","62","84","J01|J04|J10","ACTIVE","CTM-0.1"
"tissue_9958b6139b","tissue_medial_meniscus","내측 반월상연골","Medial meniscus","FIBROCARTILAGE","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_acc0225b21","lu_knee_meniscus","무릎 반월상연골 복합체","GROUP","GROUP","COMPRESSION|SHEAR|TORSION","FIBROCARTILAGE_COMPRESSION","COMPONENT","","0","69","META01","ACTIVE","CTM-0.1"
"tissue_a51d877bd2","tissue_lateral_meniscus","외측 반월상연골","Lateral meniscus","FIBROCARTILAGE","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_acc0225b21","lu_knee_meniscus","무릎 반월상연골 복합체","GROUP","GROUP","COMPRESSION|SHEAR|TORSION","FIBROCARTILAGE_COMPRESSION","COMPONENT","","0","69","META01","ACTIVE","CTM-0.1"
"tissue_7545ba6787","tissue_quadriceps_tendon","대퇴사두근건","Quadriceps tendon","TENDON","KNEE","jc_4201fb72f3","jc_knee_patellofemoral","슬개대퇴 복합체","lu_f4005dd228","lu_quadriceps_tendon","대퇴사두근건","SINGLE","SINGLE","TENSION|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:대퇴사두근건","35","70","T01|J01","ACTIVE","CTM-0.1"
"tissue_816066da61","tissue_patellar_tendon","슬개건","Patellar tendon","TENDON","KNEE","jc_4201fb72f3","jc_knee_patellofemoral","슬개대퇴 복합체","lu_d7b54824bb","lu_patellar_tendon","슬개건","SINGLE","SINGLE","TENSION|RAPID_STRAIN","TENDON_LOAD","COMPONENT","건:슬개건","64","70","T01|T06|T07","ACTIVE","CTM-0.1"
"tissue_5e8a64ca23","tissue_semitendinosus_dist_tendon","반건양근 원위건","Distal semitendinosus tendon","TENDON","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","원위 내측 햄스트링·박근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|TORSION","TENDON_LOAD","COMPONENT","건:원위 내측 햄스트링건 복합체 | 건:원위 햄스트링건 복합체 | 건:햄스트링건 복합체","9","42","S11|S13","ACTIVE","CTM-0.1"
"tissue_ebf759c79b","tissue_semimembranosus_dist_tendon","반막양근 원위건","Distal semimembranosus tendon","TENDON","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","원위 내측 햄스트링·박근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|TORSION","TENDON_LOAD","COMPONENT","건:원위 내측 햄스트링건 복합체 | 건:원위 햄스트링건 복합체 | 건:햄스트링건 복합체","9","42","S11|S13","ACTIVE","CTM-0.1"
"tissue_e6b6f00bf8","tissue_gracilis_dist_tendon","박근 원위건","Distal gracilis tendon","TENDON","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_9b1d33a6fa","lu_distal_medial_hamstring_tendon","원위 내측 햄스트링·박근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|TORSION","TENDON_LOAD","COMPONENT","건:원위 내측 햄스트링건 복합체 | 건:원위 햄스트링건 복합체 | 건:햄스트링건 복합체","9","42","S11|S13","ACTIVE","CTM-0.1"
"tissue_3d6a091a08","tissue_biceps_femoris_dist_tendon","대퇴이두근 원위건","Distal biceps femoris tendon","TENDON","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_6079674d30","lu_distal_biceps_femoris_tendon","원위 대퇴이두근건","SINGLE","SINGLE","TENSION|STABILIZATION|TORSION","TENDON_LOAD","COMPONENT","건:원위 대퇴이두근건","4","37","S11|S13","ACTIVE","CTM-0.1"
"tissue_8dc13da436","tissue_acl","전방십자인대(ACL)","Anterior cruciate ligament","LIGAMENT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_3d242daa59","lu_acl","전방십자인대(ACL)","SINGLE","SINGLE","TENSION|SHEAR|TORSION","LIGAMENT_STRAIN","COMPONENT","인대:전방십자인대(ACL)","68","74","L01|L02|L05","ACTIVE","CTM-0.1"
"tissue_01df1d3a7f","tissue_pcl","후방십자인대(PCL)","Posterior cruciate ligament","LIGAMENT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_7d200f36f3","lu_pcl","후방십자인대(PCL)","SINGLE","SINGLE","TENSION|SHEAR|TORSION","LIGAMENT_STRAIN","COMPONENT","인대:후방십자인대(PCL)","34","37","L03|L04","ACTIVE","CTM-0.1"
"tissue_e1557ece2b","tissue_mcl","내측측부인대(MCL)","Medial collateral ligament","LIGAMENT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_ff22c06225","lu_mcl","내측측부인대(MCL)","SINGLE","SINGLE","TENSION|SHEAR|TORSION","LIGAMENT_STRAIN","COMPONENT","인대:내측측부인대(MCL)","5","54","L07|L08","ACTIVE","CTM-0.1"
"tissue_5b8a6e68ab","tissue_lcl","외측측부인대","Lateral collateral ligament","LIGAMENT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_97b28d1cec","lu_lcl_plc","외측측부인대·후외측 복합체","GROUP","GROUP","TENSION|VARUS|TORSION","LIGAMENT_STRAIN","COMPONENT","","0","54","META01","ACTIVE","CTM-0.1"
"tissue_8ac2bfa398","tissue_posterolateral_corner","후외측 복합체","Posterolateral corner complex","LIGAMENT","KNEE","jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","lu_97b28d1cec","lu_lcl_plc","외측측부인대·후외측 복합체","GROUP","GROUP","TENSION|VARUS|TORSION","LIGAMENT_STRAIN","COMPONENT","","0","54","META01","ACTIVE","CTM-0.1"
"tissue_83bda2c0f8","tissue_talocrural_joint","거퇴관절","Talocrural joint","JOINT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_6de10a05a1","lu_talocrural_joint","거퇴관절","SINGLE","SINGLE","CONTACT_PRESSURE|COMPRESSION|SHEAR","JOINT_CONTACT","COMPONENT","관절:거퇴관절","37","53","J06|J07","ACTIVE","CTM-0.1"
"tissue_1230e20433","tissue_subtalar_joint","거골하관절","Subtalar joint","JOINT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_5d174b60fa","lu_subtalar_joint","거골하관절","SINGLE","SINGLE","CONTACT_PRESSURE|INVERSION_EVERSION|TORSION","JOINT_CONTACT","COMPONENT","관절:거골하관절","7","52","J06","ACTIVE","CTM-0.1"
"tissue_3832a53585","tissue_midfoot_joint_complex","중족부 관절 복합체","Midfoot joint complex","JOINT","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_92bcd7c98b","lu_mid_forefoot_joint","중족·전족부 관절 복합체","GROUP","GROUP","CONTACT_PRESSURE|BENDING|TORSION","JOINT_CONTACT","COMPONENT","","0","51","META01","ACTIVE","CTM-0.1"
"tissue_5c8099689c","tissue_metatarsophalangeal_joint_complex","중족지관절 복합체","Metatarsophalangeal joint complex","JOINT","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_92bcd7c98b","lu_mid_forefoot_joint","중족·전족부 관절 복합체","GROUP","GROUP","CONTACT_PRESSURE|BENDING|TORSION","JOINT_CONTACT","COMPONENT","","0","51","META01","ACTIVE","CTM-0.1"
"tissue_8ce649f960","tissue_achilles_tendon","아킬레스건","Achilles tendon","TENDON","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_2d44aafe1e","lu_achilles_tendon","아킬레스건","SINGLE","SINGLE","TENSION|RAPID_STRAIN|STRETCH_SHORTENING","TENDON_LOAD","COMPONENT","건:아킬레스건","64","69","T02|T03|T04|T05","ACTIVE","CTM-0.1"
"tissue_bd1b52b76b","tissue_posterior_tibial_tendon","후경골근건","Posterior tibial tendon","TENDON","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_26cb1f9f2c","lu_posterior_tibial_tendon","후경골근건","SINGLE","SINGLE","TENSION|STABILIZATION|INVERSION_EVERSION","TENDON_LOAD","COMPONENT","건:후경골근건","5","42","A01|A02","ACTIVE","CTM-0.1"
"tissue_3ae3c4c3c6","tissue_peroneal_tendon","비골근건 복합체","Peroneal tendon complex","TENDON","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_df728dc186","lu_peroneal_tendon","비골근건 복합체","GROUP","GROUP","TENSION|STABILIZATION|INVERSION_EVERSION","TENDON_LOAD","COMPONENT","건:비골근건 복합체","28","43","A01|A02","ACTIVE","CTM-0.1"
"tissue_26b1feaeea","tissue_anterior_tibial_tendon","전경골근건","Anterior tibial tendon","TENDON","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_192bb30a2e","lu_anterior_tibial_tendon","전경골근건","SINGLE","SINGLE","TENSION|REPETITIVE_GLIDING","TENDON_LOAD","COMPONENT","","0","11","META01","ACTIVE","CTM-0.1"
"tissue_3bfd473f31","tissue_plantar_fascia","족저근막","Plantar fascia","FASCIA","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_82e419cfd9","lu_plantar_fascia","족저근막 복합체","GROUP","GROUP","TENSION|BENDING|STRETCH_SHORTENING","FASCIA_LOAD","COMPONENT","","0","51","META01","ACTIVE","CTM-0.1"
"tissue_ed62f76d96","tissue_flexor_hallucis_longus_tendon","장무지굴근건","Flexor hallucis longus tendon","TENDON","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_f86f763ed7","lu_toe_flexor_tendon","발가락 굴곡건 복합체","GROUP","GROUP","TENSION|GRIP|STRETCH_SHORTENING","TENDON_LOAD","COMPONENT","","0","51","META01","ACTIVE","CTM-0.1"
"tissue_b6c1134d7b","tissue_flexor_digitorum_longus_tendon","장지굴근건","Flexor digitorum longus tendon","TENDON","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_f86f763ed7","lu_toe_flexor_tendon","발가락 굴곡건 복합체","GROUP","GROUP","TENSION|GRIP|STRETCH_SHORTENING","TENDON_LOAD","COMPONENT","","0","51","META01","ACTIVE","CTM-0.1"
"tissue_951896d245","tissue_atfl","전거비인대(ATFL)","Anterior talofibular ligament","LIGAMENT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_e7d26ea928","lu_atfl","전거비인대(ATFL)","SINGLE","SINGLE","TENSION|INVERSION_EVERSION|TORSION","LIGAMENT_STRAIN","COMPONENT","인대:전거비인대(ATFL)","37","43","A01|A02","ACTIVE","CTM-0.1"
"tissue_97f0c7e0d4","tissue_cfl","종비인대(CFL)","Calcaneofibular ligament","LIGAMENT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_9508964ced","lu_cfl","종비인대(CFL)","SINGLE","SINGLE","TENSION|INVERSION_EVERSION|TORSION","LIGAMENT_STRAIN","COMPONENT","인대:종비인대(CFL)","5","42","A01|A02","ACTIVE","CTM-0.1"
"tissue_fab091774b","tissue_deltoid_ligament","발목 삼각인대","Ankle deltoid ligament","LIGAMENT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_709fa6f6bd","lu_deltoid_ligament","발목 삼각인대 복합체","GROUP","GROUP","TENSION|EVERSION|TORSION","LIGAMENT_STRAIN","COMPONENT","","0","38","META01","ACTIVE","CTM-0.1"
"tissue_84c48815a9","tissue_anterior_inferior_tibiofibular_ligament","전하경비인대","Anterior inferior tibiofibular ligament","LIGAMENT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_90b102bfdb","lu_ankle_syndesmosis","원위 경비인대 결합 복합체","GROUP","GROUP","TENSION|EXTERNAL_ROTATION|DORSIFLEXION","LIGAMENT_STRAIN","COMPONENT","","0","38","META01","ACTIVE","CTM-0.1"
"tissue_aa89d38a8f","tissue_interosseous_tibiofibular_ligament","골간 경비인대","Interosseous tibiofibular ligament","LIGAMENT","ANKLE","jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","lu_90b102bfdb","lu_ankle_syndesmosis","원위 경비인대 결합 복합체","GROUP","GROUP","TENSION|EXTERNAL_ROTATION|DORSIFLEXION","LIGAMENT_STRAIN","COMPONENT","","0","38","META01","ACTIVE","CTM-0.1"
"tissue_00f1f4e70d","tissue_lisfranc_ligament","리스프랑 인대","Lisfranc ligament","LIGAMENT","FOOT","jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","lu_f959f8aafb","lu_lisfranc_ligament","리스프랑 인대 복합체","GROUP","GROUP","TENSION|TORSION|MIDFOOT_BENDING","LIGAMENT_STRAIN","COMPONENT","","0","38","META01","ACTIVE","CTM-0.1"
