"researchDecisionId","researchBatchId","tissueId","mechanicalLoadMode","temporalMetric","measurementMetric","targetStableKeys","database","searchQuery","searchDate","includedSourceIds","excludedSourceIds","decision","decisionReason","remainingBlocker","preparedBy","preparedByType","preparedAt","c3ResearchDecisionId","eventContext","movementPhase","positionContext","functionalDemand","tissueResponseMetric","evidenceRelation"
"C31DEC_ACL_IMPACT_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","","LOADING_RATE","GROUND_REACTION_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","KNEE_ACL IMPACT_STABILIZATION LOADING_RATE exercise external load ROM GROUND_REACTION_FORCE_LOADING_RATE","2026-07-14","","SRC_PMID_21092960","BLOCKED_NO_VALIDATED_PROXY","ACL strain peak is not ground-reaction loading rate.","Validated internal mapping required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_IMPACT_RATE","","","","IMPACT_ATTENUATION","","UNVALIDATED_PROXY"
"C31DEC_ACL_ROTATION","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","INTERNAL_ROTATION_STRESS","PEAK","EXTERNAL_JOINT_MOMENT","","PubMed|PubMed Central|Crossref","KNEE_ACL INTERNAL_ROTATION_STRESS PEAK exercise external load ROM EXTERNAL_JOINT_MOMENT","2026-07-14","","","BLOCKED_NO_VALIDATED_PROXY","Generic internal-rotation moment is not ACL strain.","Validated tissue-specific mapping required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_ROTATION","","","","","","UNVALIDATED_PROXY"
"C31DEC_ACL_VALGUS","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_ACL","VALGUS_STRESS","PEAK","EXTERNAL_JOINT_MOMENT","","PubMed|PubMed Central|Crossref","KNEE_ACL VALGUS_STRESS PEAK exercise external load ROM EXTERNAL_JOINT_MOMENT","2026-07-14","","","BLOCKED_NO_VALIDATED_PROXY","Generic valgus moment is not ACL strain.","Validated tissue-specific mapping required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ACL_VALGUS","","","","","","UNVALIDATED_PROXY"
"C31DEC_ANKLE_DELTOID_EVERSION","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_DELTOID_LIGAMENT","EVERSION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","","PubMed|PubMed Central|Crossref","ANKLE_DELTOID_LIGAMENT EVERSION_STRESS PEAK exercise external load ROM MODELED_LIGAMENT_FORCE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No exercise-specific primary source was verified in this batch.","Dedicated eversion-load research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ANKLE_DELTOID_EVERSION","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ANKLE_LAT_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_LATERAL_LIGAMENT_COMPLEX","INVERSION_STRESS","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","ANKLE_LATERAL_LIGAMENT_COMPLEX INVERSION_STRESS CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","","BLOCKED_MISSING_DOSE_INPUT","No compatible per-event exposure and count contract.","Per-event tissue metric and count required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ANKLE_LAT_CYCLIC","","","","","","CONTEXT_ONLY"
"C31DEC_ANKLE_LAT_INV","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_LATERAL_LIGAMENT_COMPLEX","INVERSION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","","PubMed|PubMed Central|Crossref","ANKLE_LATERAL_LIGAMENT_COMPLEX INVERSION_STRESS PEAK exercise external load ROM MODELED_LIGAMENT_FORCE","2026-07-14","SRC_PMID_25059338|SRC_PMID_30923576","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Passive inversion boundary evidence is not an exercise claim.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ANKLE_LAT_INV","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_ANKLE_LAT_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_LATERAL_LIGAMENT_COMPLEX","","LOADING_RATE","GROUND_REACTION_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","ANKLE_LATERAL_LIGAMENT_COMPLEX IMPACT_STABILIZATION LOADING_RATE exercise external load ROM GROUND_REACTION_FORCE_LOADING_RATE","2026-07-14","","","BLOCKED_NO_VALIDATED_PROXY","No validated external-to-ligament loading-rate mapping.","Validated mapping required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_ANKLE_LAT_RATE","","","","IMPACT_ATTENUATION","","UNVALIDATED_PROXY"
"C31DEC_MCL_VALGUS","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_MCL","VALGUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE","","PubMed|PubMed Central|Crossref","KNEE_MCL VALGUS_STRESS PEAK exercise external load ROM MODELED_LIGAMENT_FORCE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific MCL source was verified.","Primary exercise mechanics required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_MCL_VALGUS","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","SRC_PMID_37847102","BLOCKED_MISSING_DOSE_INPUT","No approved cumulative tendon dose model.","Valid event count required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_CYCLIC","","","","","","CONTEXT_ONLY"
"C31DEC_PAT_ECCENTRIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION ECCENTRIC_PHASE_PEAK exercise external load ROM MODELED_TENDON_FORCE","2026-07-14","","SRC_PMID_37847102","BLOCKED_INSUFFICIENT_EVIDENCE","Exercise names do not resolve phase-specific force.","Phase-resolved source values required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_ECCENTRIC","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_FORCE_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION PEAK exercise external load ROM MODELED_TENDON_FORCE","2026-07-14","SRC_PMID_37847102","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Exact bodyweight squat and Bulgarian values are retained without generic bands.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_FORCE_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION IMPULSE_PER_EVENT exercise external load ROM TENDON_FORCE_TIME_INTEGRAL","2026-07-14","SRC_PMID_37847102","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Impulse is reported separately but has no generic rubric.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION LOADING_RATE exercise external load ROM MODELED_TENDON_FORCE_LOADING_RATE","2026-07-14","SRC_PMID_37847102","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Condition-specific rates exist without generic boundaries.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_RATE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_STRAIN","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","PEAK","MEASURED_TENDON_STRAIN","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION PEAK exercise external load ROM MEASURED_TENDON_STRAIN","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","Reviewed isometric strain evidence is not transferable to requested dynamic tasks.","Dynamic exercise-specific direct strain evidence required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_STRAIN","","","","","","DIRECT_INTERNAL_MEASUREMENT"
"C31DEC_PAT_STRESS_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","IMPULSE_PER_EVENT","MODELED_TENDON_STRESS_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION IMPULSE_PER_EVENT exercise external load ROM MODELED_TENDON_STRESS_TIME_INTEGRAL","2026-07-14","SRC_PMID_31193251","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Stress impulse is not tendon force impulse.","No compatible rubric.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_STRESS_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_STRESS_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","PEAK","MODELED_TENDON_STRESS","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION PEAK exercise external load ROM MODELED_TENDON_STRESS","2026-07-14","SRC_PMID_31193251","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Forward-lunge knee-travel comparison is condition specific.","Exact numeric table extraction and cross-model comparison remain blocked.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_STRESS_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PAT_STRESS_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","PATELLAR_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_STRESS_LOADING_RATE","","PubMed|PubMed Central|Crossref","PATELLAR_TENDON TENSION LOADING_RATE exercise external load ROM MODELED_TENDON_STRESS_LOADING_RATE","2026-07-14","SRC_PMID_31193251","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Stress rate remains distinct from force rate.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PAT_STRESS_RATE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PCL_POSTERIOR","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_PCL","POSTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","","PubMed|PubMed Central|Crossref","KNEE_PCL POSTERIOR_TRANSLATION_STRESS PEAK exercise external load ROM MODELED_LIGAMENT_FORCE","2026-07-14","SRC_PMID_10656979","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Condition-specific modeled PCL force is retained without generic bands.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PCL_POSTERIOR","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PFJ_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_PATELLOFEMORAL","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","KNEE_PATELLOFEMORAL COMPRESSION IMPULSE_PER_EVENT exercise external load ROM JOINT_CONTACT_FORCE_TIME_INTEGRAL","2026-07-14","SRC_PMID_37272685","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Same-study impulse values remain separate from peak and rate.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PFJ_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PFJ_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_PATELLOFEMORAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","","PubMed|PubMed Central|Crossref","KNEE_PATELLOFEMORAL COMPRESSION PEAK exercise external load ROM MODELED_JOINT_CONTACT_FORCE","2026-07-14","SRC_PMID_37272685|SRC_PMID_11949662|SRC_PMID_18632195|SRC_PMID_40705768","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Values are preserved by exact source condition and model.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PFJ_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PFJ_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_PATELLOFEMORAL","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","KNEE_PATELLOFEMORAL COMPRESSION LOADING_RATE exercise external load ROM MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","2026-07-14","SRC_PMID_37272685","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","Same-study rates exist without generic boundaries.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PFJ_RATE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_PFJ_SESSION","TISSUE_C3_1_ONTOLOGY_CORRECTION","KNEE_PATELLOFEMORAL","COMPRESSION","CUMULATIVE_SESSION_IMPULSE","JOINT_CONTACT_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","KNEE_PATELLOFEMORAL COMPRESSION CUMULATIVE_SESSION_IMPULSE exercise external load ROM JOINT_CONTACT_FORCE_TIME_INTEGRAL","2026-07-14","SRC_PMID_37272685","","BLOCKED_MISSING_DOSE_INPUT","Per-event impulse exists but runtime event counts are not activated.","Valid repetitions or event counts and laterality required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_PFJ_SESSION","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_CYCLIC","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION CYCLIC_EXPOSURE exercise external load ROM SOURCE_DEFINED_CYCLIC_EXPOSURE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_CYCLIC","","","","","","CONTEXT_ONLY"
"C31DEC_QUAD_ECC_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_IMPULSE","TENDON_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION ECCENTRIC_PHASE_IMPULSE exercise external load ROM TENDON_FORCE_TIME_INTEGRAL","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_ECC_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_ECC_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION ECCENTRIC_PHASE_PEAK exercise external load ROM MODELED_TENDON_FORCE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_ECC_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_IMPULSE","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION IMPULSE_PER_EVENT exercise external load ROM TENDON_FORCE_TIME_INTEGRAL","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_IMPULSE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION PEAK exercise external load ROM MODELED_TENDON_FORCE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_RATE","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION LOADING_RATE exercise external load ROM MODELED_TENDON_FORCE_LOADING_RATE","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_RATE","","","","","","VALIDATED_INTERNAL_MODEL"
"C31DEC_QUAD_STRAIN","TISSUE_C3_1_ONTOLOGY_CORRECTION","QUADRICEPS_TENDON","TENSION","PEAK","MEASURED_TENDON_STRAIN","","PubMed|PubMed Central|Crossref","QUADRICEPS_TENDON TENSION PEAK exercise external load ROM MEASURED_TENDON_STRAIN","2026-07-14","","","BLOCKED_INSUFFICIENT_EVIDENCE","No compatible exercise-specific primary source was verified in this batch.","Dedicated quadriceps-tendon research required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_QUAD_STRAIN","","","","","","DIRECT_INTERNAL_MEASUREMENT"
"C31DEC_SUBTALAR_INVERSION","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_SUBTALAR","INVERSION_STRESS","PEAK","SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","","PubMed|PubMed Central|Crossref","ANKLE_SUBTALAR INVERSION_STRESS PEAK exercise external load ROM SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","2026-07-14","SRC_PMID_30923576","","BLOCKED_NO_VALIDATED_PROXY","Kinematic stability cannot be converted to tissue force.","Validated internal-load mapping required.","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_SUBTALAR_INVERSION","","","","","","UNVALIDATED_PROXY"
"C31DEC_SUBTALAR_ROTATION","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_SUBTALAR","ROTATIONAL_STRESS","PEAK","SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","","PubMed|PubMed Central|Crossref","ANKLE_SUBTALAR ROTATIONAL_STRESS PEAK exercise external load ROM SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","2026-07-14","SRC_PMID_30923576","","EVIDENCE_FOUND_BUT_NOT_COMPARABLE","In-vitro stability evidence is a source-specific proxy only.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_SUBTALAR_ROTATION","","","","","","UNVALIDATED_PROXY"
"C31DEC_TALOCRURAL_PEAK","TISSUE_C3_1_ONTOLOGY_CORRECTION","ANKLE_TALOCRURAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","","PubMed|PubMed Central|Crossref","ANKLE_TALOCRURAL COMPRESSION PEAK exercise external load ROM MODELED_JOINT_CONTACT_FORCE","2026-07-14","SRC_PMID_40705768","","SOURCE_CLAIMS_CREATED_NO_RUBRIC","Elite powerlifting squat ankle contact force is condition-bound.","","Codex","AI_AGENT","2026-07-14T01:00:03Z","C3DEC_TALOCRURAL_PEAK","","","","","","VALIDATED_INTERNAL_MODEL"
