"stableKey","canonicalDisplayName","canonicalCategory","movementVariant","laterality","externalLoadCapability","romCapability","jumpOrNonJump","referenceCondition","researchMappingStatus"
"ex_5004ca76","린단 참고 페이스 체인지 풋워크","BADMINTON_FOOTWORK","PACE_CHANGE_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_5c8751d2","시티드 카프 레이즈","ANKLE_CALF_SUPPORT","SEATED_CALF_RAISE","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","SEATED_HEEL_RAISE_15_KG_UNILATERAL_CONFIRMED","SOURCE_CONDITION_MISMATCH"
"ex_5ca7133f","싱글 레그 카프 레이즈","ANKLE_CALF_SUPPORT","SINGLE_LEG_CALF_RAISE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","STANDING_SINGLE_LEG_HEEL_RAISE_BODYWEIGHT","DIRECT_SOURCE_PROTOCOL"
"ex_64422511","랜덤 방향전환 드릴","BADMINTON_FOOTWORK","RANDOM_CHANGE_OF_DIRECTION_DRILL","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_64644b5e","런지","UNILATERAL_LOWER_STRENGTH","GENERIC_LUNGE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","STUDY_DEFINED_NON_JUMP_LUNGE","CLOSE_VARIANT_PROTOCOL_AUDIT_REQUIRED"
"ex_752b45ae","멀티셔틀 풋워크","BADMINTON_FOOTWORK","MULTI_SHUTTLE_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_7ce96a7a","프론트풋 엘리베이티드 스플릿 스쿼트","UNILATERAL_LOWER_STRENGTH","FRONT_FOOT_ELEVATED_SPLIT_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_85f12271","싱글 레그 박스 스쿼트","UNILATERAL_LOWER_ACCESSORY","SINGLE_LEG_BOX_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_8e69fc74","스플릿 스텝 리액션","BADMINTON_FOOTWORK","SPLIT_STEP_REACTION","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_9bd6dddb","줄넘기","ANKLE_SSC_CONDITIONING","JUMP_ROPE","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_a3ddd8ac","라인 홉","ANKLE_SSC_CONDITIONING","LINE_HOP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_a4040be3","셔틀런","BADMINTON_FOOTWORK","SHUTTLE_RUN","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_a4350c0f","콘 드릴","BADMINTON_FOOTWORK","CONE_DRILL","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_a611010d","코사크 스쿼트","UNILATERAL_LOWER_ACCESSORY","COSSACK_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_ac7df636","고블릿 스쿼트","KNEE_DOMINANT_ACCESSORY","GOBLET_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_b4b198de","래터럴 런지","UNILATERAL_LOWER_STRENGTH","LATERAL_LUNGE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_bb728af2","리어풋 엘리베이티드 스플릿 스쿼트","UNILATERAL_LOWER_STRENGTH","REAR_FOOT_ELEVATED_SPLIT_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_bc84eb7f","6방향 랜덤 콕줍기","BADMINTON_FOOTWORK","RANDOM_SHUTTLE_PICKUP_6_DIRECTION","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_bd072cd","스탠딩 카프 레이즈","ANKLE_CALF_SUPPORT","STANDING_CALF_RAISE","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c1bf2aa8","안세영 참고 고강도 랠리 풋워크","BADMINTON_FOOTWORK","HIGH_INTENSITY_RALLY_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c5043892","프론트 스쿼트","MAIN_LOWER_STRENGTH","FRONT_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c5f4c242","랜덤 비프 풋워크","BADMINTON_FOOTWORK","RANDOM_BEEP_FOOTWORK","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c6d9efef","스플릿 스텝","BADMINTON_FOOTWORK","SPLIT_STEP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c7977dfd","6코너 풋워크 최대반복 테스트","NOT_APPLICABLE","FOOTWORK_MAX_REPETITION_TEST_6_CORNER","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","SPORT_MOVEMENT","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_c8bcf3ce","리버스 런지","UNILATERAL_LOWER_STRENGTH","REVERSE_LUNGE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_cb3c4dc2","맨몸 스쿼트","BODYWEIGHT_LOWER_PATTERN","BODYWEIGHT_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","BODYWEIGHT_SQUAT_ROM_CONDITION_REQUIRED","SOURCE_CONDITION_BOUNDED"
"ex_d6726746","드롭 점프","PLYOMETRIC_POWER","DROP_JUMP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","DOUBLE_LEG_DROP_VERTICAL_JUMP","CLOSE_VARIANT_PROTOCOL_AUDIT_REQUIRED"
"ex_d67e5761","피스톨 스쿼트","UNILATERAL_LOWER_ACCESSORY","PISTOL_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_d9e141e4","박스 점프","PLYOMETRIC_POWER","BOX_JUMP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_df966b45","점프 런지","PLYOMETRIC_POWER","JUMP_LUNGE","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_e2efd0fe","불가리안 스플릿 스쿼트","UNILATERAL_LOWER_STRENGTH","BULGARIAN_SPLIT_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","STUDY_DEFINED_BULGARIAN_SQUAT","CLOSE_VARIANT_PROTOCOL_AUDIT_REQUIRED"
"ex_e3715c0b","워킹 런지","UNILATERAL_LOWER_STRENGTH","WALKING_LUNGE","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_e465d1e9","포고 점프","ANKLE_SSC_CONDITIONING","POGO_JUMP","TASK_DEPENDENT_OR_UNSPECIFIED","BODYWEIGHT_OR_PROTOCOL_DEFINED","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","JUMP_HOP_OR_LANDING","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_e9e97659","핵 스쿼트","MAIN_LOWER_STRENGTH","HACK_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_ee378da7","스케이터 스쿼트","UNILATERAL_LOWER_ACCESSORY","SKATER_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_f1d31d3d","원레그 핵 스쿼트","MAIN_LOWER_STRENGTH","SINGLE_LEG_HACK_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_f2a79d37","스플릿 스쿼트","UNILATERAL_LOWER_STRENGTH","SPLIT_SQUAT","UNILATERAL","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_f892893e","카프 레이즈","ANKLE_CALF_SUPPORT","CALF_RAISE","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
"ex_fa3416f6","스미스 머신 스쿼트","MAIN_LOWER_STRENGTH","SMITH_MACHINE_SQUAT","TASK_DEPENDENT_OR_UNSPECIFIED","EXTERNAL_LOAD_RECORDABLE","ROM_NOT_EXPLICITLY_RECORDED_IN_STABLE_KEY","NON_JUMP","NO_DIRECT_TISSUE_REFERENCE","AUDITED_NO_DIRECT_CLAIM"
