"profileId","biomechanicalMovementFamily","complexId","axis","operationalScore","provenanceTier","confidence","rubricId","coefficientSetId"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_KNEE_MENISCAL_CARTILAGE_COMPLEX_C","BADMINTON_FORWARD_LUNGE","KNEE_MENISCAL_CARTILAGE_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_MENISCAL_CARTILAGE_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CRUCIATE_LIGAMENT_COMPLEX_M","BADMINTON_FORWARD_LUNGE","CRUCIATE_LIGAMENT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CRUCIATE_LIGAMENT_COMPLEX_T","BADMINTON_FORWARD_LUNGE","CRUCIATE_LIGAMENT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CRUCIATE_LIGAMENT_COMPLEX_C","BADMINTON_FORWARD_LUNGE","CRUCIATE_LIGAMENT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","BADMINTON_FORWARD_LUNGE","CORONAL_ROTATIONAL_KNEE_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","BADMINTON_FORWARD_LUNGE","CORONAL_ROTATIONAL_KNEE_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","BADMINTON_FORWARD_LUNGE","CORONAL_ROTATIONAL_KNEE_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","BADMINTON_FORWARD_LUNGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","BADMINTON_FORWARD_LUNGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","BADMINTON_FORWARD_LUNGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","BADMINTON_FORWARD_LUNGE","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","BADMINTON_FORWARD_LUNGE","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","BADMINTON_FORWARD_LUNGE","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_LATERAL_ANKLE_STABILITY_COMPLEX_M","BADMINTON_FORWARD_LUNGE","LATERAL_ANKLE_STABILITY_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_LATERAL_ANKLE_STABILITY_COMPLEX_T","BADMINTON_FORWARD_LUNGE","LATERAL_ANKLE_STABILITY_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_LATERAL_ANKLE_STABILITY_COMPLEX_C","BADMINTON_FORWARD_LUNGE","LATERAL_ANKLE_STABILITY_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_SYNDESMOTIC_ROTATIONAL_COMPLEX_M","BADMINTON_FORWARD_LUNGE","SYNDESMOTIC_ROTATIONAL_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_SYNDESMOTIC_ROTATIONAL_COMPLEX_T","BADMINTON_FORWARD_LUNGE","SYNDESMOTIC_ROTATIONAL_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_SYNDESMOTIC_ROTATIONAL_COMPLEX_C","BADMINTON_FORWARD_LUNGE","SYNDESMOTIC_ROTATIONAL_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_SYNDESMOTIC_ROTATIONAL_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_MEDIAL_ANKLE_ARCH_COMPLEX_M","BADMINTON_FORWARD_LUNGE","MEDIAL_ANKLE_ARCH_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_MEDIAL_ANKLE_ARCH_COMPLEX_T","BADMINTON_FORWARD_LUNGE","MEDIAL_ANKLE_ARCH_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FORWARD_LUNGE_MEDIAL_ANKLE_ARCH_COMPLEX_C","BADMINTON_FORWARD_LUNGE","MEDIAL_ANKLE_ARCH_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_KNEE_EXTENSOR_CONTACT_COMPLEX_M","VERTICAL_JUMP","KNEE_EXTENSOR_CONTACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_KNEE_EXTENSOR_CONTACT_COMPLEX_T","VERTICAL_JUMP","KNEE_EXTENSOR_CONTACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_KNEE_EXTENSOR_CONTACT_COMPLEX_C","VERTICAL_JUMP","KNEE_EXTENSOR_CONTACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_KNEE_EXTENSOR_CONTACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_ANKLE_PROPULSION_IMPACT_COMPLEX_M","VERTICAL_JUMP","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_ANKLE_PROPULSION_IMPACT_COMPLEX_T","VERTICAL_JUMP","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_VERTICAL_JUMP_ANKLE_PROPULSION_IMPACT_COMPLEX_C","VERTICAL_JUMP","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","CALF_RAISE","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","CALF_RAISE","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","CALF_RAISE","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_MEDIAL_ANKLE_ARCH_COMPLEX_M","CALF_RAISE","MEDIAL_ANKLE_ARCH_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_MEDIAL_ANKLE_ARCH_COMPLEX_T","CALF_RAISE","MEDIAL_ANKLE_ARCH_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_CALF_RAISE_MEDIAL_ANKLE_ARCH_COMPLEX_C","CALF_RAISE","MEDIAL_ANKLE_ARCH_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_MEDIAL_ANKLE_ARCH_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","HINGE","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_M","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_T","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_HINGE_ANKLE_PROPULSION_IMPACT_COMPLEX_C","HINGE","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CRUCIATE_LIGAMENT_COMPLEX_M","BADMINTON_FOOTWORK","CRUCIATE_LIGAMENT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CRUCIATE_LIGAMENT_COMPLEX_T","BADMINTON_FOOTWORK","CRUCIATE_LIGAMENT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CRUCIATE_LIGAMENT_COMPLEX_C","BADMINTON_FOOTWORK","CRUCIATE_LIGAMENT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CRUCIATE_LIGAMENT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","BADMINTON_FOOTWORK","CORONAL_ROTATIONAL_KNEE_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","BADMINTON_FOOTWORK","CORONAL_ROTATIONAL_KNEE_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","BADMINTON_FOOTWORK","CORONAL_ROTATIONAL_KNEE_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_CORONAL_ROTATIONAL_KNEE_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_ANKLE_PROPULSION_IMPACT_COMPLEX_M","BADMINTON_FOOTWORK","ANKLE_PROPULSION_IMPACT_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_ANKLE_PROPULSION_IMPACT_COMPLEX_T","BADMINTON_FOOTWORK","ANKLE_PROPULSION_IMPACT_COMPLEX","T","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_T_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_ANKLE_PROPULSION_IMPACT_COMPLEX_C","BADMINTON_FOOTWORK","ANKLE_PROPULSION_IMPACT_COMPLEX","C","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_ANKLE_PROPULSION_IMPACT_COMPLEX_C_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
"MTC_FAMILY_BADMINTON_FOOTWORK_LATERAL_ANKLE_STABILITY_COMPLEX_M","BADMINTON_FOOTWORK","LATERAL_ANKLE_STABILITY_COMPLEX","M","2.0","MOVEMENT_FAMILY_DEFAULT","LOW","MTC_RUBRIC_LATERAL_ANKLE_STABILITY_COMPLEX_M_FAMILY_DEFAULT","TISSUE_MTC_C4A_0_1_1"
