"protocolClass","설명","diProfile","기능곡선","관절보호곡선","급성기계곡선","runtime flags","운동 수"
"AGILITY_COD_MODERATE","중간 방향전환·감속","DI_COD","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","COD_COUNT_RECOMMENDED","12"
"AGILITY_COD_MAX_REPEAT","최대·반복 방향전환","DI_COD","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","MAX_TEST|NO_DOWNSHIFT","4"
"CARDIO_LOW_IMPACT_CYCLIC","저충격 순환 유산소","DI_CARDIO_TIME","RCV_FUNC_ENDURANCE_SHORT","RCV_JOINT_PROTECTION_SHORT","RCV_CARTILAGE_FAST_LOWER","INTERVAL_ESCALATABLE","1"
"STAIR_ENDURANCE","계단 반복 지구력","DI_CARDIO_TIME","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_CARTILAGE_FAST_LOWER","DESCENT_CONTEXT","1"
"REPETITIVE_IMPACT_CARDIO","반복 충격 유산소","DI_CONTACT","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_TENDON_FAST_MECHANICAL","CONTACTS_REQUIRED","1"
"UPPER_LOCAL_CONTROLLED","상지 국소 근력·보조","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","FAILURE_ESCALATABLE","35"
"UPPER_GRIP_FOREARM","그립·손목·전완","DI_WEIGHTED_REP","RCV_GRIP_FOREARM_FAST","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","GRIP_RPE_RECOMMENDED|ECCENTRIC_ESCALATABLE","4"
"UPPER_COMPOUND_HORIZONTAL_PUSH","수평 밀기 복합근력","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","FAILURE_ESCALATABLE|WRIST_BEARING_IF_BODYWEIGHT","7"
"UPPER_DIP_PUSH","딥스·어깨 신전 밀기","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_CARTILAGE_UPPER_PROXY","DEPTH_CONTEXT|FAILURE_ESCALATABLE|ANTERIOR_SHOULDER_OVERRIDE","2"
"UPPER_OVERHEAD_PUSH","오버헤드 밀기","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","OVERHEAD_VOLUME|FAILURE_ESCALATABLE","12"
"UPPER_COMPOUND_HORIZONTAL_PULL","수평 당기기 복합근력","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","GRIP_RPE_RECOMMENDED|FAILURE_ESCALATABLE","16"
"UPPER_VERTICAL_PULL","수직 당기기","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","GRIP_RPE_RECOMMENDED|FAILURE_ESCALATABLE","4"
"UPPER_MAX_VERTICAL_PULL","중량 수직 당기기","DI_BODYWEIGHT_REP","RCV_FUNC_HIGH_FAILURE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","MAX_STRENGTH|VELOCITY_LOSS_ESCALATABLE","2"
"UPPER_ECCENTRIC_PULL","상지 고편심 당기기","DI_BODYWEIGHT_REP","RCV_FUNC_ECCENTRIC_DELAYED","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","DELAYED_PEAK|ECCENTRIC_SECONDS_REQUIRED","1"
"UPPER_SCAP_ROTATOR_CONTROL","견갑·회전근개 제어","DI_WEIGHTED_REP","RCV_FUNC_VERY_LIGHT","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","TECHNIQUE_QUALITY|PAIN_OVERRIDE","6"
"UPPER_BODYWEIGHT_WRIST_BEARING","손목 체중지지 상지운동","DI_BODYWEIGHT_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_CARTILAGE_UPPER_PROXY","WRIST_EXTENSION_CONTEXT|FAILURE_ESCALATABLE","6"
"TRUNK_DYNAMIC_CONTROLLED","몸통 동적 반복","DI_BODYWEIGHT_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","ROM_CONTEXT|FAILURE_ESCALATABLE","6"
"TRUNK_ISOMETRIC_CONTROL","몸통 등척성 제어","DI_HOLD","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","HOLD_FAILURE_ESCALATABLE","4"
"TRUNK_ROTATIONAL_POWER","몸통 회전 파워","DI_WEIGHTED_REP","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","MAX_INTENT_REQUIRED","1"
"TRUNK_ROTATION_CONTROLLED","몸통 회전·안티로테이션 제어","DI_WEIGHTED_REP","RCV_FUNC_LOCAL_CONTROLLED","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","","9"
"FULL_BODY_CONDITIONING","전신 컨디셔닝","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_CARTILAGE_FAST_LOWER","CONTACT_DENSITY_OPTIONAL","2"
"FULL_BODY_CONTROL","전신 제어·겟업","DI_WEIGHTED_REP","RCV_FUNC_COMPOUND_MODERATE","RCV_SHOULDER_SENSORIMOTOR_24","RCV_SPINAL_CREEP","TECHNIQUE_QUALITY","1"
"LOADED_CARRY","중량 운반","DI_CARRY","RCV_FUNC_COMPOUND_MODERATE","RCV_JOINT_PROTECTION_SHORT","RCV_TENDON_FAST_MECHANICAL","GRIP_RPE_REQUIRED|POSTURE_QUALITY","1"
"MEDBALL_ROTATIONAL_POWER","메디신볼 회전 파워","DI_THROW_POWER","RCV_FUNC_BALLISTIC_POWER","RCV_SHOULDER_SENSORIMOTOR_24","RCV_SPINAL_CREEP","THROWS_REQUIRED","7"
"MEDBALL_HORIZONTAL_POWER","메디신볼 수평 투사 파워","DI_THROW_POWER","RCV_FUNC_BALLISTIC_POWER","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","THROWS_REQUIRED|MAX_INTENT_REQUIRED","1"
"ROTATIONAL_POWER_LOADED","비투사식 회전 파워","DI_WEIGHTED_REP","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","MAX_INTENT_REQUIRED","6"
"MEDBALL_OVERHEAD_POWER","메디신볼 오버헤드 파워","DI_THROW_POWER","RCV_FUNC_BALLISTIC_POWER","RCV_SHOULDER_OVERHEAD_72","RCV_TENDON_FAST_MECHANICAL","THROWS_REQUIRED|OVERHEAD_VOLUME","2"
"MOBILITY_SPECIFIC","구체적 가동성","DI_MOBILITY_SPECIFIC","RCV_FUNC_VERY_LIGHT","RCV_JOINT_PROTECTION_SHORT","RCV_CARTILAGE_FAST_LOWER","NO_DEBT_IF_GENTLE","1"
"MOBILITY_GENERIC_UNRESOLVED","포괄 스트레칭(미해결)","DI_UNRESOLVED_GENERIC","RCV_FUNC_VERY_LIGHT","RCV_JOINT_PROTECTION_SHORT","RCV_CARTILAGE_UPPER_PROXY","UNRESOLVED_GENERIC","1"
"BADMINTON_SMASH_REPEAT","반복 스매시 테스트","DI_OVERHEAD_STROKE","RCV_SHOULDER_OVERHEAD_72","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","MAX_TEST|STROKES_REQUIRED","1"
"BADMINTON_SESSION","배드민턴 경기·자유게임","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","RALLIES_OPTIONAL|STROKES_OPTIONAL|COD_OPTIONAL","1"
"BADMINTON_LESSON","배드민턴 레슨","DI_SPORT_SESSION","RCV_FUNC_BALLISTIC_POWER","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","DRILL_COMPOSITION_REQUIRED|STROKES_OPTIONAL|COD_OPTIONAL","1"
"RACKET_SPORT_SESSION","라켓 스포츠 경기","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_SHOULDER_SENSORIMOTOR_24","RCV_LIGAMENT_FAST_CREEP","OVERHEAD_STROKES_OPTIONAL|COD_OPTIONAL","1"
"COURT_SPORT_SESSION","코트 점프·방향전환 경기","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","JUMPS_OPTIONAL|COD_OPTIONAL","1"
"FIELD_SPORT_SESSION","필드 러닝·방향전환 경기","DI_SPORT_SESSION","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_LIGAMENT_FAST_CREEP","SPRINTS_OPTIONAL|COD_OPTIONAL","2"
"RUNNING_STEADY","지속 러닝","DI_RUNNING","RCV_FUNC_ENDURANCE_SHORT","RCV_JOINT_PROTECTION_SHORT","RCV_CARTILAGE_FAST_LOWER","SESSION_SPIKE_CHECK","1"
"RUNNING_INTERVAL","인터벌 러닝","DI_RUNNING","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_TENDON_FAST_MECHANICAL","SPRINT_MINUTES|SESSION_SPIKE_CHECK","1"
"ROWING_CYCLIC","로잉 순환 유산소","DI_CARDIO_TIME","RCV_FUNC_ENDURANCE_SHORT","RCV_JOINT_PROTECTION_SHORT","RCV_SPINAL_CREEP","STROKE_RATE_OPTIONAL","1"
"SWIMMING_OVERHEAD_CYCLIC","수영 오버헤드 순환","DI_CARDIO_TIME","RCV_FUNC_ENDURANCE_HARD","RCV_SHOULDER_SENSORIMOTOR_24","RCV_TENDON_FAST_MECHANICAL","STROKE_COUNT_OPTIONAL|STROKE_TYPE_REQUIRED","1"
"TRACK_SPRINT_HIGH","트랙 전력질주","DI_RUNNING","RCV_FUNC_ENDURANCE_HARD","RCV_JOINT_PROTECTION_COD","RCV_TENDON_FAST_MECHANICAL","SPRINT_DISTANCE_REQUIRED|MAX_INTENT_REQUIRED","1"
