"code","domain","citation","use","url"
"J04","관절","Steinkamp et al., 1993 — Biomechanical Considerations in Patellofemoral Joint Rehabilitation","레그프레스와 레그익스텐션 PFJ 힘·stress의 관절각별 비교","https://pubmed.ncbi.nlm.nih.gov/8346760/"
"J05","관절","Fu et al., 2017 — Comparison of Joint Loading in Badminton Lunging Between Professional and Amateur Badminton Players","배드민턴 런지 무릎·발목 관절부하","https://pmc.ncbi.nlm.nih.gov/articles/PMC5485309/"
"J06","관절","Luo et al., 2023 — Effects of Fatigue on the In Vivo Kinematics and Kinetics of Talocrural and Subtalar Joints During Landing","착지 시 거퇴·거골하 관절 역학","https://pmc.ncbi.nlm.nih.gov/articles/PMC10566632/"
"J07","관절","Jang et al., 2024 — Muscle Contributions to Ankle Joint Contact Force During Drop Vertical Jumps","드롭점프 3축 발목 접촉력","https://pubmed.ncbi.nlm.nih.gov/38183761/"
"J08","관절","Bi et al., 2024 — Impact of Different Landing Heights on Tibiofemoral Medial Compartment Force During Drop Jumps","착지 높이별 TFJ 내측 구획 접촉력","https://pmc.ncbi.nlm.nih.gov/articles/PMC11259252/"
"J09","관절","Peng et al., 2023 — In Vivo Knee Biomechanics During Badminton Lunges at Different Directions","배드민턴 런지 방향별 무릎 운동학·근활성","https://pmc.ncbi.nlm.nih.gov/articles/PMC10768190/"
"J10","관절","Cotter et al., 2013 — Knee Joint Kinetics in Relation to Commonly Prescribed Squat Loads and Depths","스쿼트 깊이·중량과 무릎 kinetics","https://pmc.ncbi.nlm.nih.gov/articles/PMC4064719/"
"J11","관절","Escamilla et al., 2008 — Patellofemoral Compressive Force and Stress During Forward and Side Lunges","전방·측면 런지 PFJ 비교","https://pubmed.ncbi.nlm.nih.gov/18632195/"
"J12","관절","Song et al., 2023 — Effects of Step Length on Split Squat Biomechanics","스플릿스쿼트 보폭과 관절모멘트·ROM","https://pmc.ncbi.nlm.nih.gov/articles/PMC10667687/"
"J13","관절","Escamilla et al., 2022 — Patellofemoral Joint Loading During Forward and Side Lunge With Step Height Variations","런지 방향·스텝 높이 PFJ 비교","https://pmc.ncbi.nlm.nih.gov/articles/PMC8805090/"
"T01","건","Silva et al., 2023 — Patellar Tendon Load Progression During Rehabilitation Exercises","동일 코호트 다수 운동 슬개건 peak/rate/impulse 및 loading index","https://pmc.ncbi.nlm.nih.gov/articles/PMC10925836/"
"T02","건","Baxter et al., 2021 — Exercise Progression to Incrementally Load the Achilles Tendon","25개 운동 아킬레스 peak, impulse, loading rate","https://pubmed.ncbi.nlm.nih.gov/32658037/"
"T03","건","Revak et al., 2017 — Achilles Tendon Loading During Heel-Raising and -Lowering Exercises","앉은/양발/한발 힐레이즈 아킬레스 force·stress·strain","https://pmc.ncbi.nlm.nih.gov/articles/PMC5343533/"
"T04","건","Fukashiro et al., 1993 — Comparison Between Directly Measured Achilles Tendon Force and Estimated Force During Vertical Jumps","수직점프 아킬레스건 힘 직접·추정 비교","https://pubmed.ncbi.nlm.nih.gov/23915826/"
"T05","건","Zellers et al., 2021 — Free Achilles Tendon Strain During Rehabilitation, Locomotor, Jumping, and Landing Tasks","다양한 동적 과제의 아킬레스 strain","https://journals.physiology.org/doi/full/10.1152/japplphysiol.00662.2021"
"T06","건","Garcia et al., 2022 — Patellar Tendon Force Differs Depending on Jump-Landing Direction","수직·전방 점프착지 슬개건 힘 비교","https://www.mdpi.com/2076-3417/12/1/488"
"T07","건","Zellmer et al., 2019 — Patellar Tendon Stress Between Two Variations of the Forward Step Lunge","무릎 전방 이동에 따른 슬개건 stress","https://pmc.ncbi.nlm.nih.gov/articles/PMC6523035/"
"L01","인대","Heijne et al., 2004 — Strain on the Anterior Cruciate Ligament During Closed Kinetic Chain Exercises","스텝업·스텝다운·런지·편측 sit-to-stand ACL strain","https://pubmed.ncbi.nlm.nih.gov/15179161/"
"L02","인대","Beynnon et al., 1995 — ACL Strain Behavior During Rehabilitation Exercises","스쿼트·개방/폐쇄사슬 ACL in vivo strain","https://journals.sagepub.com/doi/10.1177/036354659502300105"
"L03","인대","Escamilla et al., 2009 — Cruciate Ligament Force During Wall Squat and One-Leg Squat","스쿼트 변형 ACL/PCL force 모델","https://pubmed.ncbi.nlm.nih.gov/19127183/"
"L04","인대","Escamilla et al., 2010 — Cruciate Ligament Forces During Forward and Side Lunges","런지 변형 ACL/PCL force","https://pubmed.ncbi.nlm.nih.gov/20004502/"
"L05","인대","Pflum et al., 2004 — Model Prediction of ACL Force During Drop-Landings","드롭착지 ACL force 모델","https://pubmed.ncbi.nlm.nih.gov/15514512/"
"L06","인대","Laughlin et al., 2011 — Effects of Single-Leg Landing Technique on ACL Loading","soft landing 지시와 ACL load 변화","https://pubmed.ncbi.nlm.nih.gov/21561623/"
"L07","인대","Hewett et al., 2005 — Biomechanical Measures of Neuromuscular Control and Valgus Loading Predict ACL Injury Risk","착지 무릎 외반·부하 맥락","https://pubmed.ncbi.nlm.nih.gov/15722287/"
"L08","인대","Shin et al., 2008 — Effect of Isolated Valgus Moments on ACL Strain During Single-Leg Landing","편측 착지 valgus와 ACL strain","https://pmc.ncbi.nlm.nih.gov/articles/PMC2663630/"
"A01","인대/발목","Wen et al., 2025 — Effects of Foot Rotation on Ankle Control and Injury Risk During Badminton Lunge Landings","배드민턴 런지 착지 발각도와 발목 제어","https://pmc.ncbi.nlm.nih.gov/articles/PMC12625552/"
"A02","인대/발목","Lin et al., 2019 — Landing Biomechanics in Athletes With Chronic Ankle Instability","착지 시 발목 안정성·역학 맥락","https://pmc.ncbi.nlm.nih.gov/articles/PMC6873120/"
"S01","척추/스쿼트","Gullett et al., 2009 — A Biomechanical Comparison of Back and Front Squats in Healthy Trained Individuals","백·프론트 스쿼트 관절압박·모멘트 및 몸통/바 위치 차이","https://pubmed.ncbi.nlm.nih.gov/19002072/"
"S02","척추/탄도 힌지","McGill & Marshall, 2012 — Kettlebell Swing, Snatch, and Bottoms-Up Carry: Back and Hip Muscle Activation, Motion, and Low Back Loads","케틀벨 스윙 요추 압박·전단·동작속도 맥락","https://pubmed.ncbi.nlm.nih.gov/21997449/"
"S03","힌지","Lee et al., 2018 — An Electromyographic and Kinetic Comparison of Conventional and Romanian Deadlifts","컨벤셔널·RDL의 관절모멘트와 근활성 차이","https://pmc.ncbi.nlm.nih.gov/articles/PMC6323186/"
"S04","척추","Khoddam-Khorasani et al., 2020 — Effect of Changes in the Lumbar Posture in Lifting on Trunk Muscle and Lumbar Passive Tissue Forces","요추 자세에 따른 능동·수동 조직, 압박·전단 맥락","https://pubmed.ncbi.nlm.nih.gov/32147242/"
"S05","힌지","Coratella et al., 2022 — An Electromyographic Analysis of Romanian, Step-Romanian, and Stiff-Leg Deadlift","RDL·스텝 RDL 변형의 후면사슬 근활성 근접 근거","https://pmc.ncbi.nlm.nih.gov/articles/PMC8835508/"
"S06","편측 힌지","Mo et al., 2023 — Effects of Loading Positions on the Activation of Trunk and Hip Muscles During Single-Leg Romanian Deadlift","싱글레그 RDL의 하중 위치와 몸통·고관절 안정화","https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/"
"S07","척추/피로","Ramirez et al., 2024 — Influence of Repetitions-to-Failure Deadlift on Lumbo-Pelvic Coordination","세트 후반 피로에 따른 요추-골반 협응 변화와 C/T 맥락","https://pmc.ncbi.nlm.nih.gov/articles/PMC11412553/"
"S08","편측 힌지","Diamant et al., 2021 — Comparison of EMG Activity Between Single-Leg Deadlift and Conventional Bilateral Deadlift","편측 힌지의 햄스트링·중둔근·척추기립근 상대 활성","https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/"
"S09","고관절 신전","Contreras et al., 2015 — A Comparison of Gluteus Maximus, Biceps Femoris, and Vastus Lateralis EMG During Back Squat and Barbell Hip Thrust","힙쓰러스트의 둔근·햄스트링 근접 부하 배분","https://pubmed.ncbi.nlm.nih.gov/26214739/"
"S10","고관절 신전","Delgado et al., 2019 — Comparison Between Back Squat, Romanian Deadlift, and Barbell Hip Thrust for Leg and Hip Muscle Activities","스쿼트·RDL·힙쓰러스트의 대퇴·둔근 상대 활성","https://pubmed.ncbi.nlm.nih.gov/31356511/"
"S11","햄스트링","Maeo et al., 2021 — Greater Hamstrings Muscle Hypertrophy but Similar Damage Protection After Training at Long Versus Short Muscle Lengths","시티드/프론 레그컬의 근길이·근위/원위 분배 근거","https://pubmed.ncbi.nlm.nih.gov/33009197/"
"S12","햄스트링","Raiteri et al., 2021 — Biceps Femoris Long Head Fascicle and Tendon Behavior During the Nordic Hamstring Exercise","노르딕의 편심 근섬유·건 거동","https://pubmed.ncbi.nlm.nih.gov/34179775/"
"S13","햄스트링","Van Hooren et al., 2022 — Muscle Forces and Fascicle Behavior During Nordic Hamstring, Roman Chair and Single-Leg Deadlift Exercises","노르딕·편측 힌지의 햄스트링 근건력 근접 추정","https://pmc.ncbi.nlm.nih.gov/articles/PMC9314024/"
"S14","고관절 내전","Serner et al., 2014 — EMG Evaluation of Hip Adduction Exercises for Soccer Players","내전 운동의 장내전근 활성 및 운동 선택","https://pubmed.ncbi.nlm.nih.gov/23511698/"
"S15","고관절 외전","Boren et al., 2011 — Electromyographic Analysis of Gluteus Medius and Gluteus Maximus During Rehabilitation Exercises","중둔근·대둔근 외전/안정화 운동 상대 활성","https://pmc.ncbi.nlm.nih.gov/articles/PMC3201064/"
"S16","고관절 외전","Distefano et al., 2009 — Gluteal Muscle Activation During Common Therapeutic Exercises","사이드워크·편측 운동의 둔근 활성 근접 근거","https://www.jospt.org/doi/10.2519/jospt.2009.2796"
"S17","계단/고관절","Bergmann et al., 2001 — Hip Contact Forces and Gait Patterns From Routine Activities","계단 오르내리기 고관절 접촉력","https://pubmed.ncbi.nlm.nih.gov/11410170/"
"S18","계단/무릎","Kutzner et al., 2010 — Loading of the Knee Joint During Activities of Daily Living Measured In Vivo in Five Subjects","계단·의자·보행의 경골대퇴 관절 접촉력","https://doi.org/10.1016/j.jbiomech.2010.03.046"
"S19","사이클/무릎","Ericson & Nisell, 1986–1987 — Patellofemoral Joint Forces During Ergometric Cycling; Tibiofemoral Joint Forces During Ergometer Cycling","사이클 강도·안장 높이에 따른 TFJ/PFJ 부하","https://pubmed.ncbi.nlm.nih.gov/3628491/ ; https://pubmed.ncbi.nlm.nih.gov/3728780/"
"S20","사이클/인대","Fleming et al., 1998 — The Strain Behavior of the Anterior Cruciate Ligament During Bicycling: An In Vivo Study","사이클 중 ACL strain과 저항/자세 맥락","https://pubmed.ncbi.nlm.nih.gov/9474411/"
"S21","스쿼트 변형","Goršič et al., 2020 — Biomechanical Comparisons of Back and Front Squats With a Straight Bar and Four Different Barbell Designs","바 위치·몸통 기울기와 하체/척추 kinetics","https://pmc.ncbi.nlm.nih.gov/articles/PMC8106690/"
"S22","고관절/등신전","Andersen et al., 2021 — Comparison of Muscle Activity in Three Single-Joint, Hip Extension Exercises","RDL·백익스텐션 계열의 둔근·햄스트링·척추기립근 활성","https://pmc.ncbi.nlm.nih.gov/articles/PMC8057707/"
"S23","척추/리프팅","von Arx et al., 2021 — From Stoop to Squat: A Comprehensive Analysis of Lumbar Loading Among Different Lifting Styles","스쿼트형·스툽형 리프팅의 분절별 압박·전단·시간차","https://pmc.ncbi.nlm.nih.gov/articles/PMC8599159/"
"S24","리버스 노르딕/대퇴직근","Alonso-Fernández et al., 2019 — Changes in Rectus Femoris Architecture Induced by the Reverse Nordic Hamstring Exercise","리버스 노르딕이 대퇴직근 장근길이 편심 운동이라는 직접 근거","https://pubmed.ncbi.nlm.nih.gov/30293403/"
"MT01","M/T 분리","Maffiuletti et al., 2016 — Rate of Force Development: Physiological and Methodological Considerations","RFD가 force/torque-time curve에서 파생되는 부하 급속도 지표라는 정의","https://pmc.ncbi.nlm.nih.gov/articles/PMC4875063/"
"MT02","건 부하","Baxter et al., 2021 — Exercise Progression to Incrementally Load the Achilles Tendon","건 부하를 magnitude, duration, rate로 구분해 운동 진행을 설계","https://pubmed.ncbi.nlm.nih.gov/32658037/"
"MT03","Peak/Rate/Impulse","Silva et al., 2024 — Patellar Tendon Loading Profiles and Implications for Treatment","loading peak, loading rate, loading impulse를 별도 변수로 측정","https://pubmed.ncbi.nlm.nih.gov/37847102/"
"MT04","Dose 분리","Bohm et al., 2014 — Human Achilles Tendon Plasticity in Response to Cyclic Strain","strain magnitude, duration, repetitive loading을 별도 적응 요소로 구분","https://pubmed.ncbi.nlm.nih.gov/25267851/"
