"axisScaleId","targetId","axis","physicalMetricType","normalizationBasis","measurementFamily","comparisonFamily","populationScope","conditionFamily","version"
"MTC_SCALE_QUADRICEPS_TENDON_T","QUADRICEPS_TENDON","T","T_ECCENTRIC_DURATION","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_TENDON_IMPULSE","QUADRICEPS_TENDON_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_QUADRICEPS_TENDON_C","QUADRICEPS_TENDON","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","QUADRICEPS_TENDON_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_ACL_M","KNEE_ACL","M","M_PEAK_LIGAMENT_STRAIN","ABSOLUTE_FORCE_NEWTON","LIGAMENT_STRAIN","ACL_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_ACL_T","KNEE_ACL","T","T_PEAK_TIMING","UNNORMALIZED_SOURCE_VALUE","LIGAMENT_STRAIN_RATE","ACL_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_ACL_C","KNEE_ACL","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","ACL_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_PCL_M","KNEE_PCL","M","M_PEAK_LIGAMENT_STRAIN","ABSOLUTE_FORCE_NEWTON","LIGAMENT_STRAIN","PCL_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_PCL_T","KNEE_PCL","T","T_DEEP_FLEXION_DURATION","UNNORMALIZED_SOURCE_VALUE","LIGAMENT_STRAIN_RATE","PCL_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_PCL_C","KNEE_PCL","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","PCL_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_MENISCAL_CARTILAGE_COMPLEX_M","KNEE_MENISCAL_CARTILAGE_COMPLEX","M","M_PEAK_CONTACT_STRESS","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE","MENISCAL_FORCE","MENISCUS_CARTILAGE_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_MENISCAL_CARTILAGE_COMPLEX_T","KNEE_MENISCAL_CARTILAGE_COMPLEX","T","T_PRESSURE_TIME_PROFILE","UNNORMALIZED_SOURCE_VALUE","PRESSURE_TIME","MENISCUS_CARTILAGE_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_KNEE_MENISCAL_CARTILAGE_COMPLEX_C","KNEE_MENISCAL_CARTILAGE_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","MENISCUS_CARTILAGE_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","M_PEAK_MTU_FORCE","ABSOLUTE_FORCE_NEWTON","MUSCLE_TENDON_FORCE","HAMSTRING_TISSUE_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","T_LENGTHENING_VELOCITY","UNNORMALIZED_SOURCE_VALUE","VELOCITY","HAMSTRING_TISSUE_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","HAMSTRING_TISSUE_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_HAMSTRING_DYNAMIC_STABILIZATION_M","HAMSTRING_DYNAMIC_STABILIZATION","M","M_STABILIZATION_DEMAND","UNNORMALIZED_SOURCE_VALUE","ACTIVATION_DEMAND","HAMSTRING_STABILIZATION_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_HAMSTRING_DYNAMIC_STABILIZATION_T","HAMSTRING_DYNAMIC_STABILIZATION","T","T_ACTIVATION_TIMING","UNNORMALIZED_SOURCE_VALUE","ACTIVATION_TIMING","HAMSTRING_STABILIZATION_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_HAMSTRING_DYNAMIC_STABILIZATION_C","HAMSTRING_DYNAMIC_STABILIZATION","C","C_STRUCTURED_STABILIZATION_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","HAMSTRING_STABILIZATION_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ACHILLES_TENDON_M","ACHILLES_TENDON","M","M_PEAK_TENDON_FORCE","ABSOLUTE_FORCE_NEWTON","INTERNAL_TENDON_FORCE","ACHILLES_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ACHILLES_TENDON_T","ACHILLES_TENDON","T","T_IMPULSE_PER_EVENT","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_TENDON_IMPULSE","ACHILLES_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ACHILLES_TENDON_C","ACHILLES_TENDON","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","ACHILLES_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_TALOCRURAL_M","ANKLE_TALOCRURAL","M","M_PEAK_COMPRESSION","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE","INTERNAL_JOINT_FORCE","TALOCRURAL_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_TALOCRURAL_T","ANKLE_TALOCRURAL","T","T_IMPULSE_PER_EVENT","BODY_WEIGHT_NORMALIZED_IMPULSE","INTERNAL_JOINT_IMPULSE","TALOCRURAL_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_TALOCRURAL_C","ANKLE_TALOCRURAL","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","TALOCRURAL_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_LATERAL_LIGAMENT_COMPLEX_M","ANKLE_LATERAL_LIGAMENT_COMPLEX","M","M_PEAK_LIGAMENT_STRAIN","ABSOLUTE_FORCE_NEWTON","LIGAMENT_STRAIN","LATERAL_ANKLE_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_LATERAL_LIGAMENT_COMPLEX_T","ANKLE_LATERAL_LIGAMENT_COMPLEX","T","T_STRAIN_RATE","UNNORMALIZED_SOURCE_VALUE","LIGAMENT_STRAIN_RATE","LATERAL_ANKLE_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_ANKLE_LATERAL_LIGAMENT_COMPLEX_C","ANKLE_LATERAL_LIGAMENT_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","LATERAL_ANKLE_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PERONEAL_DYNAMIC_STABILIZATION_M","PERONEAL_DYNAMIC_STABILIZATION","M","M_EVERSION_RESPONSE_DEMAND","UNNORMALIZED_SOURCE_VALUE","ACTIVATION_DEMAND","PERONEAL_STABILIZATION_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PERONEAL_DYNAMIC_STABILIZATION_T","PERONEAL_DYNAMIC_STABILIZATION","T","T_RESPONSE_LATENCY","UNNORMALIZED_SOURCE_VALUE","RESPONSE_LATENCY","PERONEAL_STABILIZATION_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_PERONEAL_DYNAMIC_STABILIZATION_C","PERONEAL_DYNAMIC_STABILIZATION","C","C_STRUCTURED_STABILIZATION_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","PERONEAL_STABILIZATION_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_SYNDESMOTIC_ROTATIONAL_COMPLEX_M","SYNDESMOTIC_ROTATIONAL_COMPLEX","M","M_PEAK_LIGAMENT_STRAIN","ABSOLUTE_FORCE_NEWTON","LIGAMENT_STRAIN","SYNDESMOSIS_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_SYNDESMOTIC_ROTATIONAL_COMPLEX_T","SYNDESMOTIC_ROTATIONAL_COMPLEX","T","T_STRAIN_RATE","UNNORMALIZED_SOURCE_VALUE","LIGAMENT_STRAIN_RATE","SYNDESMOSIS_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_SYNDESMOTIC_ROTATIONAL_COMPLEX_C","SYNDESMOTIC_ROTATIONAL_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","SYNDESMOSIS_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_MEDIAL_ANKLE_ARCH_COMPLEX_M","MEDIAL_ANKLE_ARCH_COMPLEX","M","M_PEAK_LIGAMENT_STRAIN","ABSOLUTE_FORCE_NEWTON","LIGAMENT_STRAIN","MEDIAL_ANKLE_ARCH_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_MEDIAL_ANKLE_ARCH_COMPLEX_T","MEDIAL_ANKLE_ARCH_COMPLEX","T","T_TIME_UNDER_LOAD","UNNORMALIZED_SOURCE_VALUE","DURATION","MEDIAL_ANKLE_ARCH_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_MEDIAL_ANKLE_ARCH_COMPLEX_C","MEDIAL_ANKLE_ARCH_COMPLEX","C","C_STRUCTURED_MECHANICAL_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","MEDIAL_ANKLE_ARCH_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION_M","POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION","M","M_ARCH_STABILIZATION_DEMAND","UNNORMALIZED_SOURCE_VALUE","ACTIVATION_DEMAND","POSTERIOR_TIBIAL_STABILIZATION_MAGNITUDE","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION_T","POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION","T","T_ACTIVATION_TIMING","UNNORMALIZED_SOURCE_VALUE","ACTIVATION_TIMING","POSTERIOR_TIBIAL_STABILIZATION_TEMPORAL","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
"MTC_SCALE_POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION_C","POSTERIOR_TIBIAL_DYNAMIC_STABILIZATION","C","C_STRUCTURED_STABILIZATION_CONTEXT","UNNORMALIZED_SOURCE_VALUE","STRUCTURED_CONTEXT","POSTERIOR_TIBIAL_STABILIZATION_CONTEXT","HEALTHY_ADULT_OPERATIONAL","DECLARED_SOURCE_OR_INHERITED_CONDITION","1.0.0"
