"axisMetricRuleId","targetType","targetId","profileKind","axis","primaryMetricTypes","secondaryMetricTypes","forbiddenMetricTypes","allowedMeasurementFamilies","allowedNormalizationBases","requiredContextFields","comparisonFamily","rubricEligible","operationalFallbackEligible","biomechanicalMeaning","limitations","version"
"MTC_QUAD_T","TISSUE","QUADRICEPS_TENDON","TISSUE_MECHANICAL_LOAD","T","T_ECCENTRIC_DURATION|T_TIME_UNDER_LOAD","T_LOADING_RATE","M_PEAK_TENDON_FORCE","INTERNAL_TENDON_IMPULSE|INTERNAL_TENDON_LOADING_RATE|DURATION","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_PHASE|EVENT_BOUNDARY","QUADRICEPS_TENDON_TEMPORAL","true","true","Duration and development of tendon exposure.","Duration requires phase segmentation.","1.0.0"
"MTC_QUAD_C","TISSUE","QUADRICEPS_TENDON","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_DEEP_FLEXION|C_FORCE_TRANSMISSION_GEOMETRY","M_PEAK_TENDON_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|DEEP_FLEXION|KNEE_ANGLE|FORCE_TRANSMISSION_GEOMETRY","QUADRICEPS_TENDON_CONTEXT","true","true","Deep-flexion and patellar force-transmission geometry.","Context remains separate from magnitude.","1.0.0"
"MTC_ACL_M","TISSUE","KNEE_ACL","TISSUE_MECHANICAL_LOAD","M","M_PEAK_LIGAMENT_STRAIN|M_PEAK_LIGAMENT_FORCE","","C_ANTERIOR_SHEAR_MECHANISM","LIGAMENT_STRAIN|INTERNAL_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|MEASURED_LIGAMENT_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_PHASE","ACL_MAGNITUDE","true","true","Peak ACL strain or modeled force.","Kinematic risk factors are not magnitude measurements.","1.0.0"
"MTC_ACL_T","TISSUE","KNEE_ACL","TISSUE_MECHANICAL_LOAD","T","T_PEAK_TIMING|T_STRAIN_RATE|T_TIME_ABOVE_THRESHOLD","","M_PEAK_LIGAMENT_STRAIN","LIGAMENT_STRAIN_RATE|TIMING|DURATION","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|CONTACT_REFERENCE|EVENT_BOUNDARY","ACL_TEMPORAL","true","true","Timing and rate of ACL exposure.","Timing reference must be explicit.","1.0.0"
"MTC_ACL_C","TISSUE","KNEE_ACL","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_ANTERIOR_SHEAR_MECHANISM|C_ROTATION","M_PEAK_LIGAMENT_STRAIN","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE|SHEAR_MECHANISM|ROTATION|LANDING_PHASE|BRAKING_PHASE","ACL_CONTEXT","true","true","Structured anterior-shear and rotational exposure context.","Landing task alone does not establish ligament strain.","1.0.0"
"MTC_PCL_M","TISSUE","KNEE_PCL","TISSUE_MECHANICAL_LOAD","M","M_PEAK_LIGAMENT_STRAIN|M_PEAK_LIGAMENT_FORCE","","C_POSTERIOR_SHEAR_MECHANISM","LIGAMENT_STRAIN|INTERNAL_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|MEASURED_LIGAMENT_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE","PCL_MAGNITUDE","true","true","Peak PCL strain or modeled ligament force.","Posterior translation is context unless directly measured and validated.","1.0.0"
"MTC_PCL_T","TISSUE","KNEE_PCL","TISSUE_MECHANICAL_LOAD","T","T_DEEP_FLEXION_DURATION|T_STRAIN_RATE","T_TIME_ABOVE_THRESHOLD","M_PEAK_LIGAMENT_FORCE","LIGAMENT_STRAIN_RATE|DURATION","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EVENT_BOUNDARY|KNEE_ANGLE","PCL_TEMPORAL","true","true","Deep-flexion exposure duration or strain rate.","No impulse substitution without target evidence.","1.0.0"
"MTC_PCL_C","TISSUE","KNEE_PCL","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_POSTERIOR_SHEAR_MECHANISM","M_PEAK_LIGAMENT_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE|SHEAR_MECHANISM|EXTERNAL_LOAD","PCL_CONTEXT","true","true","Knee-flexion and posterior-shear mechanism context.","Context must not replace modeled ligament force.","1.0.0"
"MTC_MENISCUS_M","FUNCTIONAL_COMPLEX","KNEE_MENISCAL_CARTILAGE_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_PEAK_CONTACT_STRESS|M_PEAK_MENISCAL_FORCE","M_PEAK_COMPARTMENT_PRESSURE","T_PRESSURE_TIME_PROFILE","MENISCAL_FORCE|CONTACT_STRESS|COMPARTMENT_PRESSURE","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|COMPARTMENT","MENISCUS_CARTILAGE_MAGNITUDE","true","true","Peak meniscal or cartilage contact magnitude.","Complex estimates do not overwrite tissue-specific evidence.","1.0.0"
"MTC_MENISCUS_T","FUNCTIONAL_COMPLEX","KNEE_MENISCAL_CARTILAGE_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_PRESSURE_TIME_PROFILE|T_CONTACT_DURATION","T_IMPULSE_PER_EVENT","M_PEAK_CONTACT_STRESS","PRESSURE_TIME|DURATION|INTERNAL_JOINT_IMPULSE","UNNORMALIZED_SOURCE_VALUE|BODY_WEIGHT_NORMALIZED_IMPULSE","SOURCE_CONDITION_ID|EVENT_BOUNDARY|COMPARTMENT","MENISCUS_CARTILAGE_TEMPORAL","true","true","Pressure-time and contact-duration profile.","Pressure and force-time families remain distinct.","1.0.0"
"MTC_MENISCUS_C","FUNCTIONAL_COMPLEX","KNEE_MENISCAL_CARTILAGE_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_PRESSURE_DISTRIBUTION|C_PLANTED_FOOT_ROTATION","M_PEAK_CONTACT_STRESS","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|CONTACT_AREA|PRESSURE_DISTRIBUTION|DEEP_FLEXION|PLANTED_FOOT_ROTATION","MENISCUS_CARTILAGE_CONTEXT","true","true","Deep-flexion and rotation context for compartment exposure.","Complex context is a fallback only.","1.0.0"
"MTC_HAMSTRING_M","FUNCTIONAL_COMPLEX","POSTERIOR_KNEE_HAMSTRING_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_PEAK_MTU_FORCE|M_PEAK_STRAIN","M_PEAK_LENGTHENING_DEMAND","T_LENGTHENING_VELOCITY","MUSCLE_TENDON_FORCE|MUSCLE_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|HIP_ANGLE|KNEE_ANGLE","HAMSTRING_TISSUE_MAGNITUDE","true","true","Peak hamstring tissue force or strain.","Muscle and tendon outputs remain separate when available.","1.0.0"
"MTC_HAMSTRING_T","FUNCTIONAL_COMPLEX","POSTERIOR_KNEE_HAMSTRING_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_LENGTHENING_VELOCITY|T_STRAIN_RATE|T_NEGATIVE_WORK|T_ECCENTRIC_DURATION","","M_PEAK_MTU_FORCE","VELOCITY|STRAIN_RATE|WORK|DURATION","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|MOVEMENT_PHASE|EVENT_BOUNDARY","HAMSTRING_TISSUE_TEMPORAL","true","true","Lengthening rate and eccentric exposure.","Metric families are not interchangeable.","1.0.0"
"MTC_HAMSTRING_C","FUNCTIONAL_COMPLEX","POSTERIOR_KNEE_HAMSTRING_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_TERMINAL_SWING|C_DECELERATION","M_PEAK_MTU_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|HIP_ANGLE|KNEE_ANGLE|TERMINAL_SWING|DECELERATION|MOVEMENT_PHASE","HAMSTRING_TISSUE_CONTEXT","true","true","Joint-angle and movement-phase context for lengthening demand.","Dynamic stabilization is represented separately.","1.0.0"
"MTC_HAMSTAB_M","DYNAMIC_STABILIZATION","HAMSTRING_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","M","M_STABILIZATION_DEMAND","M_CO_CONTRACTION_MAGNITUDE","M_PEAK_TISSUE_FORCE","ACTIVATION_DEMAND|CO_CONTRACTION","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|CONTROL_TASK","HAMSTRING_STABILIZATION_MAGNITUDE","true","true","Magnitude of dynamic anterior-shear or rotational stabilization demand.","Not a tissue force score.","1.0.0"
"MTC_HAMSTAB_T","DYNAMIC_STABILIZATION","HAMSTRING_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","T","T_ACTIVATION_TIMING|T_CO_CONTRACTION_TIMING","T_RESPONSE_LATENCY","M_PEAK_TISSUE_FORCE","ACTIVATION_TIMING|CO_CONTRACTION_TIMING","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|CONTACT_REFERENCE","HAMSTRING_STABILIZATION_TEMPORAL","true","true","Timing of dynamic stabilization response.","Not cumulative tissue exposure.","1.0.0"
"MTC_HAMSTAB_C","DYNAMIC_STABILIZATION","HAMSTRING_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","C","C_STRUCTURED_STABILIZATION_CONTEXT","C_ANTERIOR_SHEAR_OPPOSITION|C_ROTATIONAL_CONTROL","M_PEAK_TISSUE_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|SHEAR_OPPOSITION|ROTATIONAL_CONTROL|LANDING_PHASE|DECELERATION","HAMSTRING_STABILIZATION_CONTEXT","true","true","Task context requiring dynamic hamstring stabilization.","Kept separate from tissue mechanical load.","1.0.0"
"MTC_ACH_M","TISSUE","ACHILLES_TENDON","TISSUE_MECHANICAL_LOAD","M","M_PEAK_TENDON_FORCE|M_PEAK_TENDON_STRAIN","M_PEAK_TENDON_STRESS","T_EVENT_AVERAGE_STRAIN","INTERNAL_TENDON_FORCE|INTERNAL_TENDON_STRESS|TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_CONDITION_ID|KNEE_ANGLE","ACHILLES_MAGNITUDE","true","true","Peak Achilles force or strain.","Force and strain require separate scales.","1.0.0"
"MTC_ACH_T","TISSUE","ACHILLES_TENDON","TISSUE_MECHANICAL_LOAD","T","T_IMPULSE_PER_EVENT|T_LOADING_RATE|T_EVENT_AVERAGE_STRAIN","T_CONTACT_DURATION","M_PEAK_TENDON_FORCE","INTERNAL_TENDON_IMPULSE|INTERNAL_TENDON_LOADING_RATE|TENDON_STRAIN","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_CONDITION_ID|EVENT_BOUNDARY|MOVEMENT_PHASE","ACHILLES_TEMPORAL","true","true","Force-time or source-defined average-strain profile.","Event average is not peak.","1.0.0"
"MTC_ACH_C","TISSUE","ACHILLES_TENDON","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_REBOUND_STICK|C_HOP_PATTERN","M_PEAK_TENDON_FORCE","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|KNEE_ANGLE|SEATED_STANDING|REBOUND_OR_STICK|SINGLE_OR_REPEATED|DIRECTION|EXTERNAL_LOAD","ACHILLES_CONTEXT","true","true","Ankle task and loading context governing Achilles exposure.","Protocol identities cannot be inherited through source ID alone.","1.0.0"
"MTC_TALO_M","TISSUE","ANKLE_TALOCRURAL","TISSUE_MECHANICAL_LOAD","M","M_PEAK_COMPRESSION|M_PEAK_CONTACT_FORCE","M_PEAK_AP_ML_FORCE","T_IMPULSE_PER_EVENT","INTERNAL_JOINT_FORCE|INTERSEGMENTAL_JOINT_FORCE","BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|FORCE_DIRECTION","TALOCRURAL_MAGNITUDE","true","true","Peak talocrural compression or directional force.","Joint contact and intersegmental resultants remain distinct.","1.0.0"
"MTC_TALO_T","TISSUE","ANKLE_TALOCRURAL","TISSUE_MECHANICAL_LOAD","T","T_IMPULSE_PER_EVENT|T_LOADING_RATE","T_CONTACT_DURATION","M_PEAK_COMPRESSION","INTERNAL_JOINT_IMPULSE|INTERNAL_JOINT_LOADING_RATE","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EVENT_BOUNDARY","TALOCRURAL_TEMPORAL","true","true","Joint force-time development across the event.","Event boundaries and directions must match.","1.0.0"
"MTC_TALO_C","TISSUE","ANKLE_TALOCRURAL","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_LANDING_PHASE|C_JUMP_DIRECTION","M_PEAK_COMPRESSION","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|ANKLE_ANGLE|LANDING_PHASE|DIRECTION|SURFACE","TALOCRURAL_CONTEXT","true","true","Ankle angle and landing context for talocrural exposure.","Context does not establish internal force.","1.0.0"
"MTC_LATANK_M","TISSUE","ANKLE_LATERAL_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_PEAK_LIGAMENT_STRAIN|M_PEAK_LIGAMENT_FORCE","","C_INVERSION_CONTEXT","LIGAMENT_STRAIN|INTERNAL_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|MEASURED_LIGAMENT_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|LIGAMENT_ID","LATERAL_ANKLE_MAGNITUDE","true","true","Peak lateral-ankle ligament strain or force.","ATFL CFL and PTFL claims remain separate when direct.","1.0.0"
"MTC_LATANK_T","TISSUE","ANKLE_LATERAL_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_STRAIN_RATE|T_PEAK_TIMING","","M_PEAK_LIGAMENT_STRAIN","LIGAMENT_STRAIN_RATE|TIMING","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|CONTACT_REFERENCE","LATERAL_ANKLE_TEMPORAL","true","true","Rate and timing of ligament exposure.","Peak strain cannot substitute for rate.","1.0.0"
"MTC_LATANK_C","TISSUE","ANKLE_LATERAL_LIGAMENT_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_INVERSION|C_PLANTARFLEXION|C_ROTATION","M_PEAK_LIGAMENT_STRAIN","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|INVERSION|PLANTARFLEXION|ROTATION|SUBTALAR_POSITION|PERTURBATION_EXPECTATION","LATERAL_ANKLE_CONTEXT","true","true","Position and perturbation context for passive lateral stability.","Peroneal stabilization is separate.","1.0.0"
"MTC_PERONEAL_M","DYNAMIC_STABILIZATION","PERONEAL_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","M","M_EVERSION_RESPONSE_DEMAND","M_ACTIVATION_MAGNITUDE","M_PEAK_LIGAMENT_STRAIN","ACTIVATION_DEMAND|EVERSION_RESPONSE","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|PERTURBATION","PERONEAL_STABILIZATION_MAGNITUDE","true","true","Magnitude of dynamic eversion-response demand.","Not lateral-ligament force.","1.0.0"
"MTC_PERONEAL_T","DYNAMIC_STABILIZATION","PERONEAL_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","T","T_RESPONSE_LATENCY|T_ELECTROMECHANICAL_DELAY","T_ACTIVATION_TIMING","M_PEAK_LIGAMENT_STRAIN","RESPONSE_LATENCY|ELECTROMECHANICAL_DELAY","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|PERTURBATION_ONSET","PERONEAL_STABILIZATION_TEMPORAL","true","true","Latency and delay of peroneal stabilization.","Timing reference must be explicit.","1.0.0"
"MTC_PERONEAL_C","DYNAMIC_STABILIZATION","PERONEAL_DYNAMIC_STABILIZATION","DYNAMIC_STABILIZATION","C","C_STRUCTURED_STABILIZATION_CONTEXT","C_INVERSION_PERTURBATION|C_FATIGUE_STATE","M_PEAK_LIGAMENT_STRAIN","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|INVERSION_PERTURBATION|LANDING_OR_CUTTING|FATIGUE_STATE","PERONEAL_STABILIZATION_CONTEXT","true","true","Context requiring active peroneal stabilization.","Kept separate from passive ligament load.","1.0.0"
"MTC_SYND_M","FUNCTIONAL_COMPLEX","SYNDESMOTIC_ROTATIONAL_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_PEAK_LIGAMENT_STRAIN|M_PEAK_LIGAMENT_FORCE|M_TIBIOFIBULAR_SEPARATION","","C_EXTERNAL_ROTATION","LIGAMENT_STRAIN|INTERNAL_LIGAMENT_FORCE|SEPARATION_DISTANCE","ABSOLUTE_FORCE_NEWTON|MEASURED_LIGAMENT_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|STRUCTURE_ID","SYNDESMOSIS_MAGNITUDE","true","true","Peak syndesmotic strain force or separation.","Cadaveric and finite-element scope must remain explicit.","1.0.0"
"MTC_SYND_T","FUNCTIONAL_COMPLEX","SYNDESMOTIC_ROTATIONAL_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_STRAIN_RATE|T_PEAK_TIMING","","M_PEAK_LIGAMENT_STRAIN","LIGAMENT_STRAIN_RATE|TIMING","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EVENT_BOUNDARY","SYNDESMOSIS_TEMPORAL","true","true","Rate and timing of syndesmotic exposure.","No generic transfer across protocols.","1.0.0"
"MTC_SYND_C","FUNCTIONAL_COMPLEX","SYNDESMOTIC_ROTATIONAL_COMPLEX","TISSUE_MECHANICAL_LOAD","C","C_STRUCTURED_MECHANICAL_CONTEXT","C_EXTERNAL_ROTATION|C_DORSIFLEXION|C_AXIAL_LOAD","M_PEAK_LIGAMENT_STRAIN","STRUCTURED_CONTEXT","UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|EXTERNAL_ROTATION|DORSIFLEXION|AXIAL_LOAD|PLANTED_FOOT","SYNDESMOSIS_CONTEXT","true","true","External-rotation and axial-load context for the syndesmosis.","Context alone cannot assign strain.","1.0.0"
"MTC_MEDIAL_M","FUNCTIONAL_COMPLEX","MEDIAL_ANKLE_ARCH_COMPLEX","TISSUE_MECHANICAL_LOAD","M","M_PEAK_LIGAMENT_STRAIN|M_POSTERIOR_TIBIAL_TENDON_FORCE|M_SPRING_LIGAMENT_STRAIN","","C_ARCH_DEFORMATION","LIGAMENT_STRAIN|INTERNAL_TENDON_FORCE","ABSOLUTE_FORCE_NEWTON|MEASURED_LIGAMENT_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_CONDITION_ID|STRUCTURE_ID","MEDIAL_ANKLE_ARCH_MAGNITUDE","true","true","Magnitude of medial ligament tendon or arch-support exposure.","FDL and FHL require explicit support.","1.0.0"
"MTC_MEDIAL_T","FUNCTIONAL_COMPLEX","MEDIAL_ANKLE_ARCH_COMPLEX","TISSUE_MECHANICAL_LOAD","T","T_TIME_UNDER_LOAD|T_ARCH_STRAIN_DURATION","T_LOADING_RATE","M_POSTERIOR_TIBIAL_TENDON_FORCE","DURATION|INTERNAL_TENDON_LOADING_RATE","UNNORMALIZED_SOURCE_VALUE|BODY_WEIGHT_NORMALIZED_LOADING_RATE","SOURCE_CONDITION_ID|EVENT_BOUNDARY","MEDIAL_ANKLE_ARCH_TEMPORAL","true","true","Duration of medial-arch and tendon exposure.","Duration requires a defined arch or force threshold.","1.0.0"
