exerciseStableKey,exerciseNameKo,identityStatus,transferLevel,transferTypeCodes,skillTargetCodes,physicalQualityCodes,courtMovementTypeCodes,transferConfidence,sourceStableKey,inheritanceSourceStableKey,identityResolution,reviewStatus,evidenceSource,provenance,notes
ex_1dbee10e,머신 체스트프레스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_1dbee10e,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_2055b629,애질리티 래더,SELECTABLE_CANONICAL,SUPPORTIVE,ANKLE_CALF_SSC_SUPPORTIVE|LOWER_BODY_SUPPORTIVE,NONE,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,LOW,ex_2055b629,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_216351a1,가벼운 콕줍기,SELECTABLE_CANONICAL,DIRECT,FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT,DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP,DECELERATION|HIP_CONTROL|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,NONE,HIGH,ex_216351a1,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_27b3deb5,클로즈그립 벤치프레스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_27b3deb5,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_281347da,덤벨 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_281347da,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_2822ec2e,레그 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_2822ec2e,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_282a9d87,링 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_282a9d87,,RETAINED_CANONICAL,PASS,VERIFIED_EXACT|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_28347c1f,버드독,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_28347c1f,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_284ecca6,슈퍼맨,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,LOW,ex_284ecca6,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_28902b13,푸시업,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SHOULDER_DURABILITY,NONE,LOW,ex_28902b13,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_2892da5a,해머 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_2892da5a,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_2a826c82,할로우 바디 홀드,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_2a826c82,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_2f3b56d0,테니스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_2f3b56d0,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_30a0e9aa,원암 덤벨 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_30a0e9aa,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_314df428,원레그 홉 투 스틱,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,ACCELERATION|DECELERATION|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|REACTIVE_AGILITY,DECELERATION|JUMP_LANDING|RECOVERY_STEP,MEDIUM,ex_314df428,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_32219f7a,오버헤드 프레스,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_32219f7a,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_32eb8457,원암 랫풀다운,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_32eb8457,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_33841b88,6코너 풋워크,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_33841b88,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_33d2da8e,원암 머신 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_33d2da8e,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_34e7d21,래터럴 바운드 투 스틱,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,ACCELERATION|DECELERATION|FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|JUMP_LANDING|LATERAL_MOVE|RECOVERY_STEP,MEDIUM,ex_34e7d21,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_377448a9,스플릿 스텝 후 좌우 런지,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|LUNGE_REACH_DIRECT,DEFENSIVE_COVERAGE|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP,DECELERATION|FRONTAL_PLANE_CONTROL|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,HIGH,ex_377448a9,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
