sourceStableKey,finalStableKey,inheritanceDecision,inheritedFields,changedFields,reviewStatus,rationale,provenance
ex_e159d15a,gymnastic_ring_inverted_row,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_e159d15a
ex_516f4456,dumbbell_spider_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_516f4456,ez_bar_spider_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_7176cbee,cable_rear_delt_fly,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_7176cbee,dumbbell_rear_delt_fly,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_8e18b02a,barbell_reverse_wrist_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
ex_8e18b02a,dumbbell_reverse_wrist_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
ex_99728d25,cable_pallof_press,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
ex_99728d25,band_pallof_press,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
ex_a1fc4533,dumbbell_farmer_carry,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
ex_a1fc4533,kettlebell_farmer_carry,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
ex_a9e8859c,cable_overhead_triceps_extension,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
ex_a9e8859c,dumbbell_overhead_triceps_extension,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
ex_ac7df636,dumbbell_goblet_squat,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
ex_ac7df636,kettlebell_goblet_squat,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
ex_d20b7487,dumbbell_lying_triceps_extension,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
ex_d20b7487,ez_bar_lying_triceps_extension,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
ex_dd2f732e,barbell_reverse_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
ex_dd2f732e,ez_bar_reverse_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_dd2f732e
ex_e994008a,dumbbell_preacher_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_e994008a
ex_e994008a,ez_bar_preacher_curl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_ex_e994008a
single_leg_rdl,dumbbell_single_leg_rdl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_single_leg_rdl
single_leg_rdl,kettlebell_single_leg_rdl,INHERIT_UNCHANGED,transferLevel|transferTypeCodes|skillTargetCodes|physicalQualityCodes|courtMovementTypeCodes|transferConfidence,exerciseStableKey|exerciseNameKo|equipmentRequirementModel|equipmentCodes,PASS,"The equipment split changes recording identity, while the populated source fields describe broad badminton-transfer purpose. Fatigue cost is not copied by this artifact and remains runtime-derived.",FINAL_CLOSEOUT_SPLIT_FROM_single_leg_rdl
