sourceStableKey,sourceExerciseName,finalStableKey,finalExerciseName,identityResolution,sourceSelectable,finalSelectable,relationMigrationAction,notes
ex_99728d25,팔로프 프레스,band_pallof_press,밴드 팔로프 프레스,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_99728d25,팔로프 프레스,cable_pallof_press,케이블 팔로프 프레스,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_a1fc4533,파머스 캐리,dumbbell_farmer_carry,덤벨 파머스 캐리,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_a1fc4533,파머스 캐리,kettlebell_farmer_carry,케틀벨 파머스 캐리,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_ac7df636,고블릿 스쿼트,dumbbell_goblet_squat,덤벨 고블릿 스쿼트,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_ac7df636,고블릿 스쿼트,kettlebell_goblet_squat,케틀벨 고블릿 스쿼트,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_bd072cd,스탠딩 카프 레이즈,standing_bodyweight_calf_raise,맨몸 스탠딩 카프 레이즈,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_bd072cd,스탠딩 카프 레이즈,standing_calf_raise_machine,스탠딩 카프 레이즈 머신,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_bd072cd,스탠딩 카프 레이즈,standing_dumbbell_calf_raise,덤벨 스탠딩 카프 레이즈,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_d20b7487,라잉 트라이셉스 익스텐션,dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_d20b7487,라잉 트라이셉스 익스텐션,ez_bar_lying_triceps_extension,EZ바 라잉 트라이셉스 익스텐션,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_d9084b5e,원암 인버티드 로우,one_arm_gymnastic_ring_row,짐내스틱 링 원암 로우,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_d9084b5e,원암 인버티드 로우,one_arm_suspension_trainer_row,서스펜션 트레이너 원암 로우,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_dd2f732e,리버스 컬,barbell_reverse_curl,바벨 리버스 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_dd2f732e,리버스 컬,ez_bar_reverse_curl,EZ바 리버스 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_e159d15a,인버티드 로우,gymnastic_ring_inverted_row,짐내스틱 링 인버티드 로우,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_e159d15a,인버티드 로우,suspension_trainer_inverted_row,서스펜션 트레이너 인버티드 로우,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_e994008a,프리처 컬,dumbbell_preacher_curl,덤벨 프리처 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_e994008a,프리처 컬,ez_bar_preacher_curl,EZ바 프리처 컬,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_eaea872c,힙 어덕션,cable_hip_adduction,케이블 힙 어덕션,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_eaea872c,힙 어덕션,hip_adduction_machine,힙 어덕션 머신,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
single_leg_rdl,원레그 루마니안 데드리프트,dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
single_leg_rdl,원레그 루마니안 데드리프트,kettlebell_single_leg_rdl,케틀벨 원레그 루마니안 데드리프트,EQUIPMENT_VARIANT_SPLIT,NO,YES,INHERIT_REVIEWED_SOURCE_METADATA,Concrete variant receives broad badminton-transfer metadata with explicit generic-source lineage; historical generic records are not auto-migrated.
ex_201f6426,B-스탠스 RDL,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DIRECT pointed to split generic single_leg_rdl; no concrete equipment variant is inferred.
ex_516f4456,스파이더 컬,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_7176cbee,리어델트 플라이,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_885b629,킥스탠스 RDL,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DIRECT pointed to split generic single_leg_rdl; no concrete equipment variant is inferred.
ex_8e18b02a,리버스 리스트 컬,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_8e51640a,체스트 서포티드 로우,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_99728d25,팔로프 프레스,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_a1fc4533,파머스 캐리,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_a9e8859c,오버헤드 트라이셉스 익스텐션,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_ac7df636,고블릿 스쿼트,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_bd072cd,스탠딩 카프 레이즈,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_d20b7487,라잉 트라이셉스 익스텐션,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_d9084b5e,원암 인버티드 로우,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_dd2f732e,리버스 컬,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_e159d15a,인버티드 로우,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_e994008a,프리처 컬,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_eaea872c,힙 어덕션,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_f892893e,카프 레이즈,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DIRECT pointed to split generic ex_bd072cd; no concrete equipment variant is inferred.
imported_싱글_레그_rdl,싱글 레그 RDL,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Legacy import rule DIRECT pointed to split generic single_leg_rdl; no concrete equipment variant is inferred.
single_leg_rdl,원레그 루마니안 데드리프트,,,HISTORICAL_GENERIC_NON_SELECTABLE,NO,NO,PRESERVE_LINEAGE_ONLY,Historical generic identity is not re-created and does not remain an authoritative selectable relation.
ex_26ac0c19,메디신볼 슬램,med_ball_overhead_slam,메디신볼 위에서 아래로 슬램,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_5715d6ca,싱글 레그 글루트 브릿지,single_leg_hip_bridge,원레그 힙 브릿지,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_66e8c8c2,하프 닐링 프레스,half_kneeling_single_arm_dumbbell_press,하프 닐링 원암 덤벨 프레스,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_8354acd,바이퍼 트위스트(아래로),vipr_chop,바이퍼 회전 아래로,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_8380d7fe,원암 하프 닐링 프레스,half_kneeling_single_arm_dumbbell_press,하프 닐링 원암 덤벨 프레스,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_8e1b313e,하프 닐링 원암 프레스,half_kneeling_single_arm_dumbbell_press,하프 닐링 원암 덤벨 프레스,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_9523db82,덤벨 루마니안 데드리프트,dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_bb728af2,리어풋 엘리베이티드 스플릿 스쿼트,ex_e2efd0fe,불가리안 스플릿 스쿼트,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_c821775c,하이니 스킵,ex_a12de111,A스킵,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_d2bb7946,루마니안 데드리프트,barbell_romanian_deadlift,루마니안 바벨 데드리프트,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_d634055c,싱글 레그 힙 쓰러스트,single_leg_hip_bridge,원레그 힙 브릿지,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_d79824d2,하프 닐링 케틀벨 원암 프레스,half_kneeling_single_arm_kettlebell_press,하프 닐링 원암 케틀벨 프레스,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
ex_e0759156,하프 닐링 케틀벨 프레스,half_kneeling_single_arm_kettlebell_press,하프 닐링 원암 케틀벨 프레스,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
imported_6코너_섀도우_풋워크,6코너 섀도우 풋워크,ex_33841b88,6코너 풋워크,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
imported_래터럴_바운드,래터럴 바운드,lateral_bound_continuous,래터럴 바운드,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
imported_배드민턴,배드민턴,ex_ae9ecdbc,배드민턴,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
imported_싱글_레그_홉_앤_스틱,싱글 레그 홉 앤 스틱,ex_314df428,원레그 홉 투 스틱,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
landmine_rainbow,랜드마인 레인보우,landmine_rotation,랜드마인 좌우 회전,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
med_ball_side_throw,메디신볼 사이드 스로우,medicine_ball_rotational_throw,메디신볼 회전 옆으로 던지기,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
medicine_ball_side_slam,메디신볼 사이드 슬램,med_ball_rotational_slam,메디신볼 회전 아래로 슬램,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
vipr_shovel_scoop,바이퍼 셔블 / 스쿱,vipr_rotational_lift,바이퍼 회전 위로,LEGACY_ALIAS_TO_CANONICAL,NO,YES,ROUTE_IMPORT_TO_CANONICAL_ONLY,Legacy import rule DIRECT; authoritative metadata exists only on the final canonical stableKey.
band_lift,밴드 리프트,band_lift,밴드 리프트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
band_woodchop,밴드 우드찹,band_woodchop,밴드 우드찹,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
barbell_back_squat,스쿼트,barbell_back_squat,스쿼트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
barbell_bench_press,벤치프레스,barbell_bench_press,벤치프레스,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
barbell_deadlift,데드리프트,barbell_deadlift,데드리프트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
barbell_romanian_deadlift,루마니안 바벨 데드리프트,barbell_romanian_deadlift,루마니안 바벨 데드리프트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
cable_lift,케이블 리프트,cable_lift,케이블 리프트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
cable_woodchop,케이블 우드찹,cable_woodchop,케이블 우드찹,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
dumbbell_woodchop,덤벨 우드찹,dumbbell_woodchop,덤벨 우드찹,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1052e9fa,스미스 머신 런지,ex_1052e9fa,스미스 머신 런지,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_149730de,발목/고관절 가동성,ex_149730de,발목/고관절 가동성,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_16b298db,미니밴드 사이드워크,ex_16b298db,미니밴드 사이드워크,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1a4858d7,농구,ex_1a4858d7,농구,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1a4bbdcf,축구,ex_1a4bbdcf,축구,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1c7f2342,랜덤 풋워크,ex_1c7f2342,랜덤 풋워크,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1cf51b6b,노르딕 햄스트링 컬,ex_1cf51b6b,노르딕 햄스트링 컬,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_1dbee10e,머신 체스트프레스,ex_1dbee10e,머신 체스트프레스,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_2055b629,애질리티 래더,ex_2055b629,애질리티 래더,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_216351a1,가벼운 콕줍기,ex_216351a1,가벼운 콕줍기,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_27b3deb5,클로즈그립 벤치프레스,ex_27b3deb5,클로즈그립 벤치프레스,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_281347da,덤벨 컬,ex_281347da,덤벨 컬,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_2822ec2e,레그 컬,ex_2822ec2e,레그 컬,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_282a9d87,링 로우,ex_282a9d87,링 로우,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_28347c1f,버드독,ex_28347c1f,버드독,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_284ecca6,슈퍼맨,ex_284ecca6,슈퍼맨,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_28902b13,푸시업,ex_28902b13,푸시업,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_2892da5a,해머 컬,ex_2892da5a,해머 컬,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_2a826c82,할로우 바디 홀드,ex_2a826c82,할로우 바디 홀드,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_2f3b56d0,테니스,ex_2f3b56d0,테니스,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_30a0e9aa,원암 덤벨 로우,ex_30a0e9aa,원암 덤벨 로우,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_314df428,원레그 홉 투 스틱,ex_314df428,원레그 홉 투 스틱,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_32219f7a,오버헤드 프레스,ex_32219f7a,오버헤드 프레스,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_32eb8457,원암 랫풀다운,ex_32eb8457,원암 랫풀다운,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_33841b88,6코너 풋워크,ex_33841b88,6코너 풋워크,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_33d2da8e,원암 머신 로우,ex_33d2da8e,원암 머신 로우,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
ex_34e7d21,래터럴 바운드 투 스틱,ex_34e7d21,래터럴 바운드 투 스틱,RETAINED_CANONICAL,YES,YES,PRESERVE_ON_CANONICAL,Authoritative relation remains on the same stableKey.
