"sourceField","sourceToken","semanticMeaning","affectedStableKeys","currentConsumers","existingCandidateOwner1","existingCandidateOwner2","existingCandidateOwner3","canExistingOwnerRepresentExactly","extensionRequired","informationLostIfMapped","informationDuplicatedIfMapped","recommendedDisposition"
"forceType","LOW_LOAD","Low fixed stress/load demand","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseOfiAxisContribution","ExerciseOfiDoseProfile","ExerciseRecoveryProfile","YES","NO","NONE","A duplicate load-level scalar","REUSE_EXISTING_EXACTLY"
"forceType","LOWER_BODY","Legacy body-region bucket","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/BODY_REGION","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExerciseProgramSlotCapability","YES","NO","NONE","A second body-region bucket","KEEP_AS_COMPATIBILITY_ONLY"
"forceType","MIXED","Old scalar could not express multiple simultaneous facts","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation","ExerciseMuscleContribution","ExerciseOfiAxisContribution","YES","NO","NONE","Preserving MIXED as canonical would duplicate typed relations","KEEP_AS_COMPATIBILITY_ONLY"
"forceType","MOTOR_CONTROL","Movement-control and stability intent","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExerciseStabilityDemand","ExerciseTrainingRoleEligibility","YES","NO","NONE","A broad motor-control scalar","REUSE_EXISTING_EXACTLY"
"forceType","PLYOMETRIC","Stretch-shortening and explosive event demand","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_EVENT","ExerciseOfiAxisContribution","ExercisePhysicalQualityPoint","YES","NO","NONE","A new plyometric scalar","REUSE_EXISTING_EXACTLY"
"forceType","POWER","General power intent, not sport transfer","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExercisePhysicalQualityPoint","ExerciseOfiAxisContribution","ExerciseProgramSlotCapability","YES","NO","NONE","Badminton ROTATION_POWER would be a cross-domain duplicate","REUSE_EXISTING_EXACTLY"
"forceType","PULL","Pull mechanics","chest_supported_row_machine|dumbbell_chest_supported_row|ex_282a9d87|ex_30a0e9aa|ex_32eb8457|ex_33d2da8e|ex_3c3692aa|ex_40fa57be|ex_462c760e|ex_6466fe77|ex_6a966452|ex_8e4bf08e|ex_8e51640a|ex_a76f20b6|ex_d9084b5e|ex_dc9e5953|ex_de46b7f6|ex_e159d15a|ex_e1894690|ex_e41e8dcf|ex_e41f4c2b|ex_e4f911bb|ex_f459ad2a|ex_fa31f7a6|gymnastic_ring_inverted_row|one_arm_gymnastic_ring_row|one_arm_suspension_trainer_row|pull_up|suspension_trainer_inverted_row","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExerciseProgramSlotCapability","ExerciseTrainingRoleEligibility","YES","NO","NONE","A duplicate action taxonomy","REUSE_EXISTING_EXACTLY"
"forceType","PUSH","Push mechanics","barbell_bench_press|ex_1dbee10e|ex_27b3deb5|ex_28902b13|ex_32219f7a|ex_389e0556|ex_3a7d3eda|ex_3caa236b|ex_4aa3725a|ex_73b0b63f|ex_767e188e|ex_7814843a|ex_79f3bdbe|ex_9f283612|ex_a61f1e96|ex_bb4b4276|ex_c4535de3|ex_c536edc2|ex_debf6a8b|ex_fa2e73b3|ex_fb67af37|half_kneeling_single_arm_dumbbell_press|half_kneeling_single_arm_kettlebell_press|med_ball_chest_pass","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExerciseProgramSlotCapability","ExerciseTrainingRoleEligibility","YES","NO","NONE","A duplicate action taxonomy","REUSE_EXISTING_EXACTLY"
"forceType","ROTATE","Historical/runtime active rotation","band_lift|band_woodchop|cable_lift|cable_woodchop|dumbbell_woodchop|ex_2f3b56d0|ex_91d8430b|landmine_rotation|med_ball_rotational_scoop_toss|med_ball_rotational_slam|medicine_ball_rotational_throw|medicine_ball_three_step_acceleration_throw|medicine_ball_three_step_deceleration_throw|vipr_chop|vipr_rotational_lift|vipr_rotational_press_out|vipr_step_and_rotate","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExercisePhysicalQualityPoint","ExerciseBadmintonTransferPoint","YES","NO","NONE","Conflating rotation with anti-rotation","KEEP_AS_COMPATIBILITY_ONLY"
"forceType","SQUAT","Historical/runtime squat mechanics","barbell_back_squat|dumbbell_goblet_squat|ex_1052e9fa|ex_377448a9|ex_6232f4bc|ex_64644b5e|ex_64661229|ex_69a56484|ex_704cbf1a|ex_74c2d13b|ex_7ce96a7a|ex_85f12271|ex_a091b9fe|ex_a611010d|ex_ab468462|ex_ac7df636|ex_b4b198de|ex_c5043892|ex_c8bcf3ce|ex_cb3c4dc2|ex_d67e5761|ex_df966b45|ex_e2efd0fe|ex_e3715c0b|ex_e9e97659|ex_ee378da7|ex_f1d31d3d|ex_f2a79d37|ex_fa3416f6|kettlebell_goblet_squat","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseMovementAnatomyRelation/MOVEMENT_PATTERN","ExerciseProgramSlotCapability","ExerciseStrengthProxyRelation","YES","NO","NONE","Permanent runtime force authority","KEEP_AS_COMPATIBILITY_ONLY"
"forceType","STRENGTH","Training adaptation intent","","ExerciseMetadataMapper;ExerciseAnalysisMapper;fatigue/readiness;ProgramBuilder compatibility","ExerciseTrainingRoleEligibility","ExerciseProgramSlotCapability","ExerciseStrengthProxyRelation","YES","NO","NONE","A generic force/action owner","REUSE_EXISTING_EXACTLY"
"generic exercise metadata","badminton derived axes","Legacy cross-domain transfer inference","band_lift|band_pallof_press|band_woodchop|barbell_back_squat|barbell_bench_press|barbell_deadlift|barbell_reverse_curl|barbell_reverse_wrist_curl|barbell_romanian_deadlift|cable_hip_adduction|cable_lift|cable_overhead_triceps_extension|cable_pallof_press|cable_rear_delt_fly|cable_woodchop|chest_supported_row_machine|dumbbell_chest_supported_row|dumbbell_farmer_carry|dumbbell_goblet_squat|dumbbell_lying_triceps_extension|dumbbell_overhead_triceps_extension|dumbbell_preacher_curl|dumbbell_rear_delt_fly|dumbbell_reverse_wrist_curl|dumbbell_romanian_deadlift|dumbbell_single_leg_rdl|dumbbell_spider_curl|dumbbell_woodchop|ex_1052e9fa|ex_149730de|ex_16b298db|ex_1a4858d7|ex_1a4bbdcf|ex_1c7f2342|ex_1cf51b6b|ex_1dbee10e|ex_2055b629|ex_216351a1|ex_27b3deb5|ex_281347da|ex_2822ec2e|ex_282a9d87|ex_28347c1f|ex_284ecca6|ex_28902b13|ex_2892da5a|ex_2a826c82|ex_2f3b56d0|ex_30a0e9aa|ex_314df428|ex_32219f7a|ex_32eb8457|ex_33841b88|ex_33d2da8e|ex_34e7d21|ex_377448a9|ex_389920ab|ex_389e0556|ex_3a7d3eda|ex_3c3692aa|ex_3caa236b|ex_3d5719de|ex_3f184ef9|ex_40fa57be|ex_421ba24b|ex_4255e429|ex_442617f6|ex_462c760e|ex_4773b6ea|ex_4aa3725a|ex_4c76dbb2|ex_4c779df2|ex_5004ca76|ex_516f4456|ex_5322f2d1|ex_5c8751d2|ex_5ca7133f|ex_6232f4bc|ex_64422511|ex_644e0f9d|ex_6463edad|ex_64644b5e|ex_64661229|ex_6466fe77|ex_681d9ed2|ex_681eed4a|ex_69a56484|ex_6a966452|ex_704cbf1a|ex_708e64ce|ex_70f19bf|ex_7176cbee|ex_721f7b5b|ex_728da646|ex_72f11dc5|ex_73b0b63f|ex_7404067c|ex_74c2d13b|ex_752b45ae|ex_767e188e|ex_7814843a|ex_79f3bdbe|ex_7ce96a7a|ex_7deabeba|ex_85b2ac56|ex_85f12271|ex_86323ed6|ex_8633d8db|ex_8824026f|ex_8a3800f1|ex_8e18b02a|ex_8e4bf08e|ex_8e51640a|ex_8e69fc74|ex_91b749b3|ex_91d8430b|ex_91f6958d|ex_93538692|ex_95028bfe|ex_99728d25|ex_9b132c23|ex_9bd6dddb|ex_9f283612|ex_a091b9fe|ex_a12de111|ex_a12de4d2|ex_a1fc4533|ex_a345e30b|ex_a3ddd8ac|ex_a4040be3|ex_a412dd45|ex_a4350c0f|ex_a44ae2ca|ex_a60496be|ex_a611010d|ex_a61f1e96|ex_a61f307a|ex_a76f20b6|ex_a8385c4a|ex_a9b52886|ex_a9e8859c|ex_ab468462|ex_ab918e2b|ex_ac7df636|ex_aca9d312|ex_ae9ecdbc|ex_b076570e|ex_b3f447be|ex_b4b198de|ex_b59bed7d|ex_b69ab702|ex_b76d3f92|ex_b78a8f95|ex_badminton_lesson|ex_bb4b4276|ex_bc84eb7f|ex_bd072cd|ex_c1a81cb2|ex_c1bf2aa8|ex_c365e5e2|ex_c4535de3|ex_c4ea0a2a|ex_c5043892|ex_c536edc2|ex_c5c2fdef|ex_c5f4c242|ex_c62c0716|ex_c6d9efef|ex_c7977dfd|ex_c8bcf3ce|ex_ca5cce66|ex_cb3c4dc2|ex_d20b7487|ex_d5048362|ex_d5bdffe1|ex_d60745b4|ex_d6726746|ex_d67e5761|ex_d7c90536|ex_d9084b5e|ex_d9e141e4|ex_da56a4fe|ex_dc9e5953|ex_dd16e07a|ex_dd2f732e|ex_de46b7f6|ex_debf6a8b|ex_deca2b61|ex_df966b45|ex_e0b1e364|ex_e159d15a|ex_e1894690|ex_e2efd0fe|ex_e3715c0b|ex_e41e8dcf|ex_e41f4c2b|ex_e465d1e9|ex_e4f911bb|ex_e709eeda|ex_e8ff8cfa|ex_e994008a|ex_e9e97659|ex_eaea872c|ex_eb636bac|ex_ee378da7|ex_f1d31d3d|ex_f2a79d37|ex_f332aeab|ex_f459ad2a|ex_f6703b06|ex_f6d43398|ex_f97a05ab|ex_fa2e73b3|ex_fa31f7a6|ex_fa3416f6|ex_fa34ddfe|ex_fa570291|ex_faae2044|ex_fb67af37|ex_fdbdf454|ez_bar_lying_triceps_extension|ez_bar_preacher_curl|ez_bar_reverse_curl|ez_bar_spider_curl|face_pull|gymnastic_ring_inverted_row|half_kneeling_single_arm_dumbbell_press|half_kneeling_single_arm_kettlebell_press|hip_adduction_machine|kettlebell_farmer_carry|kettlebell_goblet_squat|kettlebell_halo|kettlebell_single_leg_rdl|landmine_anti_rotation|landmine_rotation|lateral_bound_continuous|med_ball_chest_pass|med_ball_overhead_slam|med_ball_rotational_scoop_toss|med_ball_rotational_slam|medicine_ball_rotational_throw|medicine_ball_three_step_acceleration_throw|medicine_ball_three_step_deceleration_throw|one_arm_gymnastic_ring_row|one_arm_suspension_trainer_row|plate_rotational_press_out|pull_up|single_leg_hip_bridge|single_leg_rdl|standing_bodyweight_calf_raise|standing_calf_raise_machine|standing_dumbbell_calf_raise|suspension_trainer_inverted_row|vipr_chop|vipr_rotational_lift|vipr_rotational_press_out|vipr_step_and_rotate","BadmintonTransferMetadataMapper;BadmintonTrainingLoadIndexCalculator","ExerciseBadmintonTransferPoint","ExerciseBadmintonSkillTargetPoint","ExercisePhysicalQualityPoint","YES","NO","NONE","Generic metadata must not duplicate sport-transfer authority","REUSE_EXISTING_EXACTLY"
