"fieldName","storageLocation","cardinality","currentProducers","currentConsumers","ofiUsage","programGenerationUsage","muscleAnalysisUsage","badmintonAnalysisUsage","connectiveTissueUsage","uiUsage","backupRestoreUsage","parsingOrSubstringInference","recommendedDisposition"
"recoveryDurationClass","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/coach/CoachFatigueCauseAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/CommonUi.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","YES","REVIEW_REQUIRED"
"redundancyGroup","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceLoadingBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateClassificationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramCorePatternPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectionHistory.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/ProgramVarietyPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","YES","NO","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"safeForSeedMutation","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/data/BackupRestoreImportService.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataEditorService.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","","NO","NO","NO","NO","NO","NO","NO","YES","PROVENANCE_ONLY"
"secondaryStressTags","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","NO","SPLIT_INTO_RELATIONS"
"sourceConfidenceLevel","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceLoadingBuilder.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","NO","NO","NO","NO","NO","YES","YES","YES","PROVENANCE_ONLY"
"sportContextTags","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"stableKey","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/contracts/AnalysisContractAssetLoader.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/BodyweightEffectiveLoadCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/DurationHoldLoadCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/lab/StrengthAndMuscleMetricSeriesBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueAnalysisUiModels.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueC3ResearchParser.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueEvidenceParser.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueEvidenceValidator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueExposureCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueMetadataParser.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueModifierResolver.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueMtcExerciseBridge.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissuePriorRegistry.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvEventLedger.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRecordContractParser.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreCanonicalizer.kt;app/src/main/java/com/training/trackplanner/data/Daos.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataEditorService.kt;app/src/main/java/com/training/trackplanner/data/ProgramBeamSelectionPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCorePatternPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramExerciseSpec.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramPlanService.kt;app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectedExerciseScorePolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotAllocator.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/TrainingRepository.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/PlanScreen.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferScoreCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/coach/CoachFatigueCauseAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/coach/CourtDurationRecoveryAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/coach/JointTendonWarningAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/coach/RpeAutoregulationAnalyzer.kt;app/src/main/java/com/training/trackplanner/analysis/contracts/AnalysisContractAssetLoader.kt;app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt;app/src/main/java/com/training/trackplanner/analysis/features/BodyweightEffectiveLoadCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/DurationHoldLoadCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/lab/StrengthAndMuscleMetricSeriesBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/TodayReadinessEngine.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthSessionLikelihood.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueAnalysisUiModels.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueC3ResearchValidator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueCurrentStateServices.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueEvidenceValidator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueExposureCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueExposureShadowPipeline.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueLoadProfileRepository.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueMetadataValidator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueModifierResolver.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueMtcExerciseBridge.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvEventLedger.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRecordContractValidator.kt;app/src/main/java/com/training/trackplanner/analysis/tissue/TissueWindowedExposureCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingLoadIndexCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/trends/PerformanceTrendEngine.kt;app/src/main/java/com/training/trackplanner/CommonUi.kt;app/src/main/java/com/training/trackplanner/ConnectiveTissueAnalysisUi.kt;app/src/main/java/com/training/trackplanner/data/BackupExportService.kt;app/src/main/java/com/training/trackplanner/data/BackupPreflightValidator.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreCanonicalizer.kt;app/src/main/java/com/training/trackplanner/data/BackupRestoreImportService.kt;app/src/main/java/com/training/trackplanner/data/ConnectiveTissueAnalysisService.kt;app/src/main/java/com/training/trackplanner/data/Daos.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataEditorService.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataOverrideBackupMapper.kt;app/src/main/java/com/training/trackplanner/data/ProgramBeamSelectionPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateClassificationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateInventory.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidateReservoir.kt;app/src/main/java/com/training/trackplanner/data/ProgramCorePatternPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramExerciseSpec.kt;app/src/main/java/com/training/trackplanner/data/ProgramFoundationAnchorPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramPlanService.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectedExerciseScorePolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramSelectionHistory.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotAllocator.kt;app/src/main/java/com/training/trackplanner/data/ProgramSlotCandidateQuery.kt;app/src/main/java/com/training/trackplanner/data/ProgramVarietyPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramWeightSuggestionPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RecordMutationService.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataAssetLoader.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/StrengthPosteriorUpdateService.kt;app/src/main/java/com/training/trackplanner/data/TrainingRepository.kt;app/src/main/java/com/training/trackplanner/ExerciseScreen.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/PlanScreen.kt;app/src/main/java/com/training/trackplanner/RecordScreen.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","YES","YES","YES","YES","YES","YES","KEEP_TYPED_AUTHORITY"
"strengthProgressionGroup","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt;app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceLoadingBuilder.kt;app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/data/SeedData.kt;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","YES","NO","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
"stressMagnitudeHint","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramRepairPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt;app/src/main/java/com/training/trackplanner/data/ProgramDayIntensityPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/ProgramRepairPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","NO","YES","NO","NO","NO","YES","YES","NO","REVIEW_REQUIRED"
"systemicMuscularStressLevel","canonical asset plus Room runtime_exercise_metadata override","SINGLE","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt;app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt;app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","YES","YES","NO","NO","NO","YES","YES","NO","SPLIT_INTO_RELATIONS"
"tendonStressTags","canonical asset plus Room runtime_exercise_metadata override","MULTI","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataPersistence.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt;app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt;app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt;app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt;app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt;app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","NO","NO","NO","NO","NO","YES","YES","YES","SPLIT_INTO_RELATIONS"
