"riskPathId","affectedFile","affectedSymbol","legacyField","analysisModule","derivationMode","severity","evidenceLocations","impactEvaluationStatus","affectedBuiltInStableKeyCount","confirmedErrorCount","validHeuristicResultCount","missingAuthorityCount","structuralAmbiguityCount","notTriggeredCount","userExerciseOnlyRiskCount","linkedConfirmedIssueIds","notes"
"META-ACTIVITY-NAME-FALLBACK","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt","Exercise","activityKind","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:36;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:70;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:75;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:77;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:94","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-PROGRAM-SLOT-FALLBACK","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt","resolve","programSlot","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:25;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:32;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:36;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:44;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:53;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:58;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:68;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:72","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-PROGRAM-SLOT-NAME","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt","explicitNameFallback","programSlot","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:141","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-MUSCLE-FALLBACK","app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt","fallbackContributions","primaryMuscles","muscle/strength analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt:87;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt:147","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-PROGRAM-LOADED-NAME","app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt","isLoadedStrength","equipment and exerciseName","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt:261","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-PROGRAM-RERANK-LOADED-NAME","app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt","needsLoadedStrength","exerciseName","program generation","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt:54","PARTIALLY_EVALUATED","224","0","0","0","0","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-BADMINTON-LEVEL-FALLBACK","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt","transferType","badmintonTransferLevel","badminton analysis","LEGACY_HEURISTIC_FALLBACK","MEDIUM","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt:7","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-OFI-RECOVERY-DEFAULT","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","RecordContext","recoveryDurationClass","OFI/readiness","LEGACY_HEURISTIC_FALLBACK","MEDIUM","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt:164","NOT_TRIGGERED_FOR_BUILT_INS","0","0","0","0","0","224","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-BADMINTON-MUSCLE-INFERENCE","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt","MetadataSource","badminton and balance relations","badminton analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:384;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:599;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:683;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:707;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:714;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:796;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:799;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:845","EVALUATED","224","0","0","0","224","0","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
"META-STRENGTH-PROXY-FALLBACK","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","proxyLoadings","strength proxy relation","muscle/strength analysis","LEGACY_HEURISTIC_FALLBACK","HIGH","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt:87","EVALUATED","203","0","0","203","0","21","0","","A risky path is not a confirmed error; see stableKey impact rows and separate confirmed-error evidence."
