"stableKey","exerciseName","bootstrapActivityKind","runtimeActivityKind","runtimeBadmintonTransferLevel","sportContextTags","courtMovementTypes","badmintonTransferRoles","objectiveIds","setA_currentPractice","setB_courtExposure","setC_legacyFootworkReactive","setD_legacySupport","setE_canonicalObjectiveStimulus","setF_readinessBadmintonCourtPositiveDose"
"cable_lift","케이블 리프트","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","ROTATION_GENERATION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"cable_overhead_triceps_extension","케이블 오버헤드 트라이셉스 익스텐션","EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"cable_pallof_press","케이블 팔로프 프레스","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","CORE_STABILITY_SUPPORTIVE","ANTI_ROTATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"cable_rear_delt_fly","케이블 리어델트 플라이","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"cable_woodchop","케이블 우드찹","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","ROTATION_GENERATION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"chest_supported_row_machine","체스트 서포티드 로우 머신","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_chest_supported_row","덤벨 체스트 서포티드 로우","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_farmer_carry","덤벨 파머스 캐리","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","CORE_STABILITY_SUPPORTIVE","DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"dumbbell_goblet_squat","덤벨 고블릿 스쿼트","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_lying_triceps_extension","덤벨 라잉 트라이셉스 익스텐션","EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"dumbbell_overhead_triceps_extension","덤벨 오버헤드 트라이셉스 익스텐션","EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"dumbbell_preacher_curl","덤벨 프리처 컬","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_rear_delt_fly","덤벨 리어델트 플라이","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_reverse_wrist_curl","덤벨 리버스 리스트 컬","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","GRIP_WRIST_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_romanian_deadlift","루마니안 덤벨 데드리프트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_single_leg_rdl","덤벨 원레그 루마니안 데드리프트","EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","LOWER_BODY_SUPPORTIVE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"dumbbell_spider_curl","덤벨 스파이더 컬","EXERCISE","EXERCISE","GENERAL","NONE","NONE","GENERAL_STRENGTH_SUPPORTIVE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"dumbbell_woodchop","덤벨 우드찹","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","ROTATION_GENERATION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_1052e9fa","스미스 머신 런지","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_149730de","발목/고관절 가동성","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_16b298db","미니밴드 사이드워크","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_1a4858d7","농구","SPORT_SESSION","SPORT_SESSION","NONE","OTHER_SPORT_SESSION","JUMP_LANDING,RECOVERY_STEP","JUMP_LANDING",,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"ex_1a4bbdcf","축구","SPORT_SESSION","SPORT_SESSION","NONE","OTHER_SPORT_SESSION","RECOVERY_STEP","CONDITIONING",,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"ex_1c7f2342","랜덤 풋워크","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_1cf51b6b","노르딕 햄스트링 컬","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","JUMP_LANDING,RECOVERY_STEP","JUMP_LANDING","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_1dbee10e","머신 체스트프레스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"ex_2055b629","애질리티 래더","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","GENERAL_COURT_SPORT","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_216351a1","가벼운 콕줍기","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_LUNGE_REACH|BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,RECOVERY_STEP","FOOTWORK,CONDITIONING","ACCELERATION|DECELERATION|FOOTWORK|LUNGE_REACH|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_27b3deb5","클로즈그립 벤치프레스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","GRIP_FOREARM,SHOULDER_CARE",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"ex_281347da","덤벨 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_2822ec2e","레그 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_282a9d87","링 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM,SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_28347c1f","버드독","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ANTI_ROTATION_STABILITY,SHOULDER_CARE","DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_284ecca6","슈퍼맨","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_28902b13","푸시업","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_2892da5a","해머 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_2a826c82","할로우 바디 홀드","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ANTI_ROTATION_STABILITY","DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_2f3b56d0","테니스","SPORT_SESSION","SPORT_SESSION","NONE","OTHER_SPORT_SESSION","NONE","ROTATION_POWER",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"ex_30a0e9aa","원암 덤벨 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_314df428","원레그 홉 투 스틱","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","DECELERATION,JUMP_LANDING,RECOVERY_STEP","DECELERATION,JUMP_LANDING","ACCELERATION|DECELERATION|FOOTWORK|JUMP_LANDING|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_32219f7a","오버헤드 프레스","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_32eb8457","원암 랫풀다운","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_33841b88","6코너 풋워크","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION,CONDITIONING","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_33d2da8e","원암 머신 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_34e7d21","래터럴 바운드 투 스틱","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","DECELERATION,JUMP_LANDING,LATERAL_MOVE,RECOVERY_STEP","DECELERATION,JUMP_LANDING","ACCELERATION|DECELERATION|FOOTWORK|JUMP_LANDING|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_377448a9","스플릿 스텝 후 좌우 런지","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_LUNGE_REACH|BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","NONE","NONE","DECELERATION|FOOTWORK|LUNGE_REACH","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_389920ab","글루트 브릿지","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_389e0556","원암 덤벨 벤치프레스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_3a7d3eda","덤벨 벤치프레스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_3c3692aa","케이블 원암 로우","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_3caa236b","파이크 푸시업","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_3d5719de","원암 케이블 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY,GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_3f184ef9","버피","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","RECOVERY_STEP","CONDITIONING","CONDITIONING","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_40fa57be","원암 케이블 하이 로우","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_421ba24b","좌우 랜덤 콕줍기","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_LUNGE_REACH|BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,LATERAL_MOVE,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION,CONDITIONING","ACCELERATION|DECELERATION|FOOTWORK|LUNGE_REACH|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_4255e429","앞뒤 랜덤 콕줍기","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_LUNGE_REACH|BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION,CONDITIONING","ACCELERATION|DECELERATION|FOOTWORK|LUNGE_REACH|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_442617f6","원암 케이블 플라이","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","ANTI_ROTATION_STABILITY",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_462c760e","체스트 서포티드 원암 머신 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_4773b6ea","린단 참고 트랙 스프린트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE","ACCELERATION|CONDITIONING","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_4aa3725a","머신 숄더프레스","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_4c76dbb2","케이블 풀스루","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_4c779df2","케이블 플라이","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","ANTI_ROTATION_STABILITY",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_5004ca76","린단 참고 페이스 체인지 풋워크","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,ACCELERATION,DECELERATION","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_516f4456","스파이더 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_5322f2d1","원암 케이블 트라이셉스 푸시다운","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","ANTI_ROTATION_STABILITY,GRIP_FOREARM",,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"ex_5c8751d2","시티드 카프 레이즈","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_5ca7133f","원레그 카프 레이즈","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_6232f4bc","박스 스텝업","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_64422511","랜덤 방향전환 드릴","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_644e0f9d","V업","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_6463edad","딥스","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","ANTI_ROTATION_STABILITY",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_64644b5e","런지","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_64661229","월싯","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_6466fe77","친업","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_681d9ed2","러닝","TRAINING_EXERCISE","EXERCISE","GENERAL","GENERAL_CONDITIONING","RECOVERY_STEP","CONDITIONING","CONDITIONING","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_681eed4a","수영","TRAINING_EXERCISE","EXERCISE","GENERAL","GENERAL_CONDITIONING","RECOVERY_STEP","CONDITIONING","CONDITIONING","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_69a56484","래터럴 스텝다운","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_6a966452","체스트 서포티드 원암 덤벨 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_704cbf1a","덤벨 스텝업","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_708e64ce","덤벨 풀오버","TRAINING_EXERCISE","EXERCISE","NONE","NONE","NONE","ANTI_ROTATION_STABILITY",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ex_70f19bf","리닝 래터럴 레이즈","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY,SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_7176cbee","리어델트 플라이","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY,SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_721f7b5b","힙 쓰러스트","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_728da646","힙 어브덕션","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","JUMP_LANDING,RECOVERY_STEP","JUMP_LANDING","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_72f11dc5","덤벨 리스트 익스텐션","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_73b0b63f","아처 푸시업","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_7404067c","케틀벨 스윙","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_74c2d13b","계단 오르기","TRAINING_EXERCISE","EXERCISE","GENERAL","GENERAL_CONDITIONING","NONE","NONE","CONDITIONING","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_752b45ae","멀티셔틀 풋워크","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_MULTI_SHUTTLE|BADMINTON_RALLY|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION,CONDITIONING","ACCELERATION|CONDITIONING|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"ex_767e188e","아놀드 프레스","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_7814843a","원암 덤벨 숄더프레스","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_79f3bdbe","덤벨 숄더프레스","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_7ce96a7a","프론트풋 엘리베이티드 스플릿 스쿼트","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_7deabeba","리어델트 케이블 플라이","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY,SHOULDER_CARE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_85b2ac56","원암 덤벨 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","ANTI_ROTATION_STABILITY,GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_85f12271","원레그 박스 스쿼트","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","NONE","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_86323ed6","원암 해머 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_8633d8db","EZ바 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_8824026f","원레그 레그 컬","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","JUMP_LANDING,RECOVERY_STEP","JUMP_LANDING",,"FALSE","FALSE","TRUE","TRUE","FALSE","TRUE"
"ex_8a3800f1","리버스 노르딕 컬","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","ANTI_ROTATION_STABILITY","ACCELERATION|DECELERATION|FOOTWORK","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"ex_8e18b02a","리버스 리스트 컬","TRAINING_EXERCISE","EXERCISE","SUPPORTIVE","NONE","NONE","GRIP_FOREARM",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_8e4bf08e","Yates Row","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_8e51640a","체스트 서포티드 로우","TRAINING_EXERCISE","EXERCISE","GENERAL","NONE","NONE","NONE",,"FALSE","FALSE","FALSE","TRUE","FALSE","TRUE"
"ex_8e69fc74","스플릿 스텝 리액션","TRAINING_EXERCISE","EXERCISE","DIRECT","BADMINTON_FOOTWORK|BADMINTON_DIRECT_TRANSFER","MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK,REACTION,DECELERATION","ACCELERATION|DECELERATION|FOOTWORK|REACTION","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
