"legacyField","storageOwner","cardinality","currentConsumerModule","consumerLocation","currentRuntimeMeaning","targetLayer","targetRelation","conversionMode","derivationMode","rawSourcePresenceRule","compatibilityStatus","removalGate","parityRisk","knownIssueIds","notes"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","Exercise property consumed by OFI/readiness","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","program generation","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","Legacy fallback path that manufactures or substitutes a classification","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","CURRENT_RESOLVER_OUTPUT","LEGACY_HEURISTIC_FALLBACK","Fallback is used when explicit source is blank, unknown, or unsupported","BASELINE_V1_ONLY","Reviewed stableKey relation AND parity AND rollback AND explicit approval","HIGH","META-ACTIVITY-NAME-FALLBACK","BASELINE_V1 preserves this current fallback; REVIEWED_V1 remains UNRESOLVED until human review"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","program generation","app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt","Exercise property consumed by program generation","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/RecordEntryCard.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","canonical asset plus Room runtime_exercise_metadata override","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","LEGACY_RESOLVER_EXPLICIT","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/contracts/UserExerciseAnalysisContractProjector.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","Exercise property consumed by OFI/readiness","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceObservationBuilder.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","program generation","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","Legacy fallback path that manufactures or substitutes a classification","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","CURRENT_RESOLVER_OUTPUT","LEGACY_HEURISTIC_FALLBACK","Fallback is used when explicit source is blank, unknown, or unsupported","BASELINE_V1_ONLY","Reviewed stableKey relation AND parity AND rollback AND explicit approval","HIGH","META-ACTIVITY-NAME-FALLBACK","BASELINE_V1 preserves this current fallback; REVIEWED_V1 remains UNRESOLVED until human review"
"activityKind","Room exercises","SINGLE","program generation","app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt","Exercise property consumed by program generation","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/RecordEntryCard.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"activityKind","Room exercises","SINGLE","shared metadata/data","app/src/main/java/com/training/trackplanner/RuntimeMetadataExerciseEditorDialog.kt","Persisted or resolved exercise property used by shared metadata/data code","MOVEMENT_ANATOMY","ExerciseMovementAnatomyRelation","DIRECT_COPY","RAW_EXPLICIT_VALUE","Nonblank stored value is explicit; missing value remains unresolved unless current fallback is preserved in BASELINE_V1","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"adaptiveBaselineGroups","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","OFI","ExerciseOfiAxisContribution_OR_ExerciseOfiDoseProfile","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"adaptiveBaselineGroups","Room exercises","MULTI","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt","Exercise property consumed by OFI/readiness","OFI","ExerciseOfiAxisContribution_OR_ExerciseOfiDoseProfile","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"adaptiveBaselineGroups","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt","Persisted or resolved exercise property used by shared metadata/data code","OFI","ExerciseOfiAxisContribution_OR_ExerciseOfiDoseProfile","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"adaptiveBaselineGroups","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","OFI","ExerciseOfiAxisContribution_OR_ExerciseOfiDoseProfile","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"adaptiveBaselineGroups","Room exercises","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt","Persisted or resolved exercise property used by shared metadata/data code","OFI","ExerciseOfiAxisContribution_OR_ExerciseOfiDoseProfile","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","badminton analysis","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt","Exercise property consumed by badminton analysis","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","Exercise property consumed by OFI/readiness","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","Exercise property consumed by OFI/readiness","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingLoadIndexCalculator.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","program generation","app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt","Exercise property consumed by program generation","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/RuntimeExerciseMetadataResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override","MULTI","shared metadata/data","app/src/main/java/com/training/trackplanner/ExerciseSubcategoryMapper.kt","Persisted or resolved exercise property used by shared metadata/data code","PROGRAM_GENERATION","ExerciseProgramCapability","SPLIT_EXACT_TOKENS","EXACT_TOKEN_EXPANSION","Nonblank source tokens remain explicit; blank or unknown tokens do not manufacture reviewed relations","CURRENT_PRODUCTION_INPUT","No removal before replacement parity and explicit approval","HIGH","","Explicit/raw compatibility path; no production cutover in this task"
