exerciseStableKey,legacyRole,newTrainingRoleCodes,newProgramSlotCapabilityCodes,migrationStatus,evidence,notes
barbell_romanian_deadlift,MAIN_STRENGTH,STRENGTH,MAIN_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=barbell_romanian_deadlift;training_role=MAIN_STRENGTH,Mechanical decomposition approved by migration policy.
ex_eb636bac,ACCESSORY,,ACCESSORY_SLOT,REVIEW_REQUIRED,app/src/main/assets/training_settings_seed.csv | stable_key=ex_eb636bac;training_role=ACCESSORY,ACCESSORY is a placement label and does not establish intrinsic training meaning.
half_kneeling_single_arm_dumbbell_press,STABILITY,STABILITY,STABILITY_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=half_kneeling_single_arm_dumbbell_press;training_role=STABILITY,Mechanical decomposition approved by migration policy.
half_kneeling_single_arm_kettlebell_press,STABILITY,STABILITY,STABILITY_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=half_kneeling_single_arm_kettlebell_press;training_role=STABILITY,Mechanical decomposition approved by migration policy.
landmine_rotation,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=landmine_rotation;training_role=POWER,Mechanical decomposition approved by migration policy.
lateral_bound_continuous,PLYOMETRIC,PLYOMETRIC,PLYOMETRIC_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=lateral_bound_continuous;training_role=PLYOMETRIC,Mechanical decomposition approved by migration policy.
med_ball_overhead_slam,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=med_ball_overhead_slam;training_role=POWER,Mechanical decomposition approved by migration policy.
med_ball_rotational_slam,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=med_ball_rotational_slam;training_role=POWER,Mechanical decomposition approved by migration policy.
medicine_ball_rotational_throw,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=medicine_ball_rotational_throw;training_role=POWER,Mechanical decomposition approved by migration policy.
single_leg_hip_bridge,STABILITY,STABILITY,STABILITY_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=single_leg_hip_bridge;training_role=STABILITY,Mechanical decomposition approved by migration policy.
single_leg_rdl,MAIN_STRENGTH,STRENGTH,MAIN_STRENGTH_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=single_leg_rdl;training_role=MAIN_STRENGTH,Mechanical decomposition approved by migration policy.
vipr_chop,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=vipr_chop;training_role=POWER,Mechanical decomposition approved by migration policy.
vipr_rotational_lift,POWER,POWER,POWER_SLOT,APPROVED,app/src/main/assets/training_settings_seed.csv | stable_key=vipr_rotational_lift;training_role=POWER,Mechanical decomposition approved by migration policy.
