displayField,canonicalCode,koreanLabel,koreanShortLabel,koreanFormalLabel,koreanDescription,koreanSearchAliases,englishLabel,englishSearchAliases,allowedLatinTokens,displayScope,reviewStatus
BADMINTON_PHYSICAL_QUALITY,AEROBIC_BASE,유산소 기초,유산소 기초,,유산소 기초 항목을 나타내는 앱 표시 용어입니다.,,Aerobic base,AEROBIC BASE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ANAEROBIC_REPEATABILITY,무산소 반복 능력,무산소 반복 능력,,무산소 반복 능력 항목을 나타내는 앱 표시 용어입니다.,,Anaerobic repeatability,ANAEROBIC REPEATABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ANKLE_STIFFNESS,발목 강성,발목 강성,,발목 강성 항목을 나타내는 앱 표시 용어입니다.,,Ankle stiffness,ANKLE STIFFNESS,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ANTERIOR_CHAIN,전면 운동사슬,전면 운동사슬,,전면 운동사슬 항목을 나타내는 앱 표시 용어입니다.,,Anterior chain,ANTERIOR CHAIN,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ANTI_ROTATION,항 회전,항 회전,,항 회전 항목을 나타내는 앱 표시 용어입니다.,,Anti rotation,ANTI ROTATION,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ANTI_ROTATION_STABILITY,항 회전 안정성,항 회전 안정성,,항 회전 안정성 항목을 나타내는 앱 표시 용어입니다.,,Anti rotation stability,ANTI ROTATION STABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,CALF_ACHILLES,종아리 아킬레스,종아리 아킬레스,,종아리 아킬레스 항목을 나타내는 앱 표시 용어입니다.,,Calf achilles,CALF ACHILLES,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,CALF_ELASTICITY,종아리 탄성,종아리 탄성,,종아리 탄성 항목을 나타내는 앱 표시 용어입니다.,,Calf elasticity,CALF ELASTICITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,CORE_BRACING,코어 브레이싱,코어 브레이싱,,코어 브레이싱 항목을 나타내는 앱 표시 용어입니다.,,Core bracing,CORE BRACING,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,CROSSOVER,크로스오버,크로스오버,,크로스오버 항목을 나타내는 앱 표시 용어입니다.,,Crossover,CROSSOVER,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,DECELERATION,감속,감속,,감속 항목을 나타내는 앱 표시 용어입니다.,,Deceleration,DECELERATION,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,FIRST_STEP,첫 스텝,첫 스텝,,첫 스텝 항목을 나타내는 앱 표시 용어입니다.,,First step,FIRST STEP,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,FRONTAL_PLANE_CONTROL,전두면 제어,전두면 제어,,전두면 제어 항목을 나타내는 앱 표시 용어입니다.,,Frontal plane control,FRONTAL PLANE CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,FRONT_LUNGE,전방 런지,전방 런지,,전방 런지 항목을 나타내는 앱 표시 용어입니다.,,Front lunge,FRONT LUNGE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,GRIP_ENDURANCE,그립 지구력,그립 지구력,,그립 지구력 항목을 나타내는 앱 표시 용어입니다.,,Grip endurance,GRIP ENDURANCE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,GRIP_FOREARM,그립 전완,그립 전완,,그립 전완 항목을 나타내는 앱 표시 용어입니다.,,Grip forearm,GRIP FOREARM,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,HINGE,힌지,힌지,,힌지 항목을 나타내는 앱 표시 용어입니다.,,Hinge,HINGE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,HIP_CONTROL,고관절 제어,고관절 제어,,고관절 제어 항목을 나타내는 앱 표시 용어입니다.,,Hip control,HIP CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,HIP_KNEE_EXTENSION_STRENGTH,고관절 무릎 신전 근력,고관절 무릎 신전 근력,,고관절 무릎 신전 근력 항목을 나타내는 앱 표시 용어입니다.,,Hip knee extension strength,HIP KNEE EXTENSION STRENGTH,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,HIP_STABILITY,고관절 안정성,고관절 안정성,,고관절 안정성 항목을 나타내는 앱 표시 용어입니다.,,Hip stability,HIP STABILITY,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,JUMP_LANDING,점프 착지,점프 착지,,점프 착지 항목을 나타내는 앱 표시 용어입니다.,,Jump landing,JUMP LANDING,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,KNEE_CONTROL,무릎 제어,무릎 제어,,무릎 제어 항목을 나타내는 앱 표시 용어입니다.,,Knee control,KNEE CONTROL,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,LATERAL_MOVE,측면 이동,측면 이동,,측면 이동 항목을 나타내는 앱 표시 용어입니다.,,Lateral move,LATERAL MOVE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,LOWER_BODY_FORCE,하체 힘,하체 힘,,하체 힘 항목을 나타내는 앱 표시 용어입니다.,,Lower body force,LOWER BODY FORCE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,LOWER_PULL,하체 당기기,하체 당기기,,하체 당기기 항목을 나타내는 앱 표시 용어입니다.,,Lower pull,LOWER PULL,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,LOWER_PUSH,하체 밀기,하체 밀기,,하체 밀기 항목을 나타내는 앱 표시 용어입니다.,,Lower push,LOWER PUSH,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,MULTI_DIRECTION,다방향 방향,다방향 방향,,다방향 방향 항목을 나타내는 앱 표시 용어입니다.,,Multi direction,MULTI DIRECTION,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,NONE,없음,없음,,없음 항목을 나타내는 앱 표시 용어입니다.,,None,NONE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,POSTERIOR_CHAIN,후면 운동사슬,후면 운동사슬,,후면 운동사슬 항목을 나타내는 앱 표시 용어입니다.,,Posterior chain,POSTERIOR CHAIN,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,REACTION_RANDOM,무작위 반응,무작위 반응,,무작위 반응 항목을 나타내는 앱 표시 용어입니다.,,Reaction random,REACTION RANDOM,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,REACTIVE_AGILITY,반응성 민첩성,반응성 민첩성,,반응성 민첩성 항목을 나타내는 앱 표시 용어입니다.,,Reactive agility,REACTIVE AGILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,REAR_COURT,후면 코트,후면 코트,,후면 코트 항목을 나타내는 앱 표시 용어입니다.,,Rear court,REAR COURT,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,RECOVERY_STEP,회복 스텝,회복 스텝,,회복 스텝 항목을 나타내는 앱 표시 용어입니다.,,Recovery step,RECOVERY STEP,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ROTATION,회전,회전,,회전 항목을 나타내는 앱 표시 용어입니다.,,Rotation,ROTATION,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_CONTROL,회전 제어,회전 제어,,회전 제어 항목을 나타내는 앱 표시 용어입니다.,,Rotational control,ROTATIONAL CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_POWER,회전 파워,회전 파워,,회전 파워 항목을 나타내는 앱 표시 용어입니다.,,Rotational power,ROTATIONAL POWER,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ROTATIONAL_STRENGTH,회전 근력,회전 근력,,회전 근력 항목을 나타내는 앱 표시 용어입니다.,,Rotational strength,ROTATIONAL STRENGTH,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,ROTATOR_CUFF_CONTROL,회전근개 제어,회전근개 제어,,회전근개 제어 항목을 나타내는 앱 표시 용어입니다.,,Rotator cuff control,ROTATOR CUFF CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SCAPULAR_CONTROL,견갑 제어,견갑 제어,,견갑 제어 항목을 나타내는 앱 표시 용어입니다.,,Scapular control,SCAPULAR CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SCAPULAR_STABILITY,견갑 안정성,견갑 안정성,,견갑 안정성 항목을 나타내는 앱 표시 용어입니다.,,Scapular stability,SCAPULAR STABILITY,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SHOULDER_CARE,어깨 관리,어깨 관리,,어깨 관리 항목을 나타내는 앱 표시 용어입니다.,,Shoulder care,SHOULDER CARE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SHOULDER_DURABILITY,어깨 지구성,어깨 지구성,,어깨 지구성 항목을 나타내는 앱 표시 용어입니다.,,Shoulder durability,SHOULDER DURABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SINGLE_LEG_STABILITY,한발 안정성,한발 안정성,,한발 안정성 항목을 나타내는 앱 표시 용어입니다.,,Single leg stability,SINGLE LEG STABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SPLIT_STEP,스플릿 스텝,스플릿 스텝,,스플릿 스텝 항목을 나타내는 앱 표시 용어입니다.,,Split step,SPLIT STEP,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,SQUAT_PATTERN,스쿼트 패턴,스쿼트 패턴,,스쿼트 패턴 항목을 나타내는 앱 표시 용어입니다.,,Squat pattern,SQUAT PATTERN,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,UNILATERAL_LOWER,편측 하체,편측 하체,,편측 하체 항목을 나타내는 앱 표시 용어입니다.,,Unilateral lower,UNILATERAL LOWER,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,UNILATERAL_UPPER,편측 상체,편측 상체,,편측 상체 항목을 나타내는 앱 표시 용어입니다.,,Unilateral upper,UNILATERAL UPPER,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,UPPER_BODY_EXPLOSIVE_POWER,상체 폭발력,상체 폭발력,,상체 폭발력 항목을 나타내는 앱 표시 용어입니다.,,Upper body explosive power,UPPER BODY EXPLOSIVE POWER,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,UPPER_PULL,상체 당기기,상체 당기기,,상체 당기기 항목을 나타내는 앱 표시 용어입니다.,,Upper pull,UPPER PULL,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_PHYSICAL_QUALITY,UPPER_PUSH,상체 밀기,상체 밀기,,상체 밀기 항목을 나타내는 앱 표시 용어입니다.,,Upper push,UPPER PUSH,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,ANTI_ROTATION_STABILITY,항 회전 안정성,항 회전 안정성,,항 회전 안정성 항목을 나타내는 앱 표시 용어입니다.,,Anti rotation stability,ANTI ROTATION STABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,CHANGE_OF_DIRECTION,방향 전환,방향 전환,,방향 전환 항목을 나타내는 앱 표시 용어입니다.,,Change of direction,CHANGE OF DIRECTION,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,CONDITIONING,컨디셔닝,컨디셔닝,,컨디셔닝 항목을 나타내는 앱 표시 용어입니다.,,Conditioning,CONDITIONING,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,DECELERATION_CONTROL,감속 제어,감속 제어,,감속 제어 항목을 나타내는 앱 표시 용어입니다.,,Deceleration control,DECELERATION CONTROL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,DEFENSIVE_COVERAGE,수비 범위,수비 범위,,수비 범위 항목을 나타내는 앱 표시 용어입니다.,,Defensive coverage,DEFENSIVE COVERAGE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,DRIVE,드라이브,드라이브,,드라이브 항목을 나타내는 앱 표시 용어입니다.,,Drive,DRIVE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,FIRST_STEP,첫 스텝,첫 스텝,,첫 스텝 항목을 나타내는 앱 표시 용어입니다.,,First step,FIRST STEP,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,FIRST_STEP_REACTION,첫 스텝 반응,첫 스텝 반응,,첫 스텝 반응 항목을 나타내는 앱 표시 용어입니다.,,First step reaction,FIRST STEP REACTION,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,FOOTWORK_SPEED,풋워크 속도,풋워크 속도,,풋워크 속도 항목을 나타내는 앱 표시 용어입니다.,,Footwork speed,FOOTWORK SPEED,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,FRONT_COURT_LUNGE,전위 코트 런지,전위 코트 런지,,전위 코트 런지 항목을 나타내는 앱 표시 용어입니다.,,Front court lunge,FRONT COURT LUNGE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,GRIP_ENDURANCE,그립 지구력,그립 지구력,,그립 지구력 항목을 나타내는 앱 표시 용어입니다.,,Grip endurance,GRIP ENDURANCE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,JUMP_LANDING_CONTROL,점프 착지 제어,점프 착지 제어,,점프 착지 제어 항목을 나타내는 앱 표시 용어입니다.,,Jump landing control,JUMP LANDING CONTROL,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,LATERAL_LUNGE,측면 런지,측면 런지,,측면 런지 항목을 나타내는 앱 표시 용어입니다.,,Lateral lunge,LATERAL LUNGE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,LATERAL_MOVEMENT,측면 동작,측면 동작,,측면 동작 항목을 나타내는 앱 표시 용어입니다.,,Lateral movement,LATERAL MOVEMENT,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,LUNGE_REACH,런지 리치,런지 리치,,런지 리치 항목을 나타내는 앱 표시 용어입니다.,,Lunge reach,LUNGE REACH,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,MULTI_SHUTTLE_ENDURANCE,멀티 셔틀 지구력,멀티 셔틀 지구력,,멀티 셔틀 지구력 항목을 나타내는 앱 표시 용어입니다.,,Multi shuttle endurance,MULTI SHUTTLE ENDURANCE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,NET_PLAY,네트 플레이,네트 플레이,,네트 플레이 항목을 나타내는 앱 표시 용어입니다.,,Net play,NET PLAY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,NONE,없음,없음,,없음 항목을 나타내는 앱 표시 용어입니다.,,None,NONE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,OVERHEAD_CLEAR,오버헤드 클리어,오버헤드 클리어,,오버헤드 클리어 항목을 나타내는 앱 표시 용어입니다.,,Overhead clear,OVERHEAD CLEAR,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,OVERHEAD_POWER,머리 위 파워,머리 위 파워,,머리 위 파워 항목을 나타내는 앱 표시 용어입니다.,,Overhead power,OVERHEAD POWER,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,RALLY_TOLERANCE,랠리 지속 능력,랠리 지속 능력,,랠리 지속 능력 항목을 나타내는 앱 표시 용어입니다.,,Rally tolerance,RALLY TOLERANCE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,REAR_COURT_RECOVERY,후면 코트 회복,후면 코트 회복,,후면 코트 회복 항목을 나타내는 앱 표시 용어입니다.,,Rear court recovery,REAR COURT RECOVERY,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,ROTATION_SEQUENCING,회전 연결,회전 연결,,회전 연결 항목을 나타내는 앱 표시 용어입니다.,,Rotation sequencing,ROTATION SEQUENCING,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,SHOULDER_DURABILITY,어깨 지구성,어깨 지구성,,어깨 지구성 항목을 나타내는 앱 표시 용어입니다.,,Shoulder durability,SHOULDER DURABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,SMASH,스매시,스매시,,스매시 항목을 나타내는 앱 표시 용어입니다.,,Smash,SMASH,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_SKILL_TARGET,SPLIT_STEP,스플릿 스텝,스플릿 스텝,,스플릿 스텝 항목을 나타내는 앱 표시 용어입니다.,,Split step,SPLIT STEP,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_LEVEL,DIRECT,직접 전이,직접 전이,,직접 전이 항목을 나타내는 앱 표시 용어입니다.,,Direct,DIRECT,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_LEVEL,GENERAL,일반,일반,,일반 항목을 나타내는 앱 표시 용어입니다.,,General,GENERAL,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_LEVEL,NONE,직접 전이 없음,직접 전이 없음,,직접 전이 없음 항목을 나타내는 앱 표시 용어입니다.,,No direct transfer,NONE,,SEARCH_ONLY,APPROVED_RESEARCHED
BADMINTON_TRANSFER_LEVEL,SUPPORTIVE,보조 전이,보조 전이,,보조 전이 항목을 나타내는 앱 표시 용어입니다.,,Supportive,SUPPORTIVE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,ACCELERATION,가속,가속,,가속 항목을 나타내는 앱 표시 용어입니다.,,Acceleration,ACCELERATION,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,ANKLE_CALF_SSC_SUPPORTIVE,발목 종아리 SSC 보조,발목 종아리 SSC 보조,,발목 종아리 SSC 보조 항목을 나타내는 앱 표시 용어입니다.,,Ankle calf SSC supportive,ANKLE CALF SSC SUPPORTIVE,SSC,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,ANTI_ROTATION_STABILITY,항 회전 안정성,항 회전 안정성,,항 회전 안정성 항목을 나타내는 앱 표시 용어입니다.,,Anti rotation stability,ANTI ROTATION STABILITY,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,ANTI_ROTATION_STABILITY_SUPPORTIVE,항 회전 안정성 보조,항 회전 안정성 보조,,항 회전 안정성 보조 항목을 나타내는 앱 표시 용어입니다.,,Anti rotation stability supportive,ANTI ROTATION STABILITY SUPPORTIVE,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,CHANGE_OF_DIRECTION_DIRECT,방향 전환 직접 전이,방향 전환 직접 전이,,방향 전환 직접 전이 항목을 나타내는 앱 표시 용어입니다.,,Change of direction direct,CHANGE OF DIRECTION DIRECT,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,CONDITIONING,컨디셔닝,컨디셔닝,,컨디셔닝 항목을 나타내는 앱 표시 용어입니다.,,Conditioning,CONDITIONING,,PRODUCTION,APPROVED_RESEARCHED
BADMINTON_TRANSFER_TYPE,CORE_STABILITY_SUPPORTIVE,코어 안정성 보조,코어 안정성 보조,,코어 안정성 보조 항목을 나타내는 앱 표시 용어입니다.,,Core stability supportive,CORE STABILITY SUPPORTIVE,,PRODUCTION,APPROVED_RESEARCHED
