stableKey,exerciseName,identityStatus,sourceStableKey,lineageType,selectable,historyTreatment,movementPattern,jointAction,movementEvent,kineticChain,stabilityDemandLevel,mobilityDemandLevel,equipmentRequirementModel,equipmentCodes,equipmentRequirementGroupId,sourceOrigin,mappingConfidence,identityDecisionStatus,reviewStatus,analysisInheritance,evidence,provenance
cable_lift,케이블 리프트,SELECTABLE_CANONICAL,cable_lift,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_ROTATION,HIP_EXTERNAL_ROTATION|HIP_INTERNAL_ROTATION|THORACIC_ROTATION,,,HIGH,MODERATE,SINGLE,CABLE,eqreq_cable_lift,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,SELECTABLE_CANONICAL,ex_a9e8859c,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_cable_overhead_triceps_extension,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
cable_pallof_press,케이블 팔로프 프레스,SELECTABLE_CANONICAL,ex_99728d25,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,TRUNK_BRACE,,,,HIGH,LOW,SINGLE,CABLE,eqreq_cable_pallof_press,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_99728d25
cable_rear_delt_fly,케이블 리어델트 플라이,SELECTABLE_CANONICAL,ex_7176cbee,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_cable_rear_delt_fly,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
cable_woodchop,케이블 우드찹,SELECTABLE_CANONICAL,cable_woodchop,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_ROTATION,HIP_EXTERNAL_ROTATION|HIP_INTERNAL_ROTATION|THORACIC_ROTATION,,,HIGH,MODERATE,SINGLE,CABLE,eqreq_cable_woodchop,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
chest_supported_row_machine,체스트 서포티드 로우 머신,SELECTABLE_CANONICAL,ex_8e51640a,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,ROW_MACHINE,eqreq_chest_supported_row_machine,WORKBOOK_CANONICAL,LOW,,REVIEW_REQUIRED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,SELECTABLE_CANONICAL,ex_8e51640a,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,MODERATE,ALL_REQUIRED,DUMBBELL|BENCH,eqreq_dumbbell_chest_supported_row,WORKBOOK_CANONICAL,LOW,,REVIEW_REQUIRED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e51640a
dumbbell_farmer_carry,덤벨 파머스 캐리,SELECTABLE_CANONICAL,ex_a1fc4533,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,CARRY|GAIT,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,,HIGH,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_farmer_carry,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_a1fc4533
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,SELECTABLE_CANONICAL,ex_ac7df636,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,SQUAT,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,DUMBBELL,eqreq_dumbbell_goblet_squat,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_ac7df636
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,SELECTABLE_CANONICAL,ex_d20b7487,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_lying_triceps_extension,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_d20b7487
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,SELECTABLE_CANONICAL,ex_a9e8859c,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_overhead_triceps_extension,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_a9e8859c
dumbbell_preacher_curl,덤벨 프리처 컬,SELECTABLE_CANONICAL,ex_e994008a,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_preacher_curl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_e994008a
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,SELECTABLE_CANONICAL,ex_7176cbee,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_rear_delt_fly,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,SELECTABLE_CANONICAL,ex_8e18b02a,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,WRIST_EXTENSION|WRIST_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_dumbbell_reverse_wrist_curl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_8e18b02a
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,SELECTABLE_CANONICAL,dumbbell_romanian_deadlift,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HINGE,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,DUMBBELL,eqreq_dumbbell_romanian_deadlift,SEED_ONLY_INHERITED_FROM_DIRECT_ALIAS,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,SELECTABLE_CANONICAL,single_leg_rdl,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,HINGE,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,HIGH,MODERATE,SINGLE,DUMBBELL,eqreq_dumbbell_single_leg_rdl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_single_leg_rdl
dumbbell_spider_curl,덤벨 스파이더 컬,SELECTABLE_CANONICAL,ex_516f4456,EQUIPMENT_VARIANT_SPLIT,YES,NEW_IDENTITY; NO_AUTOMATIC_HISTORY_MIGRATION,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,ALL_REQUIRED,DUMBBELL|BENCH,eqreq_dumbbell_spider_curl,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_REQUIRED,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,User-approved equipment interpretation B; mechanics/posture/resistance or recording identity differs,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
dumbbell_woodchop,덤벨 우드찹,SELECTABLE_CANONICAL,dumbbell_woodchop,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_ROTATION,HIP_EXTERNAL_ROTATION|HIP_INTERNAL_ROTATION|THORACIC_ROTATION,,,HIGH,MODERATE,SINGLE,DUMBBELL,eqreq_dumbbell_woodchop,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1052e9fa,스미스 머신 런지,SELECTABLE_CANONICAL,ex_1052e9fa,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,LUNGE,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,SMITH_MACHINE,eqreq_ex_1052e9fa,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_149730de,발목/고관절 가동성,SELECTABLE_CANONICAL,ex_149730de,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_EXTERNAL_ROTATION|HIP_FLEXION|HIP_INTERNAL_ROTATION,,,LOW,LOW,NONE,,,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_16b298db,미니밴드 사이드워크,SELECTABLE_CANONICAL,ex_16b298db,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,HIP_ABDUCTION|HIP_ADDUCTION,,CLOSED_CHAIN,HIGH,LOW,SINGLE,BAND,eqreq_ex_16b298db,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1a4858d7,농구,SELECTABLE_CANONICAL,ex_1a4858d7,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,,,,HIGH,MODERATE,SINGLE,BASKETBALL,eqreq_ex_1a4858d7,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1a4bbdcf,축구,SELECTABLE_CANONICAL,ex_1a4bbdcf,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,,,,HIGH,MODERATE,SINGLE,SOCCER_BALL,eqreq_ex_1a4bbdcf,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1c7f2342,랜덤 풋워크,SELECTABLE_CANONICAL,ex_1c7f2342,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1cf51b6b,노르딕 햄스트링 컬,SELECTABLE_CANONICAL,ex_1cf51b6b,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,LOW,MODERATE,SINGLE,HEEL_ANCHOR,eqreq_ex_1cf51b6b,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_1dbee10e,머신 체스트프레스,SELECTABLE_CANONICAL,ex_1dbee10e,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,CHEST_PRESS_MACHINE,eqreq_ex_1dbee10e,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_2055b629,애질리티 래더,SELECTABLE_CANONICAL,ex_2055b629,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,SINGLE,AGILITY_LADDER,eqreq_ex_2055b629,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_216351a1,가벼운 콕줍기,SELECTABLE_CANONICAL,ex_216351a1,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,SINGLE,SHUTTLECOCKS,eqreq_ex_216351a1,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_27b3deb5,클로즈그립 벤치프레스,SELECTABLE_CANONICAL,ex_27b3deb5,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,MODERATE,MODERATE,ALL_REQUIRED,BARBELL|BENCH,eqreq_ex_27b3deb5,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_281347da,덤벨 컬,SELECTABLE_CANONICAL,ex_281347da,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_ex_281347da,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_2822ec2e,레그 컬,SELECTABLE_CANONICAL,ex_2822ec2e,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,KNEE_EXTENSION|KNEE_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,LEG_CURL_MACHINE,eqreq_ex_2822ec2e,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_282a9d87,링 로우,SELECTABLE_CANONICAL,ex_282a9d87,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,CLOSED_CHAIN,HIGH,MODERATE,SINGLE,GYMNASTIC_RINGS,eqreq_ex_282a9d87,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_28347c1f,버드독,SELECTABLE_CANONICAL,ex_28347c1f,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_BRACE,HIP_EXTENSION|HIP_FLEXION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,,HIGH,LOW,NONE,,,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_284ecca6,슈퍼맨,SELECTABLE_CANONICAL,ex_284ecca6,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_EXTENSION,LUMBAR_EXTENSION|LUMBAR_FLEXION|THORACIC_EXTENSION|THORACIC_FLEXION,,,MODERATE,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
