"recordType","category","name","count","exerciseName","stableKey","status","detail"
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","바벨 로우","ex_de46b7f6","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a non-inverted free-weight horizontal-row family classification based on practical bodybuilding/anatomy sources. Existing inverted-row evidence must not be treated as exact evidence for this subtype. Muscle contribution and subtype-specific loading remain app-internal heuristics."
"CLOSURE","row","ACCEPT_ANATOMY_SUPPORTED","","다이아몬드 푸시업","ex_debf6a8b","SOURCE_ACCEPTED","Accepted for broad bodyweight horizontal-push classification only. Bench/incline press evidence must not be treated as exact push-up evidence, and no exact push-up EMG or subtype-specific performance claim is made."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","원암 로우","ex_e3487166","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a non-inverted free-weight horizontal-row family classification based on practical bodybuilding/anatomy sources. Existing inverted-row evidence must not be treated as exact evidence for this subtype. Muscle contribution and subtype-specific loading remain app-internal heuristics."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","메도우즈 로우","ex_f459ad2a","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a non-inverted free-weight horizontal-row family classification based on practical bodybuilding/anatomy sources. Existing inverted-row evidence must not be treated as exact evidence for this subtype. Muscle contribution and subtype-specific loading remain app-internal heuristics."
"CLOSURE","row","ACCEPT_WEAK_SOURCE_WITH_LIMITATION","","케이블 로우","ex_fa31f7a6","SOURCE_ACCEPTED_WITH_LIMITATION","Accepted as a cable horizontal-row / cable high-row family classification. Seated-row and machine-row practical sources support broad lats, rhomboids, traps, rear-deltoid and biceps involvement, but no exact subtype EMG claim is made."
"CLOSURE","row","ACCEPT_ANATOMY_SUPPORTED","","디클라인 푸시업","ex_fb67af37","SOURCE_ACCEPTED","Accepted for broad bodyweight horizontal-push classification only. Bench/incline press evidence must not be treated as exact push-up evidence, and no exact push-up EMG or subtype-specific performance claim is made."
"VALIDATION","check","SOURCE-CLOSE-001","","","","PASS","Row count: 215"
"VALIDATION","check","SOURCE-CLOSE-002","","","","PASS","Duplicate stableKey count: 0"
"VALIDATION","check","SOURCE-CLOSE-003","","","","PASS","Rows not safeForSeedMutation=NO: 0"
"VALIDATION","check","SOURCE-CLOSE-004","","","","PASS","Previous replacement queue: 18"
"VALIDATION","check","SOURCE-CLOSE-005","","","","PASS","Processed non-inverted rows: 13"
"VALIDATION","check","SOURCE-CLOSE-006","","","","PASS","Non-inverted rows retaining inverted-row source: 0"
"VALIDATION","check","SOURCE-CLOSE-007","","","","PASS","Free-weight rows without limited acceptance: 0"
"VALIDATION","check","SOURCE-CLOSE-008","","","","PASS","Cable rows without limited acceptance: 0"
"VALIDATION","check","SOURCE-CLOSE-009","","","","PASS","Machine/chest-supported rows without family acceptance: 0"
"VALIDATION","check","SOURCE-CLOSE-010","","","","PASS","Non-inverted rows lacking explicit exact-claim limitation: 0"
"VALIDATION","check","SOURCE-CLOSE-011","","","","PASS","Processed push-ups: 4"
"VALIDATION","check","SOURCE-CLOSE-012","","","","PASS","Push-ups retaining bench/incline EMG source: 0"
"VALIDATION","check","SOURCE-CLOSE-013","","","","PASS","Push-ups marked DIRECT: 0"
"VALIDATION","check","SOURCE-CLOSE-014","","","","PASS","Smash test DIRECT rows: 1"
"VALIDATION","check","SOURCE-CLOSE-015","","","","PASS","Smash test is limited to an app-internal marker."
"VALIDATION","check","SOURCE-CLOSE-016","","","","PASS","Remaining replacements: 0; missing targets: 0"
"VALIDATION","check","SOURCE-CLOSE-017","","","","PASS","Human review queue: 0"
"VALIDATION","check","SOURCE-CLOSE-018","","","","PASS","No seed file was read or modified."
"VALIDATION","check","SOURCE-CLOSE-019","","","","PASS","No app, Kotlin, Room, user DB, or generator file was read or modified."
"VALIDATION","check","SOURCE-CLOSE-020","","","","PASS","No Gradle build or tests were run."
"VALIDATION","check","SOURCE-CLOSE-021","","","","PASS","No network verification was run."
