"exerciseName","stableKey","field","sourceColumn","oldValue","newValue","decisionCategory","reason"
"싱글 레그 레그 컬","ex_8824026f","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"싱글 레그 카프 레이즈","ex_5ca7133f","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"싱글 레그 힙 쓰러스트","ex_d634055c","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"아놀드 프레스","ex_767e188e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"아처 푸시업","ex_73b0b63f","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"오버헤드 트라이셉스 익스텐션","ex_a9e8859c","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"오버헤드 프레스","ex_32219f7a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"워킹 런지","ex_e3715c0b","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원레그 레그 프레스","ex_a091b9fe","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원레그 핵 스쿼트","ex_f1d31d3d","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 RDL","ex_e0b1e364","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 로우","ex_30a0e9aa","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 벤치프레스","ex_389e0556","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 숄더프레스","ex_7814843a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 오버헤드 트라이셉스 익스텐션","ex_fdbdf454","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 덤벨 컬","ex_85b2ac56","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 랫풀다운","ex_32eb8457","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 로우","ex_e3487166","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 리어델트 케이블 플라이","ex_a60496be","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 머신 로우","ex_33d2da8e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 스트레이트암 풀다운","ex_c365e5e2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 인버티드 로우","ex_d9084b5e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 인클라인 덤벨 프레스","ex_9f283612","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 래터럴 레이즈","ex_b076570e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 숄더프레스","ex_c536edc2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 컬","ex_3d5719de","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 플라이","ex_442617f6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 케이블 하이 로우","ex_40fa57be","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"원암 해머 컬","ex_86323ed6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"월싯","ex_64661229","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"인버티드 로우","ex_e159d15a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"인클라인 덤벨 컬","ex_d5048362","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"인클라인 덤벨 프레스","ex_a61f1e96","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"인클라인 덤벨 플라이","ex_a61f307a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"중량 친업","ex_e41e8dcf","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"중량 풀업","ex_e41f4c2b","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"체스트 서포티드 로우","ex_8e51640a","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"체스트 서포티드 원암 덤벨 로우","ex_6a966452","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"체스트 서포티드 원암 로우","ex_462c760e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"친업","ex_6466fe77","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"카프 레이즈","ex_f892893e","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"캡틴체어 레그 레이즈","ex_a345e30b","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"컨센트레이션 컬","ex_c62c0716","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 래터럴 레이즈","ex_b76d3f92","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 로우","ex_fa31f7a6","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 원암 로우","ex_3c3692aa","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 원암 트라이셉스 익스텐션","ex_eb636bac","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 컬","ex_e709eeda","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 킥백","ex_fa34ddfe","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 풀스루","ex_4c76dbb2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"케이블 플라이","ex_4c779df2","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"크로스바디 해머 컬","ex_b69ab702","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"클로즈그립 벤치프레스","ex_27b3deb5","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"킥스탠스 RDL","ex_885b629","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"트라이셉스 푸시다운","ex_fa570291","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"파이크 푸시업","ex_3caa236b","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"페이스풀","face_pull","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"푸시업","ex_28902b13","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"풀업","pull_up","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
"프론트 스쿼트","ex_c5043892","planningEligibility","currentPlanningEligibility","NOT_PRESENT_IN_SEED","PROGRAM_SELECTABLE","DERIVE_FROM_CURRENT_METADATA","Ordinary exercise row remains selectable for planning."
