"exerciseName","stableKey","currentCategoryType","estimatedMovementFamily","originalManualReviewRequired","originalSourceIdIssue","originalReasons","individualJudgement","familyJudgement","judgementPriority","rowManualReviewRequired","sourceReviewRequired","templateMissingReviewRequired","stressReviewRequired","sportSessionReviewRequired","sourceOnlyReview","overbroadManualReview","recommendedFamilyCorrection","recommendedSourceAction","recommendedNextAction","safeForTemplateDefault","safeForSeedMutation","notes"
"덤벨 리스트 컬","ex_95028bfe","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","FOREARM_GRIP_ACCESSORY_REVIEW","YES","MISSING_SOURCE_ID","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절","P1","NO","YES","YES","NO","NO","NO","NO","","source/template 누락 검토 적절","새 template/sourceId를 만든 뒤에만 seed 반영.","NO","NO","새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다."
"덤벨 벤치프레스","ex_3a7d3eda","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"덤벨 숄더프레스","ex_79f3bdbe","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"덤벨 스텝업","ex_704cbf1a","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STEP_UP_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_MED_MIN_META_PMC7727410|C_GLUTE_REHAB_EMG_PMC3201064","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"덤벨 컬","ex_281347da","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"덤벨 킥백","ex_da56a4fe","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"덤벨 풀오버","ex_708e64ce","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL|CHEST_LAT_ACCESSORY","PULLOVER_LAT_CHEST_ACCESSORY_REVIEW","YES","MISSING_SOURCE_ID","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절","P1","NO","YES","YES","NO","NO","NO","NO","","source/template 누락 검토 적절","새 template/sourceId를 만든 뒤에만 seed 반영.","NO","NO","새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다."
"덤벨 프로네이션/수피네이션","ex_f6703b06","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=WRIST_FOREARM|FOREARM_ACCESSORY|GRIP_SUPPORT|FOREARM_ROTATION","FOREARM_GRIP_ACCESSORY_REVIEW","YES","MISSING_SOURCE_ID","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절","P1","NO","YES","YES","NO","NO","NO","NO","","source/template 누락 검토 적절","새 template/sourceId를 만든 뒤에만 seed 반영.","NO","NO","새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다."
"데드리프트","barbell_deadlift","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","DEADLIFT_HINGE_VARIANTS","YES","NO","HIGH_STRESS_SESSION_CLUSTER_REVIEW","수동검토 적절","적절","P1","NO","NO","NO","YES","NO","NO","NO","","해당 없음","session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.","PARTIAL","NO","고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다."
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"디클라인 푸시업","ex_fb67af37","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"딥스","ex_6463edad","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL_SUPPORT|CHEST_TRICEPS_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","YES","NO","LOW_OR_MEDIUM_FAMILY_CONFIDENCE","수동검토 적절","세부분리 필요","P1","YES","NO","YES","NO","NO","NO","NO","DIP_COMPOUND_PUSH_REVIEW","해당 없음","자동 template 반영 금지. sidecar에서 별도 review family로 둬라.","NO","CANDIDATE","가슴/삼두 복합 푸시로 현재 family는 대체로 가능하지만 bench press 계열 자동값은 그대로 쓰면 안 된다."
"라잉 트라이셉스 익스텐션","ex_d20b7487","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"래터럴 런지","ex_b4b198de","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER|FRONTAL_PLANE_LOWER|ADDUCTOR_GLUTE_SUPPORT","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"랫풀다운","ex_dc9e5953","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"런지","ex_64644b5e","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"레그 익스텐션","ex_b78a8f95","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_EXTENSION|QUAD_ISOLATION","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"레그 컬","ex_2822ec2e","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH","HAMSTRING_CURL_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"레그 프레스","ex_ab468462","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","YES","NO","LOW_OR_MEDIUM_FAMILY_CONFIDENCE","수동검토 적절","대체로 적절 또는 세부분리 필요","P1","YES","NO","NO","NO","NO","NO","NO","","해당 없음","자동 반영하지 말고 subtype/template 확인.","PARTIAL","NO","중간 신뢰도라 row-level review가 맞다."
"로프 해머 컬","ex_c1a81cb2","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"루마니안 데드리프트","ex_d2bb7946","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","DEADLIFT_HINGE_VARIANTS","YES","NO","HIGH_STRESS_SESSION_CLUSTER_REVIEW","수동검토 적절","적절","P1","NO","NO","NO","YES","NO","NO","NO","","해당 없음","session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.","PARTIAL","NO","고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다."
"리닝 래터럴 레이즈","ex_70f19bf","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY|UNILATERAL_UPPER","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"리버스 노르딕 컬","ex_8a3800f1","category=근력운동; movement_category=SUPPORT; force_type=ECCENTRIC; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH|ECCENTRIC_HAMSTRING|DECELERATION_SUPPORT","HAMSTRING_CURL_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"리버스 런지","ex_c8bcf3ce","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"리버스 리스트 컬","ex_8e18b02a","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","FOREARM_GRIP_ACCESSORY_REVIEW","YES","MISSING_SOURCE_ID","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절","P1","NO","YES","YES","NO","NO","NO","NO","","source/template 누락 검토 적절","새 template/sourceId를 만든 뒤에만 seed 반영.","NO","NO","새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다."
"리버스 컬","ex_dd2f732e","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"리어델트 케이블 플라이","ex_7deabeba","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절 또는 세부분리 필요","P1","YES","YES","NO","NO","NO","NO","NO","","source 검토 적절","자동 반영하지 말고 subtype/template 확인.","PARTIAL","NO","중간 신뢰도라 row-level review가 맞다."
"리어델트 플라이","ex_7176cbee","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절 또는 세부분리 필요","P1","YES","YES","NO","NO","NO","NO","NO","","source 검토 적절","자동 반영하지 말고 subtype/template 확인.","PARTIAL","NO","중간 신뢰도라 row-level review가 맞다."
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"링 로우","ex_282a9d87","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","ROW_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW","수동검토 적절","대체로 적절","P1","YES","YES","NO","NO","NO","NO","NO","","row subtype source 검토 적절","inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.","PARTIAL","NO","ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다."
