"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"오버헤드 트라이셉스 익스텐션","ex_a9e8859c","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|analysisEligibility","movementFamily=OVERHEAD_TRICEPS_LONG_HEAD_REVIEW|programSlot=TRICEPS_ACCESSORY_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BALANCE|BADMINTON_TRANSFER_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"워킹 런지","ex_e3715c0b","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원레그 핵 스쿼트","ex_f1d31d3d","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 덤벨 오버헤드 트라이셉스 익스텐션","ex_fdbdf454","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|analysisEligibility","movementFamily=OVERHEAD_TRICEPS_LONG_HEAD_REVIEW|programSlot=TRICEPS_ACCESSORY_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BALANCE|BADMINTON_TRANSFER_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 랫풀다운","ex_32eb8457","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 로우","ex_e3487166","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 머신 로우","ex_33d2da8e","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 인버티드 로우","ex_d9084b5e","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"원암 케이블 하이 로우","ex_40fa57be","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"인버티드 로우","ex_e159d15a","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"중량 친업","ex_e41e8dcf","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"친업","ex_6466fe77","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"카프 레이즈","ex_f892893e","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"케이블 로우","ex_fa31f7a6","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"케이블 원암 로우","ex_3c3692aa","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"프론트풋 엘리베이티드 스플릿 스쿼트","ex_7ce96a7a","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype|analysisEligibility","movementSubtype=NEEDS_SUBTYPE_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"핵 스쿼트","ex_e9e97659","ACCEPTED_HEURISTIC","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"힙 쓰러스트","ex_721f7b5b","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"30초 반복 스매시 테스트","ex_91d8430b","ACCEPTED_HEURISTIC","NO","","movementFamily|redundancyGroup|progressMetricType","movementFamily=BADMINTON_OVERHEAD_POWER_TEST_REVIEW|redundancyGroup=BADMINTON_OVERHEAD_POWER_TEST_REVIEW|progressMetricType=TEST_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"6방향 랜덤 콕줍기","ex_bc84eb7f","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"6코너 풋워크 최대반복 테스트","ex_c7977dfd","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"A스킵","ex_a12de111","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"B스킵","ex_a12de4d2","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"가벼운 콕줍기","ex_216351a1","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"노르딕 햄스트링 컬","ex_1cf51b6b","ACCEPTED_HEURISTIC","NO","","movementFamily","movementFamily=NORDIC_HAMSTRING_ECCENTRIC_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"드롭 점프","ex_d6726746","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"라인 홉","ex_a3ddd8ac","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup","movementFamily=ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW|programSlot=ANKLE_SSC_CONDITIONING_REVIEW|redundancyGroup=ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"랜덤 방향전환 드릴","ex_64422511","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"랜덤 풋워크","ex_1c7f2342","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"린단 참고 트랙 스프린트","ex_4773b6ea","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup|progressMetricType|analysisEligibility","movementFamily=SPRINT_ACCELERATION_CONDITIONING_REVIEW|programSlot=REVIEW|redundancyGroup=REVIEW|progressMetricType=REVIEW|analysisEligibility=REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"린단 참고 페이스 체인지 풋워크","ex_5004ca76","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"멀티셔틀 풋워크","ex_752b45ae","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"메디신볼 슬램","ex_26ac0c19","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=POWER_CORE_SHOULDER_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=POWER_CORE_SHOULDER_REVIEW|redundancyGroup=POWER_CORE_SHOULDER_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"바이퍼 트위스트(아래로)","ex_8354acd","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=POWER_CORE_SHOULDER_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=POWER_CORE_SHOULDER_REVIEW|redundancyGroup=POWER_CORE_SHOULDER_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"박스 점프","ex_d9e141e4","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"버피","ex_3f184ef9","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup|progressMetricType|analysisEligibility","movementFamily=BODYWEIGHT_CONDITIONING_POWER_REVIEW|programSlot=REVIEW|redundancyGroup=REVIEW|progressMetricType=REVIEW|analysisEligibility=REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"불가리안 스플릿 스쿼트","ex_e2efd0fe","ANATOMY_SUPPORTED_TEMPLATE","NO","","analysisEligibility","analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"셔틀런","ex_a4040be3","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스킵 바운드","ex_c4ea0a2a","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스트라이드","ex_c5c2fdef","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스플릿 스텝","ex_c6d9efef","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스플릿 스텝 리액션","ex_8e69fc74","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"스플릿 스텝 후 좌우 런지","ex_377448a9","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementFamily|programSlot|transferConfidence","movementFamily=BADMINTON_REACTIVE_LUNGE_FOOTWORK_REVIEW|programSlot=BADMINTON_FOOTWORK_REVIEW|transferConfidence=NEEDS_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"싱글 레그 홉 앤 스틱","ex_314df428","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"안세영 참고 고강도 랠리 풋워크","ex_c1bf2aa8","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"앙클링","ex_a412dd45","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"앞뒤 랜덤 콕줍기","ex_4255e429","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"애질리티 래더","ex_2055b629","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"월 드라이브","ex_f332aeab","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"점프 런지","ex_df966b45","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementFamily|programSlot|analysisEligibility","movementFamily=JUMP_LUNGE_PLYOMETRIC_REVIEW|programSlot=PLYOMETRIC_POWER_REVIEW|analysisEligibility=FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_TRANSFER_REVIEW|BALANCE","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"좌우 랜덤 콕줍기","ex_421ba24b","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"케틀벨 스윙","ex_7404067c","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup","movementFamily=BALLISTIC_HINGE_POWER_REVIEW|programSlot=BALLISTIC_HINGE_POWER_REVIEW|redundancyGroup=BALLISTIC_HINGE_POWER_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"콘 드릴","ex_a4350c0f","ANATOMY_SUPPORTED_TEMPLATE","NO","","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"포고 점프","ex_e465d1e9","ACCEPTED_HEURISTIC","NO","","movementFamily|programSlot|redundancyGroup","movementFamily=ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW|programSlot=ANKLE_SSC_CONDITIONING_REVIEW|redundancyGroup=ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"하이니 스킵","ex_c821775c","ACCEPTED_HEURISTIC","NO","","movementFamily|movementSubtype|programSlot|redundancyGroup","movementFamily=RUNNING_MECHANICS_SUPPORT_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|programSlot=RUNNING_MECHANICS_SUPPORT_REVIEW|redundancyGroup=RUNNING_MECHANICS_SUPPORT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"농구","ex_1a4858d7","ACCEPTED_HEURISTIC","NO","","currentPlanningEligibility|movementFamily|movementSubtype|redundancyGroup","currentPlanningEligibility=NOT_PRESENT_IN_SEED;PROGRAM_SELECTABLE_CONFLICT_REVIEW|movementFamily=OTHER_SPORT_SESSION_RECORDS_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|redundancyGroup=OTHER_SPORT_SESSION_RECORDS_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"러닝 풋살","ex_aca9d312","ACCEPTED_HEURISTIC","NO","","currentPlanningEligibility|movementFamily|movementSubtype|redundancyGroup","currentPlanningEligibility=NOT_PRESENT_IN_SEED;PROGRAM_SELECTABLE_CONFLICT_REVIEW|movementFamily=OTHER_SPORT_SESSION_RECORDS_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|redundancyGroup=OTHER_SPORT_SESSION_RECORDS_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"배드민턴","ex_ae9ecdbc","ANATOMY_SUPPORTED_TEMPLATE","NO","","currentPlanningEligibility","currentPlanningEligibility=NOT_PRESENT_IN_SEED;PROGRAM_SELECTABLE_CONFLICT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"배드민턴 레슨","ex_badminton_lesson","ANATOMY_SUPPORTED_TEMPLATE","NO","","currentPlanningEligibility","currentPlanningEligibility=NOT_PRESENT_IN_SEED;PROGRAM_SELECTABLE_CONFLICT_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
"축구","ex_1a4bbdcf","ACCEPTED_HEURISTIC","NO","","currentPlanningEligibility|movementFamily|movementSubtype|redundancyGroup","currentPlanningEligibility=NOT_PRESENT_IN_SEED;PROGRAM_SELECTABLE_CONFLICT_REVIEW|movementFamily=OTHER_SPORT_SESSION_RECORDS_REVIEW|movementSubtype=NEEDS_SUBTYPE_REVIEW|redundancyGroup=OTHER_SPORT_SESSION_RECORDS_REVIEW","Seed-applicable metadata contains a placeholder token.","PLACEHOLDER_NORMALIZATION_PASS"
