"stableKey","name","category","equipment","movementPattern","movementCategory","trainingRole","tissueProfileAction","metadataBasis"
"ex_64644b5e","런지","근력운동","덤벨|맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","STRENGTH","","",""
"ex_b78a8f95","레그 익스텐션","근력운동","레그익스텐션 머신","KNEE_EXTENSION|QUAD_ISOLATION","ACCESSORY","","",""
"ex_2822ec2e","레그 컬","근력운동","레그컬 머신","KNEE_FLEXION|HAMSTRING_STRENGTH","ACCESSORY","","",""
"ex_ab468462","레그 프레스","근력운동","레그프레스 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH","STRENGTH","","",""
"ex_c1a81cb2","로프 해머 컬","근력운동","케이블","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","","",""
"barbell_romanian_deadlift","루마니안 바벨 데드리프트","근력운동","BARBELL","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","MAIN_STRENGTH","SPLIT_RECALIBRATE","포괄 RDL에서 바벨 전용으로 분리"
"ex_70f19bf","리닝 래터럴 레이즈","근력운동","덤벨","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_8a3800f1","리버스 노르딕 컬","근력운동","맨몸","KNEE_FLEXION|HAMSTRING_STRENGTH|ECCENTRIC_HAMSTRING|DECELERATION_SUPPORT","SUPPORT","","",""
"ex_c8bcf3ce","리버스 런지","근력운동","덤벨|맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","STRENGTH","","",""
"ex_8e18b02a","리버스 리스트 컬","근력운동","바벨|덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_dd2f732e","리버스 컬","근력운동","EZ바|바벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","","",""
"ex_7deabeba","리어델트 케이블 플라이","근력운동","케이블","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","ACCESSORY","","",""
"ex_7176cbee","리어델트 플라이","근력운동","덤벨|케이블","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","ACCESSORY","","",""
"ex_e2efd0fe","불가리안 스플릿 스쿼트","기능성운동","DUMBBELL|BENCH","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT|DECELERATION_SUPPORT","STRENGTH","MAIN_STRENGTH","REBUILD_FROM_BOTH","두 기존 행의 유효 패턴을 통합하되 STRENGTH/MAIN_STRENGTH로 정본화"
"ex_282a9d87","링 로우","근력운동","TRX/링","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","STRENGTH","","",""
"ex_a9b52886","마운틴 클라이머","근력운동","맨몸","FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT","CONDITIONING","","",""
"ex_cb3c4dc2","맨몸 스쿼트","근력운동","맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","","",""
"ex_4aa3725a","머신 숄더프레스","근력운동","머신","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_1dbee10e","머신 체스트프레스","근력운동","머신","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_f459ad2a","메도우즈 로우","근력운동","랜드마인|바벨","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_de46b7f6","바벨 로우","근력운동","바벨","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","","",""
"ex_e8ff8cfa","밴드 외회전","근력운동","밴드","SHOULDER_EXTERNAL_ROTATION|ROTATOR_CUFF_SUPPORT|SHOULDER_PREHAB","SUPPORT","","",""
"ex_28347c1f","버드독","근력운동","맨몸","CORE_STABILITY|ANTI_ROTATION|LUMBOPELVIC_CONTROL|CONTRALATERAL_COORDINATION","SUPPORT","","",""
"ex_deca2b61","벤치 딥스","근력운동","벤치","PUSH_VERTICAL_SUPPORT|TRICEPS_EMPHASIS|CHEST_ACCESSORY","STRENGTH","","",""
"barbell_bench_press","벤치프레스","근력운동","바벨|벤치","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_284ecca6","슈퍼맨","근력운동","맨몸","SPINAL_EXTENSION|POSTERIOR_CHAIN_ACCESSORY|GLUTE_BACK_SUPPORT","ACCESSORY","","",""
"ex_1052e9fa","스미스 머신 런지","근력운동","스미스 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","STRENGTH","","",""
"ex_fa3416f6","스미스 머신 스쿼트","근력운동","스미스 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","","",""
"ex_e1894690","스캡 풀업","근력운동","맨몸","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","","",""
"barbell_back_squat","스쿼트","근력운동","바벨","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","","",""
"ex_b59bed7d","스탠딩 레그 컬","근력운동","레그컬 머신","KNEE_FLEXION|HAMSTRING_STRENGTH","ACCESSORY","","",""
"ex_bd072cd","스탠딩 카프 레이즈","근력운동","DUMBBELL|MACHINE","CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT","ACCESSORY","ACCESSORY","KEEP_CANONICAL","ex_bd072cd 유지"
"ex_ca5cce66","스트레이트암 풀다운","근력운동","케이블","SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL","ACCESSORY","","",""
"ex_516f4456","스파이더 컬","근력운동","EZ바|덤벨|벤치|콘/마커","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ACCESSORY","","",""
"ex_f2a79d37","스플릿 스쿼트","근력운동","덤벨|맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_a76f20b6","시티드 원암 케이블 로우","근력운동","케이블","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_5c8751d2","시티드 카프 레이즈","근력운동","머신","CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT","ACCESSORY","","",""
"single_leg_hip_bridge","원레그 힙 브릿지","근력운동","BODYWEIGHT|BENCH","HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY|PELVIC_STABILITY|UNILATERAL_LOWER","SUPPORT","STABILITY","REBUILD","지지 높이를 허용하는 단일 동작으로 재정의"
"ex_d60745b4","원레그 레그 익스텐션","근력운동","LEG_EXTENSION_MACHINE","KNEE_EXTENSION|QUAD_ISOLATION|UNILATERAL_LOWER","ACCESSORY","ACCESSORY","KEEP_CANONICAL","stableKey와 메타데이터 유지, 표시명만 원레그로 변경"
"ex_8824026f","원레그 레그 컬","근력운동","LEG_CURL_MACHINE","KNEE_FLEXION|HAMSTRING_STRENGTH","ACCESSORY","PLYOMETRIC","KEEP_CANONICAL","stableKey와 메타데이터 유지, 표시명만 원레그로 변경"
"ex_5ca7133f","원레그 카프 레이즈","근력운동","DUMBBELL|BODYWEIGHT","CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT|UNILATERAL_LOWER","ACCESSORY","ACCESSORY","KEEP_CANONICAL","stableKey와 메타데이터 유지, 표시명만 원레그로 변경"
"ex_767e188e","아놀드 프레스","근력운동","덤벨","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_73b0b63f","아처 푸시업","근력운동","맨몸","PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","STRENGTH","","",""
"ex_a9e8859c","오버헤드 트라이셉스 익스텐션","근력운동","덤벨|케이블","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","ACCESSORY","","",""
"ex_32219f7a","오버헤드 프레스","근력운동","바벨","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_e3715c0b","워킹 런지","근력운동","덤벨|맨몸","KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","STRENGTH","","",""
"ex_a091b9fe","원레그 레그 프레스","근력운동","레그프레스 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_f1d31d3d","원레그 핵 스쿼트","근력운동","핵스쿼트 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_e0b1e364","원암 덤벨 RDL","근력운동","덤벨","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_30a0e9aa","원암 덤벨 로우","근력운동","덤벨","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_389e0556","원암 덤벨 벤치프레스","근력운동","덤벨|벤치","PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","STRENGTH","","",""
"ex_7814843a","원암 덤벨 숄더프레스","근력운동","덤벨","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION|SHOULDER_STABILITY_SUPPORT|TRUNK_STABILITY_SUPPORT|UNILATERAL_UPPER","STRENGTH","","",""
"ex_fdbdf454","원암 덤벨 오버헤드 트라이셉스 익스텐션","근력운동","덤벨","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","ACCESSORY","","",""
"ex_85b2ac56","원암 덤벨 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_32eb8457","원암 랫풀다운","근력운동","케이블","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|UNILATERAL_UPPER","STRENGTH","","",""
"ex_a60496be","원암 리어델트 케이블 플라이","근력운동","케이블","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_33d2da8e","원암 머신 로우","근력운동","머신","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_c365e5e2","원암 스트레이트암 풀다운","근력운동","케이블","SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL","ACCESSORY","","",""
"ex_d9084b5e","원암 인버티드 로우","근력운동","TRX/링","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER|CORE_STABILITY_SUPPORT","STRENGTH","","",""
"ex_9f283612","원암 인클라인 덤벨 프레스","근력운동","덤벨|콘/마커","PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","STRENGTH","","",""
"ex_b076570e","원암 케이블 래터럴 레이즈","근력운동","케이블","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_c536edc2","원암 케이블 숄더프레스","근력운동","케이블","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION|SHOULDER_STABILITY_SUPPORT|TRUNK_STABILITY_SUPPORT|UNILATERAL_UPPER","STRENGTH","","",""
"ex_3d5719de","원암 케이블 컬","근력운동","케이블","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_5322f2d1","원암 케이블 트라이셉스 푸시다운","근력운동","CABLE","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER","ACCESSORY","ACCESSORY","KEEP_CANONICAL","오버헤드 익스텐션과 별도 유지"
"ex_442617f6","원암 케이블 플라이","근력운동","케이블","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","","",""
"ex_40fa57be","원암 케이블 하이 로우","근력운동","케이블","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_86323ed6","원암 해머 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS|UNILATERAL_UPPER","ACCESSORY","","",""
"ex_64661229","월싯","근력운동","벽","KNEE_DOMINANT|LOWER_BODY_STRENGTH","STRENGTH","","",""
"ex_e159d15a","인버티드 로우","근력운동","TRX/링","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","STRENGTH","","",""
"ex_d5048362","인클라인 덤벨 컬","근력운동","덤벨|콘/마커","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_a61f1e96","인클라인 덤벨 프레스","근력운동","덤벨|콘/마커","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_a61f307a","인클라인 덤벨 플라이","근력운동","덤벨|콘/마커","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","","",""
"ex_e41e8dcf","중량 친업","근력운동","덤벨","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|MAX_STRENGTH","STRENGTH","","",""
"ex_e41f4c2b","중량 풀업","근력운동","덤벨","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|MAX_STRENGTH","STRENGTH","","",""
"ex_8e51640a","체스트 서포티드 로우","근력운동","머신|벤치","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","","",""
"ex_6a966452","체스트 서포티드 원암 덤벨 로우","근력운동","덤벨|벤치|콘/마커","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_462c760e","체스트 서포티드 원암 머신 로우","근력운동","MACHINE","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","SECONDARY_STRENGTH","REBUILD_EQUIPMENT_AND_DESCRIPTION","덤벨 버전과 분리해 머신 전용으로 한정"
"ex_6466fe77","친업","근력운동","맨몸","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","","",""
"ex_a345e30b","캡틴체어 레그 레이즈","근력운동","","CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","ACCESSORY","","",""
"ex_c62c0716","컨센트레이션 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ACCESSORY","","",""
"ex_b76d3f92","케이블 래터럴 레이즈","근력운동","케이블","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","ACCESSORY","","",""
"ex_fa31f7a6","케이블 로우","근력운동","케이블","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","","",""
"ex_3c3692aa","케이블 원암 로우","근력운동","케이블","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","","",""
"ex_eb636bac","원암 케이블 오버헤드 트라이셉스 익스텐션","근력운동","CABLE","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","ACCESSORY","ACCESSORY","REBUILD_DESCRIPTION_AND_PATTERN","사용 의도에 맞게 오버헤드 운동으로 명확화"
"ex_e709eeda","케이블 컬","근력운동","케이블","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","","",""
"ex_fa34ddfe","케이블 킥백","근력운동","케이블","HIP_EXTENSION|GLUTE_ISOLATION|POSTERIOR_CHAIN_ACCESSORY|UNILATERAL_LOWER","ACCESSORY","","",""
"ex_4c76dbb2","케이블 풀스루","근력운동","케이블","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","","",""
"ex_4c779df2","케이블 플라이","근력운동","케이블","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","","",""
"ex_b69ab702","크로스바디 해머 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","","",""
"ex_27b3deb5","클로즈그립 벤치프레스","근력운동","바벨|벤치","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"ex_fa570291","트라이셉스 푸시다운","근력운동","케이블","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ACCESSORY","","",""
"ex_3caa236b","파이크 푸시업","근력운동","맨몸","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"face_pull","페이스풀","근력운동","케이블","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|EXTERNAL_ROTATION_SUPPORT","ACCESSORY","","",""
"ex_28902b13","푸시업","근력운동","맨몸","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","","",""
"pull_up","풀업","근력운동","맨몸","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","","",""
"ex_c5043892","프론트 스쿼트","근력운동","바벨","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","","",""
"ex_7ce96a7a","프론트풋 엘리베이티드 스플릿 스쿼트","근력운동","덤벨|박스/스텝박스","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","","",""
"ex_e994008a","프리처 컬","근력운동","EZ바|덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ACCESSORY","","",""
"ex_91b749b3","플랫 덤벨 플라이","근력운동","덤벨","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","","",""
"ex_2a826c82","할로우 바디 홀드","근력운동","맨몸","CORE_STABILITY|ANTI_EXTENSION|ANTERIOR_CORE","SUPPORT","","",""
"ex_2892da5a","해머 컬","근력운동","덤벨","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","","",""
"ex_e9e97659","핵 스쿼트","근력운동","핵스쿼트 머신","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","","",""
"ex_fa2e73b3","핸드스탠드 푸시업","근력운동","벽|맨몸","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","","",""
"ex_b3f447be","행잉 레그 레이즈","근력운동","철봉/풀업바","CORE_FLEXION|ANTERIOR_CORE|HIP_FLEXOR_ACCESSORY","ACCESSORY","","",""
"ex_721f7b5b","힙 쓰러스트","근력운동","바벨","HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY","STRENGTH","","",""
"ex_eaea872c","힙 어덕션","근력운동","케이블|머신","HIP_STABILITY_SUPPORT|FRONTAL_PLANE_LOWER|ADDUCTOR_STRENGTH_SUPPORT","SUPPORT","","",""
"ex_728da646","힙 어브덕션","근력운동","힙어브덕션 머신|밴드","HIP_STABILITY_SUPPORT|FRONTAL_PLANE_LOWER|GLUTE_MED_SUPPORT","SUPPORT","","",""
"ex_91d8430b","30초 반복 스매시 테스트","기능성운동","콘/마커","BADMINTON_SKILL_TEST|OVERHEAD_POWER|ROTATIONAL_POWER|REPEATED_STRIKE_CAPACITY","SPORT_SPECIFIC","","",""
"ex_bc84eb7f","6방향 랜덤 콕줍기","기능성운동","콘/마커","FOOTWORK_DIRECT|CHANGE_OF_DIRECTION_DIRECT|DECELERATION_DIRECT|REACTION_AGILITY_DIRECT","AGILITY","","",""
"ex_33841b88","6코너 풋워크","기능성운동","CONE_MARKER","FOOTWORK_DIRECT|CHANGE_OF_DIRECTION_DIRECT|DECELERATION_DIRECT|REACTION_AGILITY_DIRECT","AGILITY","SPEED_REACTIVE","KEEP_CANONICAL","ex_33841b88 정본 프로필 유지"
"ex_c7977dfd","6코너 풋워크 최대반복 테스트","기능성운동","콘/마커","FOOTWORK_DIRECT|CHANGE_OF_DIRECTION_DIRECT|DECELERATION_DIRECT|REACTION_AGILITY_DIRECT","AGILITY","","",""
"ex_a12de111","A스킵","기능성운동","CONE_MARKER|BODYWEIGHT","RUNNING_DRILL|SPRINT_MECHANICS_SUPPORT|KNEE_DRIVE","RUNNING_DRILL","SPEED_REACTIVE","KEEP_CANONICAL","A스킵 정본 유지; 하이니는 속도 처방 alias"
"ex_a12de4d2","B스킵","기능성운동","콘/마커|맨몸","RUNNING_DRILL|SPRINT_MECHANICS_SUPPORT|HAMSTRING_SWING","RUNNING_DRILL","","",""
"ex_216351a1","가벼운 콕줍기","기능성운동","콘/마커","FOOTWORK_LIGHT|RECOVERY_MOVEMENT|LOW_INTENSITY_COORDINATION","AGILITY","","",""
