id,sourceNames,sourceStableKeys,sourceExistsInSeed,sourceExistsInRuntimeMetadata,referencedByPrograms,referencedByProgramRules,referencedByWorkoutOrBackupModels,imageMappings,tissueProfiles,recoveryOrBaselineProfiles,targetStableKey,targetName,targetExistsInSeed,targetMetadataConflict,proposedAction,blockingAmbiguity,rationale,status
"D11","싱글 레그 글루트 브릿지 | 싱글 레그 힙 쓰러스트","ex_5715d6ca | ex_d634055c","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","single_leg_hip_bridge","원레그 힙 브릿지","no","no","MERGE_RENAME; metadata=REBUILD; migration=두 키의 기록을 새 정본 키로 이동; legacy=두 기존 키를 single_leg_hip_bridge로 매핑","","실무적으로 등 지지 높이에 따른 브릿지·힙 쓰러스트 경계가 불명확","확정"
"D12","메디신볼 로테이셔널 스로우 | 메디신볼 사이드 스로우","medicine_ball_rotational_throw | med_ball_side_throw","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","medicine_ball_rotational_throw","메디신볼 회전 옆으로 던지기","yes","no","MERGE_RENAME; metadata=REBUILD_FROM_BOTH; migration=두 키의 기록을 정본 키로 이동; legacy=med_ball_side_throw를 medicine_ball_rotational_throw로 매핑","","몸통·골반 회전으로 측면 벽에 던지는 동일 동작","확정"
"D13","메디신볼 로테이셔널 슬램 | 메디신볼 사이드 슬램","med_ball_rotational_slam | medicine_ball_side_slam","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","med_ball_rotational_slam","메디신볼 회전 아래로 슬램","yes","no","MERGE_RENAME; metadata=REBUILD_FROM_BOTH; migration=두 키의 기록을 정본 키로 이동; legacy=medicine_ball_side_slam을 med_ball_rotational_slam으로 매핑","","대각선 회전 후 바닥에 내리치는 동일 동작","확정"
"D14","원암 하프 닐링 프레스 | 하프 닐링 원암 프레스 | 하프 닐링 케틀벨 원암 프레스 | 하프 닐링 케틀벨 프레스 | 하프 닐링 프레스","ex_8380d7fe | ex_8e1b313e | ex_d79824d2 | ex_e0759156 | ex_66e8c8c2","5/5","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","3:W1D3; 3:W2D3; 3:W3D3; 3:W4D3; 8:W1D2; 8:W2D2; 8:W3D2","app/src/main/java/com/training/trackplanner/data/ProgramFoundationAnchorPolicy.kt; app/src/main/java/com/training/trackplanner/data/ProgramIssueDrivenRerankPolicy.kt; app/src/main/java/com/training/trackplanner/data/ProgramSelectedExerciseScorePolicy.kt; app/src/test/java/com/training/trackplanner/data/ProgramSelectedExerciseScorePolicyTest.kt","","","","","half_kneeling_single_arm_dumbbell_press | half_kneeling_single_arm_kettlebell_press","하프 닐링 원암 덤벨 프레스 | 하프 닐링 원암 케틀벨 프레스","no","no","SPLIT; metadata=SPLIT_RECALIBRATE; migration=도구가 명시된 기록은 자동 배정; 도구가 없는 포괄 기록은 사용자 검토 필요; legacy=케틀벨 명시 키는 케틀벨 정본으로, 포괄 키는 장비값으로 분기","장비 정보 없는 기존/구형 기록은 자동 분기 금지; 구조화된 AMBIGUOUS_LEGACY_EXERCISE_SPLIT 필요","덤벨과 케틀벨은 어깨·손목 안정 요구가 달라 운동 정체성을 분리","확정"
"D15","루마니안 데드리프트 | 덤벨 루마니안 데드리프트","ex_d2bb7946 | ex_9523db82","2/2","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","3:W1D1; 3:W2D1; 3:W3D1; 3:W4D1; 4:W1D1; 4:W2D1; 4:W3D1; 5:W1D5; 5:W2D5; 5:W3D5; 6:W1D4; 6:W2D4; 6:W3D4; 7:W1D3; 7:W2D3; 7:W3D3; 8:W1D1; 8:W2D1; 8:W3D1; 8:W4D1; 10:W1D5; 11:W1D1; 11:W2D1; 11:W3D1; 14:W1D3; 14:W2D3; 14:W3D3","app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt","","","","","barbell_romanian_deadlift | dumbbell_romanian_deadlift","루마니안 바벨 데드리프트 | 루마니안 덤벨 데드리프트","no","no","SPLIT; metadata=SPLIT_RECALIBRATE; migration=덤벨 명시 기록은 덤벨로 이동; 포괄 RDL은 장비 확인 후 바벨/덤벨로 배정; legacy=ex_9523db82는 덤벨로 확정; ex_d2bb7946은 장비 판별 필수","장비 정보 없는 기존/구형 기록은 자동 분기 금지; 구조화된 AMBIGUOUS_LEGACY_EXERCISE_SPLIT 필요","바벨과 덤벨의 하중 경로·안정 요구·운동 효과가 달라 분리","확정"
"D16","케이블 원암 트라이셉스 익스텐션","ex_eb636bac","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","3:W1D3; 3:W2D3; 3:W3D3; 3:W4D3; 5:W1D5; 5:W2D5; 5:W3D5; 8:W1D2; 8:W2D2; 8:W3D2; 8:W4D2","","","","","","ex_eb636bac","원암 케이블 오버헤드 트라이셉스 익스텐션","yes","no","RENAME_REDEFINE; metadata=REBUILD_DESCRIPTION_AND_PATTERN; migration=stableKey는 유지하고 이름·설명·오버헤드 패턴만 수정; legacy=옛 이름을 동일 키의 alias로 보존","","사용 의도는 오버헤드 익스텐션이며 현재 설명이 방향을 정의하지 못함","확정"
"D17","원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","ex_5322f2d1","원암 케이블 트라이셉스 푸시다운","yes","no","KEEP; metadata=KEEP_CANONICAL; migration=변경 없음; legacy=변경 없음","","오버헤드 익스텐션과 다른 팔 위치·저항 방향의 별도 운동","확정"
"D18","원암 로우","ex_e3487166","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/test/java/com/training/trackplanner/data/RuntimeExerciseMetadataAssetLoaderTest.kt","","","","","","","","","no","no","DELETE; metadata=DELETE_ALL_METADATA; migration=현재 참조가 없으면 완전 삭제; 참조 발견 시 장비 기반 수동 분류; legacy=구형 백업에서 발견 시 자동 매핑하지 않고 수동 분류 요구","자동 매핑 금지; MANUAL_RESOLUTION_REQUIRED","도구·지지 방식이 없는 포괄 운동이며 구체 원암 로우 항목들이 이미 존재","확정"
"D19","체스트 서포티드 원암 로우","ex_462c760e","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","ex_462c760e","체스트 서포티드 원암 머신 로우","yes","no","RENAME_REDEFINE; metadata=REBUILD_EQUIPMENT_AND_DESCRIPTION; migration=stableKey 유지, 장비를 머신으로 고정; legacy=옛 이름은 동일 키 alias","","덤벨 버전이 별도 존재하므로 포괄 항목을 머신으로 한정","확정"
"D20","래터럴 바운드","imported_래터럴_바운드","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/java/com/training/trackplanner/data/SeedData.kt","3:W1D5; 3:W2D5; 3:W3D5; 3:W4D5; 8:W1D4; 8:W2D4; 8:W3D4; 8:W4D4; 9:W1D5","app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt","","","","","lateral_bound_continuous","래터럴 바운드","no","yes: keyRows=0, conflictingNameRows=1","DELETE_RECREATE; metadata=REBUILD; migration=기존 기록은 새 정본 키로 이동, 연속 반동 특성을 보존; legacy=imported_래터럴_바운드를 lateral_bound_continuous로 매핑","","연속 측면 바운드 운동이나 현재 imported 메타데이터가 ANTI_ROTATION/BRACE로 잘못 생성됨","확정"
"D21","래터럴 바운드 투 스틱","ex_34e7d21","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/java/com/training/trackplanner/data/SeedData.kt","","","","","","","ex_34e7d21","래터럴 바운드 투 스틱","yes","no","KEEP; metadata=KEEP_CANONICAL_REVIEW_DESCRIPTION; migration=래터럴 바운드와 합치지 않음; legacy=변경 없음","","반복마다 착지를 정지하고 감속·정렬을 강조하는 별도 운동","확정"
"D22","CSV 복원 계획 | CSV 복원 근력운동 | CSV 복원 기능성운동 | CSV 복원 스포츠","imported_csv_복원_계획 | imported_csv_복원_근력운동 | imported_csv_복원_기능성운동 | imported_csv_복원_스포츠","0/4","","","","","","","","","","no","no","DELETE; metadata=DELETE_ALL_METADATA; migration=운동·프로그램·이미지·분석 목록에서 완전 제거; legacy=구형 백업 import 시 DROP_PLACEHOLDER_WITH_WARNING","","실제 운동이 아닌 복원 placeholder","확정"
"D23","싱글 레그 레그 익스텐션","ex_d60745b4","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","ex_d60745b4","원레그 레그 익스텐션","yes","no","RENAME; metadata=KEEP_SOURCE_METADATA; migration=stableKey 유지, 표시명만 변경; legacy=옛 이름을 alias로 보존","","편측 하지 용어를 원레그로 통일","확정"
"D24","싱글 레그 레그 컬","ex_8824026f","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","ex_8824026f","원레그 레그 컬","yes","no","RENAME; metadata=KEEP_SOURCE_METADATA; migration=stableKey 유지, 표시명만 변경; legacy=옛 이름을 alias로 보존","","편측 하지 용어를 원레그로 통일","확정"
"D25","싱글 레그 박스 스쿼트","ex_85f12271","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","","","","","","","ex_85f12271","원레그 박스 스쿼트","yes","no","RENAME; metadata=KEEP_SOURCE_METADATA; migration=stableKey 유지, 표시명만 변경; legacy=옛 이름을 alias로 보존","","편측 하지 용어를 원레그로 통일","확정"
"D26","싱글 레그 카프 레이즈","ex_5ca7133f","1/1","app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv","3:W1D1; 3:W2D1; 3:W3D1; 3:W4D1; 8:W1D1; 8:W2D1; 8:W3D1; 9:W1D1","","","","","","ex_5ca7133f","원레그 카프 레이즈","yes","no","RENAME; metadata=KEEP_SOURCE_METADATA; migration=stableKey 유지, 표시명만 변경; legacy=옛 이름을 alias로 보존","","편측 하지 용어를 원레그로 통일","확정"
