"exerciseName","stableKey","field","oldValue","newValue","decisionType","reason"
"디클라인 푸시업","ex_fb67af37","badmintonPhysicalQualities","NONE","SHOULDER_DURABILITY","GENERAL_STRENGTH_QUALITY_AUDIT","Push-up metadata explicitly includes shoulder/scapular control."
"머신 체스트프레스","ex_1dbee10e","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"머신 체스트프레스","ex_1dbee10e","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"머신 체스트프레스","ex_1dbee10e","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"벤치프레스","barbell_bench_press","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"벤치프레스","barbell_bench_press","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"벤치프레스","barbell_bench_press","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"아처 푸시업","ex_73b0b63f","badmintonPhysicalQualities","NONE","SHOULDER_DURABILITY","GENERAL_STRENGTH_QUALITY_AUDIT","Push-up metadata explicitly includes shoulder/scapular control."
"원암 덤벨 벤치프레스","ex_389e0556","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"원암 덤벨 벤치프레스","ex_389e0556","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"원암 덤벨 벤치프레스","ex_389e0556","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"원암 인클라인 덤벨 프레스","ex_9f283612","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"원암 인클라인 덤벨 프레스","ex_9f283612","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"원암 인클라인 덤벨 프레스","ex_9f283612","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"인클라인 덤벨 프레스","ex_a61f1e96","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"인클라인 덤벨 프레스","ex_a61f1e96","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"인클라인 덤벨 프레스","ex_a61f1e96","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"클로즈그립 벤치프레스","ex_27b3deb5","badmintonTransferLevel","GENERAL","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"클로즈그립 벤치프레스","ex_27b3deb5","badmintonTransferType","GENERAL_STRENGTH_SUPPORTIVE","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"클로즈그립 벤치프레스","ex_27b3deb5","transferConfidence","LOW","NONE","GENERAL_STRENGTH_TRANSFER_DOWNGRADE","No sufficiently specific badminton support pathway; retain stress and strength metadata only."
"푸시업","ex_28902b13","badmintonPhysicalQualities","NONE","SHOULDER_DURABILITY","GENERAL_STRENGTH_QUALITY_AUDIT","Push-up metadata explicitly includes shoulder/scapular control."
"Yates Row","ex_8e4bf08e","secondaryStressTags","LAT_LOAD/UPPER_BACK_LOAD/REAR_DELTOID_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_STABILITY_LOAD","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"Yates Row","ex_8e4bf08e","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"Yates Row","ex_8e4bf08e","ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS/ELBOW_JOINT_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"글루트 브릿지","ex_389920ab","secondaryStressTags","GLUTE_LOAD/HAMSTRING_LOAD/HIP_CONTROL_LOAD/CORE_BRACING_LOAD","GLUTE_LOAD|HAMSTRING_LOAD|HIP_CONTROL_LOAD|CORE_BRACING_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"글루트 브릿지","ex_389920ab","ligamentJointStabilityStressTags","HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"네거티브 풀업","ex_e4f911bb","secondaryStressTags","LAT_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_CONTROL_LOAD/CORE_BRACING_LOAD/BODYWEIGHT_LOAD","LAT_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_CONTROL_LOAD|CORE_BRACING_LOAD|BODYWEIGHT_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"네거티브 풀업","ex_e4f911bb","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"덤벨 루마니안 데드리프트","ex_9523db82","secondaryStressTags","HAMSTRING_LOAD/GLUTE_LOAD/GRIP_LOAD/CORE_BRACING_LOAD/HEAVY_LOAD","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"덤벨 루마니안 데드리프트","ex_9523db82","tendonStressTags","HAMSTRING_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"덤벨 루마니안 데드리프트","ex_9523db82","ligamentJointStabilityStressTags","HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"덤벨 풀오버","ex_708e64ce","secondaryStressTags","LAT_LOAD/CHEST_LOAD/ANTERIOR_SHOULDER_LOAD/CORE_BRACING_LOAD","LAT_LOAD|CHEST_LOAD|ANTERIOR_SHOULDER_LOAD|CORE_BRACING_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"데드리프트","barbell_deadlift","secondaryStressTags","HAMSTRING_LOAD/GLUTE_LOAD/GRIP_LOAD/CORE_BRACING_LOAD/HEAVY_LOAD","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"데드리프트","barbell_deadlift","tendonStressTags","HAMSTRING_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"데드리프트","barbell_deadlift","ligamentJointStabilityStressTags","HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"래터럴 런지","ex_b4b198de","secondaryStressTags","QUAD_LOAD/GLUTE_LOAD/DECELERATION_LOAD/LUNGE_REACH_LOAD/SINGLE_LEG_STABILITY_LOAD","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"래터럴 런지","ex_b4b198de","ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS/HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"랫풀다운","ex_dc9e5953","secondaryStressTags","LAT_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_CONTROL_LOAD/CORE_BRACING_LOAD/MACHINE_GUIDED_LOAD","LAT_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_CONTROL_LOAD|CORE_BRACING_LOAD|MACHINE_GUIDED_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"랫풀다운","ex_dc9e5953","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"런지","ex_64644b5e","secondaryStressTags","QUAD_LOAD/GLUTE_LOAD/DECELERATION_LOAD/LUNGE_REACH_LOAD/SINGLE_LEG_STABILITY_LOAD","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"런지","ex_64644b5e","ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS/HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"루마니안 데드리프트","ex_d2bb7946","secondaryStressTags","HAMSTRING_LOAD/GLUTE_LOAD/GRIP_LOAD/CORE_BRACING_LOAD/HEAVY_LOAD","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"루마니안 데드리프트","ex_d2bb7946","tendonStressTags","HAMSTRING_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"루마니안 데드리프트","ex_d2bb7946","ligamentJointStabilityStressTags","HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리버스 노르딕 컬","ex_8a3800f1","secondaryStressTags","QUAD_LOAD/REPEATED_PATTERN_LOAD","QUAD_LOAD|REPEATED_PATTERN_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리버스 노르딕 컬","ex_8a3800f1","tendonStressTags","QUAD_TENDON_STRESS/PATELLAR_TENDON_STRESS","QUAD_TENDON_STRESS|PATELLAR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리버스 런지","ex_c8bcf3ce","secondaryStressTags","QUAD_LOAD/GLUTE_LOAD/DECELERATION_LOAD/LUNGE_REACH_LOAD/SINGLE_LEG_STABILITY_LOAD","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리버스 런지","ex_c8bcf3ce","ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS/HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","secondaryStressTags","QUAD_LOAD/GLUTE_LOAD/UNILATERAL_CONTROL_LOAD/SINGLE_LEG_STABILITY_LOAD/HIP_CONTROL_LOAD","QUAD_LOAD|GLUTE_LOAD|UNILATERAL_CONTROL_LOAD|SINGLE_LEG_STABILITY_LOAD|HIP_CONTROL_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS/HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"링 로우","ex_282a9d87","secondaryStressTags","LAT_LOAD/UPPER_BACK_LOAD/REAR_DELTOID_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_STABILITY_LOAD","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"링 로우","ex_282a9d87","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"링 로우","ex_282a9d87","ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS/ELBOW_JOINT_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"메도우즈 로우","ex_f459ad2a","secondaryStressTags","LAT_LOAD/UPPER_BACK_LOAD/REAR_DELTOID_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_STABILITY_LOAD","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"메도우즈 로우","ex_f459ad2a","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"메도우즈 로우","ex_f459ad2a","ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS/ELBOW_JOINT_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"바벨 로우","ex_de46b7f6","secondaryStressTags","LAT_LOAD/UPPER_BACK_LOAD/REAR_DELTOID_LOAD/BICEPS_LOAD/GRIP_LOAD/SCAPULAR_STABILITY_LOAD","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"바벨 로우","ex_de46b7f6","tendonStressTags","BICEPS_TENDON_STRESS/FOREARM_FLEXOR_TENDON_STRESS","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"바벨 로우","ex_de46b7f6","ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS/ELBOW_JOINT_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"벤치 딥스","ex_deca2b61","secondaryStressTags","CHEST_LOAD/TRICEPS_LOAD/ANTERIOR_SHOULDER_LOAD/BODYWEIGHT_LOAD","CHEST_LOAD|TRICEPS_LOAD|ANTERIOR_SHOULDER_LOAD|BODYWEIGHT_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"벤치 딥스","ex_deca2b61","ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS/WRIST_SUPPORT_STRESS/ELBOW_JOINT_STRESS","SHOULDER_JOINT_STABILITY_STRESS|WRIST_SUPPORT_STRESS|ELBOW_JOINT_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"스미스 머신 런지","ex_1052e9fa","secondaryStressTags","QUAD_LOAD/GLUTE_LOAD/UNILATERAL_CONTROL_LOAD/SINGLE_LEG_STABILITY_LOAD/HIP_CONTROL_LOAD","QUAD_LOAD|GLUTE_LOAD|UNILATERAL_CONTROL_LOAD|SINGLE_LEG_STABILITY_LOAD|HIP_CONTROL_LOAD","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
"스미스 머신 런지","ex_1052e9fa","ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS/HIP_ROTATIONAL_CONTROL_STRESS/LUMBOPELVIC_CONTROL_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DELIMITER_NORMALIZATION","Replaced slash delimiters with pipe delimiters, trimmed tokens, and removed duplicates."
