"exerciseName","stableKey","currentCategoryType","currentMovementPattern","currentMovementCategory","currentForceType","currentActivityKind","currentPlanningEligibility","proposedMovementFamily","proposedMovementSubtype","proposedDetailedMuscleTags","proposedMuscleContribution","proposedProgramSlot","proposedRedundancyGroup","proposedProgressMetricType","proposedFatigueProfile","proposedBadmintonTransferDirect","proposedBadmintonTransferSupportive","proposedAnalysisEligibility","proposedEvidenceSourceGroup","proposedEvidenceLevel","metadataConfidenceCandidate","sourceReviewRequired","rowManualReviewRequired","templateMissingReviewRequired","stressReviewRequired","sportSessionReviewRequired","sourceOnlyReview","overbroadManualReview","safeForTemplateDefault","safeForSeedMutation","proposalStatus","proposalReason","recommendedNextAction","notes"
"리어델트 케이블 플라이","ex_7deabeba","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","ACCESSORY","PULL","EXERCISE","NOT_PRESENT_IN_SEED","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATERAL_DELTOID|POSTERIOR_DELTOID|TRAPEZIUS_UPPER|TRAPEZIUS_MIDDLE|ROTATOR_CUFF_EXTERNAL|SERRATUS_ANTERIOR|DEEP_CORE","{""LATERAL_DELTOID"":0.35,""POSTERIOR_DELTOID"":0.25,""TRAPEZIUS_UPPER"":0.1,""TRAPEZIUS_MIDDLE"":0.08,""ROTATOR_CUFF_EXTERNAL"":0.1,""SERRATUS_ANTERIOR"":0.07,""DEEP_CORE"":0.05}","SHOULDER_ACCESSORY","DELTOID_ISOLATION","VOLUME_LOAD","LOCAL_MUSCLE, LOW systemic","NONE","SHOULDER_DURABILITY if controlled low-load","FATIGUE, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"리어델트 플라이","ex_7176cbee","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","ACCESSORY","PULL","EXERCISE","NOT_PRESENT_IN_SEED","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATERAL_DELTOID|POSTERIOR_DELTOID|TRAPEZIUS_UPPER|TRAPEZIUS_MIDDLE|ROTATOR_CUFF_EXTERNAL|SERRATUS_ANTERIOR|DEEP_CORE","{""LATERAL_DELTOID"":0.35,""POSTERIOR_DELTOID"":0.25,""TRAPEZIUS_UPPER"":0.1,""TRAPEZIUS_MIDDLE"":0.08,""ROTATOR_CUFF_EXTERNAL"":0.1,""SERRATUS_ANTERIOR"":0.07,""DEEP_CORE"":0.05}","SHOULDER_ACCESSORY","DELTOID_ISOLATION","VOLUME_LOAD","LOCAL_MUSCLE, LOW systemic","NONE","SHOULDER_DURABILITY if controlled low-load","FATIGUE, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","LOWER_BODY","EXERCISE","NOT_PRESENT_IN_SEED","LUNGE_SPLIT_SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","QUADRICEPS|RECTUS_FEMORIS|GLUTE_MAX|HAMSTRINGS|HIP_ADDUCTORS|GASTROCNEMIUS|SOLEUS|GLUTE_MED_MIN|DEEP_CORE|OBLIQUES|TIBIALIS_ANTERIOR","{""QUADRICEPS"":0.25,""RECTUS_FEMORIS"":0.1,""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.1,""HIP_ADDUCTORS"":0.08,""GASTROCNEMIUS"":0.05,""SOLEUS"":0.05,""GLUTE_MED_MIN"":0.05,""DEEP_CORE"":0.04,""OBLIQUES"":0.03}","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LOCAL_MUSCLE, SYSTEMIC moderate, DECELERATION if dynamic/lateral/front lunge","LUNGE_REACH for badminton-specific front/lateral lunge drills","HIP_STABILITY_SUPPORT, KNEE_CONTROL","FATIGUE, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER if court-specific, BALANCE","A_OPENSTAX_11_6|E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410"
"링 로우","ex_282a9d87","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","ROW_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATISSIMUS_DORSI|RHOMBOIDS|TRAPEZIUS_MIDDLE|POSTERIOR_DELTOID|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|ROTATOR_CUFF_EXTERNAL|GRIP_FLEXORS|DEEP_CORE|OBLIQUES","{""LATISSIMUS_DORSI"":0.25,""RHOMBOIDS"":0.15,""TRAPEZIUS_MIDDLE"":0.15,""POSTERIOR_DELTOID"":0.12,""BICEPS_BRACHII"":0.1,""BRACHIALIS"":0.05,""BRACHIORADIALIS"":0.04,""GRIP_FLEXORS"":0.05,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.03,""OBLIQUES"":0.02}","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","LOCAL_MUSCLE, NEURAL_HEAVY moderate for heavy barbell, GRIP_FOREARM, ANTI_ROTATION for unilateral","NONE","SHOULDER_DURABILITY, ANTI_ROTATION_STABILITY, GRIP_FOREARM","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Inverted-row evidence is retained, but non-inverted row subtype needs manual source review. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"마운틴 클라이머","ex_a9b52886","category=근력운동; movement_category=CONDITIONING; force_type=MIXED; movement_pattern=FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT","FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT","CONDITIONING","MIXED","EXERCISE","NOT_PRESENT_IN_SEED","BODYWEIGHT_CONDITIONING_CORE_REVIEW","MOUNTAIN_CLIMBER","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","NEEDS_SOURCE_TEMPLATE","heuristic_only","NEEDS_REVIEW","YES","YES","YES","NO","NO","NO","NO","NO","CANDIDATE","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. No approved family template; concrete muscle values were not invented."
"맨몸 스쿼트","ex_cb3c4dc2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","LOWER_BODY","EXERCISE","NOT_PRESENT_IN_SEED","SQUAT_VARIANTS","BODYWEIGHT_SQUAT","QUADRICEPS|RECTUS_FEMORIS|GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|GLUTE_MED_MIN|DEEP_CORE|OBLIQUES|HIP_ADDUCTORS","{""QUADRICEPS"":0.3,""RECTUS_FEMORIS"":0.1,""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.08,""ERECTOR_SPINAE"":0.1,""DEEP_CORE"":0.07,""GLUTE_MED_MIN"":0.05,""HIP_ADDUCTORS"":0.05}","BODYWEIGHT_PATTERN_REVIEW","SQUAT_PATTERN_BODYWEIGHT","REPS_AT_LOAD","LOCAL_MUSCLE,KNEE_CONTROL,HIP_STABILITY,LOW_TO_MODERATE_SYSTEMIC","NONE","LOWER_STRENGTH_SUPPORT, KNEE_CONTROL, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579|B_NSCA_ESSENTIALS_5E|C_GLUTE_MAX_REVIEW_PMC7039033","governing_body_resource","NEEDS_REVIEW","NO","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Accessory squat variant must not inherit heavy barbell slot or redundancy.","CONFIRM_ACCESSORY_SQUAT_SLOT","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"머신 숄더프레스","ex_4aa3725a","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","ANTERIOR_DELTOID|LATERAL_DELTOID|TRICEPS_BRACHII|PECTORALIS_MAJOR_CLAVICULAR|SERRATUS_ANTERIOR|TRAPEZIUS_UPPER|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|TRAPEZIUS_LOWER|DEEP_CORE|OBLIQUES","{""ANTERIOR_DELTOID"":0.25,""LATERAL_DELTOID"":0.15,""TRICEPS_BRACHII"":0.2,""PECTORALIS_MAJOR_CLAVICULAR"":0.08,""SERRATUS_ANTERIOR"":0.08,""TRAPEZIUS_UPPER"":0.06,""ROTATOR_CUFF_EXTERNAL"":0.06,""ROTATOR_CUFF_INTERNAL"":0.04,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.04}","VERTICAL_PUSH_STRENGTH","VERTICAL_PUSH_OVERHEAD","VOLUME_LOAD","LOCAL_MUSCLE, OVERHEAD_REPETITION, SYSTEMIC moderate, ANTI_ROTATION for unilateral variants","NONE","SHOULDER_DURABILITY, OVERHEAD_POWER_SUPPORT, ANTI_ROTATION_STABILITY","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924"
"머신 체스트프레스","ex_1dbee10e","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","PECTORALIS_MAJOR_STERNAL|PECTORALIS_MAJOR_CLAVICULAR|ANTERIOR_DELTOID|TRICEPS_BRACHII|SERRATUS_ANTERIOR|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|DEEP_CORE","{""PECTORALIS_MAJOR_STERNAL"":0.3,""PECTORALIS_MAJOR_CLAVICULAR"":0.15,""ANTERIOR_DELTOID"":0.2,""TRICEPS_BRACHII"":0.2,""SERRATUS_ANTERIOR"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.05,""DEEP_CORE"":0.05}","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","VOLUME_LOAD","SYSTEMIC moderate, NEURAL_HEAVY moderate-to-high, LOCAL_MUSCLE","NONE","UPPER_PUSH_CAPACITY, SHOULDER_CONTROL if relevant","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"메도우즈 로우","ex_f459ad2a","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","ROW_VARIANTS","NEEDS_SUBTYPE_REVIEW","LATISSIMUS_DORSI|RHOMBOIDS|TRAPEZIUS_MIDDLE|POSTERIOR_DELTOID|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|ROTATOR_CUFF_EXTERNAL|GRIP_FLEXORS|DEEP_CORE|OBLIQUES","{""LATISSIMUS_DORSI"":0.25,""RHOMBOIDS"":0.15,""TRAPEZIUS_MIDDLE"":0.15,""POSTERIOR_DELTOID"":0.12,""BICEPS_BRACHII"":0.1,""BRACHIALIS"":0.05,""BRACHIORADIALIS"":0.04,""GRIP_FLEXORS"":0.05,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.03,""OBLIQUES"":0.02}","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","LOCAL_MUSCLE, NEURAL_HEAVY moderate for heavy barbell, GRIP_FOREARM, ANTI_ROTATION for unilateral","NONE","SHOULDER_DURABILITY, ANTI_ROTATION_STABILITY, GRIP_FOREARM","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Inverted-row evidence is retained, but non-inverted row subtype needs manual source review. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"바벨 로우","ex_de46b7f6","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","ROW_VARIANTS","BARBELL_ROW","LATISSIMUS_DORSI|RHOMBOIDS|TRAPEZIUS_MIDDLE|POSTERIOR_DELTOID|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|ROTATOR_CUFF_EXTERNAL|GRIP_FLEXORS|DEEP_CORE|OBLIQUES","{""LATISSIMUS_DORSI"":0.25,""RHOMBOIDS"":0.15,""TRAPEZIUS_MIDDLE"":0.15,""POSTERIOR_DELTOID"":0.12,""BICEPS_BRACHII"":0.1,""BRACHIALIS"":0.05,""BRACHIORADIALIS"":0.04,""GRIP_FLEXORS"":0.05,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.03,""OBLIQUES"":0.02}","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","ESTIMATED_1RM","LOCAL_MUSCLE, NEURAL_HEAVY moderate for heavy barbell, GRIP_FOREARM, ANTI_ROTATION for unilateral","NONE","SHOULDER_DURABILITY, ANTI_ROTATION_STABILITY, GRIP_FOREARM","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Inverted-row evidence is retained, but non-inverted row subtype needs manual source review. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"밴드 외회전","ex_e8ff8cfa","category=근력운동; movement_category=SUPPORT; force_type=ISOLATION; movement_pattern=SHOULDER_EXTERNAL_ROTATION|ROTATOR_CUFF_SUPPORT|SHOULDER_PREHAB","SHOULDER_EXTERNAL_ROTATION|ROTATOR_CUFF_SUPPORT|SHOULDER_PREHAB","SUPPORT","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","BAND_EXTERNAL_ROTATION","ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|POSTERIOR_DELTOID|TRAPEZIUS_LOWER|TRAPEZIUS_MIDDLE|SERRATUS_ANTERIOR|DEEP_CORE","{""ROTATOR_CUFF_EXTERNAL"":0.4,""ROTATOR_CUFF_INTERNAL"":0.15,""POSTERIOR_DELTOID"":0.1,""TRAPEZIUS_LOWER"":0.1,""TRAPEZIUS_MIDDLE"":0.08,""SERRATUS_ANTERIOR"":0.1,""DEEP_CORE"":0.07}","ROTATOR_CUFF_CARE","ROTATOR_CUFF_PREHAB","QUALITY_BASED","LOW_FATIGUE_REHAB, local shoulder low","NONE","SHOULDER_DURABILITY, OVERHEAD_REPETITION_SUPPORT","RECOVERY_ONLY, BALANCE, BADMINTON_TRANSFER","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924"
"버드독","ex_28347c1f","category=근력운동; movement_category=SUPPORT; force_type=CORE; movement_pattern=CORE_STABILITY|ANTI_ROTATION|LUMBOPELVIC_CONTROL|CONTRALATERAL_COORDINATION","CORE_STABILITY|ANTI_ROTATION|LUMBOPELVIC_CONTROL|CONTRALATERAL_COORDINATION","SUPPORT","CORE","EXERCISE","NOT_PRESENT_IN_SEED","ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","NEEDS_SUBTYPE_REVIEW","DEEP_CORE|OBLIQUES|RECTUS_ABDOMINIS|GLUTE_MAX|GLUTE_MED_MIN|SERRATUS_ANTERIOR|ERECTOR_SPINAE|ROTATOR_CUFF_EXTERNAL|HIP_ADDUCTORS","{""DEEP_CORE"":0.3,""OBLIQUES"":0.25,""RECTUS_ABDOMINIS"":0.15,""GLUTE_MED_MIN"":0.08,""GLUTE_MAX"":0.07,""SERRATUS_ANTERIOR"":0.05,""ERECTOR_SPINAE"":0.05,""HIP_ADDUCTORS"":0.05}","CORE_STABILITY","TRUNK_ANTI_MOVEMENT","QUALITY_BASED","ANTI_ROTATION, LOCAL_MUSCLE, LOW systemic","NONE","ANTI_ROTATION_STABILITY, TRUNK_CONTROL_SUPPORT","FATIGUE, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_10_2|E_CORE_BADMINTON_META_PMC11168634","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"벤치 딥스","ex_deca2b61","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL_SUPPORT|TRICEPS_EMPHASIS|CHEST_ACCESSORY","PUSH_VERTICAL_SUPPORT|TRICEPS_EMPHASIS|CHEST_ACCESSORY","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","DIP_TRICEPS_PUSH_REVIEW","BENCH_DIP","TRICEPS_BRACHII|TRICEPS_LONG_HEAD|ANTERIOR_DELTOID|PECTORALIS_MAJOR_STERNAL|DEEP_CORE","REVIEW","TRICEPS_ACCESSORY_REVIEW","DIP_TRICEPS_PUSH_REVIEW","VOLUME_LOAD","LOCAL_MUSCLE,ELBOW_EXTENSION,SHOULDER_STRESS_REVIEW","NONE","UPPER_PUSH_SUPPORT","FATIGUE,HYPERTROPHY_VOLUME,BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","anatomy_textbook","NEEDS_REVIEW","NO","YES","YES","YES","NO","NO","NO","NO","NO","NEEDS_ROW_REVIEW","Bench dip is removed from bench press and requires shoulder-extension stress review.","DEFINE_DIP_TRICEPS_PUSH_TEMPLATE","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
"벤치프레스","barbell_bench_press","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","BARBELL_BENCH_PRESS","PECTORALIS_MAJOR_STERNAL|PECTORALIS_MAJOR_CLAVICULAR|ANTERIOR_DELTOID|TRICEPS_BRACHII|SERRATUS_ANTERIOR|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|DEEP_CORE","{""PECTORALIS_MAJOR_STERNAL"":0.3,""PECTORALIS_MAJOR_CLAVICULAR"":0.15,""ANTERIOR_DELTOID"":0.2,""TRICEPS_BRACHII"":0.2,""SERRATUS_ANTERIOR"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.05,""DEEP_CORE"":0.05}","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","ESTIMATED_1RM","SYSTEMIC moderate, NEURAL_HEAVY moderate-to-high, LOCAL_MUSCLE","NONE","UPPER_PUSH_CAPACITY, SHOULDER_CONTROL if relevant","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement."
"슈퍼맨","ex_284ecca6","category=근력운동; movement_category=ACCESSORY; force_type=HINGE; movement_pattern=SPINAL_EXTENSION|POSTERIOR_CHAIN_ACCESSORY|GLUTE_BACK_SUPPORT","SPINAL_EXTENSION|POSTERIOR_CHAIN_ACCESSORY|GLUTE_BACK_SUPPORT","ACCESSORY","HINGE","EXERCISE","NOT_PRESENT_IN_SEED","POSTERIOR_CHAIN_LOW_LOAD_REVIEW","NEEDS_SUBTYPE_REVIEW","REVIEW","REVIEW","POSTERIOR_CHAIN_LOW_LOAD_REVIEW","POSTERIOR_CHAIN_LOW_LOAD_REVIEW","REVIEW","LOCAL_MUSCLE,LOW_FATIGUE_REHAB_REVIEW","NONE","POSTERIOR_CHAIN_CAPACITY","FATIGUE,BALANCE,RECOVERY_ONLY","NEEDS_SOURCE_TEMPLATE","heuristic_only","LOW","YES","NO","YES","NO","NO","NO","NO","NO","NO","NEEDS_TEMPLATE_DEFINITION","The proposed review family has no approved family template.","DEFINE_AND_REVIEW_FAMILY_TEMPLATE","Draft only; do not mutate seed without human approval. Subtype intentionally left for review; no broad exercise-name parsing was used. No approved family template; concrete muscle values were not invented."
