"exerciseName","stableKey","previousReviewDebtDecision","reviewDebtDecision","templateKey","movementFamily","movementSubtype","primaryStressProfile","badmintonTransferLevel","decisionPackStatus","decisionPackReason","sourceReviewRequired","safeForSeedMutation"
"스쿼트","barbell_back_squat","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","SQUAT_VARIANTS","BACK_SQUAT","HEAVY_AXIAL_LOWER_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HEAVY_AXIAL_LOWER_STRESS was applied with separate detail tags.","NO","NO"
"스탠딩 레그 컬","ex_b59bed7d","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","HAMSTRING_CURL_VARIANTS","HAMSTRING_CURL_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template HAMSTRING_CURL_VARIANTS was applied.","NO","NO"
"싱글 레그 레그 익스텐션","ex_d60745b4","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","KNEE_EXTENSION_QUAD_ISOLATION","KNEE_EXTENSION_QUAD_ISOLATION","SINGLE_LEG_LEG_EXTENSION","","","READY_AFTER_DECISION_PACK","Approved reusable template KNEE_EXTENSION_QUAD_ISOLATION was applied.","NO","NO"
"싱글 레그 레그 컬","ex_8824026f","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","HAMSTRING_CURL_VARIANTS","HAMSTRING_CURL_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template HAMSTRING_CURL_VARIANTS was applied.","NO","NO"
"오버헤드 트라이셉스 익스텐션","ex_a9e8859c","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","OVERHEAD_TRICEPS_LONG_HEAD_REVIEW","OVERHEAD_TRICEPS_EXTENSION","ISOLATION_ACCESSORY_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ISOLATION_ACCESSORY_STRESS was applied with separate detail tags.","NO","NO"
"원레그 레그 프레스","ex_a091b9fe","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS was applied.","NO","NO"
"원레그 핵 스쿼트","ex_f1d31d3d","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","MACHINE_LOWER_BODY_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile MACHINE_LOWER_BODY_STRESS was applied with separate detail tags.","NO","NO"
"원암 덤벨 오버헤드 트라이셉스 익스텐션","ex_fdbdf454","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","OVERHEAD_TRICEPS_LONG_HEAD_REVIEW","ONE_ARM_OVERHEAD_TRICEPS_EXTENSION","ISOLATION_ACCESSORY_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ISOLATION_ACCESSORY_STRESS was applied with separate detail tags.","NO","NO"
"프론트 스쿼트","ex_c5043892","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","SQUAT_VARIANTS","FRONT_SQUAT","HEAVY_AXIAL_LOWER_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile HEAVY_AXIAL_LOWER_STRESS was applied with separate detail tags.","NO","NO"
"할로우 바디 홀드","ex_2a826c82","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"핵 스쿼트","ex_e9e97659","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","MACHINE_LOWER_BODY_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile MACHINE_LOWER_BODY_STRESS was applied with separate detail tags.","NO","NO"
"노르딕 햄스트링 컬","ex_1cf51b6b","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","NORDIC_HAMSTRING_ECCENTRIC_REVIEW","NORDIC_HAMSTRING_CURL","ECCENTRIC_TENDON_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ECCENTRIC_TENDON_STRESS was applied with separate detail tags.","NO","NO"
"데드버그","ex_d5bdffe1","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"라인 홉","ex_a3ddd8ac","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW","LINE_HOP","ANKLE_SSC_REACTIVE_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ANKLE_SSC_REACTIVE_STRESS was applied with separate detail tags.","NO","NO"
"사이드 플랭크","ex_f6d43398","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"케틀벨 스윙","ex_7404067c","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","BALLISTIC_HINGE_POWER_REVIEW","KETTLEBELL_SWING","BALLISTIC_POWER_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile BALLISTIC_POWER_STRESS was applied with separate detail tags.","NO","NO"
"코펜하겐 플랭크","ex_a8385c4a","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"파머스 캐리","ex_a1fc4533","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","LOADED_CARRY_VARIANTS","LOADED_CARRY_VARIANTS","","","","READY_AFTER_DECISION_PACK","Approved reusable template LOADED_CARRY_VARIANTS was applied.","NO","NO"
"포고 점프","ex_e465d1e9","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW","POGO_JUMP","ANKLE_SSC_REACTIVE_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ANKLE_SSC_REACTIVE_STRESS was applied with separate detail tags.","NO","NO"
"플랭크","ex_a44ae2ca","TEMPLATE_DEFINITION_REQUIRED","ANATOMY_SUPPORTED_TEMPLATE","ANTI_ROTATION_ANTI_EXTENSION_CORE","ANTI_ROTATION_ANTI_EXTENSION_CORE","","","","READY_AFTER_DECISION_PACK","Approved reusable template ANTI_ROTATION_ANTI_EXTENSION_CORE was applied.","NO","NO"
"줄넘기","ex_9bd6dddb","STRESS_REVIEW_REQUIRED","ACCEPTED_HEURISTIC","","ANKLE_STIFFNESS_SSC_CONDITIONING_REVIEW","JUMP_ROPE","ANKLE_SSC_REACTIVE_STRESS","","READY_AFTER_DECISION_PACK","Approved compressed stress profile ANKLE_SSC_REACTIVE_STRESS was applied with separate detail tags.","NO","NO"
