"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"아처 푸시업","ex_73b0b63f","PUSH_UP_VARIANTS","ARCHER_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 덤벨 컬","ex_85b2ac56","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 리어델트 케이블 플라이","ex_a60496be","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","ONE_ARM_REAR_DELT_CABLE_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 케이블 래터럴 레이즈","ex_b076570e","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","ONE_ARM_CABLE_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 케이블 컬","ex_3d5719de","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_CABLE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 해머 컬","ex_86323ed6","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ONE_ARM_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"인클라인 덤벨 컬","ex_d5048362","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","INCLINE_DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"컨센트레이션 컬","ex_c62c0716","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CONCENTRATION_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"케이블 래터럴 레이즈","ex_b76d3f92","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","CABLE_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"케이블 컬","ex_e709eeda","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CABLE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"크로스바디 해머 컬","ex_b69ab702","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","CROSS_BODY_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"파이크 푸시업","ex_3caa236b","BODYWEIGHT_VERTICAL_PUSH_VARIANTS","PIKE_PUSH_UP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"페이스풀","face_pull","SCAPULAR_RETRACTION_EXTERNAL_ROTATION_CONTROL_VARIANTS","FACE_PULL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"푸시업","ex_28902b13","PUSH_UP_VARIANTS","PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"프리처 컬","ex_e994008a","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","PREACHER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"해머 컬","ex_2892da5a","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"핸드스탠드 푸시업","ex_fa2e73b3","BODYWEIGHT_VERTICAL_PUSH_VARIANTS","HANDSTAND_PUSH_UP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 하프 닐링 프레스","ex_8380d7fe","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"월 슬라이드","ex_f97a05ab","SCAPULAR_CONTROL_RECOVERY_PREHAB_VARIANTS","WALL_SLIDE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"하프 닐링 원암 프레스","ex_8e1b313e","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"하프 닐링 케틀벨 원암 프레스","ex_d79824d2","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_KETTLEBELL_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"하프 닐링 케틀벨 프레스","ex_e0759156","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"하프 닐링 프레스","ex_66e8c8c2","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
