exerciseStableKey,exerciseName,sourceStableKey,movementJointComplexCodes,tissueJointComplexCodes,mappedLoadUnitCount,sourceProfileState,sourceProfileSha256,reconciliationAction,reviewFlags,status
cable_lift,케이블 리프트,cable_lift,jc_hip|jc_thoracic_spine_ribcage,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,21,REVIEWED_PROFILE_PRESENT,046490c11b458a8a4641f2eeb8d5b83d7098dccaeb89976a9b94f80009b68f61,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,ex_a9e8859c,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_elbow_flexion_extension,5,REVIEWED_PROFILE_PRESENT,be75309a664db1998eb5957b343304d3321d8b3bfd44bb3e7de5c7010a9959dd,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
cable_pallof_press,케이블 팔로프 프레스,ex_99728d25,,jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,14,REVIEWED_PROFILE_PRESENT,dbe858a2f494b4bec72410caf98b66046cd4d2fa6c16a4c952ae867d63550cd4,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_hip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
cable_rear_delt_fly,케이블 리어델트 플라이,ex_7176cbee,jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,13,REVIEWED_PROFILE_PRESENT,40789b0b61ee8fe57bc7d751be8fa3147b0b2c03800ec61a1b4b9f8c51bb849f,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension,REVIEW_REQUIRED
cable_woodchop,케이블 우드찹,cable_woodchop,jc_hip|jc_thoracic_spine_ribcage,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,21,REVIEWED_PROFILE_PRESENT,129fa58386607c3ca7b85c4f6418b80a84303fb5e7f5f0db6cbfabf6c34e0978,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
chest_supported_row_machine,체스트 서포티드 로우 머신,ex_8e51640a,jc_elbow_flexion_extension|jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,20,REVIEWED_PROFILE_PRESENT,6bd0ed4250c15a2b5fb69105d62fcea9b1864b33eab948fcc8d87fb91201e0f2,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,ex_8e51640a,jc_elbow_flexion_extension|jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,20,REVIEWED_PROFILE_PRESENT,6bd0ed4250c15a2b5fb69105d62fcea9b1864b33eab948fcc8d87fb91201e0f2,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
dumbbell_farmer_carry,덤벨 파머스 캐리,ex_a1fc4533,jc_ankle_hindfoot|jc_hip|jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_ankle_hindfoot|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_knee_tibiofemoral|jc_hip|jc_elbow_flexion_extension|jc_foot_mid_forefoot|jc_shoulder_scapuloclavicular,25,REVIEWED_PROFILE_PRESENT,f7550c061285fd30bc4de87387656c737348b836ca2ef2716755ad20b194a6a5,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_foot_mid_forefoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular|MOVEMENT_ONLY_NO_TISSUE_LOAD:jc_knee_patellofemoral,REVIEW_REQUIRED
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,ex_ac7df636,jc_ankle_hindfoot|jc_hip|jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_lumbar_spine|jc_knee_patellofemoral|jc_ankle_hindfoot|jc_knee_tibiofemoral|jc_hip,12,REVIEWED_PROFILE_PRESENT,b11bfb9c698736b22b31f1a0ecc27641012df6372dbbccfe8f724bc365fb1832,INHERIT_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine,REVIEW_REQUIRED
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,ex_d20b7487,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_elbow_flexion_extension,5,REVIEWED_PROFILE_PRESENT,7ca8d8b7ea53c3747ee09c87c27493cdaa61dd9e69e5613905a55de47eac682e,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,ex_a9e8859c,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_elbow_flexion_extension,5,REVIEWED_PROFILE_PRESENT,be75309a664db1998eb5957b343304d3321d8b3bfd44bb3e7de5c7010a9959dd,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
dumbbell_preacher_curl,덤벨 프리처 컬,ex_e994008a,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_forearm_radioulnar|jc_elbow_flexion_extension,11,REVIEWED_PROFILE_PRESENT,fc589c53e47e4ddf7fc3a5077abb5d25737eb7de733fcf83bf359385c5acbaf7,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_forearm_radioulnar,REVIEW_REQUIRED
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,ex_7176cbee,jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,13,REVIEWED_PROFILE_PRESENT,40789b0b61ee8fe57bc7d751be8fa3147b0b2c03800ec61a1b4b9f8c51bb849f,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension,REVIEW_REQUIRED
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,ex_8e18b02a,jc_wrist_carpal,jc_hand_grip|jc_wrist_carpal|jc_forearm_radioulnar|jc_elbow_flexion_extension,10,REVIEWED_PROFILE_PRESENT,971bf9c3eb5fff97c56a29da11da83acf21b46221e62b7185b3e731922e34eb4,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_forearm_radioulnar|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension,REVIEW_REQUIRED
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,dumbbell_romanian_deadlift,jc_hip,jc_lumbar_spine|jc_knee_tibiofemoral|jc_hip,7,REVIEWED_PROFILE_PRESENT,2e41bf8079d25477fa0badc69928bb4b8002ce67c7bb938f242843298ff65864,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,single_leg_rdl,jc_hip,jc_lumbar_spine|jc_hip,7,REVIEWED_PROFILE_PRESENT,9ecffefc3369ad3f71fae9794afac39c7975841a135ae77a5afd8659f633365c,INHERIT_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine,REVIEW_REQUIRED
dumbbell_spider_curl,덤벨 스파이더 컬,ex_516f4456,jc_elbow_flexion_extension,jc_hand_grip|jc_wrist_carpal|jc_forearm_radioulnar|jc_elbow_flexion_extension,11,REVIEWED_PROFILE_PRESENT,8d7bb034a4ee12a9168c4457e6f5edfb49b1be14fbc38dca20bd73379d48a087,INHERIT_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_forearm_radioulnar,REVIEW_REQUIRED
dumbbell_woodchop,덤벨 우드찹,dumbbell_woodchop,jc_hip|jc_thoracic_spine_ribcage,jc_hand_grip|jc_lumbar_spine|jc_thoracic_spine_ribcage|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_hip|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,21,REVIEWED_PROFILE_PRESENT,64d0fa6596a79597693965d7a6a594942c513e485bc946904ec89e692d3cbf24,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
ex_1052e9fa,스미스 머신 런지,ex_1052e9fa,jc_ankle_hindfoot|jc_hip|jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_lumbar_spine|jc_knee_patellofemoral|jc_ankle_hindfoot|jc_knee_tibiofemoral|jc_hip,12,REVIEWED_PROFILE_PRESENT,6e72ea6cfb4adca8ba0b62ab49fb4fafa15ab8c7304e6702eccf9e1963c8fc0c,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine,REVIEW_REQUIRED
ex_149730de,발목/고관절 가동성,ex_149730de,jc_ankle_hindfoot|jc_hip,jc_ankle_hindfoot|jc_hip,9,REVIEWED_PROFILE_PRESENT,66f34b5e5a4429ec5dc57f4fed7f34cd94e866a1c9e7542cc4a67f73760aba3f,PRESERVE_UNCHANGED,,PASS
ex_16b298db,미니밴드 사이드워크,ex_16b298db,jc_hip,jc_knee_patellofemoral|jc_knee_tibiofemoral|jc_hip,6,REVIEWED_PROFILE_PRESENT,a01501ed0fda0db317122412585626d0d30fc878dccc4785f55c866bc54ad2b5,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_patellofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
ex_1a4858d7,농구,ex_1a4858d7,,jc_hand_grip|jc_lumbar_spine|jc_knee_patellofemoral|jc_thoracic_spine_ribcage|jc_ankle_hindfoot|jc_wrist_carpal|jc_pelvic_ring_sacroiliac|jc_shoulder_glenohumeral|jc_knee_tibiofemoral|jc_hip|jc_elbow_flexion_extension|jc_foot_mid_forefoot|jc_shoulder_scapuloclavicular,39,REVIEWED_PROFILE_PRESENT,b43468668a0922426ac136ed68ae6b6f1b5942d2dcc4e296fde01d5ec632bacf,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_foot_mid_forefoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_patellofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_ankle_hindfoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_glenohumeral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_hip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_elbow_flexion_extension|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_shoulder_scapuloclavicular,REVIEW_REQUIRED
ex_1a4bbdcf,축구,ex_1a4bbdcf,,jc_lumbar_spine|jc_knee_patellofemoral|jc_thoracic_spine_ribcage|jc_ankle_hindfoot|jc_pelvic_ring_sacroiliac|jc_knee_tibiofemoral|jc_hip|jc_foot_mid_forefoot,33,REVIEWED_PROFILE_PRESENT,b3bc172300a3055911939f6cac54201af37fc3387d7d32d5036d434818c2a632,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_pelvic_ring_sacroiliac|STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_foot_mid_forefoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_lumbar_spine|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_patellofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_thoracic_spine_ribcage|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_ankle_hindfoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_hip,REVIEW_REQUIRED
ex_1c7f2342,랜덤 풋워크,ex_1c7f2342,,jc_knee_patellofemoral|jc_ankle_hindfoot|jc_knee_tibiofemoral,7,REVIEWED_PROFILE_PRESENT,55310cc69ecc7f13f1d25d783baf078c2fa1fc4f67271dc80d2314a539808f1a,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_patellofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_ankle_hindfoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
ex_1cf51b6b,노르딕 햄스트링 컬,ex_1cf51b6b,jc_knee_tibiofemoral|jc_knee_patellofemoral,jc_knee_patellofemoral|jc_knee_tibiofemoral|jc_hip,7,REVIEWED_PROFILE_PRESENT,eef76aa2fd70e40684d9dc42130ea0e6d0e97edbab18b44008230579dbd76e26,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_hip,REVIEW_REQUIRED
ex_1dbee10e,머신 체스트프레스,ex_1dbee10e,jc_elbow_flexion_extension|jc_shoulder_glenohumeral|jc_shoulder_scapuloclavicular,jc_hand_grip|jc_wrist_carpal|jc_shoulder_glenohumeral|jc_elbow_flexion_extension|jc_shoulder_scapuloclavicular,15,REVIEWED_PROFILE_PRESENT,77e022a6bcc42e9cebce8a930aeee581b8739bd5df06eb0a9b9fab0db8c29497,PRESERVE_UNCHANGED,STABILIZING_OR_LOAD_TRANSFER_EXCEPTION:jc_hand_grip|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_wrist_carpal,REVIEW_REQUIRED
ex_2055b629,애질리티 래더,ex_2055b629,,jc_knee_patellofemoral|jc_ankle_hindfoot|jc_knee_tibiofemoral,7,REVIEWED_PROFILE_PRESENT,e8ef79d220492aa1ee34eb1966f1e6f628ba2b74eb7a4f8e7048645f0aa6d65f,PRESERVE_UNCHANGED,PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_patellofemoral|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_ankle_hindfoot|PROBABLE_MOVEMENT_ANATOMY_OMISSION:jc_knee_tibiofemoral,REVIEW_REQUIRED
