exerciseStableKey,targetKey,priorSpecificityMean,priorSpecificityConcentration,priorTransferSlopeMean,priorTransferSlopeSd,priorResidualLogSdMean,priorResidualLogSdSd,sharedFactorLoadings,targetSpecificLoading,loadSemantics,minimumProxyObservations,minimumTargetObservations,personalizationAllowed,evidenceClass,approvalStatus,requiresPostMetadataResearchReview,configVersion,rationale,provenanceId,targetAnchorStableKey,identityResolution,subsetRule
barbell_bench_press,BENCH_PRESS,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.press_shared:0.90|strength.factor.horizontal_press:1.00|strength.factor.elbow_extension:0.45,1.00,EXTERNAL_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Direct anchor relation,LEGACY-STRENGTH-PROXY-2.0.0-barbell_bench_press-BENCH_PRESS,barbell_bench_press,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
barbell_romanian_deadlift,DEADLIFT,0.50,2.0,1.00,0.75,-0.35,0.85,strength.factor.knee_extension:0.18|strength.factor.hip_extension_posterior_chain:0.88|strength.factor.trunk_bracing:0.62,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.50 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-barbell_romanian_deadlift-DEADLIFT,barbell_deadlift,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
dumbbell_romanian_deadlift,DEADLIFT,0.45,2.0,1.00,0.75,-0.35,0.85,strength.factor.hip_extension_posterior_chain:0.90|strength.factor.trunk_bracing:0.55,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.45 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-dumbbell_romanian_deadlift-DEADLIFT,barbell_deadlift,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_e41f4c2b,WEIGHTED_PULL_UP,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.vertical_pull_shared:1.00|strength.factor.shoulder_adduction_extension:0.85|strength.factor.elbow_flexion:0.70|strength.factor.scapular_depression_control:0.65,1.00,BODYWEIGHT_PLUS_ADDED_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Direct anchor relation,LEGACY-STRENGTH-PROXY-2.0.0-ex_e41f4c2b-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
pull_up,WEIGHTED_PULL_UP,0.50,2.0,1.00,0.75,-0.35,0.85,strength.factor.vertical_pull_shared:0.82|strength.factor.shoulder_adduction_extension:0.70|strength.factor.elbow_flexion:0.55|strength.factor.scapular_depression_control:0.48,0.20,BODYWEIGHT_PLUS_ADDED_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.50 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-pull_up-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_e41e8dcf,WEIGHTED_PULL_UP,0.48,2.0,1.00,0.75,-0.35,0.85,strength.factor.vertical_pull_shared:0.95|strength.factor.shoulder_adduction_extension:0.80|strength.factor.elbow_flexion:0.85|strength.factor.scapular_depression_control:0.60,0.20,BODYWEIGHT_PLUS_ADDED_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.48 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_e41e8dcf-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_6466fe77,WEIGHTED_PULL_UP,0.42,2.0,1.00,0.75,-0.35,0.85,strength.factor.vertical_pull_shared:0.90|strength.factor.shoulder_adduction_extension:0.75|strength.factor.elbow_flexion:0.85|strength.factor.scapular_depression_control:0.55,0.20,BODYWEIGHT_PLUS_ADDED_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.42 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_6466fe77-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_dc9e5953,WEIGHTED_PULL_UP,0.38,2.0,1.00,0.75,-0.35,0.85,strength.factor.vertical_pull_shared:0.80|strength.factor.shoulder_adduction_extension:0.75|strength.factor.elbow_flexion:0.55|strength.factor.scapular_depression_control:0.35,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.38 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_dc9e5953-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_32eb8457,WEIGHTED_PULL_UP,0.30,2.0,1.00,0.75,-0.35,0.85,strength.factor.vertical_pull_shared:0.70|strength.factor.shoulder_adduction_extension:0.65|strength.factor.elbow_flexion:0.45,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.30 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_32eb8457-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_de46b7f6,WEIGHTED_PULL_UP,0.18,2.0,1.00,0.75,-0.35,0.85,strength.factor.elbow_flexion:0.30|strength.factor.scapular_depression_control:0.25,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.18 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_de46b7f6-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_fa31f7a6,WEIGHTED_PULL_UP,0.15,2.0,1.00,0.75,-0.35,0.85,strength.factor.elbow_flexion:0.25|strength.factor.scapular_depression_control:0.25,0.20,MACHINE_STACK_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Legacy coefficient 0.15 reused only as provisional specificity seed and not as a kilogram slope,LEGACY-STRENGTH-PROXY-2.0.0-ex_fa31f7a6-WEIGHTED_PULL_UP,ex_e41f4c2b,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_32219f7a,MILITARY_PRESS,1.00,100.0,1.00,0.05,-2.30,0.25,strength.factor.press_shared:1.00|strength.factor.vertical_press:1.00|strength.factor.elbow_extension:0.65|strength.factor.trunk_bracing:0.45,1.00,EXTERNAL_LOAD,0,0,true,DIRECT_ANCHOR_PRODUCT_POLICY,REVIEWED_DIRECT_ANCHOR,false,strength-proxy-prior-1.0.0,Product owner defines this key as strict standing barbell overhead press without knee or hip drive,PO-MILITARY-PRESS-2026-07-31-DIRECT,ex_32219f7a,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
barbell_bench_press,MILITARY_PRESS,0.35,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.75|strength.factor.elbow_extension:0.50,0.20,EXTERNAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Temporary press bridge relation with broad uncertainty,PHASE-2A1-PRESS-BRIDGE-barbell_bench_press-MILITARY_PRESS,ex_32219f7a,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
ex_a61f1e96,MILITARY_PRESS,0.45,2.0,1.00,0.75,-0.35,0.85,strength.factor.press_shared:0.78|strength.factor.elbow_extension:0.42,0.20,IMPLEMENT_TOTAL_LOAD,2,2,true,PROVISIONAL_PRODUCT_PRIOR,TEMPORARY_APPROVED,true,strength-proxy-prior-1.0.0,Temporary incline dumbbell press bridge with broad uncertainty,PHASE-2A1-PRESS-BRIDGE-ex_a61f1e96-MILITARY_PRESS,ex_32219f7a,FINAL_CANONICAL_IDENTITY,Explicit approved relation only; absence is authoritative.
