exerciseStableKey,exerciseName,sourceStableKey,relationCount,primaryCount,secondaryCount,stabilizerCount,sourceProfileSha256,reconciliationAction,status
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,dumbbell_romanian_deadlift,5,2,3,0,773d0afce4d477db7fb228584d129d9a5cc10238616ef4d8e357816128bb6ba6,PRESERVE_UNCHANGED,PASS
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,single_leg_rdl,4,2,2,0,5a737bff87fcefcf0acd7ee47e9854ed58682320194b50d7a6ec404b2bcc2bc8,INHERIT_UNCHANGED,PASS
dumbbell_spider_curl,덤벨 스파이더 컬,ex_516f4456,4,3,1,0,db6471bf0ebc1f2c6f981f5920ca0cd6f207a64ba637570fcae2a06293e360ea,INHERIT_UNCHANGED,PASS
dumbbell_woodchop,덤벨 우드찹,dumbbell_woodchop,5,5,0,0,99d0dca2f8ebc7b32a84268b3a6b63fed4aea72f5b6ec87828a739335254b648,PRESERVE_UNCHANGED,PASS
ex_1052e9fa,스미스 머신 런지,ex_1052e9fa,5,4,1,0,3504010f62671367047f76c72a69a7c2be8e13e29bc730fa3c063fe743271d9c,PRESERVE_UNCHANGED,PASS
ex_149730de,발목/고관절 가동성,ex_149730de,2,1,1,0,4aba3836747b6c4b37bbf41556e93213ea224b74f9897255aa805c96e45eab8c,PRESERVE_UNCHANGED,PASS
ex_16b298db,미니밴드 사이드워크,ex_16b298db,3,3,0,0,6e81781af846afabf4c607efb56f6a62c142a7a3d7e514a4fd206e9ca48601c7,PRESERVE_UNCHANGED,PASS
ex_1a4858d7,농구,ex_1a4858d7,5,5,0,0,7f0dcee2983e42c48d6a13802ce12e8efc7baaaa0844b02d18e09ca687f148a0,PRESERVE_UNCHANGED,PASS
ex_1a4bbdcf,축구,ex_1a4bbdcf,5,5,0,0,6cd2b905d146165c035179d6575e644f883460f2d1ca967d8410654111299ec9,PRESERVE_UNCHANGED,PASS
ex_1c7f2342,랜덤 풋워크,ex_1c7f2342,1,1,0,0,d48dd4f7dc60ec90956b6b8361cd517477274c7d91b7b2f729ef0839614fc4c8,PRESERVE_UNCHANGED,PASS
ex_1cf51b6b,노르딕 햄스트링 컬,ex_1cf51b6b,2,1,1,0,825a3df90c8332f34fa37f8fab0b856fe7ad752a71734336517aa0a946a433fb,PRESERVE_UNCHANGED,PASS
ex_1dbee10e,머신 체스트프레스,ex_1dbee10e,5,4,1,0,84be44a6c14bc7c8a8468e0cc367f043419f0c9da7f96840c1d472795dbb31da,PRESERVE_UNCHANGED,PASS
ex_2055b629,애질리티 래더,ex_2055b629,1,1,0,0,1fe783de495c58c67aa6205dd8438b1653f8547fe6dec264d9a2f38b4f79513b,PRESERVE_UNCHANGED,PASS
ex_216351a1,가벼운 콕줍기,ex_216351a1,1,1,0,0,fe5463aa6d8924b715fcb01378d647463da0620ae05b4a7414c13a650800f805,PRESERVE_UNCHANGED,PASS
ex_27b3deb5,클로즈그립 벤치프레스,ex_27b3deb5,5,4,1,0,e7a030bf7abc738eb880da155d76506eeba6f8b27e298c820cd07fa3228c06f5,PRESERVE_UNCHANGED,PASS
ex_281347da,덤벨 컬,ex_281347da,3,2,1,0,87d00aed9e9c52f5a0a39171347bd2798e6bfa59bb2288de0e707a98f8cbd174,PRESERVE_UNCHANGED,PASS
ex_2822ec2e,레그 컬,ex_2822ec2e,3,3,0,0,d1df489b5adf4f55760abe535d35745fb8184148d133d0b24eae8c08b88baf19,PRESERVE_UNCHANGED,PASS
ex_282a9d87,링 로우,ex_282a9d87,5,5,0,0,93b2b661495ff018ec973781170ba2155fcc25e53463af5ab05bbe9c570097b9,PRESERVE_UNCHANGED,PASS
ex_28347c1f,버드독,ex_28347c1f,3,3,0,0,f73fc93b90937a2bcc56cf4e71bae4a963148020b782da14f154e8b6d6228184,PRESERVE_UNCHANGED,PASS
ex_284ecca6,슈퍼맨,ex_284ecca6,6,5,1,0,2344c46f878094ce63d43c87bf7602836221ae6f3679c49821c0dd90359343c9,PRESERVE_UNCHANGED,PASS
ex_28902b13,푸시업,ex_28902b13,4,4,0,0,6cd427b21d58a0f3fecf083f77de8ade9559544b443a57ca59da4305f167e1b2,PRESERVE_UNCHANGED,PASS
ex_2892da5a,해머 컬,ex_2892da5a,3,2,1,0,9a919f34de8638000e6722e308edeca5d133db980a40d9093fe101b3ae88edff,PRESERVE_UNCHANGED,PASS
ex_2a826c82,할로우 바디 홀드,ex_2a826c82,1,1,0,0,5e412d22060273864e54fc5fcf420f83739e287d1492c51e5611500ab6475c8b,PRESERVE_UNCHANGED,PASS
ex_2f3b56d0,테니스,ex_2f3b56d0,5,5,0,0,e6ce6841f01c2e455127879221a2960a980960a1eed10bdac7a5893bebe96caf,PRESERVE_UNCHANGED,PASS
ex_30a0e9aa,원암 덤벨 로우,ex_30a0e9aa,4,4,0,0,28dc92578aa48e6fefc8f844c39ff92f01d122b1770efcbc0664adc3e703616c,PRESERVE_UNCHANGED,PASS
ex_314df428,원레그 홉 투 스틱,ex_314df428,4,3,1,0,0e2f927ed2b3805d1f8171f8c43922e87d25dd66f842d42f88fda7a7f688d9f7,PRESERVE_UNCHANGED,PASS
ex_32219f7a,오버헤드 프레스,ex_32219f7a,3,3,0,0,75a21fc80387474396c38416aada9b6f09adf53cff63046cf9f0c246066d99bb,PRESERVE_UNCHANGED,PASS
ex_32eb8457,원암 랫풀다운,ex_32eb8457,3,3,0,0,52f84ee6f13d5a1826472b277faef5ecd6bc40b54a1322031993bc2a018c7369,PRESERVE_UNCHANGED,PASS
ex_33841b88,6코너 풋워크,ex_33841b88,1,1,0,0,b3ca8ba381d94cde4249cec0d0946df8a4e687dacfdb447e459cf32045f8ceeb,PRESERVE_UNCHANGED,PASS
ex_33d2da8e,원암 머신 로우,ex_33d2da8e,4,3,1,0,29ca3f02a2aefc6dfdd597896702a908720bc21097ab0764012a5b12ef76a1c6,PRESERVE_UNCHANGED,PASS
ex_34e7d21,래터럴 바운드 투 스틱,ex_34e7d21,4,3,1,0,254f13e5ce5b3daddc5b164f5d213d666b5edd269c623453f384d82a35ce9e82,PRESERVE_UNCHANGED,PASS
ex_377448a9,스플릿 스텝 후 좌우 런지,ex_377448a9,1,1,0,0,d72cefc1b76050f99e604263cd40a49cc6375f17c29e188222338c35f27c37bd,PRESERVE_UNCHANGED,PASS
ex_389920ab,글루트 브릿지,ex_389920ab,4,4,0,0,ccdaea1b003d2721910c9811bd5cecbaa936f4f3d1ce0820c8a9f105adf00039,PRESERVE_UNCHANGED,PASS
ex_389e0556,원암 덤벨 벤치프레스,ex_389e0556,4,4,0,0,d002c01a1954a3f304b815389a4ef03dd0dbecd437c0ad18a92f513cf9151e75,PRESERVE_UNCHANGED,PASS
ex_3a7d3eda,덤벨 벤치프레스,ex_3a7d3eda,4,3,1,0,06d62b2378b57f178a6af886ec6d57b84f07e839ab7dfc689042f2326bcc0c79,PRESERVE_UNCHANGED,PASS
ex_3c3692aa,케이블 원암 로우,ex_3c3692aa,4,4,0,0,14b18d72a77a5ac0a5f824cda32ae78dc3b3ae5a1c58102367534cdfdcfddd8a,PRESERVE_UNCHANGED,PASS
ex_3caa236b,파이크 푸시업,ex_3caa236b,5,5,0,0,7ab4929121e40044bc9e79e5972491176034d5206a207c4e8a5215fd02e04225,PRESERVE_UNCHANGED,PASS
ex_3d5719de,원암 케이블 컬,ex_3d5719de,3,3,0,0,5f072f4b121f5eee99ab9eb150effc0d582853d833c96aa1f8f41d8643895c2d,PRESERVE_UNCHANGED,PASS
ex_3f184ef9,버피,ex_3f184ef9,1,1,0,0,536fc295ba1a1c4931856a7841ff483588bd9c453a78ab2722f90a475dc5a597,PRESERVE_UNCHANGED,PASS
ex_40fa57be,원암 케이블 하이 로우,ex_40fa57be,3,3,0,0,35ae4e818f3b80ff22668c2940d6c07bbac54583207dd72c949d899a65b9d586,PRESERVE_UNCHANGED,PASS
ex_421ba24b,좌우 랜덤 콕줍기,ex_421ba24b,1,1,0,0,1df25cdeae03ff48b4a48a629b9f1981a50b1d342602775c3b651baf6eaec1f2,PRESERVE_UNCHANGED,PASS
ex_4255e429,앞뒤 랜덤 콕줍기,ex_4255e429,1,1,0,0,3c7a95c84badd25811b0ce42cc17b22e67329b0fe734f2e0202d09ca087626f9,PRESERVE_UNCHANGED,PASS
ex_442617f6,원암 케이블 플라이,ex_442617f6,4,4,0,0,56a854899828b2f768308c396f38e405be06e9a977a3f01bde37e9730dd37d81,PRESERVE_UNCHANGED,PASS
ex_462c760e,체스트 서포티드 원암 머신 로우,ex_462c760e,3,1,2,0,079b124fd87a4d0f63859a5d07a689158520a9fd995eea50b1621d8708d72a15,PRESERVE_UNCHANGED,PASS
ex_4773b6ea,린단 참고 트랙 스프린트,ex_4773b6ea,1,1,0,0,98d5a5e26d11c9a9a4d9152cb02ccf233f5e0ec3067c5488f06479cfcfb82a70,PRESERVE_UNCHANGED,PASS
ex_4aa3725a,머신 숄더프레스,ex_4aa3725a,4,4,0,0,0978fd8408f1bf817b62871f7e6e547fdf1c2826a8fdead0f6e344214dd65e0f,PRESERVE_UNCHANGED,PASS
ex_4c76dbb2,케이블 풀스루,ex_4c76dbb2,4,4,0,0,f7868289e45ecd4ea2a83b6099fcdb9fbe8e538d42e7769968bb68362a24b1dc,PRESERVE_UNCHANGED,PASS
ex_4c779df2,케이블 플라이,ex_4c779df2,3,3,0,0,c0c8503988c16ee528afadca7243d8b45e3d810a461e3ed10433e7a006eba24f,PRESERVE_UNCHANGED,PASS
ex_5004ca76,린단 참고 페이스 체인지 풋워크,ex_5004ca76,1,1,0,0,12ad2e9eb48b7e91f65db27a252a01f27e7fcf400b8092ac743e5ca04f82b677,PRESERVE_UNCHANGED,PASS
ex_5322f2d1,원암 케이블 트라이셉스 푸시다운,ex_5322f2d1,3,1,2,0,f5af23fb111ddb2b0ed8906eed3878282917930111d5df5b429d6d959b13ce42,PRESERVE_UNCHANGED,PASS
ex_5c8751d2,시티드 카프 레이즈,ex_5c8751d2,2,1,1,0,86d11023ce72126cd1bf3f5ff29308d7996749577ec3913cb14062f7e79e6a1d,PRESERVE_UNCHANGED,PASS
ex_5ca7133f,원레그 카프 레이즈,ex_5ca7133f,2,1,1,0,d2ccd18f786c16aa932da4b74778528f9e55d25edb61ae5f2908466297d7cb7b,PRESERVE_UNCHANGED,PASS
ex_6232f4bc,박스 스텝업,ex_6232f4bc,2,2,0,0,25f1b4a258ff001c17d75ec8b9235a3599af28d962690b7079008083dbc6781d,PRESERVE_UNCHANGED,PASS
ex_64422511,랜덤 방향전환 드릴,ex_64422511,1,1,0,0,e31364eac09c984cb320746d58df96efe50864f78514aa25985e0edad25a98a6,PRESERVE_UNCHANGED,PASS
ex_644e0f9d,V업,ex_644e0f9d,1,1,0,0,552d066f9f948025e012e8d30f580652757195707dc67d81442ea4471f0905d7,PRESERVE_UNCHANGED,PASS
ex_6463edad,딥스,ex_6463edad,4,4,0,0,e6d61daf929613c5b2eeb8d760e7b841e862296f33ee35e689f92075b756b4b7,PRESERVE_UNCHANGED,PASS
ex_64644b5e,런지,ex_64644b5e,4,4,0,0,4e4aad32e1b489441ea50926fa8072c0d61227d02a3e78ec0d28516a968e9079,PRESERVE_UNCHANGED,PASS
ex_64661229,월싯,ex_64661229,4,4,0,0,d7327a5aba7931350d989c060ff86e4fcdaa1d52492176ace5d8d763886e7b0b,PRESERVE_UNCHANGED,PASS
ex_6466fe77,친업,ex_6466fe77,5,5,0,0,0611dbbf61c93b17eaff9bdd9c90aa7ed59b6b0cc6a4a7bc09c1277481cea59c,PRESERVE_UNCHANGED,PASS
ex_681d9ed2,러닝,ex_681d9ed2,4,3,1,0,423236249d32d57be4b213909ad34a00d5bc2953c6d2c445d7a2fe1ed468b9ed,PRESERVE_UNCHANGED,PASS
ex_681eed4a,수영,ex_681eed4a,4,3,1,0,52e0e9f80f4ce31b4b5fc0b52d60305839cc52e4c168be5345adb8c1061e857e,PRESERVE_UNCHANGED,PASS
ex_69a56484,래터럴 스텝다운,ex_69a56484,2,1,1,0,29b80382722fbfc65a6656d87b83ae5d372c56f386f669f65c315d8108c165dd,PRESERVE_UNCHANGED,PASS
ex_6a966452,체스트 서포티드 원암 덤벨 로우,ex_6a966452,5,4,1,0,f363cecaeddf13b39734f1c461e620e85115b84c9b8cd4489cba311fe72b0882,PRESERVE_UNCHANGED,PASS
ex_704cbf1a,덤벨 스텝업,ex_704cbf1a,5,5,0,0,1015f98b8fc6a1dea5e3b6a640c5a0f82f2bf2c2c2ed0e1b82f9388ea1830eea,PRESERVE_UNCHANGED,PASS
ex_708e64ce,덤벨 풀오버,ex_708e64ce,4,4,0,0,982cf7077ccdc97f2a44ec15662c2f96f76342679baaa0bce2acb8c48d3d3273,PRESERVE_UNCHANGED,PASS
ex_70f19bf,리닝 래터럴 레이즈,ex_70f19bf,4,3,1,0,0694778482311058de48bdc63bf1fb8424f387bb598ee106853b0d3ab14a037a,PRESERVE_UNCHANGED,PASS
ex_721f7b5b,힙 쓰러스트,ex_721f7b5b,3,3,0,0,1f1f16d9c2da79ed0b644d5ec5e6714116bee08760c6490847bba009487dd16f,PRESERVE_UNCHANGED,PASS
ex_728da646,힙 어브덕션,ex_728da646,2,1,1,0,ed115d1aa76977975dbedc0b225a523e0c66c1544517b76b741f552acc0d71d2,PRESERVE_UNCHANGED,PASS
ex_72f11dc5,덤벨 리스트 익스텐션,ex_72f11dc5,3,2,1,0,4a5f952ae4c355f6eec08a519cca4ebea5d4c463284be46df525bce8736fc428,PRESERVE_UNCHANGED,PASS
ex_73b0b63f,아처 푸시업,ex_73b0b63f,4,4,0,0,d36ea16eeff2bf5c6fb57d56926c51733207746e031a5d7ce6509b735d71dde5,PRESERVE_UNCHANGED,PASS
ex_7404067c,케틀벨 스윙,ex_7404067c,1,1,0,0,9358accc30237cf3212f51b92cab4be0065a2c0c5fb0f38ff05860f122403e9b,PRESERVE_UNCHANGED,PASS
ex_74c2d13b,계단 오르기,ex_74c2d13b,4,3,1,0,d14e1b9fa776e872e8d5b88a791f5abf03b46690a459bc0cd7b73810a4219f91,PRESERVE_UNCHANGED,PASS
ex_752b45ae,멀티셔틀 풋워크,ex_752b45ae,1,1,0,0,cb6d75ef9d5575dc625b16033959597f8529c656ab48579e48a2604b0b983b87,PRESERVE_UNCHANGED,PASS
ex_767e188e,아놀드 프레스,ex_767e188e,4,3,1,0,ce691075f62ed07f4dc6f3b4f9baede91230251f65419f560a7aa616351cc016,PRESERVE_UNCHANGED,PASS
ex_7814843a,원암 덤벨 숄더프레스,ex_7814843a,3,3,0,0,3890410aabad99b15feb005b57e39b3ddc893eae49e20fafb3d98a65495a2561,PRESERVE_UNCHANGED,PASS
ex_79f3bdbe,덤벨 숄더프레스,ex_79f3bdbe,3,3,0,0,d36981d1738d7ceebf7efd0be4edcde78d4d70cc402d62bfc5bd404022ec047b,PRESERVE_UNCHANGED,PASS
ex_7ce96a7a,프론트풋 엘리베이티드 스플릿 스쿼트,ex_7ce96a7a,5,5,0,0,bfb224076348ea97f4fcc21aae679c81a19169d345dc9151649008250be6a7b9,PRESERVE_UNCHANGED,PASS
ex_7deabeba,리어델트 케이블 플라이,ex_7deabeba,4,3,1,0,1c0f4cc2fa22716437e4a1c5b82ef2fc8dd4cfbea7712cdc2cfe17e59a3168a4,PRESERVE_UNCHANGED,PASS
ex_85b2ac56,원암 덤벨 컬,ex_85b2ac56,3,3,0,0,cbab7d5b0c9f8ac59c4f438a8540d9a199ac95ef06b8c84760d91adfc80c8148,PRESERVE_UNCHANGED,PASS
ex_85f12271,원레그 박스 스쿼트,ex_85f12271,1,1,0,0,428f433b88894482ea4dc1d9c0c8dcfe9a0c372b9e28fbf16622bd210499997b,PRESERVE_UNCHANGED,PASS
ex_86323ed6,원암 해머 컬,ex_86323ed6,3,2,1,0,fb5b578c5eb2bb2a73022ae28f2db155720cc8bd60093e4e12e21a9e9e72fe76,PRESERVE_UNCHANGED,PASS
ex_8633d8db,EZ바 컬,ex_8633d8db,3,2,1,0,d3d5c8538f3508c778a26aec01387135286e8d66b061cb9af9c73a3500671b5d,PRESERVE_UNCHANGED,PASS
ex_8824026f,원레그 레그 컬,ex_8824026f,3,2,1,0,617c82c692db8e76ceabe177aafc0468524b4c383786e64f3b7c3ad30febc42c,PRESERVE_UNCHANGED,PASS
ex_8a3800f1,리버스 노르딕 컬,ex_8a3800f1,2,2,0,0,dd52fc4bf97a26f82486636c0328ffe1b65b6d036f0b91959d83246fcc6eb73e,PRESERVE_UNCHANGED,PASS
ex_8e4bf08e,Yates Row,ex_8e4bf08e,4,3,1,0,073bd292a694ab3663e1537f41d1a9f50b8d789da9655adb67bfa89e565a7e21,PRESERVE_UNCHANGED,PASS
ex_8e69fc74,스플릿 스텝 리액션,ex_8e69fc74,1,1,0,0,525332bee3a9354cbc03d13e90095f1b3bb9c31f571ba1cc82bf8f87e2d569c9,PRESERVE_UNCHANGED,PASS
ex_91b749b3,플랫 덤벨 플라이,ex_91b749b3,3,2,1,0,2892731cddda1ace55123e7ba17e96c81463a3eb36de4fa810bd5bd943fee9ea,PRESERVE_UNCHANGED,PASS
ex_91d8430b,30초 반복 스매시 테스트,ex_91d8430b,1,1,0,0,5e22c47a9a9d47842272bae9d1656d94be74fe54baee33ebc027a81a6174e401,PRESERVE_UNCHANGED,PASS
ex_91f6958d,터키시 겟업,ex_91f6958d,2,2,0,0,29f976f0bdbd9d6e973a84ed458cb3d636f349e9f123437fe2082f1285ef6518,PRESERVE_UNCHANGED,PASS
ex_93538692,덤벨 래터럴 레이즈,ex_93538692,4,3,1,0,4a28acd487f75a672bf5b724e830adb5f58ac160028223bb881650776c094c2d,PRESERVE_UNCHANGED,PASS
ex_95028bfe,덤벨 리스트 컬,ex_95028bfe,2,1,1,0,ce31508e56892f55852d5565d28d55c2cbe63125708eeb5bdc7fea3b6293c70d,PRESERVE_UNCHANGED,PASS
ex_9b132c23,사이드 스텝 후 정지,ex_9b132c23,1,1,0,0,6952e5eacf381fb771cb3cbe242d3a27b4d44352f6ddd893213f3e9dc7b8cd8c,PRESERVE_UNCHANGED,PASS
ex_9bd6dddb,줄넘기,ex_9bd6dddb,4,3,1,0,5be7987f63fffd34744dd33dc0f42a533025e522dc3b82223c2d699b85e05205,PRESERVE_UNCHANGED,PASS
ex_9f283612,원암 인클라인 덤벨 프레스,ex_9f283612,4,4,0,0,5df5bdbcea4875e4535dd78fa5d37c18238aee5e761c3ae1c8fc213edfc5d0c5,PRESERVE_UNCHANGED,PASS
ex_a091b9fe,원레그 레그 프레스,ex_a091b9fe,4,3,1,0,57c5a73d48c8de6a60383e5514b9205521afd623f1039f8d0c003e6c06a10d37,PRESERVE_UNCHANGED,PASS
ex_a12de111,A스킵,ex_a12de111,2,1,1,0,031d584b188fcb1719d0879ff5162c40d0bf7b0309e3a97d36a143a20c470619,PRESERVE_UNCHANGED,PASS
ex_a12de4d2,B스킵,ex_a12de4d2,2,1,1,0,307da6cd7a9ea5112d57a72927e4830f501151bbc517bf6c4c15dcb822b9497c,PRESERVE_UNCHANGED,PASS
ex_a345e30b,캡틴체어 레그 레이즈,ex_a345e30b,2,2,0,0,caac99029cd0f093b521c049ace67e83d05f600612ba2001b2a2e734020034c3,PRESERVE_UNCHANGED,PASS
ex_a3ddd8ac,라인 홉,ex_a3ddd8ac,2,1,1,0,f20fa31c2b3854d83f92aa13c9d14b188f6b296f25e0702a7fd5b23e931f822a,PRESERVE_UNCHANGED,PASS
ex_a4040be3,셔틀런,ex_a4040be3,1,1,0,0,ccd56d5347f17794698776e1182d026e549b93c32fb1687abb8e9b4d85d7d549,PRESERVE_UNCHANGED,PASS
ex_a412dd45,앙클링,ex_a412dd45,2,1,1,0,131fd1c54780015a1e99a420c0f045a0224f23d645506a98d34a51aa8806bb05,PRESERVE_UNCHANGED,PASS
ex_a4350c0f,콘 드릴,ex_a4350c0f,1,1,0,0,971a8fb97e751bc5323dda7efbd33e053ef47df0dbb5d3f19fc46d18cdfdb0b0,PRESERVE_UNCHANGED,PASS
ex_a44ae2ca,플랭크,ex_a44ae2ca,1,1,0,0,5b6fc0a5061233a08fee5e0f068a7e9f4035742ad1d19aa19ccca3592fdb427e,PRESERVE_UNCHANGED,PASS
ex_a60496be,원암 리어델트 케이블 플라이,ex_a60496be,4,3,1,0,bfa3225802dfa3f09a6026eef04a3ea19c300a4bf13edcac71ce5ff8fe45cc1b,PRESERVE_UNCHANGED,PASS
ex_a611010d,코사크 스쿼트,ex_a611010d,2,1,1,0,bac65bc7440862df394e9b1bbfb1d596cf7bcad06497a36091cf5032bbd71b60,PRESERVE_UNCHANGED,PASS
ex_a61f1e96,인클라인 덤벨 프레스,ex_a61f1e96,4,3,1,0,d9b5254787d41fc1d0e909d101a7582e28456c8ad1928b9f9b51356b8af5b395,PRESERVE_UNCHANGED,PASS
ex_a61f307a,인클라인 덤벨 플라이,ex_a61f307a,3,2,1,0,a012a0d509b2b1f2c5fd8642ca5a0f7fd2fe31ba9f25c193e61005fe7822b67f,PRESERVE_UNCHANGED,PASS
ex_a76f20b6,시티드 원암 케이블 로우,ex_a76f20b6,4,3,1,0,d9c8b02fb20805b7e1e7077b7fa0831813a73cac51c8cfc854e62d9271e1cef7,PRESERVE_UNCHANGED,PASS
ex_a8385c4a,코펜하겐 플랭크,ex_a8385c4a,4,4,0,0,a2ffbdde01e7c9f3f9a34962adb62b97b3c7b4d9cc34fffe5b3c92589299e403,PRESERVE_UNCHANGED,PASS
ex_a9b52886,마운틴 클라이머,ex_a9b52886,2,2,0,0,65145b0e6c0d73e7d8ba8550179d40fc599bef87dd74902f0ecf73f926d4897d,PRESERVE_UNCHANGED,PASS
ex_ab468462,레그 프레스,ex_ab468462,4,3,1,0,881bbd5b8fb888653d765a33134fbcadbdf99a05c0064552e2c9c1f0d11494a3,PRESERVE_UNCHANGED,PASS
ex_ab918e2b,실내 자전거,ex_ab918e2b,4,3,1,0,6542bcac215ee92451b84e964bb67a5fc44d4bc6f10f7c9ed5b644cec2b7f048,PRESERVE_UNCHANGED,PASS
ex_aca9d312,러닝 풋살,ex_aca9d312,5,5,0,0,569eb94af593e855b04cfd5a7b88651e0b9e42c68f5d157750cc385f746f368e,PRESERVE_UNCHANGED,PASS
ex_ae9ecdbc,배드민턴,ex_ae9ecdbc,5,5,0,0,32b9e42ec249cf917312a51a4d1a4cce8a2acf3545e49620eec732cd0857699b,PRESERVE_UNCHANGED,PASS
ex_b076570e,원암 케이블 래터럴 레이즈,ex_b076570e,4,3,1,0,7e288935617ac02f8d38ab5e6a80085534a0096939a7f71a68b4fb5f9ff96928,PRESERVE_UNCHANGED,PASS
