korean,english,provenance,sourcePath
배드민턴 계획 의도가 미해결이어서 배드민턴 드릴을 새로 추가하지 않았습니다.,Badminton planning intent is unresolved so no new badminton drills were added.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
확인되지 않은 새 운동의 시작 중량은 RPE 기반으로 결정하며 기계 중량을 프리웨이트 중량으로 변환하지 않습니다.,Starting loads for untested exercises are determined by RPE and machine loads are not converted to free-weight loads.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedDecisionComponents.kt
25초 × 3세트 · RPE 5–6.5,25 sec × 3 sets · RPE 5–6.5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedProgramBuilder.kt
8–12회 × 3세트 · RPE 6–8 (첫 세션에서 중량 확인),8–12 reps × 3 sets · RPE 6–8 (find load in first session),CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedProgramBuilder.kt
일반 배드민턴 세션은 프로그램 항목으로 생성할 수 없습니다.,Generic badminton sessions cannot be generated as program items.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/personalized/PersonalizedProgramBuilder.kt
근비대 중심,Hypertrophy dominant,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
근력 중심,Strength dominant,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
근력·근비대 혼합,Mixed strength and hypertrophy,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
종합 혼합,General mixed,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
탑세트 근비대,Top-set hypertrophy,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
탑세트·백오프,Top set and backoff,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
동일중량 5×5,Straight 5×5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
동일중량 근력 세트,Straight strength sets,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
Madcow형 H/L/M 램핑,Madcow-like H/L/M ramping,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
주간 파동형,Daily undulating,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
기록 기반 계획 요약,Record-based plan summary,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
기록 기반 계획 확인,Review record-based plan,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
기록 기반 알고리듬 프로그램 다시 만들기,Regenerate record-based algorithmic program,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
기록 기반 알고리듬 프로그램 만들기,Create record-based algorithmic program,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
완료 기록과 canonical 메타데이터를 확인하는 중입니다.,Checking completed records and canonical metadata.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/TrainingViewModel.kt
적응 상태와 보완 대상을 분석하는 중입니다.,Analyzing adaptation state and coverage targets.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/TrainingViewModel.kt
기록 기반 계획 생성 시간이 초과되었습니다.,Record-based plan generation timed out.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/TrainingViewModel.kt
기록 기반 계획 생성에 실패했습니다.,Record-based plan generation failed.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/TrainingViewModel.kt
자세히 알아보기,Learn more,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/DocumentationLinks.kt
전체 문서 보기,View all documentation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/DocumentationLinks.kt
닫기,Close,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
RPE 대비 운동량,Training volume relative to RPE,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
하체,Lower body,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/MuscleBucketSelection.kt
선택됨,Selected,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/MuscleBucketSelection.kt
시간,Duration,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
런지,Lunge,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt
벤치프레스,Bench Press,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceModels.kt
데드리프트,Barbell Deadlift,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/proxyperformance/ProxyPerformanceModels.kt
없음,None,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
상승,Upward,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/PerformanceTrendSentenceBuilder.kt
현재 근력 분석을 재계산하지 못했습니다.,Current strength analysis could not be recalculated.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
"보존된 운동 기록으로 근력 분석을 처음부터 다시 계산하고 있습니다.
시간이 걸려도 화면을 닫지 않아도 됩니다.","Recalculating strength analysis from the beginning using your preserved workout records.
You can leave this screen open while it runs.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
운동량,Training volume,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisStrengthTrendSections.kt
오류 유형: ,Error type: ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/PerformanceTrendSummaryService.kt
취소,Cancel,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeDailyCheckInCard.kt
"현재 상태
","Current status
",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeScreen.kt
현재 상태: ,Current status: ,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeScreen.kt
무거운 데드리프트,Heavy deadlift,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
) { it.label }} 자극이 부족합니다.,) { it.label }} Lack of stimulation.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
)} 부담이 함께 누적된 영향일 가능성이 큽니다.,)} It is most likely a cumulative effect of the burden.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
)} 부하에 많이 기여한 기록입니다.,)} This is a record that contributed a lot to the load.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
0~24 사이의 숫자를 입력하세요.,Please enter a number between 0 and 24.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeDailyCheckInCard.kt
0보다 큰 숫자를 입력하세요.,Please enter a number greater than 0.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeDailyCheckInCard.kt
0초,0 seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
1. 기본 운동 정보,1. Basic exercise information,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
12주,12 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisModels.kt
1~2주,1-2 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
1~4주 뒤 표준화 반응,Standardized response 1 to 4 weeks later,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
"1~5회는 저반복/고강도, 6~9회는 중반복/중강도, 10회 이상은 고반복/볼륨으로 분류합니다.","1 to 5 reps are classified as low reps/high intensity, 6 to 9 reps are medium reps/moderate intensity, and 10 or more reps are classified as high reps/volume.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisStrengthTrendSections.kt
1주 미만,less than 1 week,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
2-3세트 x 3-5회 · 보수적 중량 · RPE 6.5-7.5,2-3 sets x 3-5 reps · Conservative weight · RPE 6.5-7.5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
2-3세트 x 8-12회 · RPE 6.5-7.5,2-3 sets x 8-12 reps · RPE 6.5-7.5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
2. 프로그램/분석,2. Program/Analysis,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
28주,28 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisModels.kt
2세트 x 3-8회 · RPE 6-7.5 · 디로딩,2 sets x 3-8 reps · RPE 6-7.5 · Deloading,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
2주,2 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisModels.kt
3-4세트 x 12-20회 · RPE 6-7.5,3-4 sets x 12-20 reps · RPE 6-7.5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3-4세트 x 8-15회,3-4 sets x 8-15 reps,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3. 동작 분류,3. Movement classification,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
3~4주,3-4 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
3라운드 x 10-20초,3 rounds x 10-20 seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 3-5회 · RPE 7.5-8.5,3 sets x 3-5 reps · RPE 7.5-8.5,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 5회/side,3 sets x 5 reps/side,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 8-12회,3 sets x 8-12 reps,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 8-12회 · RPE 6.5-8,3 sets x 8-12 reps · RPE 6.5-8,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 8-12회 · 보수적 중량 · RPE 6.5-8,3 sets x 8-12 reps · Conservative weight · RPE 6.5-8,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
3세트 x 8-15회,3 sets x 8-15 reps,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramIntensityResolver.kt
4. 스트레스/피로,4. Stress/fatigue,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
45분 세션에 맞게 운동 수를 조정했습니다.,The number of exercises was adjusted to fit a 45-minute session.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt
4주,4 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisModels.kt
5. 배드민턴 전이,5. Badminton transfer,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
5~8주,5-8 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
6. 근거/상태,6. Basis/Status,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
6방향 랜덤 콕줍기,6-way random pick,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt
7. 고급 런타임 필드,7. Advanced runtime fields,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
"80% 구간은 잔차분산을 반영한 탐색적 근사 구간입니다. 값은 표준화된 변화량 기준이며, 표본이 적으면 방향만 참고하세요.","The 80% interval is an exploratory approximation interval that reflects the residual variance. Values ​​are based on standardized change, and if the sample is small, refer only to the direction.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
80% 추정 범위,80% estimated range,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
8주,8 weeks,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisModels.kt
8주 미만 기록은 관계 판단에 사용하지 않습니다.,Records less than 8 weeks old will not be used to determine relationships.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
8주 이상,8 weeks or more,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/InitialProfileDialog.kt
90분 이상 코트 시간 뒤 반응을 봅니다,See reactions after 90+ minutes of court time,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/CourtDurationRecoveryAnalyzer.kt
Bayesian 시계열 분석,Bayesian time series analysis,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
Bayesian 시계열 분석 결과,Bayesian time series analysis results,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
CSV 복원,CSV Restore,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt
D_raw 공식,D_raw formula,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt
DailyMetric 수면/체중은 삭제하지 않습니다.,DailyMetric does not delete sleep/weight.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
EZ바 리버스 컬,EZ bar reverse curl,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramRuleTables.kt
I 규칙,I rule,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt
I 우선순위,I Priority,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt
M0 · 직전값 기준,M0 · Based on previous value,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
M1 · 직접 기록,M1 · Direct recording,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
M2 · 공유 요인,M2 Shared Factor,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
M3 · 공유+종목 요인,M3 · Share + Stock Factor,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
P 역할,P role,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/tissue/TissueRcvAssetRepository.kt
RED 피로 상태에서는 hard day가 0이어야 합니다.,"In RED fatigue state, hard day should be 0.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
RIR 정책 ${summary.rirPolicyVersion ?:,RIR Policy ${summary.rirPolicyVersion ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
RPE 미입력 하한 관측,RPE not entered lower limit observation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
RPE 상승,RPE elevation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
RPE 설정,RPE settings,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
RPE 없음,No RPE,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
RPE 확률 관측,RPE probability observation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
RPE/세트 여유 조절,RPE/set clearance adjustment,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/PhaseAwareTodayStatus.kt
X 변수,X variable,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
X축,X-AXIS,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
X축과 Y축은 서로 다른 지표를 선택하세요.,Select different indicators for the X-axis and Y-axis.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/ScatterRelationshipAnalyzer.kt
Y 변수,Y variable,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
Y축,Y axis,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
[가-힣],[Ga-hi],CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
canonical OFI 기준으로 집계한 피로 흐름입니다.,Fatigue flow aggregated based on canonical OFI.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisDetailScreens.kt
credible interval은 posterior 불확실성을 반영하며 인과관계를 확정하지 않습니다.,Credible intervals reflect posterior uncertainty and do not confirm causal relationships.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
csv 복원 운동,csv restoration exercise,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt
e1RM 하락,e1RM drop,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
kg 설정,kg setting,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordBulkEditDialog.kt
kg 수정,kg fix,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordSetRow.kt
} · 매칭 ${selected.curveMatchLevel ?:,} · Matching ${selected.curveMatchLevel ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
} · 보정 ${point.curveCalibrationStatus ?:,} · Calibration ${point.curveCalibrationStatus ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
} · 상태 ${summary.activeRevisionStatus ?:,} · Status ${summary.activeRevisionStatus ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
} · 스키마 ${summary.factorSchemaVersion ?:,} · Schema ${summary.factorSchemaVersion ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
} · 최근 처리 ${selected.lastProcessedSessionDate ?:,} · Last Processed ${selected.lastProcessedSessionDate ?:,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
가벼운 상체,light upper body,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/TodayReadinessSentenceBuilder.kt
가속/첫 스텝,Acceleration/First Step,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/BadmintonTrainingMethodLabels.kt
가장 높은 국소 부위의 주간 부담,Weekly burden of highest local area,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
각 주마다 어떤 배드민턴 전이 목적의 자극이 많았는지 보여줍니다. 운동 하나가 여러 전이 목적에 동시에 해당할 수 있어 자극량은 중복 반영됩니다. 월별이 아니라 주별 집계입니다.,"It shows which badminton transfer purpose stimuli were most prevalent in each state. One exercise can serve multiple transfer purposes simultaneously, so the amount of stimulation is reflected redundantly. This is a weekly tally, not monthly.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisDetailScreens.kt
간단히,simply,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/ui/FatigueAnalysisSection.kt
"강도, 수행량, 효율을 합친 주간 근력 지수","Weekly strength index combining intensity, performance, and efficiency",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
강도나 반복 부위를 조절하세요.,Adjust the intensity or repetition area.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueMath.kt
강한 nRM 관측,Strong nRM observation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
같은 기간의 두 지표가 함께 움직이는지 봅니다.,See if two indicators over the same period move together.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisScreen.kt
같은 날 운동 후 예상치입니다. 회복 미완료 여부는 다음 날 컨디션과 피로 흐름으로 다시 확인하세요.,This is the estimate after exercising on the same day. Check your condition and fatigue the next day to determine if recovery is incomplete.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/PhaseAwareTodayStatus.kt
같은 주에 함께 움직이는 패턴을 탐색한 결과입니다.,This is the result of exploring patterns that move together during the same week.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/ScatterRelationshipAnalyzer.kt
같은 중량 반복수가 줄었습니다.,The number of repetitions of the same weight was reduced.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/PerformanceDropDetector.kt
같은 중량에서 체감 강도가 높아졌습니다.,The perceived strength has increased at the same weight.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/PerformanceDropDetector.kt
개인 기준선은 최근 기록으로 재계산됩니다.,Your personal baseline will be recalculated using your most recent records.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
개인화 기준선,Personalization Baseline,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
"객관적 운동 부하는 평소 수준이지만, 오늘 전신 피로 입력이 높아 회복 상태를 주의로 봅니다.","The objective exercise load is at the usual level, but today's overall fatigue input is high, so recovery status is viewed with caution.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/CoachCheckInInterpreter.kt
건 스트레스,gun stress,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/localization/GeneratedLocalizationCatalogue.kt
검색,search,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisDetailScreens.kt
검색 결과가 없습니다.,No search results.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/ui/FatigueSourceMultiSelect.kt
