koreanTemplate,englishTemplate,provenance,sourcePath
"${} 완료: profile ${}, daily ${}, check-in ${}, ","%1$s complete: profile %2$s, daily %3$s, check-in %4$s, ",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt
${} ${} 끝 날짜 선택,%1$s %2$s Select end date,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${} ${} 대상 날짜 선택,%1$s %2$s Select target date,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${} ${}세트 준비,%1$s %2$s set ready,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordEntryCard.kt
${} 28일,%1$s 28th,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferChartDataBuilder.kt
${} 7일,%1$s 7 days,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferChartDataBuilder.kt
${} 80% 범위,%1$s 80% range,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${} anchor가 최소 2주 연속 노출되지 않아 진행성 추적이 어렵습니다.,"The %1$s anchor has not been exposed for at least two consecutive weeks, making it difficult to track progress.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${} movement family가 ${}개로 제한적입니다.,%1$s movement family is limited to %2$s.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${} strength progression group가 ${}개로 제한적입니다.,%1$s strength progression group is limited to %2$s.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${} · 신뢰도 ${},%1$s · Reliability %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
${} 고강도,%1$s High Strength,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
${} 고강도 운동,%1$s High-intensity exercise,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/PainGateEvaluator.kt
"${} 관련 피로가 많이 누적되었고, ${} 전이축도 주의 수준입니다.","A lot of fatigue related to %1$s has accumulated, and the %2$s transition axis is also at a caution level.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/CoachAnalysisInsightBuilder.kt
"${} 관련 피로가 많이 누적되었으며, ${} 자극은 부족합니다.","%1$s-related fatigue has accumulated a lot, and %2$s stimulation is lacking.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/CoachAnalysisInsightBuilder.kt
${} 기록 프로그램,%1$s recording program,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramPlanService.kt
${} 남음 · ${},%1$s remaining · %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RestTimerNotifier.kt
${} 다음 세트를 준비하세요.,%1$s Get ready for the next set.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RestTimerNotifier.kt
${} 배드민턴 전이 중복군이 ${}개뿐입니다.,There are only %2$s overlapping groups of %1$s badminton transitions.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${} 부담을 먼저 확인하세요.,%1$s Check the burden first.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
${} 부담이 약간 높습니다.,%1$s The burden is slightly high.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/TodayReadinessSentenceBuilder.kt
${} 부담이 평소보다 높습니다.,%1$s The burden is higher than usual.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/TodayReadinessSentenceBuilder.kt
${} 부터 프로그램으로 저장할 마지막 날짜 선택,Select the last date to be saved as a program starting from %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${} 비중과 관련 피로가 함께 높게 잡힙니다.,%1$s specific gravity and related fatigue are both set high.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/BadmintonTransferCoverageAnalyzer.kt
${} 사후분포 중앙값,%1$s median posterior distribution,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${} 실제와 추정,%1$s Actual and estimated,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
${} 예상 대비 수행,%1$s Performs against expectations,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
"${} 완료: profile ${}, daily ${}, check-in ${},","%1$s completed: profile %2$s, daily %3$s, check-in %4$s,",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/RecordCsvBackupRestore.kt
${} 외 ${}개,%1$s and %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/fatigue/ui/FatigueSourceMultiSelect.kt
${} 외 ${}개 선택됨,%1$s and %2$s selected,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisDetailScreens.kt
${} 적용,Apply %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
${} 주간 운동량 지수,%1$s Weekly Exercise Index,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
${} 주간 최근 3일 누적 운동량 지수,%1$s Weekly cumulative exercise index for the last 3 days,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
${} 주간 최근 7일 누적 운동량 지수,%1$s Weekly cumulative exercise index for the last 7 days,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/lab/AnalysisMetricRegistry.kt
${} 직접 세션 관측,%1$s Direct session observation,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${} 총부하,%1$s total load,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
${} 피로도가 높습니다. 스트레스를 줄이면 좋습니다.,%1$s Fatigue is high. It's good for reducing stress.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/TodayFatigueStatusLabeler.kt
${} 피로도가 높습니다. 주의하세요.,%1$s Fatigue is high. Be careful.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/TodayFatigueStatusLabeler.kt
"${}, ${}, ${}에서 ${}","%1$s, %2$s, %3$s to %4$s",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisChartUi.kt
${}-${}주,Week %1$s-%2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 ${} 누적 ${}가 높습니다.,%1$s-%2$s shares %3$s cumulative %4$s is high.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 견갑 안정성 노출의 과반이 저부하 rehab activation입니다.,%1$s-%2$s The majority of shoulder stability exposures are low-load rehab activation.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 관절/건/충격 누적 ${}가 관리 기준 ${}를 초과합니다.,%1$s-%2$s Primary joint/tendon/impact accumulation %3$s exceeds control criteria %4$s.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 미노출 패턴: ${},%1$s-%2$s Week Unexposed Pattern: %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 신경계 누적 ${}가 관리 기준 ${}를 초과합니다.,%1$s-%2$smain nervous system cumulative %3$s exceeds control criteria %4$s.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}-${}주 정상 세션의 rehab-like activation 비율이 15%를 초과합니다.,%1$s-%2$s The rehab-like activation rate for normal sessions exceeds 15%.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}~${} ${} 붙여넣을 시작 날짜 선택,%1$s~%2$s %3$s Select start date to paste,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${}년,Year %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}년 ${}월,Month %2$sYear %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${}년 ${}월 ${}일,%1$sYear %2$sMonth %3$sDay,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}단계,%1$sstep,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt
${}부터 삭제할 끝 날짜 선택,Select the end date for deletion starting from %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${}분,%1$s minutes,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
${}분 ${}초,%1$s minutes %2$s seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
${}분 이상 배드민턴 뒤 다음날 피로/불편감 입력이 높았던 기록이 있습니다. 같은 패턴을 단정하지 않고 다음날 강도를 보수적으로 봅니다.,There is a record of high levels of fatigue/discomfort the next day after playing badminton for more than %1$s minutes. We do not assume the same pattern and take a conservative look at the next day's intensity.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/CourtDurationRecoveryAnalyzer.kt
${}세트 · ${}${},%1$s set · %2$s%3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
${}세트 · ${}초,%1$s set · %2$s seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramPrescriptionPolicy.kt
${}시간 ${}분,%1$s hours %2$s minutes,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/SportDurationInput.kt
${}예정,%1$sscheduled,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
${}와 ${}는 같은 주에 함께 움직이는 경향을 보입니다. ${} ${},%1$s and %2$s tend to move together in the same week. %3$s %4$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/ScatterRelationshipAnalyzer.kt
${}월 ${}일,%1$s month %2$s day,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}월 ${}일 ${}요일,%1$sMonth %2$sDay %3$sDay,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}월 ${}주,%1$s Month %2$s Week,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/trends/AnalysisChartTemporalPolicy.kt
${}은 직접 스포츠 세션이므로 프로그램 운동으로 선택할 수 없습니다.,%1$s is a direct sports session and cannot be selected as a program exercise.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
"${}의 최근 RPE 평균 ${}, 이전 비슷한 세트 ${}입니다. 오늘은 같은 무게라도 체감 강도를 확인하며 조절합니다.","The recent RPE average of %1$s is %2$s, the previous similar set is %3$s. Today, even if the weight is the same, I check the perceived strength and adjust it.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/analysis/coach/RpeAutoregulationAnalyzer.kt
${}일/주,%1$sdays/week,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanProgramSections.kt
${}주,%1$s shares,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
${}주 ${} family 노출이 ${}회로 편중되었습니다.,Exposure to %1$s stock %2$s family was concentrated in %3$s circuit.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${} 중복군 노출이 ${}회입니다.,%1$s week %2$s overlapping group exposure is %3$s times.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${}:${} 프로그램,%1$s Week %2$s:%3$s Program,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt
${}주 ${}일 rehab-like activation이 메인 위치를 차지합니다.,Week %1$s day %2$s rehab-like activation occupies the main position.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${}일 strength/transfer 세션의 절반 이상이 rehab-like activation입니다.,More than half of strength/transfer sessions on %2$s week %1$s are rehab-like activations.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${}일 세션이 운동 7개를 초과합니다.,%1$s Day %2$s Sessions exceed 7 workouts.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${}일 예상 ${}분이,Week %1$s expected to be %2$s minute %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 ${}일 정상 세션에 rehab-like activation이 ${}개 포함되었습니다.,A normal session on %2$s days of week %1$s included %3$s rehab-like activations.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 hard day ${}일이 허용 상한 ${}일을 초과합니다.,Week %1$s hard day %2$s days exceed the upper allowable limit of %3$s days.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주 후,%1$s weeks later,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
"${}주 후: ${} (80% ${}~${}, n=${})","After week %1$s: %2$s (80% %3$s~%4$s, n=%5$s)",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
${}주의 hard day 3일은 HIGH/INTENSIFY와 후속 저부하 주 조건을 충족하지 않습니다.,Three hard days in week %1$s do not meet the HIGH/INTENSIFY and subsequent low load week conditions.,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilderValidation.kt
${}주차 ${},%1$sParking %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
${}초,%1$s seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/CommonUi.kt
${}회,%1$s times,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
${}회 · ${} km/h,%1$s times %2$s km/h,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordMetricsCards.kt
80% 범위 ${},80% range %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
80% 예상 범위 ${}~${},80% expected range %1$s~%2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
Cholesky 순서: ${},Cholesky order: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
RIR 정책 ${},RIR Policy %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
RPE 확률 관측 ${} · 강한 nRM ${} ·,RPE probability observation %1$s · strong nRM %2$s ·,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
grid 진단 ${} · 지원 범위 밖 반복 ${},grid diagnosis %1$s · repetition out of support range %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
local 운동 상태 ${} · 적용 proxy 전이 ${},local movement state %1$s · application proxy transition %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
target-specific proxy 위반 ${},target-specific proxy violation %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
· 휴식 ${}초,· Rest %1$s seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanGeneratedPreview.kt
계획 ${}세트,Plan %1$sset,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordEntryCard.kt
계획 피로도 참고: ${} · 볼륨 ${} · RPE 상한 ${}. RED 전에는 메인 운동을 줄이지 않고 계획합니다.,"Plan fatigue note: %1$s · Volume %2$s · RPE upper limit %3$s. Before RED, plan your main workout without reducing it.",CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt
계획피로조정:${},Planned fatigue adjustment:%1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramSelectionReasonFormatter.kt
곡선 ${} · 매칭 ${},Curve %1$s · Matching %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
곡선 ${} · 매칭 ${} · 보정 ${},Curve %1$s · Matching %2$s · Correction %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
곡선 경계 ${},Curve boundary %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
곡선 보정 ${} · 최근 처리 ${},Curve Correction %1$s · Recent Processing %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
공적분: ${} (legacy score=${}),Cointegration: %1$s (legacy score=%2$s),CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
관련 세션 ${} · 직접 1RM ${} ·,Related Sessions %1$s · Direct 1RM %2$s ·,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
관측 ${} · ${},Observation %1$s · %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
근거 ${} · 세트 ${} · 지문 ${},Grounds %1$s · Set %2$s · Fingerprint %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
기간: ${} ~ ${},Period: %1$s ~ %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
기간: ${} ~ ${} (${}일),Period: %1$s ~ %2$s (%3$s days),CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
기록 백업 실패: ${},Record backup failed: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/TrainingViewModel.kt
기본 휴식 ${}초,Base rest %1$s seconds,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordSetRow.kt
기존 계획: ${}개,Original plan: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
기존 세트 ${}개,Existing set %1$s pieces,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
기존 운동 ${}개,Existing exercises %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
기준: ${}세트 · ${}회 · ${}kg · RPE ${} · ${},Standard: %1$s set · %2$s times · %3$skg · RPE %4$s · %5$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordBulkEditDialog.kt
노력도 보정 수행치 ${},Effort correction performance %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
당시 체중 ${} · 당시 추가중량 ${} · 당시 총부하 ${},Weight at the time %1$s · Additional weight at the time %2$s · Total load at the time %3$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
대상 날짜 ${}일,Target date %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/RecordCalendarScreen.kt
대상 키 ${},Target key %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
동작:${},Operation:%1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/data/ProgramSelectionReasonFormatter.kt
모델 ${} · 곡선 ${},Model %1$s · Curve %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
모델 ${} · 지문 ${},Model %1$s · Fingerprint %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisProxyPerformanceUi.kt
모델 경계 ${},Model boundary %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
몸무게 ${}kg,Weight %1$skg,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/HomeDailyCheckInCard.kt
반응 Y: ${},Response Y: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
백업 복원 ${},Backup Restore %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
변환: ${},Convert: %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisLabUi.kt
보존되는 완료 세트: ${}세트,Complete set preserved: Set %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/PlanScreen.kt
부트스트랩 ${},Bootstrap %1$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
분산 배수 ${} · 개인 보정 ${},Dispersion multiplier %1$s · Personal correction %2$s,CODEX_GENERATED_ENGLISH,app/src/main/java/com/training/trackplanner/AnalysisPersistentStrengthPerformanceUi.kt
