"stableKey","exerciseName","currentActivityKind","currentPlanningEligibility","movementFamily","movementSubtype","programSlot","redundancyGroup","progressMetricType","strengthProgressionGroup","analysisEligibility","primaryStressProfile","secondaryStressTags","tendonStressTags","ligamentJointStabilityStressTags","jointImpactStressTags","cognitiveStressTags","sportContextTags","recoveryDecayProfile","stressMagnitudeHint","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","sourceConfidenceLevel","finalSourceStatus","neuromuscularStressLevel","systemicMuscularStressLevel","localMuscularStressLevel","jointTendonImpactStressLevel","movementFocusDemandLevel","recoveryDurationClass","appCueProfile"
"ex_3a7d3eda","덤벨 벤치프레스","EXERCISE","PROGRAM_SELECTABLE","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DUMBBELL_BENCH_PRESS","HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY","HORIZONTAL_PUSH_COMPOUND","LOAD_REPS","HORIZONTAL_PUSH_COMPOUND","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","HORIZONTAL_PUSH_STRESS","PECTORAL_LOAD|TRICEPS_LOAD|ANTERIOR_DELTOID_LOAD","PECTORAL_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_79f3bdbe","덤벨 숄더프레스","EXERCISE","PROGRAM_SELECTABLE","OVERHEAD_PRESS_VARIANTS","DUMBBELL_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","OVERHEAD_PRESS_SHOULDER_DOMINANT","LOAD_REPS","OVERHEAD_PRESS_SHOULDER_DOMINANT","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","OVERHEAD_PUSH_STRESS","DELTOID_LOAD|TRICEPS_LOAD|OVERHEAD_REPETITION_LOAD","ROTATOR_CUFF_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_704cbf1a","덤벨 스텝업","EXERCISE","PROGRAM_SELECTABLE","STEP_UP_VARIANTS","DUMBBELL_STEP_UP","UNILATERAL_LOWER_ACCESSORY","STEP_UP_SINGLE_LEG_KNEE_HIP_EXTENSION","LOAD_REPS","STEP_UP_SINGLE_LEG_KNEE_HIP_EXTENSION","STRENGTH_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","UNILATERAL_LOWER_STABILITY_STRESS","QUADRICEPS_LOAD|GLUTE_LOAD|HIP_STABILITY_LOAD","PATELLAR_TENDON_STRESS","KNEE_ANKLE_STABILITY_STRESS|HIP_ROTATIONAL_CONTROL_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_281347da","덤벨 컬","EXERCISE","PROGRAM_SELECTABLE","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DUMBBELL_CURL","BICEPS_ACCESSORY","ELBOW_FLEXION_CURL","VOLUME_LOAD","ELBOW_FLEXION_CURL","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","BICEPS_LOCAL_LOAD|ELBOW_FLEXION_LOAD|GRIP_FOREARM_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_da56a4fe","덤벨 킥백","EXERCISE","PROGRAM_SELECTABLE","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","DUMBBELL_KICKBACK","TRICEPS_ACCESSORY","ELBOW_EXTENSION_TRICEPS","VOLUME_LOAD","ELBOW_EXTENSION_TRICEPS","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","TRICEPS_LOCAL_LOAD|ELBOW_EXTENSION_LOAD","TRICEPS_TENDON_STRESS|ELBOW_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_708e64ce","덤벨 풀오버","EXERCISE","PROGRAM_SELECTABLE","PULLOVER_LAT_CHEST_ACCESSORY","DUMBBELL_PULLOVER","PULLOVER_ACCESSORY","PULLOVER_LAT_CHEST_ACCESSORY","LOAD_REPS","PULLOVER_LAT_CHEST_ACCESSORY","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","LAT_LOAD|CHEST_LOAD|ANTERIOR_SHOULDER_LOAD|CORE_BRACING_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","MEDIUM","NONE"
"ex_f6703b06","덤벨 프로네이션/수피네이션","EXERCISE","PROGRAM_SELECTABLE","FOREARM_GRIP_ACCESSORY","PRONATION_SUPINATION","FOREARM_GRIP_ACCESSORY","FOREARM_WRIST_GRIP_ACCESSORY","LOAD_REPS_OR_TIME","FOREARM_WRIST_GRIP_ACCESSORY","ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","ISOLATION_ACCESSORY_STRESS","GRIP_FOREARM_LOAD|WRIST_CONTROL_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","WRIST_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"barbell_deadlift","데드리프트","EXERCISE","PROGRAM_SELECTABLE","DEADLIFT_HINGE_VARIANTS","CONVENTIONAL_DEADLIFT","MAIN_HINGE_STRENGTH","HEAVY_HINGE","ESTIMATED_1RM","HEAVY_HINGE","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HINGE_POSTERIOR_CHAIN_STRESS","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","VERY_LONG","VERY_HIGH","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","VERY_LONG","NONE"
"ex_bb4b4276","등받이 없는 덤벨 시티드 숄더프레스","EXERCISE","PROGRAM_SELECTABLE","OVERHEAD_PRESS_VARIANTS","SEATED_UNSUPPORTED_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","OVERHEAD_PRESS_SHOULDER_DOMINANT","LOAD_REPS","OVERHEAD_PRESS_SHOULDER_DOMINANT","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","OVERHEAD_PUSH_STRESS","DELTOID_LOAD|TRICEPS_LOAD|OVERHEAD_REPETITION_LOAD","ROTATOR_CUFF_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_fb67af37","디클라인 푸시업","EXERCISE","PROGRAM_SELECTABLE","PUSH_UP_VARIANTS","DECLINE_PUSH_UP","UPPER_PUSH_ACCESSORY","BODYWEIGHT_HORIZONTAL_PUSH","REPS_AT_LOAD","BODYWEIGHT_HORIZONTAL_PUSH","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","BODYWEIGHT_PUSH_STRESS","PECTORAL_LOAD|TRICEPS_LOAD|SHOULDER_CONTROL_LOAD|CORE_BRACING_LOAD","PECTORAL_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","MODERATE","SHORT","NONE"
"ex_6463edad","딥스","EXERCISE","PROGRAM_SELECTABLE","DIP_COMPOUND_PUSH_VARIANTS","COMPOUND_DIP","UPPER_PUSH_COMPOUND","DIP_COMPOUND_PUSH","LOAD_REPS","DIP_COMPOUND_PUSH","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","DIP_PUSH_STRESS","TRICEPS_LOAD|PECTORAL_LOAD|SHOULDER_EXTENSION_LOAD","TRICEPS_TENDON_STRESS|PECTORAL_TENDON_STRESS","SHOULDER_EXTENSION_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","HIGH","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","HIGH","MODERATE","MEDIUM","NONE"
"ex_d20b7487","라잉 트라이셉스 익스텐션","EXERCISE","PROGRAM_SELECTABLE","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","LYING_TRICEPS_EXTENSION","TRICEPS_ACCESSORY","ELBOW_EXTENSION_TRICEPS","VOLUME_LOAD","ELBOW_EXTENSION_TRICEPS","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","TRICEPS_LOCAL_LOAD|ELBOW_EXTENSION_LOAD","TRICEPS_TENDON_STRESS|ELBOW_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_b4b198de","래터럴 런지","EXERCISE","PROGRAM_SELECTABLE","LUNGE_SPLIT_SQUAT_VARIANTS","LATERAL_LUNGE","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LUNGE_UNILATERAL_LOWER","FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","LUNGE_DECELERATION_STRESS","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DIRECTION_CHANGE_IMPACT_STRESS","NONE","NONE","LONG","HIGH","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","HIGH","HIGH","HIGH","HIGH","HIGH","LONG","NONE"
"ex_dc9e5953","랫풀다운","EXERCISE","PROGRAM_SELECTABLE","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","LAT_PULLDOWN","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","VOLUME_LOAD","VERTICAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","VERTICAL_PULL_STRESS","LAT_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_CONTROL_LOAD|CORE_BRACING_LOAD|MACHINE_GUIDED_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_64644b5e","런지","EXERCISE","PROGRAM_SELECTABLE","LUNGE_SPLIT_SQUAT_VARIANTS","GENERIC_LUNGE","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LUNGE_UNILATERAL_LOWER","FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","LUNGE_DECELERATION_STRESS","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DIRECTION_CHANGE_IMPACT_STRESS","NONE","NONE","LONG","HIGH","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","HIGH","HIGH","HIGH","HIGH","HIGH","LONG","NONE"
"ex_b78a8f95","레그 익스텐션","EXERCISE","PROGRAM_SELECTABLE","KNEE_EXTENSION_QUAD_ISOLATION","LEG_EXTENSION","QUAD_ISOLATION_ACCESSORY","KNEE_EXTENSION_QUAD_ISOLATION","LOAD_REPS","KNEE_EXTENSION_QUAD_ISOLATION","HYPERTROPHY_VOLUME|FATIGUE","ISOLATION_ACCESSORY_STRESS","QUADRICEPS_LOCAL_LOAD|KNEE_EXTENSION_LOAD","PATELLAR_TENDON_STRESS|QUADRICEPS_TENDON_STRESS","KNEE_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_2822ec2e","레그 컬","EXERCISE","PROGRAM_SELECTABLE","HAMSTRING_CURL_VARIANTS","LEG_CURL","HAMSTRING_ISOLATION_ACCESSORY","HAMSTRING_KNEE_FLEXION_ISOLATION","LOAD_REPS","HAMSTRING_KNEE_FLEXION_ISOLATION","HYPERTROPHY_VOLUME|FATIGUE","ISOLATION_ACCESSORY_STRESS","HAMSTRING_LOCAL_LOAD|KNEE_FLEXION_LOAD","HAMSTRING_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
